Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,28.24,28.34,28.10,28.20,546200,28.20
2010-11-04,28.23,28.31,28.06,28.17,771100,28.17
2010-11-03,27.89,28.06,27.59,27.93,827600,27.93
2010-11-02,27.56,27.93,27.54,27.90,704100,27.90
2010-11-01,27.51,27.69,27.23,27.33,847600,27.33
2010-10-29,27.45,27.59,27.32,27.47,1126000,27.47
2010-10-28,27.40,27.65,27.34,27.49,1466800,27.49
2010-10-27,27.30,27.30,26.86,27.24,1088800,27.24
2010-10-26,27.55,27.66,27.31,27.40,1217100,27.40
2010-10-25,28.28,28.47,27.93,28.01,1201100,28.01
2010-10-22,27.83,28.11,27.80,28.08,818300,28.08
2010-10-21,27.81,28.08,27.57,27.83,1711100,27.83
2010-10-20,27.47,27.84,27.35,27.79,1118100,27.79
2010-10-19,27.17,27.39,27.00,27.38,1858200,27.38
2010-10-18,27.32,27.48,27.28,27.43,918600,27.43
2010-10-15,27.46,27.58,27.16,27.36,1077700,27.36
2010-10-14,27.65,27.71,27.12,27.30,1246100,27.30
2010-10-13,27.44,27.70,27.28,27.63,1008100,27.63
2010-10-12,27.61,27.61,26.99,27.33,1427300,27.33
2010-10-11,27.52,27.72,27.37,27.59,1010300,27.59
2010-10-08,27.42,27.69,27.16,27.55,1060000,27.55
2010-10-07,27.58,27.69,27.25,27.42,806600,27.42
2010-10-06,27.62,27.69,27.39,27.56,908700,27.56
2010-10-05,27.53,27.77,27.31,27.64,1489300,27.64
2010-10-04,27.43,27.64,27.07,27.16,1885500,27.16
2010-10-01,27.83,27.97,27.47,27.48,1142300,27.48
2010-09-30,27.67,28.05,27.25,27.55,1135900,27.55
2010-09-29,27.32,27.62,27.19,27.45,1080200,27.45
2010-09-28,27.45,27.69,27.03,27.48,1281800,27.48
2010-09-27,27.69,27.69,27.26,27.33,979000,27.33
2010-09-24,27.32,27.79,27.25,27.72,1407200,27.72
2010-09-23,27.15,27.77,26.97,27.14,1470400,27.14
2010-09-22,27.90,28.07,26.93,27.38,2495400,27.38
2010-09-21,28.28,28.28,27.77,27.88,1675000,27.88
2010-09-20,27.86,28.16,27.71,28.12,1494600,28.12
2010-09-17,27.68,27.86,27.49,27.71,1852300,27.71
2010-09-16,27.85,27.92,27.48,27.60,1314900,27.60
2010-09-15,27.64,27.92,27.46,27.87,1647300,27.87
2010-09-14,27.62,27.97,27.54,27.83,737400,27.83
2010-09-13,27.76,27.93,27.65,27.73,1225900,27.73
2010-09-10,27.21,27.65,27.01,27.44,1192800,27.44
2010-09-09,27.24,27.31,26.94,27.11,1301400,27.11
2010-09-08,26.74,27.19,26.67,26.99,1208700,26.99
2010-09-07,27.07,27.14,26.70,26.73,1149300,26.73
2010-09-03,26.91,27.21,26.91,27.16,1458000,27.16
2010-09-02,26.27,26.74,26.27,26.67,1342600,26.67
2010-09-01,25.80,26.43,25.70,26.31,1728300,26.31
2010-08-31,25.20,25.69,25.16,25.49,1550000,25.49
2010-08-30,25.49,25.70,25.33,25.34,1272100,25.34
2010-08-27,25.31,25.77,24.99,25.61,1791200,25.61
2010-08-26,25.82,25.88,25.08,25.20,2428600,25.20
2010-08-25,25.74,25.84,25.53,25.64,2563700,25.64
2010-08-24,25.89,26.02,25.63,25.88,1817700,25.88
2010-08-23,26.37,26.49,25.88,26.09,1090300,26.09
2010-08-20,26.08,26.28,25.81,26.19,1123800,26.19
2010-08-19,26.50,26.56,25.88,26.11,1146100,26.11
2010-08-18,26.44,26.91,26.27,26.66,952200,26.66
2010-08-17,26.25,26.74,26.04,26.55,1099900,26.55
2010-08-16,25.70,26.11,25.59,25.99,1049800,25.99
2010-08-13,25.80,26.02,25.72,25.84,1005000,25.84
2010-08-12,25.70,26.17,25.70,25.96,1161200,25.96
2010-08-11,26.51,26.67,25.96,26.07,1217900,26.07
2010-08-10,26.83,27.19,26.47,26.93,1116500,26.93
2010-08-09,27.02,27.12,26.88,27.09,966000,27.09
2010-08-06,26.64,26.86,26.40,26.85,1275400,26.85
2010-08-05,26.82,26.99,26.76,26.92,1096000,26.92
2010-08-04,26.96,27.15,26.74,26.99,1331600,26.99
2010-08-03,26.97,27.07,26.75,26.93,1292500,26.93
2010-08-02,26.79,27.26,26.69,27.15,1116800,27.15
2010-07-30,25.96,26.53,25.82,26.46,963500,26.46
2010-07-29,26.61,26.70,25.94,26.25,1152200,26.25
2010-07-28,26.31,26.56,26.18,26.45,1132000,26.45
2010-07-27,26.43,26.45,26.14,26.29,747800,26.29
