Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,42.76,43.28,42.30,42.57,3048200,42.57
2010-11-04,42.10,43.09,41.95,43.05,5366900,43.05
2010-11-03,42.14,42.38,41.67,42.24,5147400,42.24
2010-11-02,41.61,41.83,41.46,41.83,3296300,41.83
2010-11-01,41.57,41.71,41.25,41.44,4332700,41.44
2010-10-29,41.13,41.54,41.10,41.38,4984300,41.38
2010-10-28,41.16,41.36,41.09,41.20,2902700,41.20
2010-10-27,40.93,40.99,40.54,40.88,3325000,40.88
2010-10-26,40.84,41.18,40.72,41.04,2180100,41.04
2010-10-25,40.80,41.15,40.76,40.92,3095100,40.92
2010-10-22,40.45,40.69,40.40,40.59,1708900,40.59
2010-10-21,40.39,40.78,40.30,40.47,2861100,40.47
2010-10-20,39.78,40.28,39.75,40.21,3754500,40.21
2010-10-19,39.70,39.79,39.31,39.52,5844400,39.52
2010-10-18,39.96,40.16,39.81,39.91,2591200,39.91
2010-10-15,40.06,40.42,39.74,39.88,6181100,39.88
2010-10-14,40.01,40.13,39.83,40.02,2473800,40.02
2010-10-13,40.03,40.18,39.81,39.89,3033700,39.89
2010-10-12,39.93,39.94,39.34,39.79,3515000,39.79
2010-10-11,39.79,39.79,39.59,39.76,1690700,39.76
2010-10-08,40.02,40.07,39.18,39.76,3265700,39.76
2010-10-07,40.20,40.34,39.71,40.06,3650700,40.06
2010-10-06,40.04,40.32,39.87,40.26,2785700,40.26
2010-10-05,39.78,40.29,39.62,40.09,3998300,40.09
2010-10-04,39.71,39.90,39.36,39.52,2692500,39.52
2010-10-01,39.62,39.89,39.39,39.77,2350200,39.77
2010-09-30,39.89,40.00,39.45,39.46,3562000,39.46
2010-09-29,39.89,39.93,39.54,39.62,2310300,39.62
2010-09-28,39.42,39.94,39.32,39.90,3812400,39.90
2010-09-27,39.35,39.48,38.90,39.30,3149500,39.30
2010-09-24,39.04,39.25,38.95,39.25,4309600,39.25
2010-09-23,39.18,39.26,38.65,38.75,5179800,38.75
2010-09-22,39.30,39.49,39.18,39.42,3186300,39.42
2010-09-21,39.37,39.49,38.96,39.33,3156900,39.33
2010-09-20,38.99,39.42,38.83,39.28,4770300,39.28
2010-09-17,38.42,39.03,38.21,38.79,6203900,38.79
2010-09-16,37.79,38.08,37.66,38.08,3302200,38.08
2010-09-15,37.54,38.00,37.42,37.93,3438500,37.93
2010-09-14,36.85,37.74,36.84,37.54,4828400,37.54
2010-09-13,36.80,37.02,36.68,36.92,3053100,36.92
2010-09-10,36.46,36.73,36.41,36.66,2032600,36.66
2010-09-09,36.49,36.60,36.42,36.47,2007600,36.47
2010-09-08,36.04,36.43,35.95,36.30,3231800,36.30
2010-09-07,36.19,36.33,35.97,36.00,2610500,36.00
2010-09-03,36.27,36.37,36.01,36.21,3050300,36.21
2010-09-02,36.19,36.30,35.93,36.17,3555000,36.17
2010-09-01,36.38,36.75,36.21,36.73,4805200,36.01
2010-08-31,36.01,36.21,35.91,36.16,4128000,35.45
2010-08-30,36.05,36.20,35.92,35.98,2713800,35.27
2010-08-27,36.11,36.15,35.54,36.12,4245700,35.41
2010-08-26,36.09,36.22,35.95,36.00,3450900,35.29
2010-08-25,35.87,36.05,35.79,35.97,6456000,35.26
2010-08-24,35.75,36.14,35.70,36.01,3464900,35.30
2010-08-23,36.12,36.19,35.86,35.91,2717900,35.20
2010-08-20,35.81,36.03,35.75,35.99,2465200,35.28
2010-08-19,36.18,36.19,35.86,36.05,3274000,35.34
2010-08-18,36.20,36.32,36.00,36.23,3654500,35.51
2010-08-17,36.49,36.49,36.04,36.19,3988100,35.48
2010-08-16,35.98,36.30,35.90,36.26,2876900,35.54
2010-08-13,35.93,36.24,35.93,36.05,2714100,35.34
2010-08-12,36.03,36.19,35.80,35.92,3829700,35.21
2010-08-11,36.08,36.31,36.04,36.24,4475500,35.52
2010-08-10,36.18,36.55,36.09,36.49,4055700,35.77
2010-08-09,36.50,36.50,36.28,36.35,2781000,35.63
2010-08-06,36.07,36.39,36.00,36.39,3333800,35.67
2010-08-05,36.10,36.30,35.99,36.26,3735100,35.54
2010-08-04,35.90,36.36,35.85,36.33,3640700,35.61
2010-08-03,35.93,36.09,35.81,35.87,1898900,35.16
2010-08-02,35.85,36.12,35.72,35.98,4400200,35.27
2010-07-30,35.23,35.80,35.10,35.62,2290300,34.92
2010-07-29,35.66,35.73,35.22,35.40,3125900,34.70
2010-07-28,35.61,35.78,35.52,35.60,2391000,34.90
2010-07-27,35.87,35.95,35.70,35.73,3247000,35.02
2010-07-26,35.65,35.88,35.44,35.87,2995500,35.16
2010-07-23,35.45,35.65,35.37,35.56,3537900,34.86
2010-07-22,35.38,35.76,35.37,35.54,2865800,34.84
2010-07-21,35.14,35.47,35.01,35.18,3500100,34.49
2010-07-20,34.54,35.08,34.52,35.05,3161700,34.36
2010-07-19,34.60,34.99,34.60,34.95,2437400,34.26
2010-07-16,34.74,35.01,34.48,34.58,4321600,33.90
2010-07-15,35.02,35.04,34.64,34.83,2578500,34.14
2010-07-14,34.82,35.02,34.62,35.02,2694900,34.33
2010-07-13,34.72,35.09,34.60,34.86,4027100,34.17
2010-07-12,34.32,34.54,34.24,34.43,2635500,33.75
2010-07-09,34.25,34.55,34.03,34.45,3007100,33.77
2010-07-08,34.44,34.44,34.05,34.34,3813400,33.66
2010-07-07,33.52,34.24,33.37,34.22,5985500,33.54
2010-07-06,33.42,33.59,33.14,33.40,3567100,32.74
2010-07-02,33.38,33.38,32.92,33.15,2655100,32.50
2010-07-01,33.32,33.47,32.98,33.25,5249000,32.59
2010-06-30,33.68,33.84,33.28,33.31,3675400,32.65
2010-06-29,33.91,33.96,33.60,33.73,3641100,33.06
2010-06-28,33.91,34.37,33.90,34.15,3103600,33.48
2010-06-25,34.45,34.45,33.82,33.94,5739000,33.27
2010-06-24,34.43,34.55,34.24,34.29,3276200,33.61
2010-06-23,34.75,34.82,34.37,34.47,2388600,33.79
2010-06-22,35.07,35.09,34.59,34.60,2176200,33.92
2010-06-21,35.12,35.24,34.79,34.95,2044700,34.26
2010-06-18,35.07,35.15,34.90,34.97,2884800,34.28
