Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,31.51,31.58,30.67,30.94,11079100,30.94
2010-11-04,31.15,31.53,31.03,31.51,10626200,31.51
2010-11-03,30.31,31.10,30.31,30.87,16641100,30.87
2010-11-02,30.14,30.89,30.01,30.53,16851300,30.53
2010-11-01,30.30,30.41,29.70,29.90,10960600,29.90
2010-10-29,30.55,30.58,30.12,30.13,13280800,30.13
2010-10-28,30.92,30.92,30.45,30.66,9836500,30.66
2010-10-27,30.58,30.88,30.21,30.84,10250800,30.84
2010-10-26,31.10,31.25,30.57,30.77,11678000,30.77
2010-10-25,31.58,31.76,31.17,31.23,7958800,31.23
2010-10-22,31.21,31.66,31.13,31.36,7790400,31.36
2010-10-21,31.08,31.53,30.88,31.25,7658900,31.25
2010-10-20,30.55,31.17,30.54,31.03,6474300,31.03
2010-10-19,30.98,31.19,30.40,30.55,8000300,30.46
2010-10-18,31.25,31.35,30.98,31.25,7403700,31.16
2010-10-15,31.47,31.56,31.15,31.31,8178000,31.22
2010-10-14,31.66,31.74,30.95,31.25,7953300,31.16
2010-10-13,30.99,31.97,30.87,31.64,14309000,31.55
2010-10-12,30.94,31.10,30.77,30.95,8351900,30.86
2010-10-11,31.21,31.31,31.02,31.05,6981900,30.96
2010-10-08,31.09,31.44,30.61,31.25,22302100,31.16
2010-10-07,32.43,32.50,31.87,31.98,8987200,31.89
2010-10-06,32.05,32.41,31.96,32.41,7862000,32.32
2010-10-05,31.68,32.48,31.60,32.06,10511300,31.97
2010-10-04,31.64,32.11,31.34,31.43,6105600,31.34
2010-10-01,31.67,32.02,31.53,31.78,8486700,31.69
2010-09-30,31.33,31.75,31.24,31.47,8564400,31.38
2010-09-29,31.26,31.60,31.26,31.29,8364300,31.20
2010-09-28,31.26,31.70,30.92,31.45,12925000,31.36
2010-09-27,31.12,31.13,30.59,30.61,6643000,30.52
2010-09-24,30.35,31.18,30.14,31.01,10439000,30.92
2010-09-23,29.83,30.35,29.78,29.90,8044800,29.81
2010-09-22,30.01,30.27,29.86,30.09,4860700,30.00
