Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,43.44,43.58,43.20,43.50,2374500,43.50
2010-11-04,43.24,43.53,43.11,43.53,2843400,43.53
2010-11-03,42.92,43.03,42.43,42.87,2059900,42.87
2010-11-02,42.65,43.14,42.59,42.82,2075900,42.82
2010-11-01,43.67,43.67,42.04,42.49,5348400,42.49
2010-10-29,43.97,43.97,43.20,43.46,3370900,43.46
2010-10-28,43.93,44.17,43.72,43.95,2675400,43.95
2010-10-27,43.66,43.90,43.25,43.82,2850800,43.82
2010-10-26,44.14,44.32,43.68,44.04,3244500,44.04
2010-10-25,44.71,44.82,44.37,44.46,2129200,44.46
2010-10-22,44.72,44.86,44.20,44.51,3310200,44.51
2010-10-21,44.92,45.04,44.38,44.74,3304100,44.74
2010-10-20,44.57,45.11,44.57,44.70,2980600,44.70
2010-10-19,44.51,44.86,44.37,44.50,3133000,44.50
2010-10-18,44.57,45.12,44.57,44.92,3120200,44.92
2010-10-15,44.84,44.99,44.32,44.54,3095300,44.54
2010-10-14,44.55,44.80,44.36,44.63,1837900,44.63
2010-10-13,44.51,44.66,44.34,44.55,2788300,44.55
2010-10-12,44.66,44.68,44.17,44.32,1923800,44.32
2010-10-11,44.66,44.95,44.59,44.69,1289200,44.69
2010-10-08,44.66,44.76,44.38,44.68,1425300,44.68
2010-10-07,44.58,44.86,44.36,44.51,1742100,44.51
2010-10-06,44.58,44.69,44.31,44.49,2530400,44.49
2010-10-05,44.15,44.64,44.05,44.58,2760700,44.58
2010-10-04,44.00,44.18,43.65,43.89,2070900,43.89
2010-10-01,43.94,44.14,43.56,44.03,2704400,44.03
2010-09-30,44.01,44.20,43.59,43.66,2600600,43.66
2010-09-29,43.93,44.12,43.62,43.95,2524600,43.95
2010-09-28,44.42,44.56,43.90,44.19,2629700,44.19
2010-09-27,44.16,44.45,44.10,44.26,2752300,44.26
2010-09-24,43.76,44.23,43.73,44.23,2452500,44.23
2010-09-23,44.07,44.25,43.36,43.42,2870600,43.42
2010-09-22,44.15,44.67,44.11,44.21,2268500,44.21
2010-09-21,44.33,44.46,44.00,44.11,3214900,44.11
2010-09-20,43.67,44.38,43.49,44.29,3361900,44.29
2010-09-17,43.87,43.89,43.16,43.42,3858400,43.42
2010-09-16,43.20,44.11,42.95,43.59,5960900,43.59
2010-09-15,43.99,44.08,43.37,43.48,4369800,43.48
2010-09-14,43.79,44.26,43.69,44.03,5438400,44.03
2010-09-13,43.66,43.99,43.45,43.92,2870600,43.92
2010-09-10,43.75,43.86,43.25,43.29,3491500,43.29
2010-09-09,44.01,44.16,43.77,43.94,1672100,43.94
2010-09-08,43.90,44.08,43.63,43.73,1759800,43.73
2010-09-07,43.81,44.12,43.73,43.82,1578000,43.82
2010-09-03,43.86,44.00,43.50,43.99,2347000,43.99
2010-09-02,43.88,43.98,43.20,43.58,2037000,43.58
2010-09-01,43.17,44.00,42.97,43.86,2928800,43.86
2010-08-31,42.62,43.02,42.20,42.73,3668800,42.73
2010-08-30,43.38,43.56,42.69,42.69,1667000,42.69
2010-08-27,42.98,43.51,42.56,43.42,3447900,43.42
2010-08-26,43.15,43.18,42.68,42.76,4235300,42.76
2010-08-25,43.24,43.48,42.63,43.15,6411400,43.15
2010-08-24,43.99,44.69,43.94,44.41,4093000,43.95
2010-08-23,44.05,44.66,44.04,44.35,2700200,43.89
2010-08-20,43.35,44.02,43.35,43.93,3551500,43.48
2010-08-19,43.97,44.08,43.55,43.67,4790400,43.22
2010-08-18,44.65,44.71,43.88,44.11,3720200,43.66
2010-08-17,44.32,44.94,44.10,44.71,3647500,44.25
2010-08-16,43.70,44.06,43.51,44.03,2531500,43.58
2010-08-13,43.65,44.18,43.57,43.91,2449000,43.46
2010-08-12,43.32,43.98,43.12,43.80,3385400,43.35
2010-08-11,43.75,43.89,43.51,43.71,2985900,43.26
2010-08-10,43.57,44.57,43.46,44.18,3428100,43.72
2010-08-09,43.81,44.09,43.67,44.03,1875400,43.58
2010-08-06,43.26,43.68,42.99,43.67,2579900,43.22
2010-08-05,43.24,43.55,43.13,43.55,1874400,43.10
2010-08-04,43.12,43.61,42.91,43.50,2876200,43.05
2010-08-03,43.08,43.63,42.86,43.12,3212100,42.68
2010-08-02,42.42,43.25,42.42,43.20,3259900,42.75
2010-07-30,41.46,42.20,41.24,41.99,3631800,41.56
2010-07-29,43.16,43.42,41.67,41.69,4871600,41.26
2010-07-28,43.09,43.41,42.78,42.98,2603400,42.54
2010-07-27,42.77,43.33,42.68,43.27,4714900,42.82
2010-07-26,42.26,42.73,42.26,42.60,1919900,42.16
2010-07-23,42.18,42.50,41.89,42.41,3072100,41.97
2010-07-22,41.61,42.40,41.49,42.22,3617700,41.78
2010-07-21,41.99,41.99,41.03,41.26,2677800,40.83
2010-07-20,40.86,41.97,40.86,41.96,3489900,41.53
2010-07-19,40.58,41.58,40.58,41.40,2586400,40.97
