Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,48.17,48.54,47.94,48.18,7017100,48.18
2010-11-04,47.71,48.40,47.67,48.36,6925300,48.36
2010-11-03,47.37,47.50,46.44,47.06,6198900,47.06
2010-11-02,47.29,47.87,47.06,47.42,5870400,47.42
2010-11-01,47.26,47.73,46.60,46.90,5543900,46.90
2010-10-29,46.81,47.36,46.78,47.28,5425700,47.28
2010-10-28,47.05,47.38,46.69,47.03,6314100,47.03
2010-10-27,46.88,47.03,46.36,46.96,7559500,46.96
2010-10-26,47.30,47.48,46.04,47.22,11216400,47.22
2010-10-25,47.37,48.00,47.26,47.70,7639900,47.70
2010-10-22,47.12,47.25,46.63,46.83,4141500,46.83
2010-10-21,47.36,47.50,46.69,47.13,6923300,47.13
2010-10-20,46.05,47.50,45.74,47.08,6137800,47.08
2010-10-19,46.51,46.69,45.71,45.98,6997500,45.98
2010-10-18,46.62,47.23,46.28,47.11,10082600,47.11
2010-10-15,46.84,46.99,46.12,46.67,6395700,46.67
2010-10-14,46.90,47.01,46.16,46.49,5828000,46.49
2010-10-13,46.74,47.01,46.47,46.88,6030700,46.88
2010-10-12,46.64,46.68,45.86,46.29,7758900,46.29
2010-10-11,46.77,46.85,45.99,46.09,4965600,46.09
2010-10-08,46.35,46.87,46.25,46.66,7530800,46.66
2010-10-07,45.90,46.32,45.58,46.23,7512200,46.23
2010-10-06,45.63,45.98,45.63,45.87,5418900,45.87
2010-10-05,45.00,45.93,44.87,45.77,7366100,45.77
2010-10-04,44.85,45.09,44.21,44.42,4989800,44.42
2010-10-01,44.95,45.25,44.46,44.85,6041300,44.85
2010-09-30,44.89,45.45,44.25,44.62,8204700,44.62
2010-09-29,45.47,45.49,44.39,44.53,7593900,44.53
2010-09-28,45.46,45.87,44.82,45.67,5772800,45.67
2010-09-27,45.55,45.62,44.85,45.30,3748600,45.30
2010-09-24,44.94,45.72,44.85,45.58,5474700,45.58
2010-09-23,44.16,45.02,44.15,44.42,4212300,44.42
2010-09-22,44.73,45.00,44.35,44.62,5293700,44.62
2010-09-21,44.89,44.96,44.33,44.83,6677100,44.83
2010-09-20,44.00,44.79,43.88,44.61,6761000,44.61
2010-09-17,43.53,44.25,43.34,43.95,8530700,43.95
2010-09-16,42.83,43.46,42.83,43.38,4941300,43.38
2010-09-15,42.61,43.03,42.45,42.93,5610800,42.93
2010-09-14,42.88,43.11,42.47,42.67,6015500,42.67
2010-09-13,42.72,42.94,42.56,42.80,5716800,42.80
2010-09-10,42.47,42.69,42.20,42.29,3791900,42.29
2010-09-09,42.77,42.86,42.08,42.18,4672600,42.18
2010-09-08,42.14,42.62,42.14,42.39,4606100,42.39
2010-09-07,42.37,42.45,41.86,42.00,4254900,42.00
2010-09-03,42.41,42.75,42.36,42.51,6962900,42.51
2010-09-02,42.00,42.25,41.84,42.09,4686000,42.09
2010-09-01,41.27,42.20,41.12,42.00,8456600,42.00
2010-08-31,40.19,40.93,40.12,40.77,6887500,40.77
2010-08-30,40.88,41.00,40.32,40.32,4374600,40.32
2010-08-27,39.93,41.01,39.50,41.01,7292600,41.01
2010-08-26,39.93,40.17,39.36,39.49,5796400,39.49
2010-08-25,39.26,39.85,38.71,39.71,7040600,39.71
2010-08-24,39.78,40.19,39.57,39.59,6192000,39.59
2010-08-23,40.51,40.97,40.32,40.37,11479000,40.37
2010-08-20,40.16,40.52,39.95,40.34,4881600,40.34
2010-08-19,41.30,41.43,40.26,40.59,5150500,40.59
2010-08-18,41.43,41.68,41.05,41.42,3716000,41.42
2010-08-17,41.00,41.79,40.81,41.42,6568500,41.42
2010-08-16,40.09,40.61,40.00,40.39,3417700,40.39
2010-08-13,40.44,40.72,40.14,40.32,4672200,40.32
2010-08-12,39.99,41.08,39.79,40.77,6502900,40.77
2010-08-11,40.78,40.96,40.19,40.50,7508900,40.50
2010-08-10,41.96,42.34,41.26,42.17,8040800,41.76
2010-08-09,42.53,42.56,42.18,42.41,4962000,42.00
2010-08-06,42.49,42.66,41.47,42.13,7992700,41.72
2010-08-05,42.18,42.54,41.92,42.48,6186400,42.07
2010-08-04,41.63,42.50,41.60,42.41,9310100,42.00
2010-08-03,41.25,41.70,41.10,41.43,4790800,41.03
2010-08-02,41.23,41.75,41.05,41.62,9893900,41.22
2010-07-30,40.10,40.90,39.91,40.67,5922000,40.27
2010-07-29,40.53,40.95,40.05,40.51,7779900,40.12
2010-07-28,40.05,40.90,39.99,40.27,9273500,39.88
2010-07-27,40.85,41.14,39.79,40.38,15847600,39.99
2010-07-26,38.55,38.99,38.37,38.99,7173900,38.61
2010-07-23,37.69,38.45,37.54,38.34,5496200,37.97
2010-07-22,37.14,37.99,37.09,37.73,7075100,37.36
2010-07-21,37.10,37.29,36.25,36.56,5584200,36.20
2010-07-20,35.61,36.85,35.61,36.81,6223600,36.45
2010-07-19,36.14,36.26,35.62,36.05,3867700,35.70
2010-07-16,37.00,37.04,35.93,35.98,8492400,35.63
2010-07-15,37.24,37.36,36.45,37.17,5720900,36.81
2010-07-14,37.11,37.27,36.62,37.09,4703300,36.73
2010-07-13,36.88,37.51,36.81,37.31,6360700,36.95
2010-07-12,36.68,36.90,36.32,36.52,7473700,36.16
2010-07-09,36.26,36.99,36.20,36.90,6043800,36.54
2010-07-08,35.60,36.34,35.26,36.29,7466800,35.94
2010-07-07,34.03,35.31,33.99,35.25,6942800,34.91
2010-07-06,34.56,34.67,33.73,34.05,12981500,33.72
2010-07-02,34.73,34.73,33.75,34.06,6343100,33.73
2010-07-01,34.47,35.05,34.09,34.49,9903000,34.15
2010-06-30,35.24,35.59,34.55,34.59,7090000,34.25
2010-06-29,35.58,35.65,35.00,35.24,7297400,34.90
2010-06-28,36.93,36.93,36.12,36.23,6111800,35.88
2010-06-25,36.73,37.06,36.14,36.66,9654600,36.30
2010-06-24,36.96,37.49,36.41,36.52,7698200,36.16
2010-06-23,37.47,37.58,36.73,37.26,5747600,36.90
2010-06-22,38.39,38.52,37.41,37.45,6506200,37.09
2010-06-21,38.67,39.20,38.01,38.31,6005300,37.94
2010-06-18,38.01,38.55,37.94,38.36,9485600,37.99
2010-06-17,38.00,38.00,36.97,37.80,6120900,37.43
2010-06-16,37.56,37.97,37.03,37.76,7201100,37.39
2010-06-15,37.34,37.87,37.07,37.86,6224700,37.49
2010-06-14,37.95,37.95,36.79,36.86,6876500,36.50
2010-06-11,36.91,37.67,36.85,37.61,6504600,37.24
2010-06-10,36.21,37.03,36.16,36.99,8320200,36.63
2010-06-09,35.68,36.59,35.38,35.58,10148400,35.23
2010-06-08,34.17,35.56,33.95,35.49,11574300,35.14
2010-06-07,34.59,34.92,34.06,34.09,8108100,33.76
2010-06-04,34.99,35.29,34.32,34.41,8579100,34.08
2010-06-03,36.49,36.50,35.21,35.78,6635400,35.43
2010-06-02,35.53,36.19,35.32,36.19,5890700,35.84
2010-06-01,35.82,36.32,35.19,35.24,6769100,34.90
2010-05-28,36.79,36.83,35.95,36.17,6205500,35.82
2010-05-27,35.86,36.80,35.49,36.79,12945700,36.43
2010-05-26,35.71,36.03,34.94,35.08,10529900,34.74
2010-05-25,34.34,35.54,33.77,35.48,10417300,35.14
2010-05-24,35.92,36.18,35.36,35.40,6128900,35.06
2010-05-21,35.02,36.12,34.59,36.10,12568700,35.75
2010-05-20,36.10,36.70,35.69,35.71,13041500,35.36
2010-05-19,36.76,36.98,36.00,36.82,8376500,36.46
2010-05-18,38.00,38.58,36.98,37.08,8487600,36.72
2010-05-17,37.84,38.30,36.79,37.65,6579600,37.28
2010-05-14,38.32,38.40,37.41,37.65,7898700,37.28
2010-05-13,39.17,39.25,38.51,38.59,6775500,38.21
2010-05-12,38.25,39.35,38.13,39.26,10352600,38.88
2010-05-11,37.87,38.48,37.65,38.10,9346700,37.32
2010-05-10,38.12,38.31,37.78,38.24,9437200,37.46
2010-05-07,36.69,37.10,35.75,36.23,12623300,35.49
2010-05-06,37.70,38.20,33.66,36.69,12149300,35.94
2010-05-05,38.29,38.55,37.58,37.87,9387500,37.10
2010-05-04,39.71,39.79,38.42,38.60,10615900,37.81
2010-05-03,40.05,40.39,39.82,40.12,6554200,39.30
2010-04-30,40.55,40.69,39.80,39.84,9510200,39.03
2010-04-29,39.83,40.70,39.72,40.57,12128700,39.74
2010-04-28,40.03,40.03,39.19,39.46,12071000,38.66
2010-04-27,41.38,41.45,39.31,39.40,13267200,38.60
2010-04-26,40.43,41.15,40.32,40.95,11384800,40.12
2010-04-23,39.54,40.22,39.25,40.22,6700400,39.40
2010-04-22,39.04,39.51,38.55,39.47,6452300,38.67
2010-04-21,39.29,39.30,38.70,39.07,5452000,38.27
2010-04-20,39.73,39.80,39.02,39.16,7404800,38.36
2010-04-19,38.48,39.42,38.48,39.37,7938800,38.57
2010-04-16,39.36,39.53,38.56,38.66,7812500,37.87
2010-04-15,38.76,39.54,38.52,39.33,7160500,38.53
