Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,79.34,79.53,78.62,79.10,2282200,79.10
2010-11-04,78.32,79.26,77.69,79.18,3338300,79.18
2010-11-03,77.49,77.58,76.20,77.52,2485400,77.52
2010-11-02,77.36,78.34,76.86,77.34,2984600,77.34
2010-11-01,77.46,77.94,75.72,76.34,2707200,76.34
2010-10-29,75.02,77.09,75.02,76.80,2567100,76.80
2010-10-28,76.37,76.86,74.59,75.50,3018200,75.50
2010-10-27,75.90,75.91,74.22,75.84,4183300,75.84
2010-10-26,76.89,77.44,76.25,76.42,2752300,76.42
2010-10-25,77.99,78.89,77.14,77.24,3742400,77.24
2010-10-22,76.75,77.29,76.50,77.25,3320800,77.25
2010-10-21,77.02,77.72,75.92,77.05,4372500,77.05
2010-10-20,75.11,77.15,74.75,76.44,4081000,76.44
2010-10-19,74.63,75.80,73.63,74.92,5163700,74.92
2010-10-18,76.12,76.63,75.66,76.05,3132100,76.05
2010-10-15,76.05,76.31,75.27,76.16,5321200,76.16
2010-10-14,75.19,75.72,74.20,75.09,3280900,75.09
2010-10-13,75.50,76.00,75.24,75.28,4168000,75.28
2010-10-12,75.19,75.55,73.88,74.66,4244100,74.66
2010-10-11,76.10,76.17,74.47,75.31,3279000,75.31
2010-10-08,74.11,76.83,74.11,75.35,10645300,75.35
2010-10-07,72.43,72.50,70.85,71.90,2694300,71.90
2010-10-06,71.10,72.53,71.10,71.96,3651000,71.96
2010-10-05,69.42,71.89,69.42,71.30,4774300,71.30
2010-10-04,68.30,68.85,67.67,68.62,4385500,68.62
2010-10-01,69.15,69.65,68.42,68.57,8339400,68.57
2010-09-30,72.08,72.29,69.42,69.78,6941400,69.78
2010-09-29,71.27,72.29,70.85,71.73,3121300,71.73
2010-09-28,71.93,71.99,70.43,71.59,4666400,71.59
2010-09-27,72.85,72.94,71.90,72.10,2731400,71.80
2010-09-24,71.89,72.99,71.89,72.64,3830800,72.34
2010-09-23,71.50,72.57,70.51,71.19,3911500,70.89
2010-09-22,73.07,73.20,71.85,72.08,4396100,71.78
2010-09-21,73.37,73.62,72.26,73.04,5821300,72.74
2010-09-20,72.71,73.70,72.25,73.61,4694000,73.30
2010-09-17,70.21,72.47,69.72,72.45,6501600,72.15
2010-09-16,70.12,70.60,69.57,69.64,2627700,69.35
2010-09-15,69.66,70.56,69.35,70.06,3740100,69.77
2010-09-14,69.69,70.78,69.26,70.03,4381800,69.74
2010-09-13,68.81,69.98,68.61,69.78,4380900,69.49
2010-09-10,67.55,68.42,67.12,67.81,2868000,67.53
2010-09-09,68.97,69.00,67.20,67.34,3211300,67.06
2010-09-08,67.84,68.68,67.81,68.09,3219000,67.81
2010-09-07,68.35,68.45,67.31,67.67,3922300,67.39
2010-09-03,68.05,69.22,68.00,68.63,4086600,68.34
2010-09-02,66.62,67.89,66.35,67.75,3747900,67.47
2010-09-01,64.69,66.68,64.47,66.53,5450700,66.25
2010-08-31,62.27,64.25,62.11,63.27,3569200,63.01
2010-08-30,64.48,64.60,62.98,62.98,4068500,62.72
2010-08-27,63.39,64.85,61.90,64.63,4832100,64.36
2010-08-26,62.88,64.19,62.65,62.75,4808300,62.49
2010-08-25,61.57,63.13,60.45,62.86,5771900,62.60
2010-08-24,61.68,63.27,61.50,62.34,5831900,62.08
2010-08-23,65.55,65.65,62.45,63.02,5788500,62.76
2010-08-20,65.00,65.53,64.78,65.13,4123700,64.86
2010-08-19,66.70,66.90,64.78,65.71,5010800,65.44
2010-08-18,67.14,67.50,65.46,65.98,9533500,65.71
2010-08-17,66.79,67.75,66.27,67.23,5731400,66.95
2010-08-16,64.78,66.33,64.16,65.59,3427800,65.32
2010-08-13,65.28,65.34,64.30,64.85,2642100,64.58
2010-08-12,64.46,65.91,64.11,65.53,3880900,65.26
2010-08-11,66.48,66.73,64.96,65.34,5413900,65.07
2010-08-10,68.56,68.78,67.39,67.92,4241800,67.64
2010-08-09,68.93,69.47,68.24,69.29,3990100,69.00
2010-08-06,67.56,68.30,66.75,68.04,4922400,67.76
2010-08-05,67.45,69.10,67.29,67.98,4430900,67.70
2010-08-04,67.00,67.85,66.54,67.56,3191100,67.28
2010-08-03,66.86,67.24,65.96,66.82,3461500,66.54
