Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,36.78,37.27,36.78,37.20,9712900,37.20
2010-11-04,36.50,37.16,36.46,37.03,16674900,37.03
2010-11-03,36.12,36.43,35.95,36.29,12050100,36.29
2010-11-02,36.37,36.45,36.10,36.11,16355300,36.11
2010-11-01,36.21,36.49,35.76,36.03,8454000,36.03
2010-10-29,36.51,36.51,35.83,36.13,12926000,36.13
2010-10-28,35.95,36.52,35.94,36.51,14212300,36.51
2010-10-27,35.60,35.96,35.47,35.92,11752600,35.92
2010-10-26,35.13,35.97,34.99,35.96,14800400,35.96
2010-10-25,35.16,35.72,35.10,35.46,11230400,35.46
2010-10-22,34.67,34.99,34.30,34.97,9598800,34.97
2010-10-21,34.76,35.04,34.46,34.68,16888400,34.68
2010-10-20,34.27,34.75,34.27,34.62,10107800,34.62
2010-10-19,34.50,34.60,34.00,34.24,9554500,34.24
2010-10-18,34.83,35.00,34.50,34.75,6926200,34.75
2010-10-15,35.04,35.15,34.56,34.88,9641200,34.88
2010-10-14,34.79,34.95,34.58,34.85,7358700,34.85
2010-10-13,34.66,35.20,34.59,34.91,14425700,34.91
2010-10-12,34.36,34.61,33.96,34.48,9050200,34.48
2010-10-11,34.52,34.74,34.43,34.57,5347500,34.57
2010-10-08,33.97,34.70,33.80,34.51,12916900,34.51
2010-10-07,33.78,33.98,33.68,33.91,9017200,33.91
2010-10-06,33.84,33.98,33.44,33.72,11339900,33.72
2010-10-05,33.39,33.99,33.36,33.83,14512500,33.83
2010-10-04,33.23,33.60,33.08,33.14,10708300,33.14
2010-10-01,33.30,33.58,33.12,33.34,12904900,33.34
2010-09-30,33.19,33.49,32.83,33.10,14446500,33.10
2010-09-29,33.03,33.18,32.68,33.01,9211100,33.01
2010-09-28,33.37,33.47,32.94,33.22,12863900,33.22
2010-09-27,33.60,33.66,33.28,33.29,7884000,33.29
2010-09-24,33.38,33.82,33.31,33.58,10620900,33.58
2010-09-23,33.67,33.73,33.00,33.12,18027300,33.12
2010-09-22,34.57,34.81,33.90,33.99,9897700,33.99
2010-09-21,34.91,34.98,34.27,34.50,11616700,34.50
2010-09-20,34.56,34.99,34.53,34.90,10219200,34.90
2010-09-17,34.38,34.73,34.36,34.56,18990200,34.56
2010-09-16,34.09,34.19,33.71,34.17,7297600,34.17
2010-09-15,34.01,34.42,33.88,34.21,7262300,34.21
2010-09-14,34.23,34.23,33.72,34.05,7745900,34.05
2010-09-13,34.42,34.67,33.92,34.27,8826700,34.27
2010-09-10,34.16,34.28,34.05,34.15,7362900,34.15
2010-09-09,34.34,34.49,34.00,34.08,6990600,34.08
2010-09-08,33.88,34.10,33.75,33.84,8370900,33.84
2010-09-07,34.50,34.63,33.66,33.84,10689700,33.84
2010-09-03,34.02,34.70,34.02,34.67,8433300,34.67
2010-09-02,33.62,33.98,33.53,33.91,7003700,33.91
2010-09-01,33.00,33.70,32.91,33.51,9964600,33.51
2010-08-31,32.20,32.83,31.91,32.54,12520700,32.54
2010-08-30,32.73,32.99,32.32,32.35,7057900,32.35
2010-08-27,32.13,32.85,31.58,32.78,11144000,32.78
2010-08-26,32.18,32.44,31.88,31.94,10120500,31.94
2010-08-25,31.87,32.24,31.55,32.11,14144000,32.11
2010-08-24,32.49,32.70,31.97,32.14,14229700,32.14
2010-08-23,33.23,33.55,32.80,32.93,8046500,32.93
2010-08-20,33.00,33.20,32.71,33.05,8632700,33.05
2010-08-19,33.72,33.78,33.06,33.19,12070700,33.19
2010-08-18,33.81,34.22,33.40,33.91,8325000,33.91
2010-08-17,33.92,33.99,33.51,33.76,9875200,33.76
2010-08-16,33.44,33.75,33.11,33.66,6917800,33.66
2010-08-13,33.79,33.81,33.41,33.68,11058100,33.68
2010-08-12,33.85,34.30,33.71,33.99,11809600,33.99
2010-08-11,34.77,34.77,34.13,34.22,15028900,34.22
2010-08-10,34.89,35.41,34.73,35.29,12353400,35.29
2010-08-09,34.96,35.23,34.90,35.16,7809300,35.16
2010-08-06,34.58,35.09,34.39,35.00,8061700,35.00
2010-08-05,34.68,35.05,34.56,34.98,8407300,34.98
2010-08-04,34.41,34.96,34.14,34.83,9840700,34.83
2010-08-03,34.44,34.55,34.02,34.21,8503300,34.21
2010-08-02,34.14,34.68,34.13,34.48,9948800,34.48
2010-07-30,33.37,33.88,33.02,33.69,7805000,33.69
2010-07-29,34.22,34.80,33.42,33.71,9938400,33.71
2010-07-28,34.19,34.21,33.80,34.04,6089200,34.04
2010-07-27,34.66,34.66,33.96,34.28,7103000,34.28
2010-07-26,34.09,34.72,34.09,34.40,10104400,34.40
2010-07-23,33.52,34.21,33.45,34.13,10790200,34.13
2010-07-22,33.09,33.77,33.05,33.59,9984500,33.59
2010-07-21,33.47,33.60,32.63,32.81,10151100,32.81
2010-07-20,33.33,33.45,32.80,33.40,11632000,33.40
2010-07-19,33.09,33.50,32.99,33.31,9647000,33.31
2010-07-16,33.89,34.00,32.92,33.03,13060100,33.03
2010-07-15,34.15,34.42,33.60,34.05,10656300,34.05
2010-07-14,34.24,34.51,33.92,34.24,7955100,34.24
2010-07-13,34.11,34.67,33.96,34.45,8653000,34.45
2010-07-12,33.58,33.89,33.39,33.77,10094300,33.77
2010-07-09,33.38,33.80,33.37,33.75,8530900,33.75
2010-07-08,33.33,33.54,32.90,33.34,10044000,33.34
2010-07-07,31.73,33.17,31.66,33.14,14309500,33.14
2010-07-06,31.77,32.30,31.38,31.72,15215500,31.72
2010-07-02,31.56,31.68,30.72,31.38,15597300,31.38
2010-07-01,31.47,32.10,30.91,31.49,19906200,31.49
2010-06-30,32.16,32.51,31.36,31.50,17186400,31.50
2010-06-29,33.31,33.37,32.04,32.30,15868300,32.30
2010-06-28,33.56,33.76,33.05,33.22,7802000,33.22
2010-06-25,33.51,33.68,33.12,33.48,11155500,33.48
2010-06-24,34.13,34.18,33.46,33.60,10273200,33.60
2010-06-23,34.36,34.63,34.05,34.34,9474000,34.34
2010-06-22,35.12,35.46,34.29,34.35,9731000,34.35
2010-06-21,35.50,35.83,34.86,35.06,11382500,35.06
2010-06-18,35.19,35.35,34.92,35.15,14672300,35.15
2010-06-17,34.80,35.11,34.60,35.07,10951100,35.07
2010-06-16,34.79,34.93,34.48,34.79,9416200,34.79
2010-06-15,34.11,35.00,34.11,34.99,11552200,34.99
2010-06-14,34.49,34.57,33.92,33.93,9336800,33.93
2010-06-11,33.85,34.26,33.58,34.24,8799700,34.24
2010-06-10,33.53,34.23,33.45,34.11,13720200,34.11
2010-06-09,33.30,33.82,32.83,32.94,13707600,32.94
2010-06-08,33.03,33.32,32.41,33.15,15662500,33.15
2010-06-07,33.70,34.07,33.01,33.04,14577700,33.04
2010-06-04,34.06,34.35,33.44,33.69,21813100,33.69
2010-06-03,34.92,35.10,34.31,34.71,17752500,34.71
2010-06-02,33.57,34.79,33.46,34.74,18309300,34.74
2010-06-01,33.06,33.87,32.85,33.33,15438800,33.33
2010-05-28,33.70,34.05,33.24,33.42,15832700,33.42
2010-05-27,33.60,34.37,33.48,34.37,16214500,34.37
2010-05-26,32.51,33.85,32.14,33.07,25296300,33.07
2010-05-25,31.58,32.37,31.21,32.32,26555900,32.32
2010-05-24,32.56,32.99,32.11,32.48,14040200,32.48
2010-05-21,31.40,32.87,31.40,32.87,20122900,32.87
2010-05-20,32.76,32.96,31.99,31.99,26615500,31.99
2010-05-19,33.47,33.80,33.09,33.39,18536600,33.39
2010-05-18,34.36,34.64,33.52,33.73,17393800,33.73
2010-05-17,34.22,34.34,33.29,34.20,15136700,34.20
2010-05-14,34.66,34.78,33.83,34.06,16945200,34.06
2010-05-13,35.18,35.53,34.74,34.75,15445900,34.75
2010-05-12,34.98,36.21,34.82,35.13,25533300,35.13
2010-05-11,35.52,36.25,35.14,35.76,19853200,35.76
2010-05-10,34.99,35.63,34.56,35.29,18282600,35.29
2010-05-07,33.86,34.35,32.77,33.41,22579800,33.41
2010-05-06,35.16,35.55,31.00,34.01,25181500,34.01
2010-05-05,36.43,36.56,35.08,35.34,17960000,35.34
2010-05-04,37.29,37.30,36.32,36.59,13195700,36.59
2010-05-03,36.95,37.98,36.84,37.56,10887500,37.56
2010-04-30,37.19,37.49,36.60,36.84,11456400,36.84
2010-04-29,36.50,37.39,36.50,37.22,10576700,37.22
