Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,76.85,77.02,76.52,76.94,135300,76.94
2010-11-04,76.57,77.00,76.20,76.98,198400,76.98
2010-11-03,75.89,76.39,75.50,76.01,192300,76.01
2010-11-02,75.22,76.03,75.21,75.82,179800,75.82
2010-11-01,74.74,75.33,74.45,74.79,295700,74.79
2010-10-29,74.19,74.86,74.10,74.41,227200,74.41
2010-10-28,74.44,75.02,74.27,74.38,272000,74.38
2010-10-27,73.52,74.16,73.22,73.87,402900,73.87
2010-10-26,74.92,75.58,74.61,75.18,186200,75.18
2010-10-25,75.18,75.58,74.79,75.12,305400,75.12
2010-10-22,74.99,75.39,74.87,75.22,232800,75.22
2010-10-21,74.90,75.09,74.61,75.00,460700,75.00
2010-10-20,75.41,75.41,74.15,74.68,566500,74.68
2010-10-19,75.34,75.58,74.73,75.17,276600,75.17
2010-10-18,75.96,76.17,75.79,75.85,432300,75.85
2010-10-15,75.99,76.31,75.84,76.03,456400,76.03
2010-10-14,75.33,76.00,75.06,75.27,261000,75.27
2010-10-13,75.42,75.60,75.02,75.29,334600,75.29
2010-10-12,75.18,75.34,74.22,75.25,165100,75.25
2010-10-11,75.09,75.46,75.08,75.35,116800,75.35
2010-10-08,75.06,75.24,74.61,75.08,310200,75.08
2010-10-07,75.25,75.34,74.61,74.94,227400,74.94
2010-10-06,74.81,75.50,74.72,74.90,227900,74.90
2010-10-05,74.51,75.12,74.06,74.99,409300,74.99
2010-10-04,74.32,74.69,73.59,73.90,275000,73.90
2010-10-01,74.72,74.80,74.24,74.65,347700,74.65
2010-09-30,74.99,75.25,74.13,74.14,346700,74.14
2010-09-29,74.08,74.95,73.77,74.53,234800,74.53
2010-09-28,73.83,74.70,73.59,74.54,326200,74.54
2010-09-27,73.77,73.92,73.11,73.51,380800,73.51
2010-09-24,71.67,73.89,71.62,73.80,498200,73.80
2010-09-23,71.74,72.16,70.92,71.08,283300,71.08
2010-09-22,71.74,72.26,71.26,72.12,446200,72.12
2010-09-21,71.32,72.47,71.23,71.83,403300,71.83
2010-09-20,69.97,71.63,69.97,71.60,507500,71.60
2010-09-17,68.90,70.00,68.90,69.65,356700,69.65
2010-09-16,68.51,68.81,68.38,68.57,147300,68.57
2010-09-15,68.72,68.84,68.47,68.75,150200,68.75
2010-09-14,68.96,69.16,68.64,68.79,172300,68.79
2010-09-13,68.92,69.09,68.47,69.05,270000,69.05
2010-09-10,68.33,68.62,68.03,68.45,224200,68.45
2010-09-09,68.57,68.66,67.97,68.25,318000,68.25
2010-09-08,67.95,68.43,67.88,68.13,230900,68.13
2010-09-07,68.62,68.68,67.91,67.93,224200,67.93
2010-09-03,68.16,68.81,67.95,68.79,213800,68.79
2010-09-02,67.22,67.88,66.90,67.81,317300,67.81
2010-09-01,66.60,67.30,66.29,67.00,431700,67.00
2010-08-31,66.10,66.31,65.34,65.90,685600,65.90
2010-08-30,67.31,67.31,66.25,66.25,349900,66.25
2010-08-27,67.15,67.38,66.45,67.37,378000,67.37
2010-08-26,67.63,67.70,66.77,66.85,493600,66.50
2010-08-25,67.32,67.64,66.38,67.51,284300,67.16
2010-08-24,67.16,67.82,67.04,67.35,432800,67.00
2010-08-23,68.12,68.52,67.52,67.70,241900,67.35
2010-08-20,67.87,68.06,67.48,67.97,236500,67.61
2010-08-19,68.53,68.61,67.91,68.07,372400,67.71
2010-08-18,68.51,69.24,68.24,68.79,309400,68.43
2010-08-17,68.20,68.77,68.00,68.45,253100,68.09
2010-08-16,67.26,67.81,67.02,67.73,272100,67.38
2010-08-13,67.46,67.75,66.97,67.57,431800,67.22
2010-08-12,67.16,68.18,67.16,67.57,380300,67.22
2010-08-11,68.40,68.49,67.89,67.98,327200,67.62
2010-08-10,69.42,69.75,68.97,69.31,221500,68.95
2010-08-09,69.28,69.92,69.06,69.69,259000,69.33
2010-08-06,68.64,69.06,68.31,68.96,348800,68.60
2010-08-05,69.00,69.36,68.77,69.04,287900,68.68
2010-08-04,68.73,69.26,68.40,69.26,366300,68.90
2010-08-03,69.39,69.87,68.40,68.49,677600,68.13
2010-08-02,68.54,69.46,68.43,69.43,410900,69.07
2010-07-30,69.75,69.75,66.32,68.36,1073700,68.00
2010-07-29,70.58,71.05,70.00,70.86,325700,70.49
2010-07-28,71.20,71.44,70.17,70.38,218100,70.01
2010-07-27,71.97,71.98,71.16,71.39,161600,71.02
2010-07-26,70.33,71.65,70.33,71.64,206600,71.26
2010-07-23,69.95,70.34,69.70,70.34,420600,69.97
2010-07-22,69.67,70.55,69.52,70.18,386600,69.81
2010-07-21,70.08,70.08,68.94,69.05,350700,68.69
2010-07-20,68.15,70.00,67.97,69.94,420500,69.57
2010-07-19,68.25,68.49,67.97,68.35,348300,67.99
2010-07-16,68.62,68.72,67.88,67.94,582800,67.58
2010-07-15,68.54,69.07,67.89,68.90,380700,68.54
2010-07-14,68.54,68.93,68.26,68.50,221200,68.14
2010-07-13,67.86,68.91,67.81,68.77,639000,68.41
2010-07-12,67.44,67.79,67.21,67.39,387000,67.04
2010-07-09,67.35,67.54,66.94,67.46,350600,67.11
2010-07-08,67.00,67.41,66.71,67.29,622400,66.94
2010-07-07,66.05,66.72,65.66,66.72,425800,66.37
2010-07-06,67.04,67.11,65.50,65.92,412800,65.57
2010-07-02,66.99,67.34,66.27,66.37,387600,66.02
2010-07-01,67.04,67.52,66.48,66.87,549000,66.52
2010-06-30,67.87,68.25,66.99,67.12,640900,66.77
2010-06-29,69.60,69.61,67.81,68.08,583500,67.72
2010-06-28,70.69,70.69,70.19,70.28,467900,69.91
2010-06-25,70.68,71.07,70.22,70.48,299100,70.11
2010-06-24,71.09,71.54,70.43,70.47,179500,70.10
2010-06-23,71.76,71.80,71.03,71.30,273800,70.93
2010-06-22,72.86,73.33,71.67,71.76,459900,71.38
2010-06-21,73.81,73.87,72.47,72.67,202300,72.29
2010-06-18,73.57,73.75,73.13,73.23,263100,72.85
2010-06-17,73.50,73.56,73.12,73.48,181800,73.10
2010-06-16,73.16,73.60,72.79,73.45,281800,73.07
2010-06-15,72.17,73.50,72.17,73.48,239900,73.10
2010-06-14,72.28,72.43,71.77,71.87,209200,71.49
2010-06-11,70.84,71.85,70.61,71.84,216600,71.46
2010-06-10,71.10,71.53,70.68,71.53,273100,71.16
2010-06-09,70.49,71.03,70.04,70.21,318900,69.84
2010-06-08,70.00,70.34,69.35,70.25,378100,69.88
2010-06-07,70.43,70.98,69.90,69.96,362800,69.59
2010-06-04,71.76,72.24,70.19,70.49,525100,70.12
2010-06-03,72.78,73.15,72.16,72.99,517500,72.61
2010-06-02,71.78,72.57,71.78,72.57,459700,72.19
2010-06-01,72.72,73.09,71.58,71.67,357500,71.29
2010-05-28,73.46,73.64,72.90,72.99,332600,72.61
2010-05-27,73.46,73.74,72.91,73.74,382200,73.35
2010-05-26,72.84,73.50,72.42,72.63,449300,72.25
2010-05-25,71.90,72.76,71.68,72.69,431500,71.96
2010-05-24,72.91,73.58,72.80,72.85,365300,72.12
2010-05-21,71.62,73.33,71.53,73.33,606200,72.59
2010-05-20,73.72,74.38,72.42,72.42,497800,71.69
2010-05-19,74.83,75.05,74.42,74.76,415000,74.01
2010-05-18,76.21,76.55,75.08,75.24,579200,74.49
2010-05-17,75.15,75.95,74.89,75.76,357600,75.00
2010-05-14,76.00,76.04,74.72,74.98,444300,74.23
2010-05-13,75.88,77.13,75.64,76.10,330200,75.34
2010-05-12,75.80,76.29,75.58,76.14,624000,75.38
2010-05-11,75.76,76.39,75.56,75.80,538900,75.04
2010-05-10,76.49,76.74,75.50,76.64,492500,75.87
2010-05-07,75.43,75.75,73.87,74.10,636900,73.36
2010-05-06,77.33,77.76,73.25,75.48,615000,74.72
2010-05-05,77.24,77.80,76.87,77.29,403400,76.52
2010-05-04,76.69,77.55,76.69,77.35,408200,76.57
2010-05-03,77.37,78.01,76.92,77.53,482100,76.75
2010-04-30,77.53,79.73,75.79,76.97,959900,76.20
2010-04-29,77.89,77.96,76.98,77.20,447000,76.43
2010-04-28,78.09,78.40,76.98,77.32,395200,76.54
2010-04-27,78.42,78.99,77.70,78.20,329800,77.42
2010-04-26,78.89,79.20,78.58,78.59,239300,77.80
2010-04-23,77.95,78.98,77.85,78.82,340500,78.03
2010-04-22,76.70,78.00,76.28,77.96,216700,77.18
2010-04-21,77.19,77.19,76.60,77.08,173900,76.31
2010-04-20,76.40,77.05,76.10,77.03,250100,76.26
2010-04-19,76.38,76.60,75.79,76.40,217300,75.63
2010-04-16,76.54,77.00,76.28,76.31,405800,75.54
2010-04-15,75.91,76.80,75.84,76.70,226000,75.93
2010-04-14,75.57,76.27,75.48,76.27,205000,75.51
2010-04-13,75.08,75.80,75.00,75.53,246200,74.77
2010-04-12,74.62,75.00,74.62,74.95,160100,74.20
2010-04-09,74.09,74.50,73.99,74.49,173900,73.74
2010-04-08,74.06,74.18,73.72,74.12,211300,73.38
2010-04-07,74.45,74.54,73.90,74.04,254700,73.30
2010-04-06,74.27,74.96,74.18,74.46,284600,73.71
2010-04-05,74.67,75.19,74.42,74.69,227800,73.94
2010-04-01,74.56,75.32,74.05,74.38,338300,73.63
2010-03-31,74.41,74.94,74.08,74.42,472000,73.67
2010-03-30,74.44,74.66,74.32,74.60,346500,73.85
2010-03-29,73.81,74.32,73.69,74.22,392600,73.48
2010-03-26,73.70,73.70,73.12,73.50,241600,72.76
2010-03-25,74.00,74.14,73.44,73.58,363400,72.84
2010-03-24,74.55,74.70,73.60,73.70,313600,72.96
2010-03-23,75.00,75.00,74.20,74.75,318600,74.00
2010-03-22,73.87,74.93,73.87,74.92,322100,74.17
2010-03-19,73.58,74.43,73.51,74.25,857200,73.51
2010-03-18,73.48,73.59,73.13,73.35,257100,72.61
2010-03-17,72.61,73.87,72.50,73.59,524300,72.85
2010-03-16,71.36,72.75,71.34,72.68,558800,71.95
2010-03-15,70.65,71.58,70.65,71.25,503500,70.54
2010-03-12,69.62,70.92,69.47,70.73,745300,70.02
2010-03-11,69.35,69.71,69.10,69.69,329200,68.99
2010-03-10,69.50,69.62,69.26,69.50,419600,68.80
2010-03-09,69.60,69.78,69.13,69.31,398200,68.62
2010-03-08,69.93,70.10,69.57,69.62,282300,68.92
2010-03-05,70.00,70.04,69.65,69.95,524500,69.25
2010-03-04,70.18,70.19,69.73,69.84,476400,69.14
2010-03-03,70.25,70.59,70.08,70.24,367800,69.54
2010-03-02,70.51,70.76,69.70,70.11,371100,69.41
2010-03-01,70.11,70.43,69.48,70.21,325300,69.51
2010-02-26,70.36,70.36,69.86,70.16,544800,69.11
2010-02-25,70.35,70.49,69.79,70.43,480500,69.38
2010-02-24,70.52,70.79,70.16,70.76,453300,69.70
2010-02-23,71.13,71.13,70.11,70.25,583900,69.20
2010-02-22,71.50,71.50,70.96,71.06,431200,70.00
2010-02-19,71.42,71.45,70.91,71.32,553800,70.25
2010-02-18,71.05,71.39,70.75,71.35,343900,70.28
2010-02-17,70.57,71.18,70.36,71.09,524600,70.03
2010-02-16,70.76,70.76,69.94,70.47,765500,69.42
2010-02-12,70.75,71.19,70.32,70.39,833000,69.34
2010-02-11,70.74,71.02,70.06,71.01,470800,69.95
2010-02-10,71.19,71.48,70.67,70.72,585300,69.66
2010-02-09,71.76,72.10,70.91,71.04,846200,69.98
2010-02-08,71.98,72.41,71.35,71.35,815300,70.28
2010-02-05,75.00,75.00,71.21,73.92,1377500,72.81
2010-02-04,78.63,79.37,77.63,77.74,625000,76.58
2010-02-03,80.37,80.58,78.89,78.95,704400,77.77
2010-02-02,79.93,80.38,79.45,80.33,150200,79.13
2010-02-01,79.16,79.98,79.13,79.96,241000,78.76
2010-01-29,79.25,79.85,78.87,78.97,324100,77.79
2010-01-28,80.20,80.42,78.99,79.22,235500,78.03
2010-01-27,79.36,80.17,79.08,80.16,258900,78.96
2010-01-26,80.07,80.30,79.32,79.35,303800,78.16
2010-01-25,79.84,80.78,79.75,80.04,196700,78.84
2010-01-22,80.09,80.74,79.67,79.77,357000,78.58
2010-01-21,81.38,81.89,80.34,80.35,444000,79.15
2010-01-20,82.06,82.25,81.36,81.39,285900,80.17
2010-01-19,82.35,82.65,82.05,82.60,178200,81.36
2010-01-15,82.54,82.54,82.09,82.15,339100,80.92
2010-01-14,82.08,82.50,81.78,82.43,264700,81.20
2010-01-13,82.09,82.48,81.96,82.29,225100,81.06
2010-01-12,81.73,82.42,81.57,82.07,169400,80.84
2010-01-11,82.17,82.32,81.66,82.15,261600,80.92
2010-01-08,82.34,82.47,81.42,81.74,323400,80.52
2010-01-07,83.01,83.52,82.33,82.60,356800,81.36
2010-01-06,82.93,83.54,82.73,83.34,363700,82.09
2010-01-05,83.16,83.41,82.70,83.29,413500,82.04
2010-01-04,84.61,84.61,82.95,83.37,499500,82.12
2009-12-31,84.50,84.91,84.31,84.37,220900,83.11
2009-12-30,84.43,84.95,84.35,84.64,150700,83.37
2009-12-29,84.29,84.83,84.18,84.54,160900,83.27
2009-12-28,83.75,84.03,83.68,83.90,125900,82.64
2009-12-24,83.22,83.68,83.22,83.68,49000,82.43
2009-12-23,83.00,83.35,82.84,83.19,118700,81.95
2009-12-22,82.37,82.81,82.37,82.79,282400,81.55
2009-12-21,81.98,82.81,81.93,82.51,294200,81.28
2009-12-18,82.30,82.30,81.00,82.02,691500,80.79
2009-12-17,82.24,82.44,81.83,82.11,462900,80.88
2009-12-16,82.27,82.55,81.97,82.25,301200,81.02
2009-12-15,82.06,82.23,81.71,82.13,343300,80.90
2009-12-14,82.36,82.53,81.91,82.45,264800,81.22
2009-12-11,82.29,82.61,81.45,81.85,320200,80.63
2009-12-10,81.00,82.54,80.92,82.29,421200,81.06
2009-12-09,80.25,80.81,79.85,80.71,287200,79.50
2009-12-08,80.16,81.41,79.90,80.38,347400,79.18
2009-12-07,80.01,81.36,79.72,80.60,351900,79.39
2009-12-04,79.61,79.99,79.24,79.93,307700,78.73
2009-12-03,78.94,79.52,78.54,78.63,255500,77.45
2009-12-02,79.07,79.64,78.75,79.05,317000,77.87
2009-12-01,78.58,79.24,78.55,79.00,251200,77.82
2009-11-30,78.66,78.81,77.89,78.59,427000,77.41
2009-11-27,78.70,79.63,78.12,78.67,131400,77.49
2009-11-25,79.92,80.21,79.70,79.96,250300,78.76
2009-11-24,80.14,80.58,79.69,79.92,216900,78.72
2009-11-23,80.10,81.03,80.10,80.50,199200,78.96
2009-11-20,79.94,80.00,79.44,79.87,234900,78.34
2009-11-19,80.61,80.88,79.44,79.99,282300,78.46
2009-11-18,81.13,81.64,80.43,80.68,319700,79.14
2009-11-17,81.40,81.68,81.20,81.40,291600,79.84
2009-11-16,80.99,81.75,80.81,81.40,333900,79.84
2009-11-13,80.82,81.77,80.33,80.80,174200,79.25
2009-11-12,80.87,81.24,80.43,80.54,212800,79.00
2009-11-11,81.13,81.43,80.46,80.81,242200,79.26
2009-11-10,80.75,81.40,80.68,80.81,295600,79.26
2009-11-09,79.42,81.36,79.22,81.34,316000,79.78
2009-11-06,79.31,79.36,78.46,79.31,290200,77.79
2009-11-05,77.53,79.35,77.53,79.31,369800,77.79
2009-11-04,77.97,78.37,77.26,77.41,352500,75.93
2009-11-03,77.80,78.23,77.18,77.78,343600,76.29
2009-11-02,76.88,77.85,76.62,77.81,498200,76.32
2009-10-30,78.08,78.34,76.40,76.56,768000,75.10
2009-10-29,78.90,79.21,77.15,78.11,598600,76.62
2009-10-28,80.49,80.73,78.16,78.41,785400,76.91
2009-10-27,80.35,81.26,80.24,80.43,610700,78.89
2009-10-26,78.64,80.41,78.49,80.11,655800,78.58
2009-10-23,78.56,79.10,78.34,78.75,475600,77.24
2009-10-22,77.72,78.84,76.99,78.70,396100,77.19
2009-10-21,77.55,77.99,77.25,77.35,405400,75.87
2009-10-20,76.56,77.80,75.94,77.66,808900,76.17
2009-10-19,76.22,76.95,75.92,76.82,193400,75.35
2009-10-16,75.74,76.32,75.37,75.99,276100,74.54
2009-10-15,75.69,75.99,75.20,75.95,368200,74.50
2009-10-14,75.27,75.84,74.72,75.71,393500,74.26
2009-10-13,74.93,75.01,74.46,74.78,172100,73.35
2009-10-12,75.51,75.74,74.93,75.33,173400,73.89
2009-10-09,75.65,75.75,75.27,75.52,304200,74.08
2009-10-08,74.87,75.76,74.64,75.30,245300,73.86
2009-10-07,74.44,74.58,74.05,74.44,245600,73.02
2009-10-06,73.98,74.86,73.59,74.58,289600,73.15
2009-10-05,73.18,73.79,73.01,73.78,437900,72.37
2009-10-02,73.45,74.09,73.18,73.26,343900,71.86
2009-10-01,75.00,75.00,73.91,73.97,450200,72.56
2009-09-30,74.47,75.49,74.00,75.32,517900,73.88
2009-09-29,74.65,74.88,74.07,74.82,481100,73.39
2009-09-28,73.87,74.69,73.69,74.42,382100,73.00
2009-09-25,74.00,74.59,73.46,73.90,484200,72.49
2009-09-24,74.19,74.37,73.76,74.03,409900,72.61
2009-09-23,74.30,74.45,73.83,73.83,392100,72.42
2009-09-22,73.83,74.41,73.78,74.32,354700,72.90
2009-09-21,73.80,74.27,73.70,74.02,450100,72.60
2009-09-18,74.86,74.86,74.02,74.26,484000,72.84
2009-09-17,74.84,75.17,74.24,74.38,605800,72.96
2009-09-16,74.46,74.82,74.02,74.76,370600,73.33
2009-09-15,74.83,74.90,74.17,74.60,354200,73.17
2009-09-14,73.93,74.90,73.74,74.67,547900,73.24
2009-09-11,73.39,74.27,72.75,73.97,809500,72.56
2009-09-10,73.40,73.78,72.89,73.39,775900,71.99
2009-09-09,74.46,74.46,73.12,73.41,821300,72.01
2009-09-08,74.71,74.71,73.80,74.49,305500,73.07
2009-09-04,74.27,74.89,73.93,74.55,401800,73.12
2009-09-03,72.85,74.24,71.15,74.24,522000,72.82
2009-09-02,72.65,73.19,72.20,72.94,623900,71.55
2009-09-01,72.82,73.55,72.60,72.97,813600,71.57
2009-08-31,72.84,73.18,72.62,73.04,357900,71.64
2009-08-28,73.49,73.70,72.76,72.95,550000,71.55
2009-08-27,73.63,74.10,72.67,73.37,391800,71.97
2009-08-26,73.99,74.32,73.46,73.85,420300,72.10
2009-08-25,74.91,75.07,73.85,74.26,455900,72.50
2009-08-24,75.00,75.05,74.23,74.34,403900,72.58
2009-08-21,74.46,75.07,73.96,74.63,597500,72.87
2009-08-20,74.12,74.26,73.67,73.95,507200,72.20
2009-08-19,73.47,74.50,73.45,74.41,574300,72.65
2009-08-18,74.48,74.87,73.82,74.04,562700,72.29
2009-08-17,74.75,74.75,74.03,74.46,455200,72.70
2009-08-14,75.89,75.89,74.40,74.94,307200,73.17
2009-08-13,75.23,75.44,74.65,75.44,506800,73.66
2009-08-12,74.52,75.77,74.27,75.41,695100,73.63
2009-08-11,74.35,74.61,74.01,74.28,485900,72.52
2009-08-10,74.09,74.50,73.50,74.43,750100,72.67
2009-08-07,73.67,74.46,73.25,74.09,534600,72.34
2009-08-06,73.50,73.84,72.97,73.25,548600,71.52
2009-08-05,73.36,74.03,72.97,73.37,975400,71.64
2009-08-04,71.21,73.21,71.21,72.89,1099600,71.17
2009-08-03,72.53,72.73,70.19,71.33,2296200,69.64
2009-07-31,72.83,75.74,70.02,71.99,2786200,70.29
2009-07-30,83.72,84.00,82.58,82.78,522900,80.82
2009-07-29,82.25,83.27,82.10,83.16,480800,81.19
2009-07-28,81.70,82.54,81.65,82.15,275000,80.21
2009-07-27,81.37,82.15,81.13,82.15,347900,80.21
2009-07-24,80.54,81.00,80.36,80.90,410200,78.99
2009-07-23,81.21,81.39,80.55,80.75,668500,78.84
2009-07-22,80.80,81.75,80.73,81.01,336900,79.09
2009-07-21,82.18,82.59,80.95,81.42,294200,79.50
2009-07-20,80.57,81.63,80.42,81.61,297900,79.68
2009-07-17,79.90,80.36,79.68,80.03,476100,78.14
