Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,69.83,70.00,69.05,69.80,1531600,69.80
2010-11-04,69.77,70.00,68.82,69.73,3630600,69.73
2010-11-03,68.19,68.65,67.35,68.64,2045500,68.64
2010-11-02,67.43,67.94,66.89,67.81,1761500,67.81
2010-11-01,67.33,67.95,66.12,66.85,1911000,66.85
2010-10-29,66.27,66.45,65.32,66.16,2196400,66.16
2010-10-28,67.46,67.96,65.73,66.30,2556600,66.30
2010-10-27,68.27,68.72,67.26,67.80,2528000,66.93
2010-10-26,68.93,69.29,68.46,68.77,2069500,67.88
2010-10-25,70.75,70.79,69.42,69.50,2136100,68.60
2010-10-22,70.31,70.64,69.30,69.51,1895800,68.61
2010-10-21,71.74,71.74,67.29,68.63,3777600,67.74
2010-10-20,69.10,70.08,68.01,68.87,2728600,67.98
2010-10-19,70.85,70.85,68.55,68.66,2407900,67.77
2010-10-18,71.47,72.91,71.23,72.00,1571700,71.07
2010-10-15,72.14,72.19,70.11,71.65,1610400,70.73
2010-10-14,71.13,72.65,70.61,71.71,2585900,70.78
2010-10-13,70.15,71.21,69.31,70.94,2681000,70.02
2010-10-12,66.45,69.72,66.14,69.37,3945000,68.47
2010-10-11,67.24,67.80,66.30,66.68,806400,65.82
2010-10-08,65.99,67.80,65.72,67.13,1423400,66.26
2010-10-07,67.56,67.75,65.30,66.02,1133000,65.17
2010-10-06,67.17,67.50,66.53,66.80,1315000,65.94
2010-10-05,66.23,67.57,66.00,66.87,1737700,66.01
2010-10-04,66.55,67.05,64.91,65.26,1772900,64.42
2010-10-01,68.91,69.32,66.21,66.66,2930300,65.80
2010-09-30,69.42,70.44,66.63,67.77,3037100,66.90
2010-09-29,66.79,69.70,66.60,68.88,3207800,67.99
2010-09-28,65.10,66.91,64.00,66.63,3223200,65.77
2010-09-27,63.00,65.48,62.94,64.77,2773400,63.93
2010-09-24,62.44,63.34,62.20,62.82,1370200,62.01
2010-09-23,62.19,62.82,61.56,61.89,1506800,61.09
2010-09-22,62.66,63.29,62.09,63.06,2097800,62.25
2010-09-21,62.97,63.36,62.06,62.33,2085600,61.53
2010-09-20,62.32,63.66,61.53,63.13,1470500,62.32
2010-09-17,61.47,62.32,61.00,61.90,1397200,61.10
2010-09-16,61.49,62.45,61.08,61.51,1244300,60.72
2010-09-15,63.33,63.59,61.32,62.20,2483900,61.40
2010-09-14,63.28,64.06,62.02,63.76,2518200,62.94
2010-09-13,63.21,63.94,62.77,63.15,1641300,62.34
2010-09-10,60.91,62.82,60.79,62.26,1812900,61.46
2010-09-09,61.63,61.73,60.10,60.36,1298200,59.58
2010-09-08,60.26,61.53,60.26,61.01,1117300,60.22
2010-09-07,60.10,61.01,59.80,60.41,1022900,59.63
