Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,55.25,55.39,54.80,55.08,1979600,55.08
2010-11-04,54.77,55.64,54.59,55.21,2186500,55.21
2010-11-03,54.20,54.21,53.23,54.05,658500,54.05
2010-11-02,54.11,54.12,53.74,53.93,998500,53.93
2010-11-01,53.25,53.99,53.05,53.52,1400800,53.52
2010-10-29,52.68,53.23,52.57,53.10,1680300,53.10
2010-10-28,53.22,53.59,52.43,52.92,953000,52.92
2010-10-27,52.66,52.99,52.16,52.87,1226000,52.87
2010-10-26,52.95,53.44,52.67,53.17,1353800,53.17
2010-10-25,53.72,54.38,53.22,53.40,2016000,53.40
2010-10-22,53.62,53.62,51.72,53.18,4576800,53.18
2010-10-21,54.06,54.82,53.92,54.79,2086400,54.79
2010-10-20,52.97,54.14,52.91,53.80,1644600,53.80
2010-10-19,52.68,53.16,52.26,52.68,2742000,52.68
2010-10-18,54.25,54.30,53.15,53.59,2153000,53.59
2010-10-15,54.45,54.67,53.43,54.02,1587400,54.02
2010-10-14,54.73,54.87,53.56,54.04,2249300,54.04
2010-10-13,54.96,54.97,54.50,54.69,1563900,54.69
2010-10-12,54.00,54.43,53.29,54.05,1857100,54.05
2010-10-11,54.54,54.76,53.82,54.07,1159200,54.07
2010-10-08,54.71,54.89,53.72,54.54,3193700,54.54
2010-10-07,54.29,54.82,53.66,54.69,2832700,54.69
2010-10-06,54.45,54.50,53.66,53.98,1834800,53.98
2010-10-05,52.67,54.48,52.67,54.32,2018200,54.32
2010-10-04,52.51,52.93,51.39,52.12,1536800,52.12
2010-10-01,52.74,52.85,52.00,52.52,1652600,52.52
2010-09-30,52.09,53.00,51.74,52.21,4051000,52.21
2010-09-29,51.14,51.97,50.95,51.88,2106800,51.88
2010-09-28,51.05,51.57,50.13,51.46,1520600,51.46
2010-09-27,51.92,51.96,50.98,50.98,1285200,50.98
2010-09-24,50.58,51.87,50.38,51.81,1444900,51.81
2010-09-23,50.06,50.46,49.56,49.66,1001200,49.66
2010-09-22,51.46,51.66,50.29,50.64,1431400,50.64
2010-09-21,51.86,51.98,51.09,51.38,1358500,51.38
2010-09-20,50.79,51.92,50.67,51.84,1148700,51.84
2010-09-17,50.08,51.00,49.73,50.59,1892000,50.59
2010-09-16,49.50,50.19,49.50,49.84,1310200,49.84
2010-09-15,50.23,50.45,49.74,50.20,1014000,50.20
2010-09-14,49.91,50.76,49.59,50.40,1501200,50.40
2010-09-13,49.78,50.24,49.40,49.98,1287500,49.98
2010-09-10,49.12,49.50,48.80,49.20,1335200,49.20
2010-09-09,49.53,49.66,48.67,48.93,965700,48.93
2010-09-08,48.81,49.45,48.66,48.70,1089500,48.70
2010-09-07,48.72,49.22,48.53,48.63,869000,48.63
2010-09-03,49.25,50.06,49.06,49.21,1243700,49.21
2010-09-02,47.54,48.55,47.54,48.46,1442900,48.46
2010-09-01,45.68,47.79,45.48,47.67,1957800,47.67
2010-08-31,44.23,45.28,43.89,44.76,1347800,44.76
2010-08-30,45.14,45.45,44.47,44.47,1343800,44.47
2010-08-27,44.40,45.45,43.62,45.35,1687200,45.35
2010-08-26,44.69,45.24,44.16,44.35,1233700,44.07
2010-08-25,44.00,44.46,43.23,44.24,1298400,43.97
2010-08-24,44.63,44.76,44.13,44.46,1300400,44.18
2010-08-23,46.50,46.59,45.26,45.38,1839000,45.10
2010-08-20,46.02,46.33,45.53,46.18,771100,45.89
2010-08-19,47.22,47.43,46.04,46.46,812000,46.17
2010-08-18,47.49,47.81,46.88,47.52,692400,47.23
2010-08-17,46.96,48.00,46.74,47.49,1135400,47.20
2010-08-16,45.97,46.65,45.55,46.39,732400,46.10
2010-08-13,46.36,46.79,46.30,46.41,539800,46.12
2010-08-12,46.07,46.86,46.00,46.61,1057700,46.32
2010-08-11,48.21,48.34,46.73,46.86,1443600,46.57
2010-08-10,49.33,49.71,48.70,49.45,2129800,49.14
2010-08-09,49.36,49.38,48.59,49.01,1132600,48.71
2010-08-06,48.50,49.19,48.02,49.19,1162000,48.88
2010-08-05,48.99,49.50,48.79,49.05,971700,48.75
2010-08-04,48.68,49.41,48.43,49.36,1043200,49.05
2010-08-03,48.60,49.03,48.25,48.56,1151600,48.26
2010-08-02,48.98,49.34,48.28,48.88,1622900,48.58
2010-07-30,46.98,48.13,46.79,47.97,1564300,47.67
2010-07-29,47.74,48.12,47.10,47.73,1687100,47.43
2010-07-28,47.45,47.88,47.07,47.33,1108400,47.04
2010-07-27,48.84,48.84,47.30,47.39,2408900,47.10
2010-07-26,48.01,48.75,47.45,48.54,1602700,48.24
2010-07-23,48.74,48.75,46.81,47.74,3473300,47.44
2010-07-22,45.00,46.07,44.83,46.04,2226300,45.75
2010-07-21,44.07,44.86,43.84,44.30,1858500,44.03
2010-07-20,42.35,43.71,42.34,43.68,1197200,43.41
2010-07-19,42.90,43.21,42.23,43.10,729900,42.83
2010-07-16,43.50,43.77,42.47,42.58,1428100,42.32
2010-07-15,44.40,44.55,43.25,44.10,1455900,43.83
2010-07-14,44.22,44.91,43.92,44.49,1029600,44.21
2010-07-13,44.21,44.79,44.12,44.38,1249600,44.10
2010-07-12,43.90,44.03,43.04,43.45,1082000,43.18
2010-07-09,43.63,44.31,43.38,44.17,994900,43.90
2010-07-08,43.58,43.84,42.89,43.59,1051000,43.32
2010-07-07,41.67,43.19,41.52,43.12,1567500,42.85
2010-07-06,41.77,42.48,41.23,41.66,1780900,41.40
2010-07-02,41.43,41.70,40.84,41.11,1120800,40.86
2010-07-01,41.74,41.99,40.50,41.31,1831400,41.05
