Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,32.69,32.93,32.30,32.50,7053200,32.50
2010-11-04,31.95,32.97,31.88,32.77,13320500,32.77
2010-11-03,31.41,31.70,31.01,31.56,8406500,31.56
2010-11-02,31.25,31.63,31.10,31.39,6021900,31.39
2010-11-01,31.09,31.57,30.69,30.89,5850600,30.89
2010-10-29,30.89,31.09,30.60,30.84,7845500,30.84
2010-10-28,31.55,31.90,30.55,30.86,10022700,30.86
2010-10-27,31.18,31.26,30.63,31.21,7613200,31.21
2010-10-26,31.24,31.63,30.87,31.50,9901700,31.50
2010-10-25,30.61,31.70,30.54,31.56,21103800,31.56
2010-10-22,30.55,30.60,30.01,30.20,5601300,30.20
2010-10-21,30.14,30.86,30.03,30.52,9193300,30.52
2010-10-20,29.50,30.65,29.32,30.19,10563800,30.19
2010-10-19,29.39,29.90,29.05,29.34,12719700,29.34
2010-10-18,29.29,30.00,29.27,29.84,6673000,29.84
2010-10-15,29.51,29.81,29.07,29.43,7700500,29.43
2010-10-14,29.80,29.86,28.97,29.31,9597800,29.31
2010-10-13,30.05,30.05,29.62,29.82,12482900,29.82
2010-10-12,29.68,29.88,29.45,29.81,6836300,29.81
2010-10-11,29.99,30.08,29.62,29.85,5031600,29.85
2010-10-08,29.18,30.16,29.16,30.03,11948800,30.03
2010-10-07,29.07,29.20,28.55,29.15,8167700,29.15
2010-10-06,28.34,29.03,28.34,28.95,10173000,28.95
2010-10-05,27.83,28.51,27.66,28.47,9818700,28.47
2010-10-04,27.75,27.87,27.38,27.47,7245900,27.47
2010-10-01,27.70,27.88,27.38,27.88,7392800,27.88
2010-09-30,27.66,28.00,27.10,27.46,8951700,27.46
2010-09-29,27.66,27.85,27.36,27.39,7645800,27.39
2010-09-28,27.84,28.04,27.48,27.86,8929800,27.86
2010-09-27,28.12,28.35,27.89,27.92,6838400,27.77
2010-09-24,27.35,28.09,27.31,28.07,8336100,27.92
2010-09-23,26.93,27.32,26.72,26.97,6980800,26.83
2010-09-22,27.14,27.55,27.11,27.36,8319300,27.21
2010-09-21,27.25,27.50,26.86,27.25,7937200,27.10
2010-09-20,26.75,27.30,26.63,27.17,8190400,27.02
2010-09-17,26.65,26.77,26.47,26.72,11110200,26.58
2010-09-16,26.33,26.60,26.08,26.41,8454200,26.27
2010-09-15,26.27,26.44,26.02,26.17,8752000,26.03
2010-09-14,26.47,26.67,26.07,26.53,7271200,26.39
2010-09-13,26.29,26.62,26.17,26.59,6565100,26.45
2010-09-10,25.71,26.08,25.65,25.99,4882500,25.85
2010-09-09,26.15,26.25,25.58,25.69,7303000,25.55
2010-09-08,25.49,25.97,25.49,25.76,7069500,25.62
2010-09-07,26.20,26.29,25.37,25.49,10876900,25.35
2010-09-03,26.13,26.48,25.97,26.47,7199800,26.33
2010-09-02,25.54,26.01,25.51,25.88,6443000,25.74
2010-09-01,24.84,25.77,24.61,25.59,10637200,25.45
2010-08-31,24.16,24.49,23.92,24.37,9038900,24.24
2010-08-30,24.58,24.91,24.32,24.33,8840100,24.20
2010-08-27,23.80,24.77,23.70,24.72,13724000,24.59
2010-08-26,23.37,23.88,23.35,23.74,15075800,23.61
2010-08-25,22.95,23.24,22.55,23.12,16091600,23.00
2010-08-24,23.70,23.80,23.05,23.12,16995500,23.00
2010-08-23,24.58,24.71,24.03,24.04,8171300,23.91
2010-08-20,24.74,24.87,24.21,24.43,10029100,24.30
2010-08-19,25.55,25.59,24.72,24.91,9306800,24.78
2010-08-18,25.30,25.78,25.24,25.72,6338100,25.58
2010-08-17,25.34,25.93,25.31,25.50,8454700,25.36
2010-08-16,25.05,25.35,24.68,25.18,5642600,25.04
2010-08-13,24.93,25.23,24.75,25.16,8790100,25.02
2010-08-12,24.52,25.08,24.34,24.98,10696400,24.85
2010-08-11,25.28,25.44,24.87,25.18,11922600,25.04
2010-08-10,25.55,26.23,25.55,25.99,10730800,25.85
2010-08-09,25.60,26.07,25.57,26.00,9585400,25.86
2010-08-06,25.13,25.65,24.96,25.44,10385300,25.30
2010-08-05,24.81,25.31,24.70,25.26,13211600,25.12
2010-08-04,25.55,25.77,24.72,24.79,27936400,24.66
2010-08-03,26.14,26.58,25.32,25.50,42547300,25.36
2010-08-02,27.94,28.50,27.80,28.33,11078900,28.18
2010-07-30,26.94,27.50,26.73,27.33,9228400,27.18
2010-07-29,27.32,27.67,26.67,27.27,9325100,27.12
2010-07-28,27.30,27.49,26.99,27.08,7440000,26.93
2010-07-27,27.95,28.28,27.18,27.35,11654200,27.20
2010-07-26,26.83,27.26,26.71,27.25,5598300,27.10
2010-07-23,26.51,26.99,26.41,26.93,7614900,26.79
2010-07-22,25.93,26.75,25.87,26.64,9930400,26.50
2010-07-21,25.89,25.96,25.22,25.52,10935400,25.38
2010-07-20,24.70,25.60,24.47,25.58,8592300,25.44
2010-07-19,25.24,25.40,24.80,25.13,7290400,24.99
2010-07-16,26.33,26.36,25.08,25.17,12656100,25.03
2010-07-15,27.06,27.19,26.18,26.63,13165400,26.49
2010-07-14,26.62,27.25,26.24,27.00,14589600,26.85
2010-07-13,26.17,27.00,26.01,26.71,10657100,26.57
2010-07-12,25.79,26.09,25.47,25.75,10563200,25.61
2010-07-09,25.04,25.96,25.02,25.95,11798300,25.81
2010-07-08,24.55,25.04,24.35,24.99,10607200,24.86
2010-07-07,23.03,24.29,23.03,24.29,10159700,24.16
2010-07-06,23.37,23.61,22.75,23.06,10191200,22.94
2010-07-02,23.32,23.43,22.42,22.97,10920700,22.85
2010-07-01,23.60,24.15,22.73,23.26,16756500,23.14
2010-06-30,24.04,24.84,23.66,23.72,11933600,23.59
2010-06-29,24.96,25.00,23.98,24.16,15607100,24.03
2010-06-28,25.47,25.68,25.02,25.52,8787200,25.38
2010-06-25,25.32,25.57,24.89,25.33,14493400,25.04
2010-06-24,26.00,26.15,25.22,25.29,9994400,25.01
2010-06-23,26.21,26.53,25.69,26.29,9426500,25.99
2010-06-22,26.93,27.28,26.16,26.24,7980500,25.94
2010-06-21,27.39,27.78,26.70,26.96,8287500,26.66
2010-06-18,26.74,27.02,26.66,27.00,9721400,26.70
2010-06-17,26.76,26.86,25.83,26.66,8178600,26.36
2010-06-16,26.47,26.89,26.31,26.72,6900300,26.42
2010-06-15,26.17,26.79,26.13,26.79,9510800,26.49
2010-06-14,27.04,27.09,25.82,25.90,11972600,25.61
2010-06-11,25.95,26.75,25.87,26.72,7628800,26.42
2010-06-10,26.00,26.41,25.73,26.39,10340700,26.09
2010-06-09,25.48,26.15,25.31,25.44,13810500,25.15
2010-06-08,24.45,25.16,24.09,25.15,14937500,24.87
2010-06-07,25.03,25.26,24.42,24.44,12108300,24.16
2010-06-04,25.43,25.90,24.75,24.84,22301900,24.56
2010-06-03,26.50,26.63,25.70,26.08,8967100,25.79
2010-06-02,26.03,26.49,25.84,26.46,12734100,26.16
2010-06-01,26.46,26.80,25.60,25.60,17278000,25.31
2010-05-28,27.86,27.97,26.75,26.91,13370900,26.61
2010-05-27,27.17,28.10,27.03,28.07,13592000,27.75
2010-05-26,27.13,27.28,26.43,26.52,14414800,26.22
2010-05-25,24.67,26.82,24.34,26.79,21335600,26.49
2010-05-24,26.22,26.47,25.78,25.86,13569300,25.57
2010-05-21,25.05,26.60,25.05,26.47,19513400,26.17
