Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,37.27,37.45,37.00,37.15,1068300,37.15
2010-11-04,37.34,37.54,37.08,37.22,1179500,37.22
2010-11-03,37.20,37.48,36.77,37.05,996300,37.05
2010-11-02,36.84,37.31,36.70,37.22,1567600,37.22
2010-11-01,36.86,36.86,36.44,36.57,1855300,36.57
2010-10-29,36.50,36.60,36.27,36.59,1646700,36.59
2010-10-28,36.77,37.01,36.35,36.50,2226200,36.50
2010-10-27,34.03,36.79,34.00,36.48,5459900,36.48
2010-10-26,35.90,36.06,35.62,35.69,2009000,35.69
2010-10-25,36.22,36.22,35.81,35.97,1507500,35.97
2010-10-22,35.78,35.98,35.59,35.89,1307200,35.89
2010-10-21,35.24,35.86,35.18,35.86,2379400,35.86
2010-10-20,33.95,35.12,33.89,35.11,2457300,35.11
2010-10-19,34.07,34.17,33.66,33.89,1808600,33.89
2010-10-18,35.04,35.04,34.33,34.36,1889900,34.36
2010-10-15,35.27,35.37,34.87,34.97,1810200,34.97
2010-10-14,35.38,35.56,34.92,35.03,1718100,35.03
2010-10-13,34.85,35.50,34.75,35.34,2333500,35.34
2010-10-12,34.79,34.94,34.72,34.78,1260900,34.78
2010-10-11,34.80,34.94,34.73,34.88,851900,34.88
2010-10-08,34.55,34.99,34.23,34.73,1878800,34.73
2010-10-07,34.63,35.01,34.50,34.60,2690900,34.60
2010-10-06,35.35,35.49,34.93,35.08,1463300,35.08
2010-10-05,34.94,35.60,34.91,35.49,3174100,35.49
2010-10-04,34.94,35.02,34.54,34.64,2145400,34.64
2010-10-01,35.56,36.03,34.83,35.11,3338800,35.11
2010-09-30,35.36,35.86,35.33,35.52,2338200,35.52
2010-09-29,35.61,35.70,35.16,35.38,1699100,35.38
2010-09-28,34.90,35.74,34.58,35.72,2385000,35.72
2010-09-27,34.85,35.08,34.41,34.82,2247700,34.82
2010-09-24,35.04,35.29,34.80,34.95,2701100,34.95
2010-09-23,34.22,34.23,33.60,33.94,2708000,33.94
2010-09-22,34.63,34.97,34.29,34.43,1892900,34.43
2010-09-21,35.29,35.33,34.65,34.80,1973800,34.80
2010-09-20,35.28,35.54,35.13,35.39,1763100,35.39
2010-09-17,35.22,35.40,35.02,35.31,2860100,35.31
2010-09-16,35.19,35.25,34.76,35.19,2023100,35.19
2010-09-15,34.60,35.69,34.50,35.60,4288400,35.35
2010-09-14,34.76,34.91,34.56,34.64,3202300,34.40
2010-09-13,35.23,35.23,34.59,34.86,4354400,34.62
2010-09-10,35.17,35.27,34.34,34.73,7614300,34.49
2010-09-09,38.44,38.52,35.55,35.59,8809900,35.34
2010-09-08,38.19,38.77,38.08,38.13,3024500,37.86
2010-09-07,38.24,38.48,37.88,38.19,2250300,37.92
