Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.11,47.22,46.76,46.83,543700,46.83
2010-11-04,46.67,47.14,46.59,47.10,824600,47.10
2010-11-03,46.26,46.51,45.97,46.34,782400,46.34
2010-11-02,46.01,46.37,45.89,46.31,1039100,46.31
2010-11-01,46.86,47.24,45.38,45.67,1343100,45.67
2010-10-29,46.90,46.97,46.51,46.76,1057400,46.76
2010-10-28,47.22,47.42,46.83,47.25,818200,47.25
2010-10-27,46.90,47.08,46.48,47.06,662700,47.06
2010-10-26,46.65,47.10,46.58,47.05,843700,47.05
2010-10-25,47.17,47.32,46.78,46.82,841300,46.82
2010-10-22,47.15,47.24,46.60,46.93,881400,46.93
2010-10-21,47.44,47.59,46.71,46.99,558800,46.99
2010-10-20,46.92,47.60,46.80,47.28,717400,47.28
2010-10-19,46.85,47.44,46.70,46.90,978400,46.90
2010-10-18,47.03,47.47,47.03,47.27,609700,47.27
2010-10-15,47.26,47.29,46.79,47.11,2084300,47.11
2010-10-14,47.09,47.35,46.72,46.88,592200,46.88
2010-10-13,47.27,47.34,47.02,47.09,1290500,47.09
2010-10-12,47.38,47.38,46.84,46.98,860900,46.98
2010-10-11,47.19,47.66,47.19,47.44,722800,47.44
2010-10-08,46.93,47.31,46.84,47.22,1057900,47.22
2010-10-07,47.03,47.17,46.72,46.83,914300,46.83
2010-10-06,47.02,47.26,46.69,46.86,965200,46.86
2010-10-05,46.71,47.04,46.47,47.01,1426500,47.01
2010-10-04,46.42,46.72,46.16,46.34,1104600,46.34
2010-10-01,46.22,46.68,45.92,46.48,1810700,46.48
2010-09-30,46.40,46.58,45.77,45.93,1312000,45.93
2010-09-29,45.83,46.24,45.74,46.16,1232100,46.16
2010-09-28,46.05,46.09,45.50,45.98,1364200,45.98
2010-09-27,45.93,46.14,45.58,46.01,1164800,46.01
2010-09-24,45.76,46.20,45.68,45.84,1095500,45.84
2010-09-23,45.92,46.04,45.41,45.47,1165200,45.47
2010-09-22,45.81,46.46,45.80,46.12,1409000,46.12
2010-09-21,46.61,46.69,45.76,45.99,2638900,45.99
2010-09-20,46.31,46.71,46.27,46.55,1474300,46.55
2010-09-17,46.93,47.06,46.23,46.31,2211100,46.31
2010-09-16,47.55,47.55,46.51,46.69,1608400,46.69
2010-09-15,47.89,48.42,47.89,48.19,1781500,47.63
2010-09-14,47.74,48.39,47.61,48.25,1509900,47.69
2010-09-13,47.75,47.96,47.38,47.84,1265600,47.28
2010-09-10,47.02,47.56,46.67,47.47,1607800,46.92
2010-09-09,47.30,47.35,46.98,47.10,892500,46.55
2010-09-08,47.23,47.35,46.78,46.95,3158900,46.40
2010-09-07,47.20,47.40,46.90,47.18,3323500,46.63
2010-09-03,47.72,47.79,47.20,47.54,962100,46.99
2010-09-02,48.00,48.00,47.17,47.43,1031500,46.88
2010-09-01,47.19,47.96,47.09,47.83,1746300,47.27
