Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,18.50,18.60,18.38,18.49,6406000,18.49
2010-11-04,18.41,18.53,18.35,18.53,7919000,18.53
2010-11-03,18.33,18.37,18.15,18.29,6063400,18.29
2010-11-02,18.14,18.31,18.14,18.27,6403000,18.27
2010-11-01,18.29,18.34,17.93,18.05,8239500,18.05
2010-10-29,18.05,18.32,18.01,18.21,9819400,18.21
2010-10-28,18.00,18.09,17.87,18.07,9618300,18.07
2010-10-27,17.76,17.87,17.63,17.87,6632100,17.87
2010-10-26,17.75,17.87,17.65,17.86,6185900,17.86
2010-10-25,17.80,17.88,17.75,17.77,5673400,17.77
2010-10-22,17.82,17.84,17.63,17.78,5895800,17.78
2010-10-21,17.84,17.96,17.75,17.82,7727100,17.82
2010-10-20,17.73,17.91,17.70,17.79,11326400,17.79
2010-10-19,17.57,17.73,17.57,17.67,10228600,17.67
2010-10-18,17.63,17.69,17.58,17.65,14606400,17.65
2010-10-15,17.65,17.71,17.51,17.59,7625300,17.59
2010-10-14,17.57,17.60,17.51,17.58,6286300,17.58
2010-10-13,17.62,17.65,17.54,17.56,6414200,17.56
2010-10-12,17.56,17.64,17.53,17.58,6216700,17.58
2010-10-11,17.65,17.71,17.57,17.62,3423200,17.62
2010-10-08,17.62,17.69,17.57,17.64,8363200,17.64
2010-10-07,17.76,17.79,17.58,17.63,9361300,17.63
2010-10-06,17.72,17.86,17.67,17.70,8827600,17.70
2010-10-05,17.89,17.90,17.71,17.74,12664900,17.74
2010-10-04,17.80,17.89,17.68,17.75,6401500,17.75
2010-10-01,17.85,17.92,17.73,17.83,7058400,17.83
2010-09-30,17.94,17.97,17.69,17.71,7161500,17.71
2010-09-29,17.87,17.95,17.78,17.86,4856400,17.86
2010-09-28,17.97,18.00,17.82,17.94,7102300,17.94
2010-09-27,17.94,17.99,17.80,17.90,6071000,17.90
2010-09-24,17.87,18.04,17.86,17.99,4624400,17.99
2010-09-23,17.92,18.05,17.71,17.76,6191800,17.76
2010-09-22,17.81,18.08,17.81,17.98,8236600,17.98
2010-09-21,17.79,17.93,17.69,17.79,6808700,17.79
2010-09-20,17.56,17.80,17.52,17.78,6026800,17.78
2010-09-17,17.57,17.67,17.47,17.51,9045700,17.51
2010-09-16,17.72,17.72,17.51,17.57,5249000,17.57
2010-09-15,17.65,17.71,17.54,17.58,6511400,17.58
2010-09-14,17.66,17.75,17.56,17.66,5852100,17.66
2010-09-13,17.58,17.72,17.56,17.66,6307500,17.66
2010-09-10,17.52,17.56,17.42,17.53,6023800,17.53
2010-09-09,17.47,17.58,17.40,17.54,6580400,17.54
2010-09-08,17.34,17.49,17.33,17.39,5707200,17.39
2010-09-07,17.35,17.49,17.30,17.34,6489600,17.34
2010-09-03,17.32,17.41,17.20,17.35,7761900,17.35
2010-09-02,17.46,17.46,17.22,17.28,7369900,17.28
2010-09-01,17.33,17.50,17.28,17.44,11837100,17.44
2010-08-31,17.10,17.29,17.01,17.18,11185200,17.18
2010-08-30,17.35,17.38,17.15,17.15,5171800,17.15
2010-08-27,17.15,17.36,17.03,17.36,5980700,17.36
2010-08-26,17.23,17.23,17.03,17.08,6263900,17.08
2010-08-25,17.16,17.24,16.95,17.16,9262200,17.16
2010-08-24,16.98,17.29,16.92,17.21,12933800,17.21
2010-08-23,17.15,17.24,17.06,17.06,14066400,17.06
2010-08-20,16.96,17.11,16.91,17.06,6681300,17.06
2010-08-19,17.21,17.21,16.86,17.04,7409400,17.04
2010-08-18,17.21,17.33,17.11,17.26,25602300,17.26
2010-08-17,17.11,17.37,17.08,17.24,7865200,17.24
2010-08-16,16.97,17.04,16.76,17.03,6643900,17.03
2010-08-13,17.08,17.20,17.00,17.01,10672200,17.01
2010-08-12,16.99,17.20,16.96,17.10,7752900,17.10
2010-08-11,17.31,17.33,17.11,17.11,8490800,17.11
2010-08-10,17.49,17.80,17.42,17.69,10244900,17.45
2010-08-09,17.54,17.61,17.44,17.56,5923100,17.32
2010-08-06,17.38,17.45,17.25,17.42,6569800,17.18
2010-08-05,17.32,17.42,17.25,17.41,5893500,17.17
2010-08-04,17.47,17.47,17.25,17.37,6399700,17.13
2010-08-03,17.50,17.50,17.33,17.37,8203300,17.13
2010-08-02,17.24,17.48,17.24,17.37,8548500,17.13
2010-07-30,17.10,17.23,17.00,17.10,7786900,16.86
2010-07-29,17.38,17.43,17.16,17.17,7742900,16.93
2010-07-28,17.34,17.37,17.20,17.31,6686000,17.07
2010-07-27,17.14,17.36,17.05,17.36,10492500,17.12
2010-07-26,16.89,17.10,16.89,17.10,10028900,16.86
2010-07-23,17.19,17.19,16.85,16.94,19761700,16.71
2010-07-22,17.03,17.18,16.97,17.10,9745500,16.86
2010-07-21,17.16,17.18,16.79,16.90,8358500,16.67
2010-07-20,17.04,17.19,16.93,17.14,6445000,16.90
2010-07-19,16.97,17.23,16.90,17.17,5833700,16.93
2010-07-16,17.08,17.11,16.82,16.87,6625800,16.64
2010-07-15,16.96,17.11,16.86,17.08,5869100,16.84
2010-07-14,16.80,16.97,16.75,16.96,6865500,16.73
2010-07-13,16.93,16.98,16.77,16.84,7022100,16.61
2010-07-12,16.73,16.90,16.70,16.89,4514000,16.66
2010-07-09,16.70,16.81,16.64,16.79,3608900,16.56
2010-07-08,16.76,16.85,16.58,16.72,7492800,16.49
2010-07-07,16.24,16.76,16.21,16.75,8119300,16.52
2010-07-06,16.13,16.30,16.09,16.22,17242000,16.00
2010-07-02,15.97,16.16,15.96,16.06,6867000,15.84
2010-07-01,16.07,16.07,15.87,15.97,11187300,15.75
2010-06-30,16.14,16.29,15.95,16.00,8171800,15.78
2010-06-29,16.23,16.28,16.05,16.15,9043900,15.93
2010-06-28,16.24,16.41,16.12,16.34,4660800,16.11
2010-06-25,16.18,16.26,16.05,16.17,6342700,15.95
2010-06-24,16.13,16.39,16.11,16.15,12847400,15.93
2010-06-23,16.34,16.40,16.15,16.22,5602900,16.00
2010-06-22,16.57,16.60,16.28,16.32,6743000,16.09
2010-06-21,16.72,16.75,16.51,16.59,6340100,16.36
2010-06-18,16.69,16.74,16.52,16.64,7378700,16.41
2010-06-17,16.55,16.72,16.45,16.71,5975300,16.48
2010-06-16,16.47,16.56,16.34,16.52,6737600,16.29
2010-06-15,16.27,16.41,16.22,16.41,6797500,16.18
2010-06-14,16.26,16.31,16.16,16.21,7782900,15.99
2010-06-11,16.17,16.24,15.98,16.17,6153000,15.95
2010-06-10,16.12,16.24,16.05,16.24,8362300,16.02
2010-06-09,16.13,16.14,15.87,15.93,8285900,15.71
2010-06-08,15.66,16.10,15.57,16.10,14526100,15.88
2010-06-07,15.66,15.84,15.58,15.67,8019200,15.45
2010-06-04,15.87,15.88,15.58,15.61,9982100,15.39
2010-06-03,16.03,16.11,15.93,16.05,4313900,15.83
2010-06-02,15.79,15.96,15.71,15.96,8139200,15.74
2010-06-01,15.85,15.97,15.68,15.70,6818100,15.48
2010-05-28,16.03,16.13,15.91,15.96,8939600,15.74
2010-05-27,15.91,15.99,15.78,15.98,7447200,15.76
2010-05-26,15.94,15.95,15.66,15.71,9567200,15.49
2010-05-25,15.78,15.85,15.47,15.82,10605500,15.60
2010-05-24,15.97,16.24,15.91,15.97,10479200,15.75
2010-05-21,15.75,16.01,15.75,16.00,13428400,15.78
2010-05-20,16.31,16.42,15.97,15.97,15060100,15.75
2010-05-19,16.66,16.71,16.41,16.49,11184800,16.26
2010-05-18,16.99,17.14,16.92,16.94,16807800,16.47
2010-05-17,16.80,16.95,16.61,16.93,9087900,16.46
2010-05-14,16.86,16.92,16.72,16.78,9664400,16.31
2010-05-13,16.98,17.06,16.81,16.86,8412100,16.39
2010-05-12,16.91,17.05,16.81,16.98,10776500,16.51
2010-05-11,16.84,17.12,16.74,16.92,11844200,16.45
