Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,46.72,48.27,46.72,47.37,612200,47.37
2010-11-04,48.45,48.50,45.99,46.58,1418100,46.58
2010-11-03,48.52,48.78,47.04,47.89,1195200,47.89
2010-11-02,48.68,48.98,47.34,48.51,818300,48.51
2010-11-01,48.16,48.87,47.96,48.18,870200,48.18
2010-10-29,46.31,48.17,46.00,47.86,1239300,47.86
2010-10-28,45.86,47.18,45.02,46.51,1697000,46.51
2010-10-27,43.58,46.26,43.58,45.75,1833500,45.75
2010-10-26,43.19,44.11,41.07,42.74,2315600,42.74
2010-10-25,45.39,45.96,44.58,44.75,1638400,44.75
2010-10-22,44.79,45.45,44.07,45.15,1122300,45.15
2010-10-21,44.87,45.20,43.76,44.64,1234900,44.64
2010-10-20,44.10,45.46,44.06,44.89,1225700,44.89
2010-10-19,43.50,44.43,43.07,44.16,1366100,44.16
2010-10-18,41.82,44.89,41.77,43.76,1928500,43.76
2010-10-15,42.40,42.40,40.58,41.72,2244600,41.72
2010-10-14,44.26,44.67,41.31,42.06,5315000,42.06
2010-10-13,51.00,51.20,50.47,50.57,1530200,50.57
2010-10-12,50.31,51.15,49.94,50.96,666600,50.96
2010-10-11,50.88,50.88,49.95,50.31,533700,50.31
2010-10-08,49.60,51.18,49.50,50.90,627200,50.90
2010-10-07,50.34,50.95,49.36,49.37,957800,49.37
2010-10-06,49.75,50.37,49.49,50.34,789500,50.34
2010-10-05,48.75,50.59,48.74,49.75,985500,49.75
2010-10-04,49.21,49.21,47.47,48.10,796000,48.10
2010-10-01,49.43,51.06,48.75,49.43,1154400,49.43
2010-09-30,47.20,50.00,46.70,49.21,2099500,49.21
2010-09-29,46.32,47.09,46.32,46.89,1078400,46.89
2010-09-28,45.42,46.38,45.27,46.32,860500,46.32
2010-09-27,47.23,47.33,44.87,45.63,1561600,45.63
2010-09-24,45.22,49.09,45.07,47.13,4359500,47.13
2010-09-23,44.03,46.74,43.78,44.74,1616200,44.74
2010-09-22,44.67,45.28,42.90,44.32,1590100,44.32
2010-09-21,45.90,45.95,44.57,44.79,778700,44.79
2010-09-20,44.74,45.99,44.43,45.89,1134200,45.89
2010-09-17,43.39,46.18,43.37,44.77,2246200,44.77
2010-09-16,42.54,43.73,42.19,43.30,1097200,43.30
2010-09-15,42.29,43.01,41.25,42.67,1092300,42.67
2010-09-14,43.83,43.90,42.20,42.48,1125900,42.48
2010-09-13,43.44,44.16,42.35,44.02,1097100,44.02
2010-09-10,41.71,42.95,41.71,42.64,1156400,42.64
2010-09-09,41.36,41.98,40.82,41.90,1064200,41.90
2010-09-08,40.05,41.20,40.05,41.09,843400,41.09
2010-09-07,40.44,40.72,40.01,40.06,1109500,40.06
2010-09-03,40.34,41.30,40.33,41.30,839100,41.30
2010-09-02,39.64,40.33,39.22,40.14,1339900,40.14
2010-09-01,38.74,39.82,38.31,39.54,1205100,39.54
2010-08-31,38.93,39.14,37.75,38.11,1742000,38.11
2010-08-30,38.67,39.57,38.66,39.03,1234500,39.03
2010-08-27,38.52,38.74,37.42,38.71,1046600,38.71
2010-08-26,38.32,38.77,37.90,38.31,899300,38.31
2010-08-25,37.32,38.63,36.82,38.44,1688800,38.44
2010-08-24,37.63,39.27,37.43,37.50,1526200,37.50
2010-08-23,38.07,38.35,37.63,38.02,1265400,38.02
2010-08-20,38.49,38.72,36.34,37.98,2625000,37.98
2010-08-19,38.69,39.10,37.63,38.82,1832900,38.82
2010-08-18,38.61,39.82,38.52,38.68,1981400,38.68
2010-08-17,39.05,39.44,37.91,38.41,2629200,38.41
2010-08-16,39.05,40.89,38.22,38.97,4209800,38.97
2010-08-13,46.87,47.57,42.01,42.71,4117900,42.71
2010-08-12,45.05,45.89,44.91,45.31,1229500,45.31
2010-08-11,45.91,47.25,45.67,45.79,1949000,45.79
2010-08-10,47.81,47.90,46.83,46.91,1378100,46.91
2010-08-09,48.10,48.88,47.99,48.33,1141700,48.33
2010-08-06,50.09,50.09,47.56,47.83,2856000,47.83
2010-08-05,52.45,52.45,50.84,50.96,1367800,50.96
2010-08-04,52.07,52.96,51.16,52.44,1057100,52.44
2010-08-03,54.06,54.06,52.14,52.24,1682200,52.24
2010-08-02,54.35,54.89,54.13,54.50,806800,54.50
2010-07-30,53.91,54.15,52.93,53.80,997000,53.80
2010-07-29,54.70,55.18,53.65,54.17,1034900,54.17
2010-07-28,55.34,55.69,54.37,54.60,994500,54.60
2010-07-27,55.87,57.04,55.28,55.48,1150200,55.48
2010-07-26,59.16,59.53,55.19,55.49,3411100,55.49
2010-07-23,54.52,59.30,54.00,59.29,5719900,59.29
2010-07-22,50.96,51.54,50.37,51.51,1545100,51.51
2010-07-21,53.58,53.71,50.81,51.26,1511500,51.26
2010-07-20,53.09,53.85,52.35,53.61,760500,53.61
2010-07-19,52.98,56.65,52.90,53.50,1930600,53.50
2010-07-16,52.58,53.40,52.25,52.85,1293700,52.85
2010-07-15,52.25,52.88,51.75,52.70,1088600,52.70
2010-07-14,51.73,52.35,51.73,52.33,702600,52.33
2010-07-13,51.20,51.97,50.94,51.87,700800,51.87
2010-07-12,51.34,51.85,50.52,51.00,446700,51.00
2010-07-09,51.10,51.58,50.69,51.51,422100,51.51
2010-07-08,50.72,51.31,50.46,51.04,624700,51.04
