Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,69.68,70.81,69.43,70.78,3740000,70.78
2010-11-04,69.13,69.99,69.10,69.60,8515100,69.60
2010-11-03,66.67,69.00,65.37,68.22,11007600,68.22
2010-11-02,65.86,66.10,65.51,65.93,2196600,65.93
2010-11-01,65.70,66.04,65.03,65.34,2802000,65.34
2010-10-29,64.52,65.27,64.37,65.02,2336700,65.02
2010-10-28,65.11,65.18,64.23,64.73,2035900,64.73
2010-10-27,64.05,64.78,63.76,64.69,2809000,64.69
2010-10-26,64.65,65.07,64.30,64.59,3022200,64.59
2010-10-25,65.61,65.90,64.73,65.02,3195500,65.02
2010-10-22,66.61,66.61,64.71,65.23,3601900,65.23
2010-10-21,67.68,67.77,65.57,66.37,4360400,66.37
2010-10-20,66.98,67.85,66.92,67.46,3289200,67.46
2010-10-19,67.79,68.08,66.44,66.88,3145000,66.88
2010-10-18,67.55,69.11,67.39,68.86,3318000,68.86
2010-10-15,67.86,68.00,66.99,67.66,2716400,67.66
2010-10-14,67.68,68.08,67.16,67.52,2291700,67.52
2010-10-13,67.29,68.05,66.91,67.60,2741800,67.60
2010-10-12,66.62,67.08,65.94,66.84,2141600,66.84
2010-10-11,66.72,67.55,66.62,67.14,2053600,67.14
2010-10-08,65.84,66.98,65.74,66.77,2427700,66.77
2010-10-07,66.67,66.94,65.22,65.83,2218100,65.83
2010-10-06,65.37,66.50,64.99,66.30,3274000,66.30
2010-10-05,65.14,65.55,64.68,65.38,2504200,65.38
2010-10-04,65.00,65.52,63.85,64.35,2568900,64.35
2010-10-01,65.32,65.68,64.82,65.25,2405600,65.25
2010-09-30,65.47,65.50,63.87,64.74,3798000,64.74
2010-09-29,63.99,65.25,63.99,64.83,3097100,64.83
2010-09-28,63.86,64.55,63.15,64.35,2793900,64.35
2010-09-27,64.05,64.40,63.81,63.99,2487800,63.99
2010-09-24,63.03,64.36,62.75,64.06,3239900,64.06
2010-09-23,61.78,62.91,61.78,62.24,2033000,62.24
2010-09-22,62.78,63.78,62.36,62.56,2499400,62.56
2010-09-21,62.79,63.23,62.16,62.68,3687200,62.68
2010-09-20,62.27,63.14,61.53,62.93,2606600,62.93
2010-09-17,62.29,62.47,61.40,61.97,5351200,61.97
2010-09-16,61.96,62.49,61.76,62.11,2838200,62.11
2010-09-15,61.63,62.17,61.41,62.12,2847800,62.12
2010-09-14,61.76,62.52,61.42,61.98,3436100,61.98
2010-09-13,63.00,63.08,61.47,61.73,5942900,61.73
2010-09-10,63.24,63.24,62.34,62.53,4173200,62.37
2010-09-09,63.74,63.91,62.57,62.86,2286400,62.70
2010-09-08,63.00,63.64,62.86,63.07,2183900,62.91
2010-09-07,62.75,63.23,62.41,62.80,2381100,62.64
2010-09-03,63.23,63.95,63.06,63.52,1954700,63.36
2010-09-02,62.60,62.99,61.90,62.94,2405700,62.78
2010-09-01,61.02,62.38,60.83,62.30,3160000,62.14
2010-08-31,60.17,61.37,60.00,60.28,2820300,60.13
2010-08-30,60.83,61.56,60.46,60.47,2293600,60.32
2010-08-27,60.06,61.25,59.07,61.18,3312400,61.02
2010-08-26,60.68,60.98,59.59,59.79,2600900,59.64
2010-08-25,60.51,60.61,59.18,60.44,5804600,60.29
2010-08-24,61.16,61.67,60.84,60.96,4966000,60.80
2010-08-23,62.39,62.76,62.25,62.27,2585500,62.11
2010-08-20,62.50,62.77,61.90,62.14,5085300,61.98
2010-08-19,63.12,63.50,62.77,63.00,5619700,62.84
2010-08-18,63.74,63.83,62.69,62.92,4216500,62.76
2010-08-17,64.05,64.26,63.23,63.80,3999600,63.64
2010-08-16,63.63,64.17,63.20,63.48,3551000,63.32
2010-08-13,63.29,64.00,62.90,63.70,4034800,63.54
2010-08-12,62.79,64.05,62.79,63.52,3682900,63.36
2010-08-11,64.39,64.73,63.88,63.98,4067200,63.82
2010-08-10,64.48,65.78,64.34,65.57,4025900,65.40
2010-08-09,65.20,65.43,64.41,65.23,2506500,65.06
2010-08-06,65.14,65.28,63.73,64.75,3676800,64.58
2010-08-05,65.26,65.85,65.00,65.68,2926200,65.51
2010-08-04,65.07,66.21,64.59,65.68,5603600,65.51
2010-08-03,64.27,64.91,63.67,64.34,3423200,64.18
2010-08-02,63.79,64.60,63.69,64.40,3038500,64.24
2010-07-30,61.71,62.77,61.39,62.49,2921400,62.33
2010-07-29,63.13,63.60,62.23,62.50,3469600,62.34
2010-07-28,63.44,63.90,62.55,62.65,2720800,62.49
2010-07-27,64.78,64.98,62.90,63.44,3272600,63.28
2010-07-26,63.93,64.90,63.81,64.33,3534300,64.17
2010-07-23,63.75,64.11,62.93,63.94,2426900,63.78
2010-07-22,63.36,64.17,62.97,63.78,3195700,63.62
2010-07-21,63.73,63.94,62.16,62.67,3733000,62.51
2010-07-20,60.00,63.07,60.00,62.87,3206300,62.71
2010-07-19,61.60,61.62,60.66,61.11,3575800,60.95
2010-07-16,62.91,62.91,60.88,61.16,4293400,61.00
2010-07-15,63.63,63.63,62.26,63.35,4121700,63.19
2010-07-14,63.06,64.00,63.00,63.68,3836500,63.52
2010-07-13,64.03,64.13,63.00,63.49,4229800,63.33
2010-07-12,62.77,63.93,62.77,63.50,2972700,63.34
2010-07-09,63.29,63.44,62.49,63.35,3030000,63.19
2010-07-08,63.69,63.79,62.06,63.25,3768400,63.09
2010-07-07,61.23,62.49,60.90,62.45,6090500,62.29
2010-07-06,62.21,62.63,60.52,61.13,3839300,60.97
2010-07-02,61.05,61.57,60.28,60.71,4904600,60.55
2010-07-01,60.92,61.36,59.50,60.68,4957200,60.52
2010-06-30,61.11,62.30,60.73,60.92,4178000,60.76
2010-06-29,61.39,61.87,60.55,61.03,5394300,60.87
2010-06-28,63.83,64.19,62.72,62.91,2992800,62.75
2010-06-25,64.04,64.47,62.83,63.65,7065200,63.49
2010-06-24,65.47,66.27,63.68,63.96,6052200,63.80
2010-06-23,66.73,66.73,65.61,65.96,4930700,65.79
2010-06-22,68.79,69.27,67.00,67.17,4085200,67.00
2010-06-21,70.76,70.80,68.42,69.01,4086900,68.83
2010-06-18,69.46,70.00,68.92,69.92,3791600,69.74
2010-06-17,69.31,69.85,68.66,69.49,3705700,69.31
2010-06-16,68.73,69.79,68.00,69.31,5474800,69.13
2010-06-15,68.37,70.19,68.16,70.13,4617600,69.95
2010-06-14,68.98,69.85,67.58,67.71,5172000,67.54
2010-06-11,67.00,68.26,66.46,68.16,4285700,67.99
2010-06-10,66.22,67.85,65.80,67.83,5908200,67.50
2010-06-09,65.45,66.75,64.27,64.55,5679200,64.23
2010-06-08,63.09,65.12,62.65,64.94,6203500,64.62
2010-06-07,65.17,65.72,62.80,63.01,7898500,62.70
2010-06-04,64.83,68.29,64.70,65.11,7659200,64.79
2010-06-03,65.34,66.54,63.85,66.39,7429800,66.06
2010-06-02,62.27,65.06,61.08,65.05,8051500,64.73
2010-06-01,63.25,64.41,61.56,61.63,5862300,61.33
2010-05-28,63.10,64.56,62.78,63.85,5530500,63.54
2010-05-27,61.80,63.39,61.21,63.38,6184300,63.07
2010-05-26,61.87,61.87,60.02,60.29,6174700,59.99
2010-05-25,59.49,60.95,58.58,60.87,6506700,60.57
