Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,49.51,50.00,49.31,49.65,1644900,49.65
2010-11-04,49.95,49.99,49.14,49.54,2039200,49.54
2010-11-03,49.53,49.60,48.91,49.49,1252600,49.49
2010-11-02,49.77,50.06,49.38,49.42,1151700,49.42
2010-11-01,49.45,49.85,49.10,49.32,1441700,49.32
2010-10-29,49.12,49.52,48.86,49.32,1150400,49.32
2010-10-28,49.88,50.03,48.94,49.21,1884400,49.21
2010-10-27,49.10,49.81,48.65,49.57,2759700,49.57
2010-10-26,51.86,51.86,48.65,49.29,4541900,49.29
2010-10-25,51.72,52.39,51.61,52.12,1847500,52.12
2010-10-22,51.56,51.70,51.29,51.56,1149000,51.56
2010-10-21,51.38,51.71,51.28,51.55,1789500,51.55
2010-10-20,50.91,51.67,50.74,51.16,1605100,51.16
2010-10-19,51.24,51.53,50.62,50.76,1756600,50.76
2010-10-18,52.01,52.01,51.65,51.73,961200,51.73
2010-10-15,52.31,52.46,51.67,52.06,1066800,52.06
2010-10-14,52.32,52.44,51.59,51.95,865000,51.95
2010-10-13,52.02,52.39,51.74,52.30,1148900,52.30
2010-10-12,51.55,51.93,51.11,51.86,839900,51.86
2010-10-11,51.83,51.86,51.48,51.66,539400,51.66
2010-10-08,51.91,51.91,51.50,51.64,962100,51.64
2010-10-07,52.39,52.39,51.39,51.74,980000,51.74
2010-10-06,51.96,52.16,51.83,52.16,907100,52.16
2010-10-05,51.25,52.16,51.17,52.10,1131800,52.10
2010-10-04,51.30,51.30,50.54,50.77,744400,50.77
2010-10-01,50.96,51.45,50.91,51.32,1345000,51.32
2010-09-30,50.81,51.23,50.49,50.74,1146400,50.74
2010-09-29,50.51,50.81,50.24,50.57,916600,50.57
2010-09-28,50.67,50.70,49.90,50.62,1282700,50.62
2010-09-27,51.02,51.02,50.53,50.68,977300,50.68
2010-09-24,50.48,50.95,50.44,50.95,1104300,50.95
2010-09-23,50.17,50.59,49.98,50.03,805600,50.03
2010-09-22,50.77,50.96,50.37,50.51,947900,50.51
2010-09-21,50.62,50.99,50.34,50.72,1347800,50.72
2010-09-20,50.32,50.65,50.11,50.62,1472800,50.62
2010-09-17,49.97,50.32,49.69,50.16,1566800,50.16
2010-09-16,49.67,50.32,49.50,50.15,1482300,50.00
2010-09-15,49.40,49.93,49.25,49.89,1533400,49.74
2010-09-14,49.04,49.75,49.03,49.54,1285400,49.39
2010-09-13,49.13,49.31,48.94,49.10,1423100,48.95
2010-09-10,49.30,49.50,48.72,48.79,1558000,48.64
2010-09-09,49.50,49.50,49.04,49.19,920900,49.04
2010-09-08,48.83,49.29,48.70,49.06,1215500,48.91
2010-09-07,48.93,49.19,48.66,48.69,1115500,48.54
2010-09-03,49.30,49.48,49.01,49.41,1305300,49.26
2010-09-02,48.79,49.15,48.51,49.15,941600,49.00
2010-09-01,48.03,48.78,47.80,48.61,1786400,48.46
2010-08-31,47.02,47.57,46.63,47.40,1470300,47.25
2010-08-30,47.44,47.57,47.05,47.16,951600,47.01
2010-08-27,46.76,47.63,46.36,47.62,1318700,47.47
2010-08-26,46.68,46.88,46.38,46.50,1311900,46.36
