Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,50.91,51.03,50.61,51.00,2519600,51.00
2010-11-04,50.85,50.99,50.60,50.88,3149400,50.88
2010-11-03,50.75,50.87,50.21,50.49,2006300,50.49
2010-11-02,49.91,50.86,49.91,50.73,1904900,50.73
2010-11-01,49.88,50.14,49.43,49.66,1618100,49.66
2010-10-29,49.89,49.90,49.48,49.72,1661500,49.72
2010-10-28,49.90,49.96,49.63,49.85,2450500,49.85
2010-10-27,49.20,49.76,49.14,49.74,2402500,49.74
2010-10-26,49.01,49.47,48.81,49.46,1905200,49.46
2010-10-25,49.25,49.39,48.90,49.20,1768000,49.20
2010-10-22,48.99,49.13,48.71,49.12,1508400,49.12
2010-10-21,49.36,49.36,48.64,48.88,1513500,48.88
2010-10-20,48.90,49.34,48.90,49.11,1471300,49.11
2010-10-19,48.70,49.29,48.67,48.84,1980200,48.84
2010-10-18,48.59,49.20,48.56,49.09,3924200,49.09
2010-10-15,48.49,48.65,48.40,48.60,1884800,48.60
2010-10-14,48.35,48.53,48.27,48.45,1913900,48.45
2010-10-13,48.29,48.33,48.14,48.20,1518900,48.20
2010-10-12,48.23,48.33,48.01,48.22,1321400,48.22
2010-10-11,48.24,48.41,48.13,48.23,985900,48.23
2010-10-08,48.08,48.32,48.02,48.27,1486400,48.27
2010-10-07,48.30,48.38,47.94,48.17,1740300,48.17
2010-10-06,48.38,48.44,48.03,48.19,2100300,48.19
2010-10-05,48.40,48.48,48.19,48.41,2523500,48.41
2010-10-04,48.14,48.46,47.91,48.07,1833100,48.07
2010-10-01,48.40,48.44,47.95,48.33,2043600,48.33
2010-09-30,48.45,48.61,48.11,48.22,1989500,48.22
2010-09-29,48.50,48.56,48.29,48.43,2375700,48.43
2010-09-28,48.15,48.60,47.91,48.50,5613800,48.50
2010-09-27,48.69,48.93,48.53,48.75,1099900,48.75
2010-09-24,48.35,48.89,48.35,48.79,1390000,48.79
2010-09-23,48.41,48.61,48.00,48.09,1580200,48.09
2010-09-22,48.53,48.94,48.47,48.52,1381200,48.52
2010-09-21,48.63,48.70,48.27,48.45,2424100,48.45
2010-09-20,47.95,48.74,47.95,48.69,2283800,48.69
2010-09-17,47.88,48.33,47.69,47.92,2821100,47.92
2010-09-16,47.82,47.86,47.45,47.59,1453900,47.59
2010-09-15,48.14,48.24,47.70,47.85,1677600,47.85
2010-09-14,47.76,48.28,47.52,48.10,1566400,48.10
2010-09-13,47.82,47.83,47.53,47.77,1671900,47.77
2010-09-10,47.84,47.92,47.44,47.69,1980400,47.69
2010-09-09,48.10,48.20,47.86,47.95,1680500,47.95
2010-09-08,48.45,48.47,47.73,47.78,2334000,47.78
2010-09-07,48.27,48.72,48.25,48.36,1666100,48.36
2010-09-03,48.25,48.45,48.00,48.44,2160300,48.44
2010-09-02,48.28,48.28,47.84,48.25,1581600,48.25
2010-09-01,47.92,48.30,47.58,48.24,2246100,48.24
2010-08-31,47.01,47.69,46.84,47.53,2026600,47.53
2010-08-30,47.70,47.86,47.21,47.25,1054500,47.25
2010-08-27,47.34,47.90,47.10,47.88,1823800,47.88
2010-08-26,47.59,47.63,47.03,47.15,1608700,47.15
2010-08-25,47.01,47.61,47.01,47.44,2027600,47.44
2010-08-24,46.78,47.63,46.64,47.31,2317700,47.31
2010-08-23,46.78,47.30,46.71,46.98,2439500,46.98
2010-08-20,46.25,46.78,46.12,46.70,2090400,46.70
2010-08-19,46.87,46.87,46.22,46.50,2115200,46.50
2010-08-18,47.43,47.43,46.67,46.96,2185600,46.96
2010-08-17,47.06,47.64,46.91,47.38,2842900,47.38
2010-08-16,46.65,47.04,46.23,46.85,3028600,46.85
2010-08-13,47.99,47.99,47.48,47.55,3825200,46.95
2010-08-12,47.57,48.11,47.25,47.95,3291800,47.35
2010-08-11,47.80,48.24,47.60,47.64,2562000,47.04
2010-08-10,47.84,48.53,47.65,48.36,2689600,47.75
2010-08-09,47.58,48.22,47.58,47.97,2490400,47.37
2010-08-06,47.12,47.59,46.89,47.57,2404300,46.97
2010-08-05,46.84,47.24,46.67,47.21,1383700,46.62
2010-08-04,47.03,47.05,46.61,46.94,1820000,46.35
2010-08-03,47.04,47.23,46.73,46.93,1989600,46.34
2010-08-02,46.40,47.15,46.40,47.14,2096800,46.55
2010-07-30,46.30,46.39,45.90,46.12,2041300,45.54
2010-07-29,47.16,47.25,46.28,46.57,1993700,45.99
2010-07-28,47.01,47.10,46.79,47.03,1511700,46.44
2010-07-27,46.78,47.19,46.58,47.16,2254000,46.57
2010-07-26,46.38,46.69,46.21,46.68,1314400,46.10
2010-07-23,45.79,46.30,45.60,46.30,1609800,45.72
2010-07-22,45.48,46.20,45.44,46.02,1765200,45.44
2010-07-21,45.79,45.79,45.01,45.27,1872200,44.70
2010-07-20,45.27,45.85,44.98,45.83,1705600,45.26
2010-07-19,45.24,45.85,45.11,45.67,1505500,45.10
2010-07-16,45.56,45.70,44.97,45.06,1853000,44.50
2010-07-15,45.46,45.85,45.26,45.74,1511300,45.17
2010-07-14,45.42,45.57,45.15,45.57,1117900,45.00
