Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,37.90,38.22,37.90,38.22,2324300,38.22
2010-11-04,37.44,37.87,37.38,37.83,2773800,37.83
2010-11-03,37.17,37.34,36.89,37.15,2063100,37.15
2010-11-02,37.35,37.50,37.13,37.18,2132600,37.18
2010-11-01,37.15,37.73,36.90,37.04,3808600,37.04
2010-10-29,36.12,37.05,36.12,36.90,4078100,36.90
2010-10-28,36.08,36.35,35.82,35.97,2294500,35.97
2010-10-27,35.72,35.94,35.46,35.91,2721200,35.91
2010-10-26,35.97,36.10,35.84,35.96,2877500,35.96
2010-10-25,36.22,36.37,35.98,36.06,2071400,36.06
2010-10-22,35.86,36.01,35.62,35.99,2273800,35.99
2010-10-21,36.05,36.19,35.65,35.87,1754200,35.87
2010-10-20,35.79,36.15,35.76,35.98,1448800,35.98
2010-10-19,35.65,35.99,35.56,35.67,1999700,35.67
2010-10-18,35.68,36.00,35.49,35.97,1505200,35.97
2010-10-15,35.78,35.78,35.46,35.62,4682100,35.62
2010-10-14,35.51,35.66,35.36,35.51,1976400,35.51
2010-10-13,35.53,35.53,35.40,35.52,2495000,35.52
2010-10-12,35.14,35.49,35.11,35.43,3049200,35.43
2010-10-11,35.29,35.49,35.10,35.35,1561500,35.35
2010-10-08,34.97,35.29,34.78,35.20,1807400,35.20
2010-10-07,34.90,34.98,34.76,34.93,1971100,34.93
2010-10-06,35.01,35.08,34.53,34.75,1770500,34.75
2010-10-05,35.00,35.19,34.91,35.02,1564400,35.02
2010-10-04,34.63,35.42,34.57,34.69,3422700,34.69
2010-10-01,34.63,34.76,34.38,34.63,1642400,34.63
2010-09-30,34.74,34.79,34.30,34.39,2497600,34.39
2010-09-29,34.71,34.84,34.38,34.51,2335900,34.51
2010-09-28,34.47,34.88,34.20,34.77,3361600,34.77
2010-09-27,34.76,34.80,34.33,34.59,2911600,34.27
2010-09-24,34.86,35.04,34.59,34.69,3038200,34.37
2010-09-23,34.66,34.87,34.44,34.56,2638600,34.25
2010-09-22,34.74,35.15,34.57,34.81,4605900,34.49
2010-09-21,34.46,34.90,34.23,34.70,7386600,34.38
2010-09-20,33.91,34.55,33.82,34.50,2775200,34.19
2010-09-17,34.01,34.01,33.62,33.85,2138300,33.54
2010-09-16,33.84,34.00,33.73,33.80,1561000,33.49
2010-09-15,34.31,34.33,33.87,33.88,2365700,33.57
2010-09-14,33.99,34.42,33.76,34.34,2400300,34.03
2010-09-13,34.55,34.62,34.00,34.11,3837800,33.80
2010-09-10,34.62,34.79,34.10,34.39,2354200,34.08
2010-09-09,34.83,34.91,34.64,34.69,1095700,34.37
2010-09-08,34.77,34.82,34.42,34.48,1202900,34.17
2010-09-07,34.70,35.02,34.63,34.69,1025800,34.37
2010-09-03,34.78,34.88,34.52,34.88,1331200,34.56
2010-09-02,34.69,34.76,34.30,34.61,2048200,34.29
2010-09-01,34.32,34.75,34.08,34.73,2721100,34.41
2010-08-31,33.44,33.94,33.10,33.75,3040500,33.44
2010-08-30,33.81,33.95,33.41,33.44,1463700,33.14
2010-08-27,33.39,34.02,33.15,33.98,2152800,33.67
2010-08-26,33.82,33.91,33.16,33.25,2836400,32.95
2010-08-25,33.77,33.88,33.44,33.78,4717100,33.47
2010-08-24,33.63,34.19,33.57,33.95,3124700,33.64
2010-08-23,34.04,34.35,33.88,33.88,1477800,33.57
2010-08-20,33.49,33.95,33.36,33.86,2566500,33.55
2010-08-19,33.69,33.85,33.28,33.54,2061800,33.23
2010-08-18,34.00,34.14,33.58,33.84,2362900,33.53
2010-08-17,34.09,34.24,33.88,33.95,2548800,33.64
2010-08-16,33.79,33.98,33.36,33.86,2899700,33.55
2010-08-13,33.27,34.11,33.27,33.94,4045400,33.63
2010-08-12,32.76,33.44,32.69,33.33,2734200,33.03
2010-08-11,33.56,33.76,33.25,33.30,2943800,33.00
2010-08-10,33.65,34.30,33.50,34.10,3022500,33.79
