Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,80.82,80.90,79.20,79.72,1265100,79.72
2010-11-04,80.37,80.75,79.19,80.70,1255800,80.70
2010-11-03,79.74,79.94,78.11,79.56,575400,79.56
2010-11-02,79.76,80.75,79.39,79.68,1017800,79.68
2010-11-01,79.32,80.27,78.80,79.17,838000,79.17
2010-10-29,78.38,79.32,77.84,78.57,1416800,78.57
2010-10-28,81.02,81.38,78.87,79.05,1141800,79.05
2010-10-27,80.61,81.44,79.79,80.30,1046900,80.30
2010-10-26,82.09,82.37,81.25,81.50,1327800,81.50
2010-10-25,81.16,83.42,81.00,82.59,2168100,82.59
2010-10-22,79.40,79.69,78.34,78.60,660000,78.60
2010-10-21,79.19,80.22,78.62,79.37,618200,79.37
2010-10-20,77.27,79.77,77.17,79.07,888400,79.07
2010-10-19,77.69,78.53,76.63,77.17,888300,77.17
2010-10-18,78.43,79.21,78.16,78.87,572200,78.87
2010-10-15,78.65,79.04,77.52,78.50,672900,78.50
2010-10-14,78.64,78.85,77.58,78.07,680600,78.07
2010-10-13,78.70,79.25,78.16,78.67,714000,78.67
2010-10-12,78.34,78.34,77.25,77.87,1068700,77.87
2010-10-11,77.93,78.67,77.68,78.36,839100,78.36
2010-10-08,76.87,78.13,76.75,77.91,881600,77.91
2010-10-07,76.30,77.00,75.70,76.78,1274400,76.78
2010-10-06,76.13,76.39,75.77,76.02,723900,76.02
2010-10-05,74.86,76.30,74.57,76.17,1056900,76.17
2010-10-04,74.48,74.78,73.63,74.08,910000,74.08
2010-10-01,74.76,74.90,73.95,74.57,781600,74.57
2010-09-30,74.03,74.85,73.19,74.00,1252800,74.00
2010-09-29,73.13,74.35,72.86,73.53,1498200,73.53
2010-09-28,72.60,73.65,71.70,73.47,759400,73.47
2010-09-27,72.96,73.00,71.76,72.46,730300,72.46
2010-09-24,72.50,72.74,71.74,72.74,766300,72.74
2010-09-23,70.85,71.71,69.95,71.06,865200,71.06
2010-09-22,70.99,71.82,70.77,71.34,723300,71.34
2010-09-21,71.64,71.89,70.84,71.16,754700,71.16
2010-09-20,70.37,71.63,70.14,71.35,1170800,71.35
2010-09-17,69.82,70.29,69.05,70.07,1348600,70.07
2010-09-16,69.29,70.77,68.40,69.40,1627700,69.40
2010-09-15,66.76,67.18,66.14,66.93,783200,66.93
2010-09-14,67.09,67.30,66.25,67.07,1084300,67.07
2010-09-13,65.94,67.66,65.94,67.50,1040700,67.50
2010-09-10,65.61,65.88,65.00,65.15,703100,65.15
2010-09-09,65.91,65.95,64.77,65.52,1213500,65.52
2010-09-08,64.66,65.58,64.66,65.06,735300,64.62
2010-09-07,65.79,65.79,64.45,64.61,733800,64.17
2010-09-03,64.61,66.28,64.61,65.92,1148600,65.47
2010-09-02,64.51,64.66,63.92,64.15,999400,63.72
2010-09-01,62.52,64.38,62.47,64.25,1108900,63.82
2010-08-31,59.93,62.04,59.78,61.55,1405200,61.13
2010-08-30,60.91,61.41,60.06,60.17,1018900,59.76
2010-08-27,60.22,61.32,59.12,61.12,729200,60.71
2010-08-26,59.44,60.68,59.32,59.67,781200,59.27
2010-08-25,58.56,59.23,57.48,59.07,803500,58.67
2010-08-24,59.51,59.87,58.51,58.96,1024200,58.56
2010-08-23,61.20,61.77,60.27,60.35,578800,59.94
2010-08-20,60.03,61.04,59.69,60.94,980900,60.53
2010-08-19,61.80,61.98,59.98,60.63,630000,60.22
2010-08-18,62.44,62.53,61.60,62.24,594400,61.82
2010-08-17,61.35,62.90,61.32,62.36,968500,61.94
2010-08-16,59.75,60.85,59.27,60.58,714900,60.17
2010-08-13,60.27,60.76,60.08,60.13,587200,59.72
2010-08-12,60.00,61.17,59.78,60.65,880800,60.24
2010-08-11,62.00,62.00,60.64,60.92,976600,60.51
2010-08-10,63.25,63.52,62.20,63.18,1022300,62.75
2010-08-09,64.06,64.33,63.54,64.07,522200,63.64
2010-08-06,62.97,64.02,62.56,63.68,923900,63.25
2010-08-05,63.26,63.83,62.70,63.68,1284300,63.25
2010-08-04,63.52,64.11,62.95,63.95,1227300,63.52
2010-08-03,63.28,63.78,62.68,63.56,1373700,63.13
2010-08-02,63.67,63.89,62.32,63.80,1963300,63.37
2010-07-30,61.59,63.15,61.00,62.64,2886500,62.22
2010-07-29,59.91,60.79,58.67,59.76,1348400,59.36
2010-07-28,59.56,60.04,59.19,59.62,900700,59.22
2010-07-27,60.61,60.64,58.99,59.60,1292600,59.20
2010-07-26,59.08,59.96,58.47,59.86,1650500,59.46
2010-07-23,57.43,59.10,57.24,58.97,1452100,58.57
2010-07-22,56.57,57.99,56.33,57.54,1503400,57.15
2010-07-21,54.52,56.03,54.52,55.68,2654600,55.30
2010-07-20,52.74,54.04,52.44,53.99,2062200,53.62
2010-07-19,54.28,54.51,53.04,53.50,1301100,53.14
2010-07-16,55.67,55.71,54.13,54.21,882700,53.84
