Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,56.84,57.29,56.57,57.28,3649000,57.28
2010-11-04,55.28,56.79,55.26,56.75,4706800,56.75
2010-11-03,55.06,55.13,53.73,54.58,4896400,54.58
2010-11-02,54.55,55.07,53.75,54.72,8908000,54.72
2010-11-01,55.34,56.01,55.06,55.97,6514200,55.97
2010-10-29,54.56,55.11,54.21,54.90,3332600,54.90
2010-10-28,55.00,55.44,54.36,54.83,4932200,54.83
2010-10-27,54.35,54.49,53.62,54.44,2537300,54.44
2010-10-26,54.82,55.13,54.27,54.79,2689600,54.79
2010-10-25,54.78,55.25,54.57,54.95,4008900,54.95
2010-10-22,54.82,54.82,54.20,54.51,2188200,54.51
2010-10-21,54.27,55.00,54.10,54.80,4213800,54.80
2010-10-20,52.99,54.19,52.80,53.98,2831200,53.98
2010-10-19,52.96,53.34,52.23,52.76,3430100,52.76
2010-10-18,53.76,54.12,53.47,53.82,2348300,53.82
2010-10-15,54.05,54.35,53.19,53.67,2634200,53.67
2010-10-14,53.97,54.18,53.53,53.90,3162300,53.90
2010-10-13,53.19,54.04,53.12,53.91,3654900,53.91
2010-10-12,53.00,53.25,52.12,53.00,3920600,53.00
2010-10-11,53.49,53.67,53.05,53.19,2008400,53.19
2010-10-08,53.25,53.62,52.93,53.42,2672400,53.42
2010-10-07,53.76,53.76,52.98,53.27,3210100,53.27
2010-10-06,53.78,53.91,53.41,53.55,3415500,53.55
2010-10-05,53.70,53.99,53.24,53.80,5930000,53.80
2010-10-04,53.45,53.98,52.64,53.08,3695900,53.08
2010-10-01,53.04,53.67,52.94,53.67,5212500,53.67
2010-09-30,53.15,53.50,52.32,52.66,4651000,52.66
2010-09-29,52.69,53.02,52.58,52.89,4806800,52.89
2010-09-28,53.18,53.24,52.18,52.90,6171400,52.90
2010-09-27,53.50,53.65,52.91,52.95,4104000,52.95
2010-09-24,51.69,53.82,51.66,53.46,6865700,53.46
2010-09-23,51.47,51.83,50.83,51.18,3440600,51.18
2010-09-22,52.47,52.63,51.56,51.68,3716000,51.68
2010-09-21,52.31,52.89,52.18,52.48,4436500,52.48
2010-09-20,51.38,52.37,51.18,52.26,3146900,52.26
2010-09-17,50.83,51.31,50.26,51.22,4575700,51.22
2010-09-16,49.73,50.76,49.70,50.58,4537700,50.58
2010-09-15,50.36,50.41,49.75,50.05,3774800,50.05
2010-09-14,50.52,50.87,50.10,50.55,2495000,50.55
2010-09-13,50.46,50.92,50.42,50.55,3335100,50.55
2010-09-10,50.39,50.41,49.63,49.81,4305700,49.81
2010-09-09,50.70,50.82,50.05,50.23,4472900,50.23
2010-09-08,49.78,50.73,49.74,50.01,3324600,50.01
2010-09-07,49.52,50.09,49.24,49.76,3980400,49.76
2010-09-03,49.85,50.06,49.35,49.76,2650300,49.76
2010-09-02,48.38,49.17,48.33,49.13,2961900,49.13
2010-09-01,47.43,48.73,47.14,48.56,5249900,48.56
2010-08-31,46.29,47.09,45.92,46.65,4716100,46.65
2010-08-30,46.64,47.06,46.52,46.56,3624700,46.56
2010-08-27,45.84,46.97,45.37,46.88,4403400,46.88
2010-08-26,46.10,46.38,45.21,45.42,3478600,45.42
2010-08-25,45.49,45.99,44.87,45.81,4505200,45.81
2010-08-24,46.36,46.57,45.07,46.02,6319900,46.02
2010-08-23,47.01,47.69,46.97,47.10,4612900,47.10
2010-08-20,47.09,47.29,46.18,46.68,4607800,46.68
2010-08-19,48.34,48.46,47.11,47.39,3533700,47.39
2010-08-18,48.67,48.81,48.25,48.60,4258400,48.60
2010-08-17,48.55,49.43,48.38,48.66,4235900,48.66
2010-08-16,47.87,48.27,47.32,48.05,2195300,48.05
2010-08-13,48.15,48.45,47.93,48.23,2727400,48.23
2010-08-12,47.75,48.56,47.28,48.38,3368000,48.38
2010-08-11,49.71,49.77,48.07,48.33,3850600,48.33
2010-08-10,50.02,51.02,49.76,50.75,5340000,50.42
2010-08-09,50.51,50.63,49.93,50.45,2168100,50.12
2010-08-06,49.98,50.44,49.55,50.37,3674000,50.04
2010-08-05,50.13,50.57,49.82,50.51,5405100,50.18
2010-08-04,50.87,51.15,50.12,50.44,6755500,50.11
2010-08-03,51.52,51.80,50.58,50.84,7264900,50.50
2010-08-02,50.30,51.10,49.99,50.85,4562800,50.51
2010-07-30,49.28,49.81,49.07,49.54,6355400,49.21
2010-07-29,50.83,51.07,49.49,49.78,5360800,49.45
2010-07-28,50.02,50.53,49.80,50.44,3574400,50.11
2010-07-27,50.89,50.97,49.83,50.29,5208800,49.96
2010-07-26,50.41,51.17,50.25,50.60,4683200,50.27
2010-07-23,48.82,50.65,48.68,50.57,6527000,50.24
2010-07-22,48.05,49.14,48.03,48.84,5379000,48.52
2010-07-21,47.38,47.99,47.00,47.42,7738500,47.11
2010-07-20,44.99,47.12,44.80,47.05,5974200,46.74
2010-07-19,45.42,45.68,44.86,45.55,3034600,45.25
2010-07-16,46.13,46.29,45.09,45.22,4677500,44.92
2010-07-15,46.52,46.66,45.68,46.56,3424400,46.25
2010-07-14,46.20,46.50,45.94,46.47,4207400,46.16
2010-07-13,46.21,46.95,46.20,46.46,5161100,46.15
2010-07-12,46.12,46.50,45.61,45.69,5260100,45.39
2010-07-09,45.99,46.44,45.84,46.42,3868400,46.11
2010-07-08,45.43,45.94,45.02,45.93,4223700,45.63
2010-07-07,43.41,45.14,43.27,45.09,6240300,44.79
2010-07-06,44.19,44.46,43.09,43.40,4747100,43.11
2010-07-02,43.71,44.16,43.03,43.42,4427500,43.13
2010-07-01,43.50,43.82,42.73,43.70,8165400,43.41
2010-06-30,43.14,44.20,42.94,43.69,7439400,43.40
2010-06-29,43.90,44.14,42.69,43.29,9282100,43.00
2010-06-28,45.17,45.26,44.48,44.85,4833500,44.55
2010-06-25,44.65,45.10,44.11,44.89,5245600,44.59
2010-06-24,45.90,45.91,44.34,44.59,5284000,44.30
2010-06-23,46.36,46.43,45.37,46.00,3488000,45.70
2010-06-22,47.57,48.07,46.31,46.39,3765400,46.08
2010-06-21,48.07,48.71,47.32,47.64,3708500,47.33
2010-06-18,47.29,47.57,47.02,47.47,3746300,47.16
2010-06-17,47.44,47.67,46.50,47.23,2873100,46.92
2010-06-16,47.18,47.52,46.98,47.30,2526200,46.99
2010-06-15,45.65,47.47,45.61,47.45,4702200,47.14
2010-06-14,45.90,46.23,45.37,45.45,3454400,45.15
2010-06-11,45.45,45.85,45.09,45.77,3064800,45.47
2010-06-10,45.08,45.90,44.92,45.88,3945600,45.58
2010-06-09,44.46,45.11,43.80,43.99,4468800,43.70
2010-06-08,43.79,44.49,43.10,44.24,5256400,43.95
2010-06-07,45.06,45.15,43.68,43.70,5964600,43.41
2010-06-04,46.08,46.53,44.71,44.97,5245900,44.67
2010-06-03,47.06,47.72,46.75,47.28,2939900,46.97
2010-06-02,45.79,46.91,45.58,46.89,3304700,46.58
2010-06-01,45.94,46.97,45.55,45.60,4573100,45.30
2010-05-28,47.29,47.50,46.00,46.44,4097800,46.13
2010-05-27,46.42,47.37,46.15,47.36,4213500,47.05
2010-05-26,46.10,46.57,45.30,45.54,5748700,45.24
2010-05-25,43.76,45.70,43.41,45.60,7434200,45.30
2010-05-24,45.59,46.09,45.31,45.38,5911200,45.08
2010-05-21,45.24,46.46,44.50,45.93,10472200,45.63
2010-05-20,45.78,46.77,45.34,46.01,12107300,45.71
2010-05-19,47.62,47.82,46.02,46.83,7928200,46.52
2010-05-18,48.10,49.03,47.78,47.97,6813200,47.65
2010-05-17,49.11,49.22,47.00,47.89,10369500,47.57
2010-05-14,49.77,50.03,48.46,49.06,6810000,48.74
2010-05-13,50.06,50.89,50.01,50.33,5104000,50.00
2010-05-12,49.73,50.38,49.29,50.27,5520900,49.94
2010-05-11,50.30,50.74,49.50,49.90,7403900,49.24
2010-05-10,49.96,51.69,49.37,50.85,5940800,50.18
2010-05-07,48.47,49.08,46.58,48.47,13256100,47.83
2010-05-06,48.78,49.76,46.00,48.44,9712200,47.80
2010-05-05,49.71,50.21,48.60,49.02,6735200,48.37
2010-05-04,50.66,51.70,49.34,50.18,13058000,49.51
2010-05-03,52.53,53.73,52.53,53.62,3680400,52.91
2010-04-30,53.17,53.50,52.16,52.23,3579700,51.54
2010-04-29,52.94,53.35,52.70,53.21,4594000,52.50
2010-04-28,51.28,52.68,50.94,52.47,6426900,51.77
2010-04-27,52.34,52.71,50.77,50.90,5792600,50.22
2010-04-26,52.85,53.07,52.49,52.61,3688600,51.91
2010-04-23,52.60,52.79,51.72,52.74,4440400,52.04
2010-04-22,51.40,52.62,50.51,52.59,4232700,51.89
2010-04-21,52.04,52.28,51.46,51.91,3059400,51.22
2010-04-20,52.08,52.31,51.68,52.10,3134100,51.41
2010-04-19,51.52,51.90,50.94,51.65,2862200,50.96
2010-04-16,52.77,52.88,51.49,51.80,5591200,51.11
2010-04-15,51.88,53.05,51.70,52.95,6137200,52.25
2010-04-14,51.12,52.00,50.89,51.90,3393800,51.21
2010-04-13,50.68,51.27,50.63,51.15,2904100,50.47
2010-04-12,50.77,51.13,50.61,50.79,1954100,50.12
2010-04-09,50.99,51.22,50.52,50.80,2535700,50.13
2010-04-08,50.50,51.01,50.13,50.94,3161900,50.26
2010-04-07,50.82,50.96,50.04,50.45,4696000,49.78
2010-04-06,51.31,51.31,50.82,50.98,2803600,50.30
2010-04-05,51.00,51.36,50.71,51.33,2666100,50.65
2010-04-01,50.52,51.05,50.43,50.83,2095700,50.16
2010-03-31,50.59,50.87,50.23,50.34,4253500,49.67
2010-03-30,49.96,51.10,49.89,50.81,4249100,50.14
2010-03-29,49.93,50.03,49.64,49.83,2436800,49.17
2010-03-26,49.56,50.20,49.56,49.80,4721800,49.14
2010-03-25,49.55,50.00,49.27,49.49,4452200,48.83
2010-03-24,49.56,49.79,48.91,49.13,3359300,48.48
2010-03-23,48.95,49.71,48.83,49.54,3046200,48.88
2010-03-22,48.27,48.92,48.20,48.82,2495100,48.17
2010-03-19,49.06,49.28,48.38,48.62,3959400,47.97
2010-03-18,48.98,49.05,48.55,48.98,2042800,48.33
2010-03-17,48.75,49.15,48.70,48.89,2631800,48.24
2010-03-16,48.44,48.77,48.17,48.69,2714200,48.04
2010-03-15,47.95,48.35,47.88,48.35,3114300,47.71
2010-03-12,48.15,48.18,47.62,48.09,2360500,47.45
2010-03-11,47.80,47.95,47.40,47.95,3500800,47.31
2010-03-10,48.12,48.28,47.65,47.99,3558800,47.35
2010-03-09,47.88,48.19,47.66,47.99,2992100,47.35
2010-03-08,48.56,48.59,47.95,47.98,4086200,47.34
2010-03-05,48.28,48.89,48.14,48.49,3748300,47.85
2010-03-04,47.96,48.29,47.67,47.95,3283800,47.31
2010-03-03,47.83,48.32,47.78,47.91,3589100,47.27
2010-03-02,47.59,47.90,47.45,47.63,3286600,47.00
2010-03-01,47.58,47.58,47.19,47.37,4928500,46.74
2010-02-26,47.77,48.03,47.05,47.34,5693700,46.71
2010-02-25,47.49,47.80,46.69,47.70,5332700,47.07
2010-02-24,47.16,48.21,46.95,48.16,5654500,47.52
2010-02-23,48.06,48.20,47.00,47.12,5196900,46.49
2010-02-22,48.19,48.39,47.71,48.21,4409600,47.57
2010-02-19,47.51,48.14,47.39,48.08,5662300,47.44
2010-02-18,47.06,47.78,47.02,47.73,4173200,47.10
2010-02-17,46.99,47.21,46.66,47.17,4443400,46.54
2010-02-16,46.59,46.98,46.39,46.95,4616500,46.33
2010-02-12,46.06,46.35,45.59,46.21,5373600,45.60
2010-02-11,45.44,46.62,45.20,46.53,5839700,45.91
2010-02-10,45.84,46.00,45.06,45.47,5371600,44.87
2010-02-09,44.90,46.04,44.62,45.81,7029900,44.87
2010-02-08,45.07,45.25,44.43,44.47,3976600,43.56
2010-02-05,45.10,45.65,44.36,45.15,7978100,44.23
2010-02-04,46.16,46.28,45.00,45.27,7859700,44.34
2010-02-03,46.25,47.01,46.17,46.56,6380900,45.61
2010-02-02,45.28,47.12,42.68,46.77,15023200,45.81
2010-02-01,41.81,42.56,41.79,42.48,4718300,41.61
2010-01-29,41.83,42.46,41.45,41.54,4657700,40.69
2010-01-28,42.21,42.30,41.22,41.67,3799700,40.82
2010-01-27,42.15,42.27,41.45,42.06,5676500,41.20
2010-01-26,42.35,42.77,42.06,42.17,3828700,41.31
2010-01-25,42.71,42.87,42.34,42.51,3132300,41.64
2010-01-22,43.05,43.42,42.06,42.08,4855300,41.22
2010-01-21,44.13,44.29,43.03,43.11,4886300,42.23
2010-01-20,44.38,44.44,43.72,44.24,3225500,43.33
2010-01-19,44.27,44.74,44.10,44.73,3531200,43.81
2010-01-15,44.80,45.55,44.14,44.32,4524600,43.41
2010-01-14,44.52,45.00,44.21,44.94,5364100,44.02
2010-01-13,44.64,44.69,44.36,44.52,3564000,43.61
2010-01-12,44.45,44.76,44.17,44.49,4337000,43.58
2010-01-11,44.23,44.89,44.01,44.73,3356800,43.81
2010-01-08,43.73,44.09,43.42,44.06,3477500,43.16
2010-01-07,43.60,43.84,43.29,43.81,3085700,42.91
2010-01-06,43.25,43.83,43.16,43.81,4314700,42.91
