Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,88.66,88.86,87.00,88.61,3639100,88.61
2010-11-04,89.76,89.76,86.31,88.29,6261900,88.29
2010-11-03,90.49,90.50,86.00,88.64,16100500,88.64
2010-11-02,97.17,98.36,95.86,97.74,2034500,97.74
2010-11-01,96.88,97.91,95.36,96.07,1422000,96.07
2010-10-29,94.52,96.03,94.14,95.72,2033400,95.72
2010-10-28,96.39,96.91,94.34,94.94,1440500,94.94
2010-10-27,94.92,95.90,93.66,95.76,1753000,95.76
2010-10-26,96.86,97.68,95.18,95.75,2012500,95.75
2010-10-25,98.03,98.92,97.12,97.46,1334700,97.46
2010-10-22,99.47,99.48,96.49,97.31,1978300,97.31
2010-10-21,100.45,101.68,97.68,98.80,2110400,98.80
2010-10-20,99.56,100.82,99.16,100.12,1448700,100.12
2010-10-19,99.78,100.10,98.54,99.48,3005000,99.48
2010-10-18,99.87,102.06,99.56,101.33,2235300,101.33
2010-10-15,99.70,100.83,99.15,100.04,3067100,100.04
2010-10-14,97.87,99.74,97.87,99.01,2070700,99.01
2010-10-13,99.71,100.23,98.35,98.75,2852900,98.75
2010-10-12,98.88,99.44,97.79,98.91,1306700,98.76
2010-10-11,99.00,100.64,98.79,99.56,1306000,99.40
2010-10-08,98.68,99.82,97.97,99.46,1677900,99.30
2010-10-07,99.01,99.07,97.62,98.56,1933000,98.41
2010-10-06,97.27,99.43,97.19,98.52,2368700,98.37
2010-10-05,96.76,97.76,95.43,97.33,2108900,97.18
2010-10-04,95.37,96.85,95.18,95.72,3140600,95.57
2010-10-01,94.11,96.59,93.98,96.17,3013900,96.02
2010-09-30,94.48,94.85,91.71,92.97,2987900,92.82
2010-09-29,91.01,93.94,90.76,93.82,2818800,93.67
2010-09-28,91.36,91.98,90.08,91.78,1781300,91.64
2010-09-27,92.24,92.97,91.19,91.25,1564100,91.11
2010-09-24,91.14,92.87,90.06,92.11,2731200,91.97
2010-09-23,89.30,90.78,88.63,89.67,2191400,89.53
2010-09-22,89.70,90.93,89.70,90.36,3678600,90.22
2010-09-21,88.00,90.25,87.27,89.62,3891500,89.48
2010-09-20,89.42,89.87,87.35,87.73,4783200,87.59
2010-09-17,91.08,91.08,87.84,89.11,7070700,88.97
2010-09-16,92.19,92.70,90.44,91.00,2482400,90.86
2010-09-15,91.74,92.15,90.73,91.58,2782600,91.44
2010-09-14,91.87,93.14,91.30,92.20,1544900,92.06
2010-09-13,93.15,93.15,91.64,92.29,1568400,92.15
2010-09-10,89.62,92.56,89.62,92.20,3013300,92.06
2010-09-09,91.44,91.50,88.52,89.37,1741000,89.23
2010-09-08,88.72,90.63,88.72,90.27,2098600,90.13
2010-09-07,89.26,89.89,88.34,88.71,2167200,88.57
2010-09-03,90.33,91.38,89.79,90.33,2088900,90.19
2010-09-02,90.08,90.08,88.44,89.49,1631200,89.35
2010-09-01,88.28,90.06,87.29,89.94,3099100,89.80
2010-08-31,87.15,88.32,85.91,86.87,2879600,86.73
2010-08-30,89.24,89.93,87.53,87.56,2274900,87.42
2010-08-27,87.55,89.61,85.80,89.40,2156500,89.26
2010-08-26,88.08,89.02,86.18,86.62,2292800,86.48
2010-08-25,87.91,87.98,85.42,87.46,3756000,87.32
2010-08-24,90.30,90.48,87.54,88.61,3543000,88.47
2010-08-23,91.63,92.95,91.39,91.73,1991600,91.59
2010-08-20,91.26,91.70,90.43,91.42,2826200,91.28
2010-08-19,92.99,93.59,91.12,91.52,2953700,91.38
2010-08-18,94.77,95.00,91.96,93.35,3028600,93.20
2010-08-17,95.07,95.60,93.79,95.16,2446800,95.01
2010-08-16,93.49,94.19,92.11,94.09,2696300,93.94
2010-08-13,95.31,95.93,93.71,94.17,4068800,94.02
2010-08-12,95.39,97.86,95.03,95.36,2961200,95.21
2010-08-11,98.59,99.18,96.73,97.15,2478800,97.00
2010-08-10,98.80,101.41,98.49,100.70,4795700,100.54
2010-08-09,100.17,100.60,98.11,99.94,2628600,99.78
2010-08-06,96.45,99.73,95.25,99.26,6882500,99.10
2010-08-05,102.25,102.90,101.12,102.44,1768400,102.28
2010-08-04,102.06,103.75,101.52,103.00,1599600,102.84
2010-08-03,102.30,102.85,101.20,101.70,2103700,101.54
2010-08-02,99.31,102.85,99.06,102.51,2619400,102.35
2010-07-30,99.58,100.98,97.14,97.50,3823900,97.35
2010-07-29,101.73,102.02,99.47,100.58,1824800,100.42
2010-07-28,100.93,101.86,100.02,100.56,1665300,100.40
2010-07-27,103.86,103.94,99.11,100.56,3037500,100.40
2010-07-26,102.21,104.42,102.21,103.72,1710100,103.56
2010-07-23,102.79,103.21,100.59,102.33,2336100,102.17
2010-07-22,103.85,104.74,102.77,103.20,2110300,103.04
2010-07-21,104.53,104.64,101.53,102.42,2412000,102.26
2010-07-20,100.48,104.49,100.01,104.15,2881400,103.99
2010-07-19,102.68,103.52,100.67,102.01,2301800,101.85
2010-07-16,105.12,105.53,101.13,102.28,3106700,102.12
2010-07-15,107.00,107.00,103.93,106.19,2122200,106.02
2010-07-14,106.11,108.47,105.16,106.64,2103200,106.47
2010-07-13,106.99,108.32,106.51,106.81,2623300,106.49
2010-07-12,105.30,106.60,104.68,105.54,1612700,105.22
2010-07-09,105.89,106.89,104.25,105.57,1864900,105.25
2010-07-08,104.88,106.80,103.75,106.22,3524100,105.90
2010-07-07,100.12,103.82,99.23,103.80,2728900,103.49
2010-07-06,100.34,102.70,98.77,99.85,2595000,99.55
2010-07-02,98.69,100.65,97.57,98.34,2601600,98.04
2010-07-01,98.52,99.98,95.78,99.08,3264900,98.78
2010-06-30,100.26,101.35,98.05,98.37,3685100,98.07
2010-06-29,103.33,103.76,99.53,100.24,4140300,99.94
2010-06-28,108.94,109.57,104.94,105.42,3095300,105.10
2010-06-25,106.24,109.97,104.61,109.78,7173000,109.45
2010-06-24,105.82,108.22,103.98,104.59,2808100,104.27
2010-06-23,106.57,107.92,105.26,106.84,2690000,106.52
2010-06-22,110.61,111.35,105.81,106.45,3001900,106.13
2010-06-21,112.00,113.90,109.52,110.61,3036000,110.28
2010-06-18,110.00,110.55,108.98,110.22,3026800,109.89
2010-06-17,110.42,111.14,108.52,110.06,2565500,109.73
2010-06-16,109.44,111.42,108.73,110.39,1748500,110.06
2010-06-15,110.61,111.03,108.85,110.36,3029600,110.03
2010-06-14,110.94,112.16,108.64,108.95,3109400,108.62
2010-06-11,107.99,109.91,106.95,109.86,2289500,109.53
2010-06-10,105.82,108.87,105.82,108.77,3456500,108.44
2010-06-09,106.18,108.54,103.09,103.81,3208500,103.50
2010-06-08,102.51,105.79,101.10,105.36,4139700,105.04
2010-06-07,103.56,106.20,99.38,101.14,5121800,100.83
2010-06-04,107.80,110.59,101.93,102.99,6319800,102.68
2010-06-03,107.47,109.91,105.12,109.73,3634000,109.40
2010-06-02,102.10,107.80,100.87,107.75,4052300,107.43
2010-06-01,103.59,104.99,100.59,100.83,3341100,100.53
2010-05-28,106.03,107.57,103.85,104.84,3213700,104.52
2010-05-27,101.97,106.72,101.45,106.51,4022100,106.19
2010-05-26,100.02,101.89,99.40,99.74,3294300,99.44
2010-05-25,93.50,98.93,93.43,98.71,3253500,98.41
2010-05-24,99.63,101.07,97.26,97.36,2862300,97.07
2010-05-21,94.38,100.66,93.28,100.59,4135200,100.29
2010-05-20,99.64,99.78,96.03,96.29,2838300,96.00
