Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,13.28,13.49,13.24,13.46,5839400,13.46
2010-11-04,13.20,13.57,13.12,13.28,13510300,13.28
2010-11-03,13.40,13.47,12.51,13.03,29064900,13.03
2010-11-02,13.52,13.55,13.34,13.53,4035000,13.53
2010-11-01,13.32,13.50,13.31,13.42,4152700,13.42
2010-10-29,13.06,13.28,13.05,13.26,4272000,13.26
2010-10-28,13.20,13.32,13.05,13.15,6938100,13.15
2010-10-27,12.91,13.14,12.83,13.13,4927800,13.13
2010-10-26,13.00,13.09,12.92,13.04,3952100,13.04
2010-10-25,13.26,13.36,12.99,13.06,6707600,13.06
2010-10-22,13.25,13.31,13.07,13.18,3362400,13.18
2010-10-21,13.19,13.37,13.01,13.20,3953600,13.20
2010-10-20,13.05,13.26,13.05,13.14,4070400,13.14
2010-10-19,13.13,13.27,12.94,13.07,4548800,13.07
2010-10-18,13.14,13.39,13.07,13.35,3482100,13.35
2010-10-15,13.38,13.38,13.09,13.16,5331800,13.16
2010-10-14,13.30,13.37,13.13,13.25,3819100,13.25
2010-10-13,13.07,13.45,13.07,13.31,7255200,13.31
2010-10-12,13.05,13.06,12.83,12.99,6202800,12.99
2010-10-11,13.15,13.25,13.05,13.09,6878300,13.09
2010-10-08,12.73,13.20,12.64,13.11,10758900,13.11
2010-10-07,12.71,12.79,12.59,12.73,5930000,12.73
2010-10-06,12.50,12.71,12.45,12.66,5200800,12.66
2010-10-05,12.33,12.56,12.30,12.53,4872600,12.53
2010-10-04,12.37,12.40,12.00,12.17,5613200,12.17
2010-10-01,12.52,12.53,12.32,12.43,7670100,12.43
2010-09-30,12.57,12.66,12.28,12.38,6464200,12.38
2010-09-29,12.25,12.50,12.21,12.47,6539100,12.47
2010-09-28,12.32,12.36,12.10,12.33,4809400,12.33
2010-09-27,12.24,12.44,12.20,12.28,3392300,12.28
2010-09-24,12.17,12.44,12.06,12.28,5392100,12.28
2010-09-23,11.99,12.16,11.95,12.00,5415200,12.00
2010-09-22,12.27,12.40,12.13,12.15,6782200,12.15
2010-09-21,12.37,12.40,12.20,12.21,7077900,12.21
2010-09-20,12.12,12.40,12.06,12.34,5154900,12.34
2010-09-17,12.10,12.15,11.94,12.08,5647800,12.08
2010-09-16,11.95,12.13,11.85,12.06,6929200,12.06
2010-09-15,12.12,12.13,12.00,12.11,4869600,12.11
2010-09-14,12.26,12.36,12.14,12.22,6084600,12.22
2010-09-13,12.32,12.43,12.18,12.30,6302100,12.30
2010-09-10,12.13,12.30,12.12,12.18,4182200,12.18
2010-09-09,12.26,12.28,12.06,12.10,5027900,12.10
2010-09-08,11.91,12.12,11.89,12.07,5463700,12.07
2010-09-07,12.04,12.08,11.84,11.90,7461300,11.90
2010-09-03,12.13,12.34,12.08,12.20,4265300,12.20
2010-09-02,11.93,12.12,11.80,12.11,5139000,12.11
2010-09-01,11.60,11.92,11.56,11.87,5913800,11.87
2010-08-31,11.36,11.56,11.28,11.39,8721800,11.38
2010-08-30,11.62,11.80,11.40,11.42,7428700,11.41
2010-08-27,11.29,11.69,11.16,11.66,8399700,11.65
2010-08-26,11.41,11.52,11.13,11.18,4480900,11.17
2010-08-25,11.13,11.40,10.97,11.33,7009000,11.32
2010-08-24,11.25,11.35,11.10,11.22,6744000,11.21
2010-08-23,11.52,11.65,11.37,11.42,4737900,11.41
2010-08-20,11.38,11.54,11.25,11.50,6608000,11.49
2010-08-19,11.67,11.67,11.40,11.50,6121500,11.49
2010-08-18,11.95,11.96,11.67,11.73,6385300,11.72
2010-08-17,11.74,12.04,11.64,11.98,6883400,11.97
2010-08-16,11.54,11.63,11.44,11.62,4354400,11.61
2010-08-13,11.69,11.84,11.58,11.61,7897000,11.60
2010-08-12,11.54,11.84,11.53,11.65,6005400,11.64
2010-08-11,12.15,12.16,11.67,11.74,11367200,11.73
2010-08-10,12.52,12.56,12.33,12.44,6139400,12.43
2010-08-09,12.70,12.74,12.56,12.72,4697100,12.71
2010-08-06,12.68,12.76,12.44,12.63,8475100,12.62
2010-08-05,12.78,12.81,12.61,12.80,5884000,12.79
2010-08-04,12.84,12.93,12.62,12.85,8454600,12.84
2010-08-03,12.66,12.83,12.59,12.64,7127200,12.63
2010-08-02,12.49,12.85,12.49,12.81,5975600,12.80
2010-07-30,12.20,12.38,12.03,12.32,8189100,12.31
2010-07-29,12.67,12.74,12.27,12.36,7678300,12.35
2010-07-28,12.60,12.80,12.52,12.56,6381000,12.55
2010-07-27,12.83,12.87,12.58,12.66,7014400,12.65
2010-07-26,12.56,12.79,12.52,12.76,6309200,12.75
2010-07-23,12.41,12.60,12.25,12.55,5706500,12.54
2010-07-22,12.29,12.53,12.26,12.42,5484500,12.41
2010-07-21,12.31,12.44,12.01,12.13,7743400,12.12
2010-07-20,11.82,12.31,11.81,12.29,7081400,12.28
2010-07-19,12.03,12.08,11.85,12.02,7384900,12.01
2010-07-16,12.38,12.41,11.90,11.97,10311100,11.96
2010-07-15,12.35,12.53,12.02,12.46,7612700,12.45
2010-07-14,12.33,12.47,12.21,12.35,5130600,12.34
2010-07-13,12.43,12.60,12.39,12.42,8956700,12.41
2010-07-12,12.17,12.31,12.03,12.30,10319100,12.29
2010-07-09,12.01,12.28,11.91,12.17,11862500,12.16
2010-07-08,11.96,12.06,11.72,12.04,14416300,12.03
2010-07-07,11.10,11.82,11.08,11.80,10223600,11.79
2010-07-06,11.17,11.37,10.98,11.08,8287400,11.07
2010-07-02,11.02,11.17,10.87,11.02,7747000,11.01
2010-07-01,11.06,11.20,10.60,11.03,9351300,11.02
2010-06-30,11.33,11.47,11.08,11.11,8944400,11.10
2010-06-29,11.60,11.64,11.22,11.31,8771700,11.30
2010-06-28,11.93,11.94,11.71,11.81,9401900,11.80
2010-06-25,11.90,12.01,11.67,11.84,9893600,11.83
2010-06-24,12.05,12.21,11.73,11.82,11803500,11.81
2010-06-23,12.18,12.31,11.96,12.20,7210300,12.19
2010-06-22,12.64,12.68,12.10,12.15,7604400,12.14
2010-06-21,12.84,13.00,12.58,12.68,7710800,12.67
2010-06-18,12.58,12.71,12.47,12.68,6658400,12.67
2010-06-17,12.58,12.63,12.34,12.56,6298600,12.55
2010-06-16,12.50,12.71,12.42,12.61,6779600,12.60
2010-06-15,12.30,12.66,12.29,12.62,12359700,12.61
2010-06-14,12.31,12.40,12.09,12.11,10946800,12.10
2010-06-11,11.82,12.13,11.82,12.13,6929300,12.12
2010-06-10,11.58,12.07,11.58,12.00,11067100,11.99
2010-06-09,11.40,11.72,11.26,11.34,9810900,11.33
2010-06-08,10.74,11.35,10.74,11.31,15477900,11.30
2010-06-07,11.28,11.39,10.82,10.83,13835800,10.82
2010-06-04,11.28,11.51,11.00,11.11,13626700,11.10
2010-06-03,11.35,11.59,11.17,11.59,8227500,11.58
2010-06-02,10.96,11.24,10.76,11.24,9760300,11.23
2010-06-01,11.16,11.19,10.80,10.82,13539600,10.80
2010-05-28,11.37,11.68,11.20,11.34,10070400,11.32
2010-05-27,11.24,11.41,11.08,11.41,8898900,11.39
2010-05-26,10.72,11.20,10.72,10.96,13981000,10.94
2010-05-25,10.37,10.67,10.17,10.65,10338900,10.63
2010-05-24,10.78,10.94,10.59,10.60,7292500,10.58
2010-05-21,10.48,11.06,10.37,10.86,14605900,10.84
2010-05-20,10.90,11.03,10.68,10.72,17138900,10.70
2010-05-19,11.46,11.57,11.03,11.33,15070700,11.31
2010-05-18,11.83,12.04,11.45,11.52,12244700,11.50
2010-05-17,12.12,12.21,11.39,11.65,13557100,11.63
2010-05-14,12.02,12.12,11.85,12.07,13634400,12.05
2010-05-13,12.13,12.39,11.94,12.16,11239300,12.14
2010-05-12,11.90,12.27,11.86,12.18,7468300,12.16
2010-05-11,11.86,12.24,11.72,11.86,12468400,11.84
2010-05-10,11.77,12.10,11.70,12.04,15960000,12.02
2010-05-07,11.50,11.81,10.91,11.06,16906100,11.04
2010-05-06,11.91,12.09,10.77,11.54,19834700,11.52
2010-05-05,11.87,12.01,11.59,11.78,9959300,11.76
2010-05-04,12.07,12.13,11.90,12.03,8684900,12.01
2010-05-03,12.17,12.31,12.02,12.24,7658400,12.22
2010-04-30,12.45,12.45,12.06,12.10,7906600,12.08
2010-04-29,12.16,12.48,12.00,12.09,9015000,12.07
2010-04-28,12.08,12.12,11.85,12.00,10593200,11.98
2010-04-27,12.27,12.37,11.96,12.01,14880200,11.99
2010-04-26,12.52,12.58,12.16,12.34,15494700,12.32
2010-04-23,11.89,12.53,11.81,12.51,24749400,12.49
2010-04-22,11.21,11.74,11.11,11.70,8618400,11.68
2010-04-21,11.38,11.39,11.22,11.33,4884200,11.31
2010-04-20,11.23,11.42,11.22,11.36,6490400,11.34
2010-04-19,11.02,11.24,11.01,11.18,6898300,11.16
2010-04-16,11.30,11.36,11.00,11.10,8239200,11.08
2010-04-15,11.53,11.53,11.35,11.40,3635000,11.38
2010-04-14,11.31,11.52,11.29,11.52,3963000,11.50
2010-04-13,11.45,11.47,11.20,11.32,4286800,11.30
2010-04-12,11.47,11.58,11.38,11.46,6968300,11.44
2010-04-09,11.41,11.51,11.34,11.41,5258100,11.39
2010-04-08,11.31,11.45,11.15,11.43,8898900,11.41
2010-04-07,11.56,11.66,11.34,11.40,7176300,11.38
2010-04-06,11.57,11.85,11.50,11.66,10799400,11.64
2010-04-05,11.34,11.50,11.23,11.48,4954700,11.46
2010-04-01,11.00,11.21,10.93,11.18,6388200,11.16
2010-03-31,10.79,10.96,10.76,10.84,6344000,10.82
2010-03-30,10.88,10.90,10.72,10.82,6728500,10.80
2010-03-29,10.72,10.88,10.63,10.85,13128900,10.83
2010-03-26,10.80,10.88,10.55,10.60,9534000,10.58
2010-03-25,11.06,11.25,10.70,10.73,11478300,10.71
2010-03-24,10.90,10.96,10.80,10.84,8508300,10.82
2010-03-23,10.91,10.96,10.76,10.93,11472100,10.91
2010-03-22,10.97,11.02,10.85,10.93,7611400,10.91
2010-03-19,11.14,11.25,10.98,11.13,10684000,11.11
2010-03-18,11.20,11.25,10.88,11.14,9383200,11.12
2010-03-17,11.22,11.26,11.13,11.20,8530400,11.18
2010-03-16,11.12,11.23,11.03,11.19,7563700,11.17
2010-03-15,11.39,11.42,10.95,11.08,8039900,11.06
2010-03-12,11.43,11.50,11.30,11.43,5809900,11.41
2010-03-11,11.23,11.39,11.13,11.36,3791700,11.34
2010-03-10,11.23,11.40,11.21,11.35,5671500,11.33
2010-03-09,11.29,11.40,11.20,11.24,7315800,11.22
2010-03-08,11.44,11.59,11.29,11.38,8040800,11.36
2010-03-05,11.40,11.49,11.30,11.43,6918300,11.41
2010-03-04,11.40,11.45,11.20,11.31,9306600,11.29
2010-03-03,11.07,11.43,11.02,11.35,11441700,11.33
2010-03-02,11.02,11.13,10.97,11.02,6666500,10.99
2010-03-01,10.95,11.14,10.71,10.90,13328100,10.87
2010-02-26,10.33,10.54,10.28,10.47,9850200,10.44
2010-02-25,9.97,10.28,9.91,10.24,7015200,10.21
2010-02-24,10.22,10.23,10.07,10.11,9113600,10.08
2010-02-23,10.16,10.26,10.05,10.09,9309800,10.06
2010-02-22,10.38,10.43,10.10,10.25,12351300,10.22
2010-02-19,10.33,10.43,10.07,10.31,14441600,10.28
2010-02-18,10.42,10.52,10.20,10.38,11632500,10.35
2010-02-17,10.52,10.59,10.38,10.47,11803100,10.44
2010-02-16,10.32,10.57,10.25,10.51,13154200,10.48
2010-02-12,10.10,10.18,9.94,10.05,9665000,10.02
2010-02-11,10.02,10.30,9.89,10.28,7933200,10.25
2010-02-10,10.13,10.14,9.80,9.99,7374400,9.96
2010-02-09,10.05,10.25,9.98,10.14,9657700,10.11
2010-02-08,9.95,10.12,9.81,9.90,9445300,9.87
2010-02-05,9.88,9.98,9.55,9.91,12344700,9.88
2010-02-04,10.49,10.49,9.88,9.89,12003100,9.86
2010-02-03,10.56,10.65,10.49,10.54,8318300,10.51
2010-02-02,10.50,10.65,10.31,10.62,7976800,10.59
2010-02-01,10.21,10.45,10.19,10.45,7628700,10.42
2010-01-29,10.58,11.00,10.12,10.15,9752600,10.12
2010-01-28,10.65,10.96,10.39,10.49,8436600,10.46
2010-01-27,10.81,10.81,10.33,10.62,14822700,10.59
2010-01-26,10.87,11.06,10.80,10.80,10612500,10.77
2010-01-25,10.95,11.10,10.91,10.95,9210800,10.92
2010-01-22,10.93,11.20,10.85,10.86,13434300,10.83
2010-01-21,11.45,11.45,10.94,10.95,13756600,10.92
2010-01-20,11.00,11.24,10.90,11.19,11978600,11.16
2010-01-19,10.32,11.24,10.32,11.10,22247700,11.07
2010-01-15,10.47,10.58,10.28,10.37,5377300,10.34
2010-01-14,10.58,10.80,10.53,10.54,6816300,10.51
2010-01-13,10.46,10.67,10.40,10.65,6068800,10.62
2010-01-12,10.59,10.71,10.46,10.57,5627800,10.54
2010-01-11,10.79,10.83,10.60,10.77,5994400,10.74
2010-01-08,10.70,10.77,10.51,10.77,7026500,10.74
2010-01-07,10.65,10.75,10.52,10.70,8879000,10.67
2010-01-06,10.64,10.83,10.52,10.77,13630500,10.74
2010-01-05,10.35,10.60,10.28,10.59,8659500,10.56
2010-01-04,10.00,10.35,9.98,10.32,8865800,10.29
2009-12-31,9.95,10.03,9.82,9.83,3195100,9.80
2009-12-30,9.84,9.97,9.80,9.94,3182700,9.91
2009-12-29,10.13,10.14,9.93,9.93,3530500,9.90
2009-12-28,10.25,10.28,10.02,10.12,4147800,10.09
2009-12-24,10.11,10.21,10.11,10.20,1773700,10.17
2009-12-23,10.11,10.14,10.00,10.12,3024200,10.09
2009-12-22,10.00,10.15,9.97,10.06,6847000,10.03
2009-12-21,9.80,10.07,9.80,10.03,6582500,10.00
2009-12-18,9.88,9.96,9.76,9.77,8127600,9.74
2009-12-17,9.89,9.97,9.76,9.77,6744300,9.74
2009-12-16,9.91,10.02,9.81,9.97,9094800,9.94
2009-12-15,9.70,9.86,9.66,9.78,6666300,9.75
2009-12-14,9.61,9.82,9.61,9.69,8603400,9.66
2009-12-11,9.61,9.63,9.44,9.51,13820800,9.48
2009-12-10,9.46,9.57,8.94,9.33,22899600,9.30
2009-12-09,9.39,9.49,9.26,9.39,5242700,9.36
2009-12-08,9.54,9.63,9.35,9.38,8053600,9.35
2009-12-07,9.42,9.71,9.42,9.63,6056900,9.60
2009-12-04,9.60,9.71,9.35,9.50,11019000,9.47
2009-12-03,9.68,9.73,9.51,9.53,5219500,9.50
2009-12-02,9.73,9.75,9.57,9.70,5389700,9.67
2009-12-01,9.65,9.74,9.54,9.71,4931400,9.67
2009-11-30,9.44,9.70,9.44,9.56,7391000,9.52
2009-11-27,9.45,9.59,9.35,9.50,3610000,9.46
2009-11-25,9.60,9.80,9.55,9.79,4747100,9.75
2009-11-24,9.68,9.68,9.42,9.58,5399500,9.54
2009-11-23,9.86,9.90,9.60,9.65,5337900,9.61
2009-11-20,9.49,9.66,9.49,9.56,7678000,9.52
2009-11-19,9.84,9.90,9.59,9.63,7532000,9.59
2009-11-18,10.09,10.14,9.86,9.93,6810300,9.89
2009-11-17,10.31,10.39,10.04,10.06,8762800,10.02
2009-11-16,10.03,10.45,10.02,10.37,8433500,10.33
2009-11-13,9.96,10.10,9.83,10.00,8607800,9.96
2009-11-12,10.00,10.20,9.90,9.93,11443300,9.89
2009-11-11,10.35,10.35,9.98,10.12,9445600,10.08
2009-11-10,10.11,10.18,10.04,10.18,9182800,10.14
2009-11-09,10.06,10.21,10.00,10.14,8418900,10.10
2009-11-06,9.88,10.18,9.80,9.90,7416500,9.86
2009-11-05,9.99,10.13,9.87,9.99,10935600,9.95
2009-11-04,9.56,10.08,9.52,9.71,20470600,9.67
2009-11-03,9.58,9.92,9.50,9.80,13309900,9.76
2009-11-02,9.86,10.04,9.50,9.68,10461200,9.64
2009-10-30,10.25,10.31,9.75,9.81,11392900,9.77
2009-10-29,10.16,10.37,10.09,10.32,10080300,10.28
2009-10-28,10.39,10.50,9.98,10.00,10232800,9.96
2009-10-27,10.28,10.53,10.17,10.40,7581800,10.36
2009-10-26,10.54,10.88,10.17,10.30,8982400,10.26
2009-10-23,10.82,10.90,10.43,10.52,8116800,10.48
2009-10-22,10.92,10.93,10.65,10.77,8835900,10.73
