Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,38.81,38.95,38.24,38.36,1058700,38.36
2010-11-04,38.24,38.89,38.21,38.82,1007600,38.82
2010-11-03,37.99,38.08,37.08,37.75,1165500,37.75
2010-11-02,37.57,37.98,37.33,37.94,880100,37.72
2010-11-01,37.83,38.14,36.91,37.18,1138600,36.96
2010-10-29,37.13,37.58,36.89,37.44,1060400,37.22
2010-10-28,37.11,37.32,36.62,37.26,1157700,37.04
2010-10-27,36.59,36.96,36.27,36.77,1164800,36.56
2010-10-26,37.31,37.31,36.98,37.16,853300,36.94
2010-10-25,37.69,38.12,37.35,37.47,845500,37.25
2010-10-22,37.46,37.67,37.08,37.42,711200,37.20
2010-10-21,38.10,38.24,37.12,37.38,1028900,37.16
2010-10-20,37.94,38.29,37.76,38.00,950100,37.78
2010-10-19,37.70,38.08,37.35,37.87,1444600,37.65
2010-10-18,37.86,38.35,37.76,38.34,1085900,38.12
2010-10-15,38.28,38.41,37.64,37.96,984400,37.74
2010-10-14,38.05,38.44,37.80,37.91,1064500,37.69
2010-10-13,37.42,38.17,37.42,38.08,1781200,37.86
2010-10-12,37.11,37.23,36.58,37.15,1086300,36.93
2010-10-11,37.39,37.50,37.11,37.31,1455200,37.09
2010-10-08,37.19,37.46,36.94,37.29,2013100,37.07
2010-10-07,37.59,37.59,36.93,37.17,1186600,36.95
2010-10-06,36.70,37.60,36.70,37.37,1951800,37.15
2010-10-05,36.64,36.97,36.50,36.81,1370400,36.60
2010-10-04,36.38,36.51,36.01,36.21,977100,36.00
2010-10-01,36.49,36.62,36.14,36.41,1268300,36.20
2010-09-30,36.21,36.63,35.67,36.06,1301800,35.85
2010-09-29,35.58,36.47,34.90,35.98,3045200,35.77
2010-09-28,34.03,34.49,33.56,34.39,1829900,34.19
2010-09-27,33.76,34.00,33.48,33.80,745900,33.60
2010-09-24,33.09,33.82,33.03,33.78,1150000,33.58
2010-09-23,32.91,33.09,32.57,32.69,1263400,32.50
2010-09-22,33.24,33.73,33.07,33.17,1308400,32.98
2010-09-21,34.03,34.15,32.96,33.18,2376300,32.99
2010-09-20,33.92,34.21,33.47,34.14,1561300,33.94
2010-09-17,34.55,34.55,33.70,33.89,3650200,33.69
2010-09-16,34.48,34.62,34.10,34.40,1029600,34.20
2010-09-15,34.50,34.63,34.11,34.58,912900,34.38
2010-09-14,34.64,34.89,34.38,34.62,1011200,34.42
2010-09-13,34.76,34.91,34.46,34.64,1674700,34.44
2010-09-10,34.56,34.64,34.31,34.42,1204600,34.22
2010-09-09,34.37,34.64,34.30,34.50,1704900,34.30
2010-09-08,34.01,34.35,33.75,33.84,1196000,33.64
2010-09-07,34.23,34.26,33.90,34.00,1182000,33.80
2010-09-03,34.33,34.61,34.14,34.48,815100,34.28
2010-09-02,34.03,34.10,33.54,34.05,1518900,33.85
2010-09-01,33.12,34.06,33.10,33.98,2133700,33.78
2010-08-31,32.62,33.11,32.40,32.60,5602000,32.41
2010-08-30,33.27,33.52,32.85,32.85,1117500,32.66
2010-08-27,32.88,33.41,32.24,33.37,1644500,33.18
2010-08-26,32.90,33.08,32.41,32.54,1422500,32.35
2010-08-25,32.68,32.97,32.23,32.86,1760700,32.67
2010-08-24,33.38,33.54,32.94,32.99,1315100,32.80
2010-08-23,33.65,34.11,33.62,33.83,1424700,33.63
2010-08-20,33.93,34.00,33.25,33.54,2017700,33.35
2010-08-19,35.24,35.25,33.97,34.26,2113500,34.06
2010-08-18,35.75,35.75,35.15,35.37,1637700,35.16
2010-08-17,36.04,36.04,35.52,35.74,2136300,35.53
2010-08-16,35.86,36.01,35.55,35.70,1398200,35.49
2010-08-13,36.07,36.55,35.97,36.15,1293200,35.94
2010-08-12,36.58,36.79,36.15,36.25,1858400,36.04
2010-08-11,38.00,38.04,37.20,37.23,1421400,37.01
2010-08-10,38.75,39.05,38.26,38.74,1781800,38.52
2010-08-09,39.28,39.30,38.79,39.06,785600,38.83
2010-08-06,38.96,39.18,38.39,38.96,1348400,38.73
2010-08-05,38.24,39.50,38.23,39.34,1934300,39.11
2010-08-04,38.37,38.65,38.02,38.53,1292400,38.31
2010-08-03,38.53,38.79,37.95,38.60,1616500,38.16
2010-08-02,37.23,38.58,37.19,38.53,2227000,38.09
2010-07-30,36.40,36.72,35.91,36.68,2125700,36.26
2010-07-29,38.03,38.03,36.04,36.86,2057200,36.44
2010-07-28,37.24,37.86,37.04,37.81,1831100,37.38
2010-07-27,37.82,37.84,37.10,37.39,1271600,36.96
2010-07-26,37.20,37.79,37.08,37.72,1327200,37.29
2010-07-23,37.47,37.76,36.84,37.18,1988000,36.75
2010-07-22,37.19,38.00,37.19,37.80,973400,37.37
2010-07-21,37.56,37.59,36.62,36.82,1432700,36.40
2010-07-20,35.94,37.54,35.89,37.48,1641700,37.05
2010-07-19,36.22,36.49,35.90,36.39,602500,35.97
2010-07-16,37.19,37.19,35.90,35.99,1362000,35.58
2010-07-15,36.97,37.55,36.52,37.42,1013800,36.99
2010-07-14,36.92,37.34,36.58,37.03,856100,36.61
2010-07-13,37.40,37.50,36.91,37.13,844500,36.70
2010-07-12,36.83,37.19,36.44,36.90,630400,36.48
2010-07-09,37.33,37.41,36.79,37.07,1234300,36.64
2010-07-08,37.57,37.82,36.96,37.34,1115100,36.91
2010-07-07,35.88,37.29,35.88,37.29,1058500,36.86
2010-07-06,35.77,36.29,35.50,35.88,1060400,35.47
