Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,15.87,16.39,15.60,16.34,8193400,16.34
2010-11-04,15.71,15.85,15.34,15.85,9435000,15.85
2010-11-03,16.00,16.09,15.25,15.50,17193400,15.50
2010-11-02,15.92,16.23,15.84,16.20,10276600,16.20
2010-11-01,15.82,15.95,15.69,15.80,3982000,15.80
2010-10-29,15.60,15.90,15.56,15.83,4095500,15.83
2010-10-28,15.85,15.88,15.53,15.63,4011400,15.63
2010-10-27,15.76,15.81,15.55,15.79,3946800,15.79
2010-10-26,15.52,15.88,15.46,15.81,3710300,15.81
2010-10-25,15.67,15.80,15.59,15.62,3850200,15.62
2010-10-22,15.57,15.68,15.46,15.61,2607800,15.61
2010-10-21,15.42,15.80,15.37,15.57,4976800,15.57
2010-10-20,15.58,15.72,15.30,15.40,7554600,15.40
2010-10-19,15.60,15.73,15.43,15.58,5806800,15.58
2010-10-18,15.87,16.00,15.69,15.77,6283600,15.77
2010-10-15,16.66,16.66,15.77,15.96,11433700,15.96
2010-10-14,16.72,16.98,16.45,16.52,5695800,16.52
2010-10-13,16.69,16.86,16.36,16.76,9328700,16.76
2010-10-12,17.60,17.76,16.46,16.61,18523200,16.61
2010-10-11,17.65,17.93,17.33,17.66,3843300,17.66
2010-10-08,17.58,17.75,17.41,17.65,3396100,17.65
2010-10-07,17.55,17.68,17.23,17.58,5170500,17.58
2010-10-06,17.77,17.84,17.28,17.41,5951000,17.41
2010-10-05,17.11,18.06,17.11,17.82,10597800,17.82
2010-10-04,16.39,17.20,16.38,16.96,7112200,16.96
2010-10-01,16.60,16.78,16.42,16.44,3364400,16.44
2010-09-30,16.42,16.75,16.24,16.45,6043200,16.45
2010-09-29,16.48,16.57,16.12,16.23,3017400,16.23
2010-09-28,16.29,16.66,16.21,16.55,4340000,16.55
2010-09-27,16.41,16.69,16.40,16.57,2610100,16.57
2010-09-24,16.32,16.59,16.29,16.46,3376100,16.46
2010-09-23,15.95,16.31,15.91,16.16,4170000,16.16
2010-09-22,16.28,16.44,16.11,16.15,3346500,16.15
2010-09-21,16.31,16.44,16.17,16.29,3114600,16.29
2010-09-20,16.30,16.51,16.23,16.35,5008700,16.35
2010-09-17,16.50,16.50,16.19,16.26,4078600,16.26
2010-09-16,16.66,16.73,16.17,16.38,3073400,16.38
2010-09-15,16.58,16.72,16.47,16.64,2523000,16.64
2010-09-14,16.47,16.78,16.45,16.71,4063400,16.71
2010-09-13,16.39,16.59,16.33,16.53,3104500,16.53
2010-09-10,16.34,16.54,16.19,16.24,2478500,16.24
