Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,75.50,75.69,74.95,75.40,1278400,75.40
2010-11-04,75.18,75.76,74.87,75.40,2127100,75.40
2010-11-03,74.58,74.71,73.79,74.66,1206100,74.66
2010-11-02,74.14,74.83,74.14,74.56,1346500,74.56
2010-11-01,75.37,77.08,73.20,73.83,3107000,73.83
2010-10-29,73.95,74.64,73.66,74.53,2162000,74.53
2010-10-28,73.60,74.21,73.60,73.97,2042500,73.97
2010-10-27,73.65,73.65,72.67,73.26,2233900,73.26
2010-10-26,73.61,74.35,73.28,74.10,1685400,74.10
2010-10-25,74.53,74.75,73.27,73.73,1840200,73.73
2010-10-22,75.16,75.58,74.50,74.59,1929900,74.59
2010-10-21,77.00,77.37,75.08,75.28,2520500,75.28
2010-10-20,76.78,77.63,76.71,77.11,1148800,77.11
2010-10-19,76.77,77.07,76.35,76.53,1393700,76.53
2010-10-18,77.09,77.72,77.03,77.46,702200,77.46
2010-10-15,77.54,77.69,76.52,76.97,1445700,76.97
2010-10-14,77.34,77.75,76.88,77.00,1218100,77.00
2010-10-13,77.26,77.62,76.87,77.30,1359600,77.30
2010-10-12,76.94,77.05,76.40,76.81,1356700,76.81
2010-10-11,76.15,77.88,76.11,77.14,1443300,77.14
2010-10-08,76.31,76.72,75.92,76.12,1427900,76.12
2010-10-07,77.03,77.12,76.41,76.44,1434100,76.44
2010-10-06,77.44,77.59,76.46,76.67,1896800,76.67
2010-10-05,77.31,77.90,76.89,77.64,1296100,77.64
2010-10-04,77.17,77.49,76.16,76.66,1184000,76.66
2010-10-01,76.70,77.42,76.51,77.17,1245600,77.17
2010-09-30,77.44,77.74,76.30,76.53,1334900,76.53
2010-09-29,77.43,77.51,76.46,77.24,1161700,77.24
2010-09-28,77.52,77.70,76.59,77.56,1647300,77.56
2010-09-27,77.05,77.93,76.70,77.25,1646600,77.25
2010-09-24,76.69,77.49,76.69,77.05,1804700,77.05
2010-09-23,76.41,77.10,75.88,76.40,2003200,76.40
2010-09-22,76.39,77.39,76.39,77.05,1921800,77.05
2010-09-21,76.54,76.80,76.02,76.38,2670300,76.38
2010-09-20,76.29,77.09,76.16,76.75,2209900,76.75
2010-09-17,78.16,78.16,76.54,76.68,2676100,76.68
2010-09-16,78.12,78.44,77.55,77.70,1464400,77.70
2010-09-15,78.07,78.55,77.46,78.37,1367800,78.37
2010-09-14,78.28,78.85,77.04,78.14,2134500,78.14
2010-09-13,80.68,80.68,79.39,79.56,1403200,79.56
2010-09-10,80.18,80.43,79.72,80.09,1144100,80.09
2010-09-09,80.35,80.79,80.18,80.32,1259000,80.32
2010-09-08,80.01,80.42,79.46,79.62,987400,79.62
2010-09-07,79.58,80.26,79.58,79.77,1306400,79.77
2010-09-03,80.41,80.80,79.70,79.97,1513300,79.97
2010-09-02,80.59,80.68,79.58,79.93,1067100,79.93
2010-09-01,79.28,80.55,79.25,80.33,2286900,80.33
2010-08-31,77.94,79.23,77.37,78.84,1321900,78.84
2010-08-30,79.55,79.67,78.35,78.35,1183600,78.35
2010-08-27,77.82,80.09,77.59,79.64,2468900,79.64
2010-08-26,78.67,78.76,77.46,77.50,1350900,77.50
2010-08-25,77.90,78.45,77.21,78.31,1271100,78.31
2010-08-24,77.69,78.86,77.51,78.17,1448100,78.17
2010-08-23,78.02,79.03,77.79,78.39,1100300,78.39
2010-08-20,77.29,77.77,76.58,77.46,1092800,77.46
2010-08-19,79.10,79.10,77.04,77.86,1213900,77.86
2010-08-18,79.27,79.66,78.34,79.38,1293100,79.38
2010-08-17,78.66,79.83,78.37,79.23,1108700,79.23
2010-08-16,77.78,78.23,77.07,78.16,1534900,78.16
2010-08-13,77.63,79.03,77.52,78.11,941300,78.11
2010-08-12,77.46,78.38,77.17,77.92,1183900,77.92
2010-08-11,78.59,78.91,78.06,78.58,1433800,78.58
2010-08-10,78.64,79.80,77.86,79.55,1571100,79.55
2010-08-09,80.00,80.20,79.50,79.65,1537500,78.82
2010-08-06,78.63,79.98,78.63,79.75,1649000,78.92
2010-08-05,78.59,79.69,78.20,79.48,1801700,78.65
2010-08-04,79.35,79.66,78.30,78.94,977600,78.12
2010-08-03,79.19,80.00,76.50,79.18,960200,78.35
2010-08-02,78.35,79.79,78.35,79.56,1494000,78.73
2010-07-30,77.56,78.08,77.16,77.51,1451800,76.70
2010-07-29,79.79,80.00,77.92,78.20,1561700,77.39
2010-07-28,79.61,80.03,79.27,79.35,1265400,78.52
2010-07-27,78.31,79.86,77.97,79.78,1360400,78.95
2010-07-26,78.45,79.00,78.31,78.82,1135000,78.00
2010-07-23,78.12,78.95,77.61,78.29,1225000,77.47
2010-07-22,77.26,78.51,77.05,78.27,1631400,77.45
2010-07-21,78.22,78.37,76.15,76.55,1038100,75.75
2010-07-20,76.61,78.10,76.33,78.00,1127300,77.19
2010-07-19,76.64,77.87,76.16,77.64,1511400,76.83
2010-07-16,76.76,77.00,75.73,75.96,1258800,75.17
2010-07-15,75.99,77.25,75.75,77.04,1273400,76.24
2010-07-14,76.20,76.42,75.32,76.18,1275900,75.39
2010-07-13,76.37,77.13,75.88,76.56,1280000,75.76
2010-07-12,75.59,76.49,75.55,76.01,1110700,75.22
2010-07-09,74.57,76.25,74.33,76.11,2062100,75.32
2010-07-08,74.88,74.92,74.16,74.64,1575400,73.86
2010-07-07,72.33,74.32,72.29,74.29,1340500,73.52
2010-07-06,71.53,72.52,70.99,72.18,1416000,71.43
2010-07-02,71.34,71.74,70.46,70.70,1418000,69.96
2010-07-01,71.72,71.73,70.35,71.19,1378400,70.45
2010-06-30,72.12,72.91,71.43,71.62,1726000,70.87
2010-06-29,73.20,73.20,72.01,72.44,1420800,71.69
2010-06-28,73.69,74.30,73.23,73.93,1018100,73.16
