Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,41.17,41.28,40.95,41.17,8885400,41.17
2010-11-04,41.03,41.17,40.90,41.17,14800900,41.17
2010-11-03,41.11,41.16,40.52,40.75,3997800,40.75
2010-11-02,41.21,41.36,40.87,41.02,4587100,41.02
2010-11-01,41.09,41.50,40.70,40.90,5731600,40.90
2010-10-29,40.98,40.98,40.57,40.82,5227500,40.82
2010-10-28,41.13,41.25,40.71,40.98,4301700,40.98
2010-10-27,40.92,40.96,40.39,40.93,5190300,40.93
2010-10-26,41.26,41.46,41.03,41.10,5541500,41.10
2010-10-25,42.08,42.32,41.25,41.33,7923000,41.33
2010-10-22,43.52,43.52,41.86,42.00,9005700,42.00
2010-10-21,44.38,44.49,43.33,43.52,5911700,43.52
2010-10-20,43.80,44.49,43.79,44.28,3470800,44.28
2010-10-19,43.65,44.23,43.59,43.74,5310500,43.74
2010-10-18,43.31,44.08,43.20,44.01,8179900,44.01
2010-10-15,43.23,43.32,42.88,43.15,4192900,43.15
2010-10-14,43.21,43.38,42.77,43.02,2955500,43.02
2010-10-13,43.34,43.38,43.00,43.19,3769500,43.19
2010-10-12,43.21,43.22,42.80,43.03,2685000,43.03
2010-10-11,43.15,43.38,42.96,43.20,2243000,43.20
2010-10-08,43.04,43.22,42.78,43.20,2920800,43.20
2010-10-07,42.97,43.08,42.73,42.92,2091300,42.92
2010-10-06,42.84,42.96,42.49,42.85,3510600,42.85
2010-10-05,42.99,43.00,42.48,42.91,5316000,42.91
2010-10-04,42.92,43.23,42.45,42.71,3049700,42.71
2010-10-01,42.90,43.07,42.55,43.03,3870400,43.03
2010-09-30,43.00,43.09,42.38,42.58,3384600,42.58
2010-09-29,42.89,42.95,42.55,42.82,2392700,42.82
2010-09-28,43.16,43.30,42.77,43.04,2641300,43.04
2010-09-27,43.06,43.32,42.98,43.09,2277900,43.09
2010-09-24,42.63,43.20,42.61,42.98,3104900,42.98
2010-09-23,42.75,42.75,42.20,42.26,3922800,42.26
2010-09-22,42.37,43.15,42.37,42.92,4036100,42.92
2010-09-21,42.67,42.72,42.23,42.35,3791900,42.35
2010-09-20,42.18,42.78,42.13,42.74,2844300,42.74
2010-09-17,42.41,42.41,41.89,42.11,6431100,42.11
2010-09-16,42.23,42.27,41.89,42.14,2413800,42.14
2010-09-15,42.17,42.44,42.00,42.29,2670900,42.29
2010-09-14,42.69,42.72,42.18,42.23,4176000,42.23
2010-09-13,43.07,43.13,42.65,42.68,4471100,42.68
2010-09-10,42.66,42.96,42.40,42.82,3970300,42.82
2010-09-09,42.17,42.60,42.17,42.48,3240000,42.48
2010-09-08,41.87,42.25,41.82,41.95,3587200,41.95
2010-09-07,41.99,42.27,41.71,41.75,3426000,41.75
2010-09-03,41.98,42.29,41.75,42.22,3998100,42.22
2010-09-02,41.86,41.90,41.28,41.72,3831500,41.72
2010-09-01,41.10,41.72,40.81,41.66,3939700,41.66
2010-08-31,40.40,40.86,40.05,40.72,4996800,40.72
2010-08-30,40.63,40.92,40.45,40.52,3086300,40.52
2010-08-27,40.27,40.90,39.93,40.76,3433300,40.76
2010-08-26,40.21,40.39,39.95,40.08,3467900,40.08
2010-08-25,39.93,40.16,39.52,40.03,4434200,40.03
2010-08-24,40.27,40.47,40.02,40.05,6575900,40.05
2010-08-23,40.65,41.12,40.51,40.55,4388400,40.55
2010-08-20,40.29,40.52,40.14,40.41,3707500,40.41
2010-08-19,41.01,41.01,40.34,40.56,4034200,40.56
2010-08-18,41.43,41.45,40.76,41.15,4137100,41.15
2010-08-17,41.45,41.82,41.32,41.36,4236500,41.36
2010-08-16,41.19,41.36,40.93,41.21,2671300,41.21
2010-08-13,41.18,41.72,41.18,41.37,3301600,41.37
2010-08-12,41.26,41.59,41.06,41.25,4138500,41.25
2010-08-11,42.32,42.32,41.94,41.99,4509500,41.47
2010-08-10,42.05,42.94,41.91,42.60,4086600,42.07
2010-08-09,42.33,42.50,42.12,42.37,2956700,41.84
