Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,51.89,52.29,51.60,51.78,1519600,51.78
2010-11-04,50.60,51.75,50.29,51.71,1830800,51.71
2010-11-03,49.47,50.33,48.80,50.30,1637200,50.30
2010-11-02,50.34,50.79,48.62,49.44,1771700,49.44
2010-11-01,49.50,50.52,49.39,49.73,1282700,49.73
2010-10-29,49.05,49.60,48.90,49.36,927100,49.36
2010-10-28,49.33,49.48,48.64,49.21,949800,49.21
2010-10-27,49.33,49.63,48.80,49.11,1442500,49.11
2010-10-26,48.81,50.17,48.62,49.86,1005800,49.86
2010-10-25,49.93,50.56,49.79,49.99,1165100,49.99
2010-10-22,49.16,49.57,48.92,49.57,723100,49.57
2010-10-21,49.43,49.79,48.68,49.23,1415700,49.23
2010-10-20,48.26,49.44,48.26,49.32,1347000,49.32
2010-10-19,48.73,48.95,47.66,48.09,1917400,48.09
2010-10-18,48.94,49.05,48.21,49.02,2509000,49.02
2010-10-15,49.54,49.68,48.95,49.48,1724500,49.48
2010-10-14,48.48,49.17,48.45,49.05,1404300,49.05
2010-10-13,48.05,49.03,47.89,48.64,1304900,48.64
2010-10-12,47.61,48.04,46.85,47.82,1307500,47.82
2010-10-11,47.52,47.72,47.29,47.59,740900,47.59
2010-10-08,46.91,47.71,46.43,47.61,1194100,47.61
2010-10-07,47.32,47.42,46.42,46.82,1118400,46.82
2010-10-06,47.47,47.59,46.93,47.24,1197200,47.24
2010-10-05,46.00,48.35,45.92,47.48,2733700,47.48
2010-10-04,45.96,46.23,45.23,45.60,1360200,45.60
2010-10-01,46.67,46.91,45.94,46.13,1243500,46.13
2010-09-30,46.78,47.58,46.01,46.23,1709600,46.23
2010-09-29,46.12,46.57,45.87,46.53,1094600,46.53
2010-09-28,45.78,46.92,45.25,46.28,1489500,46.28
2010-09-27,45.71,45.89,45.45,45.56,1122300,45.56
2010-09-24,44.68,45.80,44.45,45.60,1735600,45.60
2010-09-23,44.53,44.97,43.85,44.06,1349800,44.06
2010-09-22,45.34,45.91,44.78,44.93,1225200,44.93
2010-09-21,44.96,45.38,44.81,45.28,1530100,45.28
2010-09-20,44.35,45.04,44.29,44.97,1305100,44.97
2010-09-17,44.23,44.72,43.98,44.20,1663900,44.20
2010-09-16,44.37,44.44,43.60,43.99,1287700,43.99
2010-09-15,44.18,44.59,43.82,44.55,885200,44.55
2010-09-14,44.61,44.67,44.16,44.29,1032600,44.29
2010-09-13,43.99,44.68,43.81,44.55,1852100,44.55
2010-09-10,43.11,43.79,43.03,43.65,1434800,43.65
2010-09-09,43.68,43.73,42.72,42.98,1558100,42.98
2010-09-08,43.02,43.60,42.96,43.22,1105400,43.22
2010-09-07,42.85,43.15,42.56,42.92,1900300,42.92
2010-09-03,42.39,43.13,42.38,43.12,2113500,43.12
2010-09-02,40.95,42.03,40.87,42.03,1460000,42.03
2010-09-01,40.22,41.06,39.92,40.96,1925200,40.96
2010-08-31,39.63,40.15,39.21,39.60,1713200,39.60
2010-08-30,40.38,40.72,39.83,39.83,1074900,39.83
2010-08-27,40.28,40.81,39.80,40.63,1734600,40.63
2010-08-26,40.22,40.77,39.99,40.11,1665900,40.11
2010-08-25,39.89,40.34,39.38,40.15,1664400,40.15
2010-08-24,40.62,40.74,39.57,40.18,1728100,40.18
