Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,27.34,27.82,27.19,27.30,8344600,27.30
2010-11-04,28.95,28.96,26.63,27.17,13607500,27.17
2010-11-03,28.67,28.70,28.17,28.68,4346100,28.68
2010-11-02,28.93,28.94,28.53,28.69,2782400,28.69
2010-11-01,28.98,29.25,28.29,28.54,3659700,28.54
2010-10-29,29.05,29.35,28.10,28.95,9032200,28.95
2010-10-28,29.50,29.50,28.46,29.14,8433000,29.14
2010-10-27,28.01,29.05,28.00,29.00,6628400,29.00
2010-10-26,28.54,28.81,27.86,28.29,5114100,28.29
2010-10-25,28.59,29.37,28.26,28.59,3960700,28.59
2010-10-22,28.00,28.66,27.85,28.28,3608300,28.28
2010-10-21,27.50,28.31,27.50,27.89,3835100,27.89
2010-10-20,27.09,27.42,26.92,27.16,3505000,27.16
2010-10-19,27.18,27.34,26.52,26.85,3826700,26.85
2010-10-18,27.75,27.85,27.34,27.45,4966100,27.45
2010-10-15,27.92,28.28,27.50,27.82,5639700,27.82
2010-10-14,28.29,28.34,27.40,27.70,3554100,27.70
2010-10-13,28.09,28.55,27.95,28.29,3020700,28.29
2010-10-12,28.46,28.46,27.26,27.91,6618200,27.91
2010-10-11,28.32,29.05,28.32,28.50,3782900,28.50
2010-10-08,27.58,28.35,27.55,28.29,4508700,28.29
2010-10-07,27.99,28.37,27.65,28.26,4559300,28.26
2010-10-06,28.22,28.32,27.36,27.70,3313100,27.70
2010-10-05,27.56,28.43,27.49,28.30,3979000,28.30
2010-10-04,27.80,27.80,26.98,27.17,4482700,27.17
2010-10-01,28.65,28.65,27.39,27.71,7306600,27.71
2010-09-30,28.81,29.08,27.93,28.23,5337500,28.23
2010-09-29,28.85,29.30,28.31,28.41,6075500,28.41
2010-09-28,29.56,29.75,28.69,29.01,6054200,29.01
2010-09-27,29.27,29.57,28.80,29.29,4589000,29.29
2010-09-24,28.62,29.85,28.61,29.64,5747000,29.64
2010-09-23,28.24,28.73,28.04,28.31,4214800,28.31
2010-09-22,28.30,28.98,28.24,28.40,4557300,28.40
2010-09-21,28.87,28.93,28.42,28.65,6474000,28.65
2010-09-20,28.16,28.96,28.03,28.85,8084000,28.85
2010-09-17,27.95,28.90,27.91,28.76,10649000,28.76
2010-09-16,26.64,27.71,26.53,27.69,6031800,27.69
2010-09-15,26.63,26.90,26.26,26.66,3559200,26.66
2010-09-14,26.32,26.94,26.18,26.84,4191200,26.84
2010-09-13,26.16,26.55,26.06,26.50,3941800,26.50
2010-09-10,25.65,26.35,25.41,25.86,3768300,25.86
2010-09-09,25.44,25.79,25.09,25.54,4209300,25.54
2010-09-08,24.78,25.32,24.78,25.19,4863200,25.19
2010-09-07,25.29,25.40,24.61,24.64,3309100,24.64
2010-09-03,25.73,25.98,25.10,25.41,3013600,25.41
2010-09-02,24.43,25.48,24.43,25.38,5052200,25.38
2010-09-01,23.47,24.51,23.30,24.49,5805100,24.49
2010-08-31,22.53,23.09,22.30,22.86,4402700,22.86
2010-08-30,23.30,23.39,22.74,22.74,2840300,22.74
2010-08-27,23.22,23.50,22.79,23.41,4649700,23.41
2010-08-26,23.21,23.40,22.93,23.07,4346100,23.07
2010-08-25,22.36,23.12,22.31,23.02,5359900,23.02
2010-08-24,23.09,23.24,22.58,22.61,6576100,22.61
2010-08-23,23.81,24.04,23.51,23.54,5231400,23.47
2010-08-20,23.48,23.71,23.23,23.64,3411200,23.57
2010-08-19,23.56,23.79,23.00,23.50,5028700,23.43
2010-08-18,24.18,24.31,23.72,23.74,9064100,23.67
2010-08-17,24.00,24.60,23.91,24.32,3478200,24.25
2010-08-16,23.48,23.89,23.34,23.82,5476000,23.75
2010-08-13,23.61,24.03,23.57,23.68,4023600,23.61
2010-08-12,23.26,23.83,23.25,23.77,6283300,23.70
2010-08-11,23.89,24.02,23.40,23.57,6112900,23.50
2010-08-10,24.23,24.83,23.97,24.68,4708400,24.61
2010-08-09,24.75,24.97,24.25,24.53,6348700,24.46
2010-08-06,23.65,24.62,23.65,24.61,5827800,24.54
2010-08-05,23.98,24.37,23.73,24.27,4931500,24.20
2010-08-04,23.58,24.47,23.23,24.32,11274100,24.25
2010-08-03,22.62,23.02,22.59,22.86,5755000,22.79
2010-08-02,22.93,23.25,22.61,22.77,6700100,22.70
2010-07-30,21.50,23.08,21.16,22.68,15379000,22.61
2010-07-29,21.41,21.81,20.79,21.07,7081600,21.01
2010-07-28,21.60,21.96,20.96,21.30,5314600,21.24
2010-07-27,21.69,21.89,21.44,21.61,6426500,21.55
2010-07-26,21.91,21.99,21.41,21.60,5476500,21.54
2010-07-23,21.16,21.99,20.98,21.96,5881600,21.89
2010-07-22,20.83,21.49,20.70,21.19,4005600,21.13
2010-07-21,20.80,21.03,20.37,20.61,5508200,20.55
2010-07-20,19.92,20.78,19.81,20.76,4768300,20.70
2010-07-19,20.13,20.44,19.91,20.34,4124900,20.28
2010-07-16,20.62,20.81,19.98,20.04,5203600,19.98
2010-07-15,20.31,20.71,19.99,20.65,5915600,20.59
2010-07-14,19.79,20.50,19.50,20.26,6621300,20.20
2010-07-13,19.10,19.85,19.03,19.70,8215800,19.64
2010-07-12,18.80,18.96,18.54,18.82,6211600,18.76
2010-07-09,18.70,18.92,18.60,18.88,6643100,18.82
2010-07-08,19.34,19.50,18.79,18.98,5687300,18.92
2010-07-07,18.66,19.22,18.51,19.16,4061400,19.10
2010-07-06,18.53,19.19,18.35,18.51,5073000,18.45
2010-07-02,18.90,18.95,18.30,18.33,6244000,18.28
2010-07-01,18.74,19.16,18.35,18.98,5207500,18.92
2010-06-30,18.85,19.42,18.69,18.78,4674600,18.72
2010-06-29,19.36,19.57,18.87,18.93,8760400,18.87
2010-06-28,19.69,19.99,19.58,19.70,4856800,19.64
2010-06-25,19.41,19.72,19.19,19.56,7159000,19.50
2010-06-24,20.05,20.27,19.27,19.38,6728700,19.32
2010-06-23,20.51,20.67,20.09,20.21,5428400,20.15
2010-06-22,20.54,21.01,20.37,20.43,6388800,20.37
2010-06-21,21.22,21.38,20.27,20.44,4143300,20.38
2010-06-18,20.98,21.19,20.80,20.97,6346900,20.91
2010-06-17,21.71,21.71,20.67,20.88,6027000,20.82
2010-06-16,21.45,21.81,21.23,21.63,5896800,21.57
2010-06-15,21.02,21.53,20.70,21.50,4482500,21.44
2010-06-14,20.72,21.15,20.39,20.80,3910900,20.74
2010-06-11,20.20,20.56,20.11,20.55,3380600,20.49
2010-06-10,20.13,20.57,19.94,20.55,4071500,20.49
2010-06-09,19.82,20.37,19.74,19.80,5132600,19.74
2010-06-08,19.82,20.08,19.18,19.72,7245600,19.66
2010-06-07,20.28,20.72,19.83,19.88,4732600,19.82
2010-06-04,20.87,21.04,20.04,20.18,6988800,20.12
2010-06-03,21.22,21.40,20.80,21.33,9080700,21.27
2010-06-02,21.05,21.38,20.82,21.35,5585200,21.29
2010-06-01,21.43,21.93,21.00,21.00,4320800,20.94
2010-05-28,21.98,22.21,21.34,21.56,4929500,21.50
2010-05-27,22.25,22.25,21.69,22.04,5017900,21.97
2010-05-26,21.75,22.05,21.47,21.64,5282000,21.58
2010-05-25,20.86,21.63,20.60,21.61,7603800,21.55
2010-05-24,21.70,22.18,21.50,21.53,5807500,21.40
2010-05-21,21.45,22.10,20.95,21.78,8665700,21.64
2010-05-20,22.04,22.39,21.41,21.67,6371100,21.54
2010-05-19,22.53,23.03,22.04,22.64,6826000,22.50
2010-05-18,23.27,23.89,22.60,22.70,8504100,22.56
2010-05-17,22.97,23.14,22.39,23.11,6583400,22.97
2010-05-14,23.32,23.35,22.49,22.80,4980200,22.66
2010-05-13,23.33,23.75,23.32,23.50,5139900,23.35
2010-05-12,23.12,23.60,22.93,23.58,4507700,23.43
2010-05-11,22.99,23.49,22.00,23.18,7793800,23.04
2010-05-10,22.67,23.67,22.59,23.65,6782200,23.50
2010-05-07,22.65,23.25,21.73,22.00,9103000,21.86
2010-05-06,23.26,23.83,22.08,23.06,8661200,22.92
2010-05-05,23.37,24.00,22.61,23.55,7537400,23.40
2010-05-04,23.86,23.86,22.99,23.46,7122900,23.31
2010-05-03,23.61,24.27,23.61,24.16,6219300,24.01
2010-04-30,24.99,24.99,23.28,23.61,10838600,23.46
2010-04-29,23.60,24.90,23.60,24.51,7883400,24.36
2010-04-28,23.75,23.99,23.35,23.50,4250900,23.35
2010-04-27,24.39,24.98,23.53,23.68,7567200,23.53
2010-04-26,24.17,25.13,24.11,24.63,4453500,24.48
2010-04-23,24.50,24.70,24.08,24.18,5248500,24.03
2010-04-22,24.26,24.76,24.09,24.53,4995600,24.38
2010-04-21,24.94,25.11,24.50,24.63,4704100,24.48
2010-04-20,24.89,25.29,24.76,25.06,2793900,24.90
2010-04-19,24.63,24.93,24.28,24.71,4982200,24.56
2010-04-16,25.27,25.55,24.72,24.85,6565200,24.70
2010-04-15,25.59,25.89,25.31,25.38,5955100,25.22
2010-04-14,25.09,25.71,25.09,25.48,7745800,25.32
2010-04-13,26.00,26.09,25.01,25.05,9854400,24.89
2010-04-12,25.30,25.61,24.57,25.18,5395400,25.02
2010-04-09,24.79,24.95,24.46,24.57,2546100,24.42
2010-04-08,24.94,25.04,24.44,24.73,4885500,24.58
2010-04-07,25.34,25.59,24.75,24.94,4847900,24.78
2010-04-06,24.86,25.68,24.75,25.29,6409700,25.13
2010-04-05,24.44,25.09,24.32,25.04,3897500,24.88
2010-04-01,25.03,25.21,24.38,24.43,4191900,24.28
2010-03-31,24.31,25.20,24.16,24.95,6400300,24.79
2010-03-30,24.23,24.72,24.20,24.36,4859800,24.21
2010-03-29,22.95,24.87,22.92,24.35,10570000,24.20
2010-03-26,22.96,23.15,22.64,22.94,4501000,22.80
2010-03-25,22.92,23.31,22.83,22.88,3668900,22.74
2010-03-24,22.80,23.07,22.71,22.80,2950500,22.66
2010-03-23,23.26,23.46,22.71,22.91,6404600,22.77
2010-03-22,22.66,23.47,22.33,23.45,6637100,23.30
2010-03-19,22.73,22.89,22.53,22.69,6429000,22.55
2010-03-18,22.61,22.98,22.57,22.70,3576500,22.56
2010-03-17,22.99,23.12,22.82,22.90,3596900,22.76
2010-03-16,22.63,22.85,22.30,22.76,5567400,22.62
2010-03-15,22.32,22.69,22.16,22.63,4109600,22.49
2010-03-12,22.95,22.95,22.28,22.31,4932100,22.17
2010-03-11,22.85,22.95,22.38,22.90,4371900,22.76
2010-03-10,22.93,23.27,22.76,23.01,4322400,22.87
2010-03-09,22.90,23.22,22.78,22.95,2650400,22.81
2010-03-08,23.03,23.30,22.98,23.13,2211400,22.99
2010-03-05,23.00,23.38,22.93,23.23,3484500,23.09
2010-03-04,22.82,23.12,22.61,23.07,2608200,22.93
2010-03-03,23.15,23.21,22.73,22.87,5201800,22.73
2010-03-02,23.11,23.35,22.99,23.11,5187200,22.97
2010-03-01,22.34,23.20,22.17,23.13,5113000,22.99
2010-02-26,22.34,22.49,22.04,22.24,6331500,22.10
2010-02-25,22.38,22.50,22.05,22.40,4644100,22.26
2010-02-24,22.59,22.88,22.39,22.63,3556900,22.49
2010-02-23,22.29,22.67,21.91,22.42,4753000,22.28
2010-02-22,22.64,22.72,22.25,22.38,4395200,22.24
2010-02-19,22.81,22.99,22.56,22.59,4506100,22.45
2010-02-18,21.87,22.93,21.79,22.85,6167300,22.71
2010-02-17,22.27,22.39,21.80,21.88,7718600,21.74
2010-02-16,21.48,22.26,21.35,22.18,5500100,22.04
2010-02-12,21.31,21.49,20.53,21.35,6314000,21.22
2010-02-11,21.07,21.55,20.17,21.27,20525500,21.14
2010-02-10,21.83,22.50,21.70,22.24,7347900,22.10
2010-02-09,21.76,22.05,21.49,21.88,4007400,21.74
2010-02-08,21.21,21.90,21.19,21.42,2787000,21.29
2010-02-05,21.39,21.52,20.78,21.26,4937100,21.13
2010-02-04,22.09,22.11,21.36,21.40,3615900,21.27
2010-02-03,21.93,22.16,21.65,22.11,2765000,21.97
2010-02-02,22.14,22.26,21.66,22.07,3496400,21.93
2010-02-01,21.51,22.20,21.38,22.10,4004000,21.96
2010-01-29,21.82,22.21,21.30,21.41,4960900,21.28
2010-01-28,22.23,22.53,21.40,21.68,3938700,21.55
2010-01-27,22.01,22.33,21.74,22.12,3216300,21.98
2010-01-26,21.61,22.44,21.58,22.17,4237600,22.03
2010-01-25,21.82,22.05,21.71,21.73,3959500,21.59
2010-01-22,22.17,22.30,21.60,21.77,5591300,21.63
2010-01-21,22.28,22.77,21.55,22.23,3911600,22.09
2010-01-20,22.49,22.73,22.01,22.22,3798500,22.08
2010-01-19,22.71,22.86,22.47,22.75,4239500,22.61
2010-01-15,23.09,23.32,22.57,22.73,3571200,22.59
2010-01-14,23.40,24.02,23.02,23.06,4633900,22.92
2010-01-13,23.36,23.69,22.87,23.57,4536100,23.42
2010-01-12,23.84,23.92,23.15,23.28,4317100,23.14
2010-01-11,24.37,24.45,23.76,24.03,5573300,23.88
2010-01-08,24.60,24.60,23.90,24.24,4528600,24.09
2010-01-07,24.78,24.90,24.12,24.47,3554600,24.32
2010-01-06,25.73,25.88,24.49,24.60,7760000,24.45
2010-01-05,25.75,26.03,25.33,25.93,4863700,25.77
2010-01-04,25.71,25.91,25.42,25.82,4373000,25.66
2009-12-31,26.48,26.60,25.71,25.73,2397000,25.57
2009-12-30,26.61,26.67,26.26,26.46,2064200,26.30
2009-12-29,27.17,27.33,26.47,26.56,1806800,26.39
2009-12-28,27.06,27.51,27.00,27.08,1978200,26.91
2009-12-24,27.06,27.25,26.90,27.00,419200,26.83
2009-12-23,26.59,27.13,26.51,27.09,2599100,26.92
2009-12-22,26.16,26.69,26.12,26.53,2250700,26.37
