Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,15.98,16.26,15.81,16.21,141375200,16.21
2010-11-04,15.51,15.98,15.40,15.86,193162800,15.86
2010-11-03,14.48,15.20,14.44,15.18,185337500,15.18
2010-11-02,14.32,14.46,14.22,14.43,54586700,14.43
2010-11-01,14.32,14.37,14.16,14.23,56576500,14.23
2010-10-29,14.18,14.23,14.10,14.13,52190300,14.13
2010-10-28,14.29,14.32,14.06,14.22,51661800,14.22
2010-10-27,14.34,14.35,14.09,14.23,80925900,14.23
2010-10-26,13.97,14.47,13.92,14.36,214652500,14.36
2010-10-25,14.05,14.20,14.01,14.15,77076500,14.15
2010-10-22,13.86,14.01,13.83,13.95,37943000,13.95
2010-10-21,13.78,14.16,13.66,13.81,85226800,13.81
2010-10-20,13.45,13.73,13.35,13.64,60755700,13.64
2010-10-19,13.63,13.64,13.18,13.32,84586400,13.32
2010-10-18,13.75,13.90,13.64,13.88,34852700,13.88
2010-10-15,14.00,14.04,13.61,13.80,61322200,13.80
2010-10-14,13.88,14.01,13.78,13.91,78753200,13.91
2010-10-13,13.90,13.91,13.64,13.64,59021300,13.64
2010-10-12,13.71,13.85,13.51,13.78,50027900,13.78
2010-10-11,13.72,13.90,13.68,13.78,47980600,13.78
2010-10-08,13.30,13.72,13.28,13.66,71793800,13.66
2010-10-07,13.32,13.38,13.19,13.32,53482300,13.32
2010-10-06,13.06,13.45,13.04,13.24,92256500,13.24
2010-10-05,13.00,13.07,12.92,13.01,74573200,13.01
2010-10-04,12.57,12.92,12.53,12.84,95684500,12.84
2010-10-01,12.24,12.41,12.12,12.26,54512500,12.26
2010-09-30,12.44,12.46,12.20,12.24,42603700,12.24
2010-09-29,12.45,12.50,12.28,12.33,45126900,12.33
2010-09-28,12.48,12.53,12.27,12.52,42671500,12.52
2010-09-27,12.57,12.60,12.46,12.48,28799700,12.48
2010-09-24,12.42,12.57,12.39,12.56,42617400,12.56
2010-09-23,12.26,12.45,12.15,12.31,46866400,12.31
2010-09-22,12.43,12.54,12.29,12.38,53139300,12.38
2010-09-21,12.53,12.75,12.51,12.55,59064700,12.55
2010-09-20,12.55,12.60,12.38,12.57,49812800,12.57
2010-09-17,12.53,12.54,12.34,12.49,68935700,12.49
2010-09-16,12.12,12.53,12.10,12.44,141319300,12.44
2010-09-15,11.93,11.96,11.76,11.87,53904600,11.87
2010-09-14,11.96,12.05,11.89,11.98,39761600,11.98
2010-09-13,11.93,12.00,11.84,11.99,36660000,11.99
2010-09-10,11.81,11.99,11.75,11.79,37849800,11.79
2010-09-09,11.96,12.04,11.64,11.75,48528500,11.75
2010-09-08,11.81,11.95,11.70,11.80,40760800,11.80
2010-09-07,12.01,12.07,11.78,11.80,42463800,11.80
2010-09-03,11.88,12.14,11.84,12.07,65186700,12.07
2010-09-02,11.68,11.83,11.57,11.71,39891300,11.71
2010-09-01,11.53,11.89,11.46,11.61,81932500,11.61
2010-08-31,11.27,11.46,11.13,11.29,64984700,11.29
2010-08-30,11.58,11.68,11.35,11.35,33624700,11.35
2010-08-27,11.26,11.72,11.05,11.56,63565200,11.56
2010-08-26,11.40,11.56,11.14,11.17,56888700,11.17
2010-08-25,11.04,11.40,10.95,11.32,78551600,11.32
2010-08-24,11.28,11.49,11.09,11.24,86254900,11.24
2010-08-23,11.84,11.90,11.60,11.61,42424400,11.61
2010-08-20,11.85,11.90,11.60,11.77,50806600,11.77
2010-08-19,12.13,12.20,11.83,11.89,61008600,11.89
2010-08-18,12.17,12.29,11.80,12.20,54207200,12.20
2010-08-17,12.20,12.38,12.06,12.16,61004500,12.16
2010-08-16,11.96,12.15,11.88,11.99,59293500,11.99
2010-08-13,12.25,12.37,12.13,12.15,41607300,12.15
2010-08-12,12.03,12.39,11.90,12.27,67998200,12.27
2010-08-11,12.65,12.67,12.33,12.41,68011300,12.41
2010-08-10,12.94,13.03,12.80,12.92,50218000,12.92
2010-08-09,13.12,13.12,12.92,13.05,39051100,13.05
2010-08-06,12.83,13.05,12.80,13.04,54671700,13.04
2010-08-05,13.05,13.05,12.90,12.98,51525400,12.98
2010-08-04,13.00,13.21,12.95,13.11,60813500,13.11
2010-08-03,13.08,13.24,12.77,12.91,115127800,12.91
2010-08-02,13.06,13.20,12.94,13.16,77038500,13.16
2010-07-30,12.81,13.01,12.58,12.77,79512400,12.77
2010-07-29,13.03,13.11,12.72,12.97,88510100,12.97
2010-07-28,12.99,13.08,12.86,12.91,59720600,12.91
2010-07-27,13.16,13.18,12.85,13.03,97068700,13.03
2010-07-26,12.82,13.15,12.75,12.94,125605700,12.94
2010-07-23,12.55,12.75,12.35,12.72,161512700,12.72
2010-07-22,11.76,12.22,11.75,12.09,101921700,12.09
2010-07-21,11.82,11.88,11.43,11.55,67558500,11.55
2010-07-20,11.30,11.76,11.25,11.75,53044200,11.75
2010-07-19,11.44,11.57,11.23,11.48,49910000,11.48
2010-07-16,11.75,11.78,11.30,11.34,68905500,11.34
2010-07-15,11.86,11.90,11.51,11.86,65961700,11.86
2010-07-14,11.62,11.92,11.54,11.81,68031300,11.81
2010-07-13,11.47,11.81,11.26,11.66,103923200,11.66
2010-07-12,10.84,11.13,10.83,11.10,56304900,11.10
2010-07-09,10.58,10.94,10.54,10.85,50710000,10.85
2010-07-08,10.72,10.83,10.45,10.62,62333900,10.62
2010-07-07,10.21,10.63,10.17,10.59,72523600,10.59
2010-07-06,10.42,10.57,10.04,10.16,81199000,10.16
2010-07-02,10.58,10.63,10.15,10.28,71548600,10.28
2010-07-01,10.23,10.63,10.02,10.57,153272700,10.57
2010-06-30,10.10,10.52,10.04,10.08,182566400,10.08
2010-06-29,10.12,10.14,9.75,9.88,124558800,9.88
2010-06-28,10.72,10.76,10.43,10.43,57994700,10.43
2010-06-25,10.75,10.77,10.42,10.75,148140900,10.75
2010-06-24,10.99,11.03,10.64,10.78,74449200,10.78
2010-06-23,11.23,11.28,11.00,11.03,83098300,11.03
2010-06-22,11.54,11.60,11.18,11.22,73442500,11.22
2010-06-21,11.68,11.80,11.50,11.53,67798600,11.53
2010-06-18,11.56,11.62,11.40,11.46,55405800,11.46
2010-06-17,11.69,11.69,11.33,11.48,69388200,11.48
2010-06-16,11.65,11.77,11.50,11.63,61865800,11.63
2010-06-15,11.55,11.76,11.52,11.70,51722800,11.70
2010-06-14,11.48,11.72,11.40,11.46,58101200,11.46
2010-06-11,11.23,11.47,11.21,11.40,50280600,11.40
2010-06-10,11.21,11.40,11.10,11.39,64799500,11.39
2010-06-09,11.36,11.40,11.00,11.05,74947600,11.05
2010-06-08,11.14,11.37,10.89,11.22,81494400,11.22
2010-06-07,11.45,11.50,11.06,11.09,76229000,11.09
2010-06-04,11.69,11.88,11.39,11.50,83480900,11.50
2010-06-03,12.01,12.15,11.81,11.96,79568700,11.96
2010-06-02,11.66,11.87,11.45,11.85,87265300,11.85
2010-06-01,11.50,11.88,11.38,11.41,80977300,11.41
2010-05-28,12.05,12.08,11.62,11.73,78823400,11.73
2010-05-27,11.85,12.00,11.66,11.99,90700800,11.99
