Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,53.93,54.00,53.48,53.74,505900,53.74
2010-11-04,53.90,53.99,53.14,53.75,1082300,53.75
2010-11-03,53.12,53.34,52.23,53.22,877400,53.22
2010-11-02,52.17,53.13,51.87,53.10,762400,53.10
2010-11-01,51.68,52.45,51.53,51.76,839500,51.76
2010-10-29,51.29,51.70,50.73,51.48,521800,51.48
2010-10-28,51.58,51.92,50.90,51.36,767200,51.36
2010-10-27,51.99,52.27,50.85,51.31,1195300,51.31
2010-10-26,52.34,53.09,51.83,52.50,596500,52.50
2010-10-25,53.27,53.57,52.58,52.62,752700,52.62
2010-10-22,53.67,53.69,52.40,52.90,497100,52.90
2010-10-21,52.55,53.12,52.16,52.90,814300,52.90
2010-10-20,51.87,52.59,51.82,52.40,668000,52.40
2010-10-19,51.46,52.21,51.17,51.67,1274200,51.67
2010-10-18,52.02,52.38,51.70,51.89,669400,51.89
2010-10-15,53.28,53.28,51.67,52.10,1852900,52.10
2010-10-14,52.82,53.12,52.34,52.71,1200700,52.71
2010-10-13,52.36,53.06,52.05,52.75,1659600,52.75
2010-10-12,53.54,53.75,51.47,52.04,3417000,52.04
2010-10-11,54.51,54.92,54.08,54.75,906700,54.75
2010-10-08,53.85,54.77,53.43,54.52,788200,54.52
2010-10-07,54.09,54.24,53.21,53.69,741800,53.69
2010-10-06,53.93,54.38,53.54,53.96,669200,53.96
2010-10-05,53.46,54.41,53.40,53.99,955600,53.99
2010-10-04,53.35,53.80,52.16,52.64,691200,52.64
2010-10-01,53.60,53.87,52.90,53.38,854200,53.38
2010-09-30,54.18,54.58,52.76,53.19,978500,53.19
2010-09-29,53.50,53.93,53.21,53.65,730500,53.65
2010-09-28,53.19,53.96,52.00,53.80,1168200,53.80
2010-09-27,53.36,53.38,52.72,52.86,732000,52.86
2010-09-24,52.73,53.70,52.45,53.41,978500,53.41
2010-09-23,51.80,52.62,51.64,51.94,790000,51.94
2010-09-22,52.10,53.34,51.84,52.18,1443000,52.18
2010-09-21,52.11,52.40,51.81,52.00,816400,52.00
2010-09-20,51.57,52.29,51.40,52.21,1135600,52.21
2010-09-17,51.48,51.79,50.94,51.54,5040200,51.54
2010-09-16,51.67,51.81,50.90,51.17,925300,51.17
2010-09-15,51.25,51.77,50.84,51.69,1063100,51.69
2010-09-14,51.39,51.96,51.15,51.63,920700,51.63
2010-09-13,51.40,51.95,51.17,51.62,1183900,51.62
2010-09-10,50.49,51.11,50.32,50.92,797000,50.92
2010-09-09,50.19,50.52,49.93,50.32,1093900,50.32
2010-09-08,49.00,49.99,48.95,49.70,1257800,49.70
2010-09-07,48.86,49.24,48.67,48.78,1030400,48.78
2010-09-03,49.72,49.91,48.48,49.36,1247600,49.36
2010-09-02,47.05,49.07,47.05,48.97,1648700,48.97
2010-09-01,46.23,47.36,45.71,47.18,1334700,47.18
2010-08-31,45.00,45.76,44.64,45.27,1977200,45.27
2010-08-30,45.69,46.06,45.09,45.09,821300,45.09
2010-08-27,45.71,46.00,44.72,45.96,1595300,45.96
2010-08-26,46.07,46.33,45.46,45.49,1742400,45.49
2010-08-25,45.82,46.16,45.45,45.90,2058300,45.90
2010-08-24,47.00,47.00,45.76,46.27,1522400,46.27
2010-08-23,48.38,48.67,47.41,47.51,1011500,47.51
2010-08-20,47.63,48.08,46.95,48.01,1245000,48.01
2010-08-19,49.21,49.48,47.53,47.82,1325300,47.82
2010-08-18,49.22,49.95,48.75,49.64,772200,49.64
2010-08-17,48.81,50.31,48.59,49.93,1107800,49.51
2010-08-16,48.00,48.48,47.50,48.13,511400,47.73
2010-08-13,48.22,48.55,47.92,48.16,534500,47.75
2010-08-12,47.81,48.68,47.80,48.46,638400,48.05
2010-08-11,49.54,49.64,48.35,48.44,1168400,48.03
2010-08-10,51.00,51.32,49.91,50.66,623600,50.23
2010-08-09,51.35,51.57,50.91,51.37,610800,50.94
2010-08-06,50.55,51.22,50.00,51.16,953500,50.73
2010-08-05,50.91,51.24,50.40,51.22,506400,50.79
2010-08-04,50.44,51.20,50.39,51.11,1164100,50.68
2010-08-03,49.92,50.33,49.66,50.14,1003900,49.72
2010-08-02,49.88,50.10,49.12,50.01,1136800,49.59
2010-07-30,48.36,49.25,48.21,49.08,850600,48.67
2010-07-29,49.13,49.37,48.19,48.97,1110200,48.56
2010-07-28,49.19,49.39,48.47,48.88,926700,48.47
