Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,103.00,107.07,102.96,104.84,13704900,104.84
2010-11-04,100.04,103.95,99.85,103.89,17233500,103.89
2010-11-03,97.60,97.85,95.05,97.09,11606900,97.09
2010-11-02,97.39,98.25,96.61,97.66,10610300,97.66
2010-11-01,96.55,96.60,95.01,96.24,8838600,96.24
2010-10-29,94.79,95.35,94.00,94.79,8372200,94.79
2010-10-28,96.99,97.50,95.35,95.49,9998600,95.49
2010-10-27,95.94,96.40,94.04,95.50,11722800,95.50
2010-10-26,94.98,98.42,94.50,98.28,10502100,98.28
2010-10-25,97.00,97.84,95.55,96.07,10060600,96.07
2010-10-22,96.46,96.55,93.02,94.05,10500400,94.05
2010-10-21,99.05,99.65,94.42,96.43,17863000,96.43
2010-10-20,93.97,96.24,93.41,95.35,10553000,95.35
2010-10-19,92.85,94.59,92.00,92.72,14562100,92.72
2010-10-18,96.64,97.38,95.70,96.30,9673300,96.30
2010-10-15,99.06,99.35,96.71,98.05,12674100,98.05
2010-10-14,99.16,100.34,98.17,98.99,15481300,98.99
2010-10-13,96.56,99.92,96.45,99.08,15194600,99.08
2010-10-12,94.80,95.59,92.91,95.43,10577500,95.13
2010-10-11,95.66,96.57,94.65,95.38,7505100,95.08
2010-10-08,92.31,95.91,92.00,95.51,13583100,95.21
2010-10-07,93.63,93.87,89.85,91.40,13442000,91.11
2010-10-06,91.50,94.36,91.45,93.62,13655800,93.33
2010-10-05,88.71,91.80,88.61,91.18,13241800,90.89
2010-10-04,88.44,88.59,86.67,87.23,11648000,86.96
2010-10-01,86.95,89.29,86.37,89.13,15633700,88.85
2010-09-30,86.99,87.25,84.24,85.39,10828700,85.12
2010-09-29,86.94,87.92,85.66,86.20,9609200,85.93
2010-09-28,86.67,87.34,84.81,87.03,10701600,86.76
2010-09-27,86.49,87.29,85.77,86.56,6966500,86.29
2010-09-24,86.01,87.47,85.77,86.61,9754800,86.34
2010-09-23,83.15,85.24,81.94,84.23,11525200,83.97
2010-09-22,83.61,85.35,83.51,84.51,10700000,84.24
2010-09-21,83.45,83.48,80.96,82.99,11386200,82.73
2010-09-20,82.13,83.77,81.87,83.35,10795400,83.09
2010-09-17,82.35,82.35,81.13,81.72,7055600,81.46
2010-09-16,81.17,82.57,81.15,81.73,7707900,81.47
2010-09-15,80.94,81.46,80.02,81.40,9982200,81.14
2010-09-14,81.25,82.50,80.70,81.44,9014000,81.18
2010-09-13,80.59,82.42,80.46,81.78,10051000,81.52
2010-09-10,78.14,79.53,77.80,79.31,7449900,79.06
2010-09-09,79.54,79.77,77.50,78.16,9560400,77.91
2010-09-08,78.40,80.00,78.05,79.14,10106100,78.89
2010-09-07,77.37,78.80,76.40,77.86,9800600,77.62
2010-09-03,78.32,78.96,77.79,78.55,10775400,78.30
2010-09-02,75.91,77.10,75.19,76.96,9584900,76.72
2010-09-01,73.98,76.34,73.73,76.19,15298500,75.95
2010-08-31,69.87,72.98,69.87,71.99,12297500,71.76
2010-08-30,71.09,71.94,70.35,70.36,8240600,70.14
2010-08-27,68.45,71.27,67.50,71.20,13674600,70.98
2010-08-26,68.30,68.99,67.10,67.11,12045900,66.90
2010-08-25,66.34,66.87,65.71,66.66,13392200,66.45
2010-08-24,68.31,68.36,66.52,67.05,15260400,66.84
2010-08-23,72.09,72.15,70.21,70.36,6371500,70.14
2010-08-20,71.25,71.75,70.26,71.37,9913400,71.15
2010-08-19,73.14,74.30,71.60,72.09,9867100,71.86
2010-08-18,72.71,73.85,72.04,73.22,6892400,72.99
2010-08-17,72.53,74.00,72.31,72.83,9741300,72.60
2010-08-16,70.87,71.69,70.32,70.63,6348100,70.41
2010-08-13,69.91,70.49,69.42,70.07,6422300,69.85
2010-08-12,69.43,71.32,69.14,70.39,9455200,70.17
2010-08-11,70.81,71.15,69.50,70.04,11890100,69.82
2010-08-10,73.00,73.81,72.20,73.21,10206300,72.98
2010-08-09,75.31,75.60,74.03,74.73,5358200,74.50
2010-08-06,73.42,76.25,73.39,74.61,11774800,74.38
2010-08-05,74.85,74.85,73.09,74.07,9651000,73.84
2010-08-04,74.36,75.26,73.17,75.00,10151700,74.76
2010-08-03,74.14,74.48,73.05,74.03,9065800,73.80
2010-08-02,73.21,75.13,73.08,74.80,13025600,74.56
2010-07-30,69.37,71.77,69.35,71.54,11155600,71.32
2010-07-29,71.29,72.49,70.02,70.74,11797300,70.52
2010-07-28,69.46,71.58,69.42,70.38,11748300,70.16
2010-07-27,71.59,72.00,68.62,69.83,13267900,69.61
