Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.86,48.54,47.84,48.43,1717300,48.43
2010-11-04,47.47,47.90,47.20,47.77,2246200,47.77
2010-11-03,47.14,47.42,46.61,47.18,2726000,47.18
2010-11-02,46.79,47.40,46.79,47.02,2678500,47.02
2010-11-01,46.33,46.94,46.17,46.57,1619200,46.57
2010-10-29,46.00,46.25,45.74,46.17,960700,46.17
2010-10-28,46.38,46.56,45.74,46.02,998100,46.02
2010-10-27,46.38,46.63,45.67,46.20,2456900,46.20
2010-10-26,45.93,46.52,45.74,46.37,1646700,46.37
2010-10-25,45.60,46.20,45.60,45.90,1709600,45.90
2010-10-22,45.29,45.67,45.22,45.42,1124600,45.42
2010-10-21,45.50,45.70,45.01,45.23,1942200,45.23
2010-10-20,45.04,45.74,44.68,45.41,3309300,45.41
2010-10-19,45.48,45.80,44.80,45.00,2431200,45.00
2010-10-18,45.45,45.83,45.38,45.73,2390600,45.73
2010-10-15,46.09,46.15,45.30,45.57,2688400,45.57
2010-10-14,46.14,46.17,45.25,45.71,2627400,45.71
2010-10-13,46.29,46.35,45.65,46.06,2646600,46.06
2010-10-12,46.40,46.43,45.83,46.11,2358700,46.11
2010-10-11,45.65,46.30,45.61,46.14,2081000,46.14
2010-10-08,45.91,45.94,45.30,45.51,3078200,45.51
2010-10-07,46.04,46.29,45.61,46.27,3042200,46.27
2010-10-06,45.50,45.93,45.25,45.81,4318900,45.81
2010-10-05,44.62,45.50,44.42,45.34,3383900,45.34
2010-10-04,44.37,44.58,44.11,44.37,2313900,44.37
2010-10-01,44.32,44.50,43.92,44.30,2657700,44.30
2010-09-30,44.39,44.59,43.42,44.16,4760400,44.16
2010-09-29,45.01,45.10,44.01,44.05,8242400,44.05
2010-09-28,43.14,43.65,42.84,43.34,3502700,43.34
2010-09-27,43.45,43.53,42.91,42.97,3429100,42.97
2010-09-24,43.52,43.79,43.34,43.40,1988900,43.40
2010-09-23,43.37,43.61,43.13,43.27,1417400,43.27
2010-09-22,43.63,43.69,43.26,43.44,1145900,43.44
2010-09-21,44.29,44.29,43.43,43.63,2248000,43.63
2010-09-20,43.73,44.48,43.73,43.94,1979500,43.94
2010-09-17,43.24,43.57,42.88,43.46,2436900,43.46
2010-09-16,42.60,43.02,42.40,42.96,1274000,42.96
2010-09-15,43.07,43.38,42.45,43.30,2978300,43.30
2010-09-14,42.99,43.67,42.96,43.03,1894200,43.03
2010-09-13,42.77,43.05,42.40,42.97,1107900,42.97
2010-09-10,42.36,43.09,42.30,42.60,2235900,42.44
2010-09-09,42.68,42.69,42.21,42.39,1497200,42.24
2010-09-08,42.23,42.66,42.15,42.45,1409000,42.30
2010-09-07,42.43,42.79,42.23,42.26,2117500,42.11
2010-09-03,43.67,44.07,42.27,42.51,3799400,42.36
2010-09-02,43.39,43.73,43.24,43.50,2794100,43.34
2010-09-01,43.02,43.95,42.96,43.28,1996700,43.12
2010-08-31,42.84,43.41,42.67,42.79,2502100,42.63
2010-08-30,43.28,43.43,42.94,42.95,1308000,42.79
2010-08-27,43.15,43.49,42.79,43.34,1554400,43.18
2010-08-26,42.87,43.25,42.61,43.08,1667500,42.92
2010-08-25,42.32,42.92,41.89,42.82,2769500,42.66
2010-08-24,42.69,43.42,42.31,43.17,1804900,43.01
2010-08-23,42.92,43.27,42.75,42.91,2112000,42.75
2010-08-20,42.99,43.13,42.56,42.83,3154100,42.67
2010-08-19,43.47,44.03,43.06,43.17,1658000,43.01
2010-08-18,43.28,43.85,43.05,43.56,1775600,43.40
2010-08-17,43.11,43.50,42.86,43.34,1438800,43.18
2010-08-16,42.57,43.01,42.24,42.90,1812100,42.74
2010-08-13,42.92,43.15,42.75,42.92,1306800,42.76
2010-08-12,42.10,42.96,42.03,42.93,1911000,42.77
2010-08-11,42.83,42.98,42.49,42.63,2810100,42.47
2010-08-10,42.53,42.88,42.27,42.70,1977800,42.54
2010-08-09,41.99,42.81,41.98,42.75,2396800,42.59
2010-08-06,41.70,42.01,41.24,42.00,1481500,41.85
2010-08-05,41.77,42.07,41.39,41.91,1435700,41.76
2010-08-04,41.24,42.05,41.17,42.01,2047500,41.86
2010-08-03,41.80,42.00,41.30,41.41,1647600,41.26
2010-08-02,42.06,42.49,41.30,41.92,3446200,41.77
2010-07-30,40.77,41.63,40.59,41.35,2883800,41.20
2010-07-29,41.32,41.85,40.58,40.98,4386000,40.83
2010-07-28,40.90,42.26,40.76,41.29,8128900,41.14
2010-07-27,39.86,39.94,39.37,39.47,3332500,39.33
2010-07-26,39.31,39.75,38.92,39.70,2746400,39.56
2010-07-23,38.77,39.57,38.67,39.47,3237100,39.33
2010-07-22,38.53,39.00,38.44,38.71,2300000,38.57
2010-07-21,38.35,38.93,37.70,38.31,6199200,38.17
2010-07-20,37.95,38.41,37.63,38.36,4713800,38.22
2010-07-19,38.22,38.35,37.85,38.13,3872700,37.99
2010-07-16,38.15,38.34,37.86,38.12,3972200,37.98
2010-07-15,37.00,38.11,36.85,38.10,3894800,37.96
2010-07-14,36.57,37.24,36.37,37.08,3290600,36.95
2010-07-13,36.25,36.77,36.25,36.54,2518100,36.41
2010-07-12,36.02,36.29,35.81,36.11,1727200,35.98
2010-07-09,36.36,36.49,35.75,36.00,2813500,35.87
2010-07-08,36.34,36.50,35.31,36.30,4875100,36.17
2010-07-07,37.00,37.35,35.89,36.26,14319000,36.13
2010-07-06,39.61,40.04,38.76,39.44,3939900,39.30
2010-07-02,38.73,39.16,38.52,38.62,2584400,38.48
2010-07-01,37.50,38.84,37.42,38.75,3835500,38.61
2010-06-30,37.98,38.45,37.68,37.69,3997300,37.55
2010-06-29,38.16,38.29,37.70,38.08,3272800,37.94
2010-06-28,38.09,38.68,38.02,38.55,2113500,38.41
2010-06-25,39.05,39.10,38.05,38.16,4095000,38.02
2010-06-24,39.15,39.53,38.90,39.10,3083100,38.96
2010-06-23,38.54,39.43,38.48,39.19,2853600,39.05
2010-06-22,38.94,39.35,38.37,38.45,2325100,38.31
2010-06-21,39.58,39.58,38.68,39.04,2333100,38.90
2010-06-18,39.83,39.83,39.29,39.40,2446800,39.26
2010-06-17,39.33,39.62,39.08,39.61,1597400,39.47
2010-06-16,39.29,39.61,39.02,39.33,1937100,39.19
2010-06-15,39.11,39.50,38.85,39.46,2294900,39.32
2010-06-14,38.62,39.42,38.62,38.98,2130500,38.84
2010-06-11,37.86,38.70,37.86,38.57,2185500,38.43
2010-06-10,38.74,39.01,38.39,38.68,1978600,38.38
