Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,88.73,90.55,88.73,90.00,2527100,90.00
2010-11-04,88.38,89.14,87.93,88.80,3501400,88.80
2010-11-03,87.00,88.38,85.84,87.44,2932400,87.44
2010-11-02,87.10,87.69,86.23,87.03,2040700,87.03
2010-11-01,87.69,88.77,86.04,86.42,2610300,86.42
2010-10-29,88.72,89.13,87.67,87.72,2062700,87.72
2010-10-28,88.70,89.18,87.57,88.83,2335900,88.83
2010-10-27,88.63,88.75,86.70,88.13,2352800,88.13
2010-10-26,88.97,90.30,88.25,89.64,1763300,89.64
2010-10-25,89.39,90.20,88.92,89.56,2716300,89.56
2010-10-22,88.66,88.86,87.90,88.86,954600,88.86
2010-10-21,88.92,89.87,87.80,88.57,1826200,88.57
2010-10-20,87.57,89.25,87.50,88.92,2506100,88.92
2010-10-19,88.19,88.71,86.43,87.14,2844400,87.14
2010-10-18,89.45,89.90,88.89,89.47,1953100,89.47
2010-10-15,90.05,90.50,88.65,89.62,2172800,89.62
2010-10-14,89.73,89.75,88.84,89.39,1577300,89.39
2010-10-13,88.56,90.63,88.26,89.75,2829700,89.75
2010-10-12,87.96,88.38,86.55,87.98,2255200,87.98
2010-10-11,88.96,88.96,88.10,88.40,1684500,88.40
2010-10-08,86.93,88.93,86.34,88.69,3697800,88.69
2010-10-07,87.65,87.68,85.93,86.74,1930500,86.74
2010-10-06,87.59,88.00,86.73,87.38,2108400,87.38
2010-10-05,86.23,88.45,86.12,87.83,3840200,87.83
2010-10-04,85.53,86.64,84.74,85.43,3371200,85.43
2010-10-01,86.41,87.42,85.23,85.64,3260800,85.64
2010-09-30,87.00,88.46,85.43,85.50,5114000,85.50
2010-09-29,84.51,86.57,84.01,86.37,5037300,86.37
2010-09-28,84.06,84.86,82.76,84.71,2880500,84.71
2010-09-27,84.61,84.87,83.95,84.07,2253600,84.07
2010-09-24,83.88,84.80,83.67,84.23,2383500,84.23
2010-09-23,83.56,84.42,82.37,82.66,2464200,82.66
2010-09-22,83.61,85.08,83.31,84.30,3618600,84.30
2010-09-21,83.22,83.75,82.41,83.63,3959000,83.63
2010-09-20,82.57,83.67,82.09,82.91,2491700,82.91
2010-09-17,82.85,82.85,81.81,82.28,3893600,82.28
2010-09-16,83.41,84.00,81.80,82.72,8247600,82.72
2010-09-15,84.86,86.31,84.60,85.94,2022100,85.94
2010-09-14,84.84,85.59,84.06,85.09,2184500,85.09
2010-09-13,85.25,86.35,84.28,84.62,2095000,84.62
2010-09-10,84.70,85.00,83.96,84.16,1166600,84.16
2010-09-09,85.12,85.86,84.13,84.28,1961400,84.28
2010-09-08,82.03,84.61,82.03,83.81,2311000,83.81
2010-09-07,82.24,82.76,81.33,81.98,1666700,81.86
2010-09-03,82.79,84.12,82.48,82.75,2585000,82.63
2010-09-02,81.51,82.15,81.01,81.72,2455400,81.60
2010-09-01,79.31,81.69,79.04,81.37,3479400,81.25
2010-08-31,78.51,79.40,77.34,78.05,2733500,77.94
2010-08-30,79.67,80.87,78.75,78.78,1511700,78.66
2010-08-27,79.51,80.57,77.89,80.46,1940900,80.34
2010-08-26,78.47,80.11,78.47,78.76,2316800,78.64
2010-08-25,78.11,79.14,77.25,78.75,2707300,78.63
2010-08-24,80.26,80.69,78.13,79.09,3030200,78.97
2010-08-23,82.27,83.27,81.33,81.44,2622000,81.32
2010-08-20,81.06,81.66,79.98,81.23,2572500,81.11
2010-08-19,83.50,83.92,80.94,81.58,2700000,81.46
2010-08-18,83.54,84.55,82.74,84.04,2518900,83.92
2010-08-17,81.95,84.47,81.74,83.76,2780600,83.64
2010-08-16,80.18,81.50,79.88,80.98,1942900,80.86
2010-08-13,81.78,82.20,80.78,80.80,1967600,80.68
2010-08-12,81.75,82.19,80.89,81.94,3022500,81.82
2010-08-11,85.42,85.48,82.47,83.13,3736600,83.01
2010-08-10,86.44,87.47,85.77,87.10,2778100,86.97
2010-08-09,85.56,87.74,85.52,87.29,2915400,87.16
