Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,36.08,36.10,35.86,35.89,3460700,35.89
2010-11-04,36.23,36.25,35.78,35.95,5226700,35.95
2010-11-03,36.44,36.45,35.59,35.87,4532100,35.87
2010-11-02,36.27,36.93,36.22,36.85,4289400,36.30
2010-11-01,36.51,36.59,35.89,36.07,2783400,35.53
2010-10-29,36.18,36.39,35.99,36.32,2523200,35.78
2010-10-28,36.45,36.58,35.88,36.17,4393300,35.63
2010-10-27,36.29,36.33,36.02,36.26,4311400,35.72
2010-10-26,36.99,37.10,35.88,36.45,13955600,35.91
2010-10-25,37.63,37.91,37.07,37.13,8220200,36.58
2010-10-22,39.55,39.55,37.30,37.52,16287800,36.96
2010-10-21,39.79,40.01,39.18,39.33,4882700,38.74
2010-10-20,39.61,40.12,39.41,39.67,3391200,39.08
2010-10-19,39.14,39.75,39.12,39.43,2929700,38.84
2010-10-18,38.91,39.48,38.90,39.43,5936300,38.84
2010-10-15,38.95,39.00,38.51,38.93,2802100,38.35
2010-10-14,38.89,38.99,38.39,38.65,2483500,38.07
2010-10-13,38.64,38.92,38.34,38.89,3419200,38.31
2010-10-12,38.45,38.84,38.20,38.35,5724300,37.78
2010-10-11,38.45,38.59,38.33,38.44,1734800,37.87
2010-10-08,38.44,38.58,38.21,38.47,3294000,37.90
2010-10-07,38.70,38.78,38.25,38.46,2453200,37.89
2010-10-06,38.91,38.97,38.27,38.62,3375200,38.04
2010-10-05,38.94,39.12,38.80,38.82,4639000,38.24
2010-10-04,38.77,39.02,38.35,38.57,2235700,37.99
2010-10-01,38.86,38.97,38.46,38.89,3183300,38.31
2010-09-30,38.73,38.89,38.35,38.54,2672300,37.96
2010-09-29,38.32,38.64,38.01,38.54,2476300,37.96
2010-09-28,38.51,38.57,38.01,38.34,3045100,37.77
2010-09-27,38.19,38.75,38.07,38.40,3698600,37.83
2010-09-24,37.76,38.19,37.62,38.10,3268900,37.53
2010-09-23,37.00,37.85,36.95,37.39,4674600,36.83
2010-09-22,36.53,37.28,36.51,37.07,3445800,36.52
2010-09-21,36.66,36.78,36.36,36.42,2779000,35.88
2010-09-20,36.41,36.85,36.25,36.72,2439400,36.17
2010-09-17,36.55,36.61,36.13,36.31,3650900,35.77
2010-09-16,36.40,36.51,36.08,36.24,2165400,35.70
2010-09-15,36.69,36.76,36.26,36.53,4468400,35.98
2010-09-14,37.04,37.11,36.66,36.71,4150900,36.16
2010-09-13,37.61,37.71,37.32,37.34,1671800,36.78
2010-09-10,37.50,37.66,37.23,37.40,2126500,36.84
2010-09-09,37.69,37.84,37.48,37.60,2102900,37.04
2010-09-08,37.50,37.71,37.30,37.37,1911500,36.81
2010-09-07,37.68,38.12,37.40,37.43,2433200,36.87
2010-09-03,37.62,37.80,37.24,37.78,2134500,37.22
2010-09-02,37.63,37.63,37.06,37.46,2268700,36.90
2010-09-01,36.96,37.51,36.73,37.45,2988400,36.89
2010-08-31,36.41,36.70,35.96,36.53,2759600,35.98
2010-08-30,36.62,36.92,36.30,36.33,1760700,35.79
2010-08-27,35.97,36.74,35.72,36.66,2970600,36.11
2010-08-26,36.06,36.34,35.74,35.82,2958900,35.29
2010-08-25,35.86,36.01,35.38,35.89,4109300,35.35
2010-08-24,35.88,36.19,35.36,35.95,6087000,35.41
2010-08-23,36.03,36.37,35.71,36.08,7382600,35.54
2010-08-20,35.99,36.08,35.75,35.84,3193000,35.31
2010-08-19,36.68,36.72,36.09,36.17,4330500,35.63
2010-08-18,37.05,37.13,36.71,36.87,3773300,36.32
2010-08-17,36.68,37.33,36.52,37.06,3148000,36.51
2010-08-16,36.16,36.51,35.90,36.49,2856800,35.95
