Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,13.44,13.93,12.95,13.03,29405300,13.03
2010-11-04,13.19,13.55,13.06,13.40,18432900,13.40
2010-11-03,12.50,13.06,12.50,13.05,18015900,13.05
2010-11-02,12.55,12.76,12.35,12.44,10774100,12.44
2010-11-01,12.64,12.69,12.13,12.38,15147800,12.38
2010-10-29,12.68,12.89,12.55,12.56,14195500,12.56
2010-10-28,13.00,13.02,12.66,12.72,12067700,12.72
2010-10-27,12.68,13.02,12.62,12.87,11666400,12.87
2010-10-26,12.52,12.80,12.48,12.79,9885900,12.79
2010-10-25,13.03,13.04,12.50,12.62,10362200,12.62
2010-10-22,12.92,13.09,12.75,12.86,13503900,12.86
2010-10-21,12.22,13.09,12.22,12.80,20867200,12.80
2010-10-20,12.32,12.48,11.99,12.40,11597700,12.40
2010-10-19,12.42,12.74,12.27,12.38,12448200,12.38
2010-10-18,12.09,12.58,12.00,12.54,12190500,12.54
2010-10-15,12.38,12.43,11.85,12.13,14563900,12.13
2010-10-14,12.60,12.60,12.08,12.34,19982600,12.34
2010-10-13,12.94,12.97,12.63,12.70,16587100,12.70
2010-10-12,12.21,12.83,12.13,12.76,21598600,12.76
2010-10-11,12.45,12.51,12.25,12.28,6051400,12.28
2010-10-08,12.58,12.58,12.31,12.38,9497500,12.38
2010-10-07,12.45,12.59,12.31,12.52,15803700,12.52
2010-10-06,12.53,12.65,12.20,12.28,13724300,12.28
2010-10-05,12.07,12.60,11.93,12.51,19607200,12.51
2010-10-04,11.95,12.12,11.87,11.90,8592900,11.90
2010-10-01,12.15,12.25,11.85,11.90,10923200,11.90
2010-09-30,12.00,12.19,11.85,12.03,14195800,12.03
2010-09-29,11.93,12.05,11.80,11.90,9066700,11.90
2010-09-28,11.93,12.04,11.76,12.02,10416000,12.02
2010-09-27,12.28,12.30,11.89,11.91,7917300,11.90
2010-09-24,11.93,12.25,11.89,12.24,9071300,12.23
2010-09-23,11.89,12.17,11.68,11.72,10808400,11.71
2010-09-22,12.19,12.38,12.02,12.04,9880300,12.03
2010-09-21,12.40,12.58,12.25,12.28,11572700,12.27
2010-09-20,12.28,12.45,12.18,12.39,10628600,12.38
2010-09-17,12.30,12.42,12.21,12.23,9010400,12.22
2010-09-16,12.44,12.47,12.09,12.22,7649500,12.21
2010-09-15,12.36,12.62,12.17,12.47,8139200,12.46
2010-09-14,12.50,12.59,12.23,12.49,14481300,12.48
2010-09-13,12.37,12.59,12.32,12.51,11298700,12.50
2010-09-10,12.02,12.16,11.91,12.09,7600600,12.08
2010-09-09,11.87,12.11,11.78,11.96,11358900,11.95
2010-09-08,11.46,11.72,11.45,11.60,7551400,11.59
2010-09-07,11.80,11.88,11.35,11.38,12336100,11.37
2010-09-03,11.92,12.09,11.70,11.93,10213700,11.92
2010-09-02,11.70,11.78,11.56,11.72,7962300,11.71
2010-09-01,11.25,11.68,11.22,11.66,14282900,11.65
2010-08-31,10.75,11.05,10.64,11.04,13540600,11.03
2010-08-30,11.07,11.17,10.84,10.85,11423000,10.84
2010-08-27,11.05,11.19,10.83,11.18,13165300,11.17
2010-08-26,11.02,11.46,10.91,10.95,14795600,10.94
2010-08-25,10.97,11.03,10.77,10.98,15725200,10.97
2010-08-24,11.35,11.45,11.03,11.04,15253700,11.03
2010-08-23,11.70,11.92,11.56,11.60,12095600,11.59
2010-08-20,11.63,11.76,11.33,11.56,13375000,11.55
2010-08-19,11.97,12.15,11.67,11.68,12317600,11.67
2010-08-18,12.05,12.22,11.97,12.11,10701400,12.10
2010-08-17,12.32,12.32,12.04,12.07,8261100,12.06
2010-08-16,12.01,12.22,11.93,12.19,11127400,12.18
2010-08-13,12.14,12.39,12.13,12.13,7046500,12.12
2010-08-12,12.11,12.34,12.07,12.16,9228100,12.15
2010-08-11,12.73,12.76,12.36,12.38,12018100,12.37
2010-08-10,12.86,13.04,12.61,13.00,14977100,12.99
2010-08-09,12.78,13.07,12.52,13.02,12853400,13.01
2010-08-06,12.83,12.89,12.35,12.69,13922700,12.68
2010-08-05,13.21,13.22,12.93,13.06,9759000,13.05
2010-08-04,13.39,13.42,13.15,13.29,6405500,13.28
2010-08-03,13.41,13.58,13.25,13.30,13331500,13.29
