Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,98.82,104.55,98.59,104.18,2217800,104.18
2010-11-04,98.30,99.45,97.64,98.84,1819600,98.84
2010-11-03,99.34,99.69,96.27,96.98,1342200,96.98
2010-11-02,98.88,99.94,98.62,99.33,1360600,99.33
2010-11-01,100.47,100.86,97.80,98.03,1376900,98.03
2010-10-29,100.22,101.50,99.19,100.00,1871300,100.00
2010-10-28,106.09,106.88,99.26,100.54,7000800,100.54
2010-10-27,113.78,114.61,112.04,114.50,584300,114.50
2010-10-26,115.65,116.34,113.98,115.20,553600,115.20
2010-10-25,115.35,116.98,115.25,116.33,1031400,116.33
2010-10-22,113.67,114.41,112.55,114.18,612900,114.18
2010-10-21,113.37,114.15,112.19,113.32,626100,113.32
2010-10-20,111.99,113.75,111.42,112.48,522100,112.48
2010-10-19,112.65,113.28,110.92,111.62,465800,111.62
2010-10-18,113.94,114.97,113.76,114.71,359700,114.71
2010-10-15,114.46,114.95,111.96,113.75,425500,113.75
2010-10-14,114.33,114.97,112.90,113.66,345100,113.66
2010-10-13,112.62,115.45,112.62,114.37,595800,114.37
2010-10-12,112.50,112.91,109.74,112.37,620700,112.37
2010-10-11,113.47,114.30,112.91,113.14,414500,113.14
2010-10-08,111.63,114.46,111.21,113.49,924500,113.49
2010-10-07,111.60,112.00,110.59,111.27,593600,111.27
2010-10-06,111.11,111.50,109.92,110.82,462900,110.82
2010-10-05,109.99,111.48,109.47,111.11,946900,111.11
2010-10-04,110.45,110.50,107.93,108.58,550300,108.58
2010-10-01,110.62,111.34,108.99,110.57,661600,110.57
2010-09-30,110.00,110.98,107.98,109.42,860100,109.42
2010-09-29,107.21,109.91,106.76,109.21,1140500,109.21
2010-09-28,107.20,107.43,104.39,107.15,386400,107.15
2010-09-27,107.27,108.68,106.78,107.01,491300,106.72
2010-09-24,104.73,107.87,104.73,107.14,803400,106.85
2010-09-23,105.30,105.30,102.78,103.21,565200,102.93
2010-09-22,106.57,107.29,106.15,106.39,786000,106.10
2010-09-21,106.51,107.75,105.88,106.31,790900,106.02
2010-09-20,104.35,106.87,103.95,106.63,633500,106.34
2010-09-17,104.18,104.25,102.79,103.93,546800,103.65
2010-09-16,103.00,104.03,103.00,103.31,395100,103.03
2010-09-15,102.82,103.53,102.14,103.33,522800,103.05
2010-09-14,104.23,104.59,103.62,103.85,621200,103.57
2010-09-13,103.28,105.16,102.53,104.95,805200,104.67
2010-09-10,99.06,102.52,98.91,102.25,1047600,101.97
2010-09-09,99.38,99.38,97.90,98.97,508200,98.70
2010-09-08,97.26,98.95,97.19,97.93,436000,97.66
2010-09-07,97.64,97.67,96.50,96.81,474000,96.55
2010-09-03,98.48,99.49,97.23,98.49,557600,98.22
2010-09-02,94.88,97.13,94.23,96.97,621300,96.71
2010-09-01,90.60,94.35,90.60,94.16,797600,93.90
2010-08-31,89.99,91.16,89.03,89.38,699100,89.14
2010-08-30,91.28,91.52,90.10,90.16,526700,89.92
2010-08-27,90.10,92.25,88.95,92.19,641100,91.94
2010-08-26,90.81,92.54,89.41,89.43,527700,89.19
2010-08-25,88.74,90.74,87.76,90.34,946400,90.10
2010-08-24,91.59,91.66,89.75,89.98,1420500,89.74
2010-08-23,96.09,96.31,93.34,93.44,416000,93.19
2010-08-20,95.52,96.00,94.91,95.29,526200,95.03
2010-08-19,98.63,99.22,95.72,96.35,748500,96.09
2010-08-18,100.00,100.08,98.91,99.06,624400,98.79
2010-08-17,97.60,101.10,97.45,100.18,677400,99.91
2010-08-16,95.61,96.86,94.65,96.21,759500,95.95
2010-08-13,96.02,96.87,95.44,96.22,535100,95.96
2010-08-12,94.21,97.21,94.21,96.65,467300,96.39
2010-08-11,97.24,98.47,96.55,96.97,1025100,96.71
2010-08-10,101.04,101.15,98.94,100.14,784900,99.87
2010-08-09,104.30,104.55,101.18,102.35,766700,102.07
2010-08-06,102.35,103.34,100.84,102.50,608800,102.22
2010-08-05,103.07,104.44,102.38,103.72,461500,103.44
2010-08-04,102.06,104.18,101.68,103.85,746600,103.57
2010-08-03,101.96,101.96,100.00,101.51,705800,101.23
2010-08-02,101.70,102.93,100.19,102.06,1226900,101.78
2010-07-30,97.60,99.83,96.80,99.16,738900,98.89
2010-07-29,96.40,100.23,95.27,99.15,1490000,98.88
2010-07-28,96.00,96.95,95.19,95.74,528500,95.48
2010-07-27,99.27,100.75,96.27,96.50,1590800,96.24
2010-07-26,96.00,98.49,95.53,98.40,873400,98.13
2010-07-23,93.74,95.89,92.67,95.85,713600,95.59
2010-07-22,93.11,94.21,92.29,93.73,976900,93.48
2010-07-21,92.77,93.53,91.09,91.50,873300,91.25
2010-07-20,87.99,91.73,87.89,91.58,538900,91.33
2010-07-19,87.69,89.87,86.34,89.60,841600,89.36
2010-07-16,90.93,90.93,88.26,88.76,976400,88.52
2010-07-15,92.88,92.88,90.32,91.64,645800,91.39
2010-07-14,91.81,93.27,91.24,92.19,937800,91.94
2010-07-13,91.41,92.65,91.22,92.05,1001700,91.80
2010-07-12,92.02,92.51,89.50,89.98,754200,89.74
2010-07-09,91.50,92.86,90.84,92.69,560300,92.44
2010-07-08,91.07,91.63,90.09,91.46,745900,91.21
2010-07-07,86.74,90.61,86.47,90.51,996300,90.26
2010-07-06,87.20,88.26,85.70,86.73,1135200,86.49
2010-07-02,87.01,87.61,85.48,85.83,1195300,85.60
2010-07-01,84.40,87.04,83.60,86.67,1701100,86.44
2010-06-30,85.00,86.84,84.36,84.80,1617000,84.57
2010-06-29,87.20,87.40,84.12,85.20,1491800,84.97
2010-06-28,90.52,90.59,88.52,89.37,674900,89.13
2010-06-25,91.08,91.43,89.32,90.90,1674500,90.36
2010-06-24,91.99,92.27,90.00,90.60,1264200,90.07
2010-06-23,91.99,92.98,90.00,92.53,1113000,91.98
2010-06-22,95.03,95.46,91.03,91.22,874500,90.68
