Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,76.20,76.96,76.20,76.88,603200,76.88
2010-11-04,75.72,76.29,75.41,76.24,510500,76.24
2010-11-03,75.17,75.17,73.94,74.74,416500,74.74
2010-11-02,74.22,75.03,73.68,74.94,464800,74.94
2010-11-01,73.82,73.85,72.88,73.45,592000,73.45
2010-10-29,73.20,73.73,72.47,73.10,756700,73.10
2010-10-28,70.51,74.35,70.51,73.82,1247100,73.82
2010-10-27,68.98,70.50,68.84,69.33,668300,69.33
2010-10-26,70.75,70.92,69.68,70.85,545400,70.85
2010-10-25,70.67,71.68,70.66,71.18,312900,71.18
2010-10-22,70.51,70.63,69.81,70.18,205600,70.18
2010-10-21,70.19,71.07,69.75,70.32,410000,70.32
2010-10-20,69.71,70.82,69.62,70.03,572800,70.03
2010-10-19,69.56,70.44,69.02,69.27,570800,69.27
2010-10-18,70.46,70.93,70.18,70.60,304200,70.60
2010-10-15,70.69,71.24,69.05,70.53,512900,70.53
2010-10-14,71.25,71.47,70.01,70.37,363500,70.37
2010-10-13,70.00,71.25,69.87,71.00,634000,71.00
2010-10-12,69.01,69.77,68.21,69.62,479100,69.62
2010-10-11,69.50,69.67,68.96,69.55,449300,69.55
2010-10-08,68.60,69.75,68.60,69.33,594300,69.33
2010-10-07,69.61,69.64,68.00,68.42,551400,68.42
2010-10-06,69.63,69.94,69.18,69.43,327100,69.43
2010-10-05,68.71,69.65,68.33,69.60,486100,69.60
2010-10-04,67.54,67.98,67.45,67.87,662400,67.87
2010-10-01,68.04,68.27,66.84,67.83,1230500,67.83
2010-09-30,68.48,69.20,67.58,68.41,589300,68.41
2010-09-29,68.11,68.49,67.66,67.95,439200,67.95
2010-09-28,67.71,68.42,66.54,68.26,578200,68.26
2010-09-27,68.00,68.18,67.53,67.68,436100,67.56
2010-09-24,67.19,68.43,67.04,68.10,800500,67.97
2010-09-23,66.98,67.85,66.59,66.69,552200,66.57
2010-09-22,68.45,68.83,67.70,67.75,510600,67.62
2010-09-21,68.66,69.38,68.23,68.43,966800,68.30
2010-09-20,67.46,68.54,67.25,68.50,465300,68.37
2010-09-17,67.21,67.59,66.58,67.36,556000,67.24
2010-09-16,66.30,66.83,66.29,66.66,287600,66.54
2010-09-15,65.76,66.46,65.49,66.38,358900,66.26
2010-09-14,65.75,66.60,65.69,66.00,320900,65.88
2010-09-13,64.80,65.93,64.80,65.89,358200,65.77
2010-09-10,64.83,65.04,64.15,64.21,570800,64.09
2010-09-09,66.33,66.34,64.62,64.78,381200,64.66
2010-09-08,65.09,65.97,64.94,65.54,280800,65.42
2010-09-07,64.39,65.25,64.39,64.74,293600,64.62
2010-09-03,64.99,65.39,64.67,65.26,465600,65.14
2010-09-02,63.99,64.69,63.92,64.49,414100,64.37
2010-09-01,63.21,63.83,62.73,63.83,896900,63.71
2010-08-31,62.01,62.56,61.55,62.28,682800,62.16
2010-08-30,62.90,63.25,62.36,62.42,434300,62.30
2010-08-27,61.48,63.07,60.88,63.06,381600,62.94
2010-08-26,60.83,61.79,60.57,61.15,487000,61.04
2010-08-25,60.41,60.53,59.25,60.40,704200,60.29
2010-08-24,61.37,61.78,60.70,60.85,486800,60.74
2010-08-23,62.03,62.78,62.01,62.13,694500,62.02
2010-08-20,61.05,61.92,60.73,61.84,426300,61.73
2010-08-19,62.89,62.92,61.11,61.59,369600,61.48
2010-08-18,62.46,63.28,61.94,63.07,537900,62.95
2010-08-17,61.83,63.24,61.83,62.54,601200,62.42
2010-08-16,60.30,61.41,60.00,61.07,315700,60.96
2010-08-13,60.64,61.27,60.39,60.72,319500,60.61
2010-08-12,60.29,61.23,60.11,60.86,355500,60.75
2010-08-11,61.64,61.72,60.55,61.01,609900,60.90
2010-08-10,63.56,63.75,62.31,62.77,865000,62.65
2010-08-09,64.39,64.72,63.93,64.37,454500,64.25
2010-08-06,63.87,64.81,63.57,64.21,330200,64.09
2010-08-05,64.11,64.69,64.00,64.43,338800,64.31
2010-08-04,63.53,64.55,63.52,64.44,675700,64.32
2010-08-03,63.15,63.79,62.88,63.49,615200,63.37
2010-08-02,63.36,63.79,62.77,63.55,1010400,63.43
2010-07-30,62.26,63.13,62.25,62.49,980700,62.37
2010-07-29,62.33,63.62,59.65,63.00,1711200,62.88
2010-07-28,61.54,62.65,61.54,61.94,784300,61.83
2010-07-27,62.39,62.69,61.41,61.75,617000,61.64
2010-07-26,60.40,61.79,60.40,61.77,673800,61.66
2010-07-23,59.37,60.47,59.32,60.41,919200,60.30
2010-07-22,59.39,60.07,59.03,59.46,1106800,59.35
2010-07-21,59.54,59.85,58.35,58.64,741600,58.53
2010-07-20,57.35,59.15,57.35,59.14,465800,59.03
2010-07-19,58.17,58.24,57.41,58.04,365300,57.93
2010-07-16,58.91,59.02,57.92,58.03,926600,57.92
2010-07-15,59.61,59.61,58.58,59.27,664100,59.16
2010-07-14,59.72,60.04,59.04,59.62,555600,59.51
2010-07-13,59.17,60.06,59.03,59.83,800700,59.72
2010-07-12,59.35,59.45,58.21,58.40,570200,58.29
2010-07-09,58.80,59.83,58.53,59.44,524900,59.33
2010-07-08,58.02,58.79,57.89,58.68,918200,58.57
2010-07-07,56.17,57.50,56.09,57.49,1031300,57.38
2010-07-06,57.55,57.75,55.64,56.25,887800,56.15
2010-07-02,57.47,57.79,56.25,56.55,636300,56.45
2010-07-01,57.86,57.86,56.08,57.33,958200,57.22
2010-06-30,58.34,58.73,57.25,57.43,794200,57.32
2010-06-29,59.41,59.57,57.93,58.24,803400,58.13
2010-06-28,60.22,60.71,59.79,60.26,520500,60.15
2010-06-25,60.55,61.05,60.06,60.31,1032000,60.07
2010-06-24,61.41,61.92,60.20,60.36,881800,60.12
2010-06-23,61.78,62.01,61.16,61.58,853800,61.34
2010-06-22,62.55,63.47,61.65,61.67,618500,61.43
2010-06-21,62.74,63.37,62.11,62.53,967200,62.29
2010-06-18,62.96,63.40,62.38,62.44,1046500,62.20
2010-06-17,63.41,63.59,62.50,63.48,581400,63.23
2010-06-16,62.62,63.43,62.58,63.15,610400,62.90
2010-06-15,62.41,63.30,62.25,63.29,705700,63.04
2010-06-14,62.11,63.12,61.62,61.76,668800,61.52
2010-06-11,60.41,61.97,60.41,61.91,348800,61.67
2010-06-10,60.22,61.32,60.21,61.32,557900,61.08
2010-06-09,59.67,60.55,58.92,59.21,571300,58.98
2010-06-08,57.94,59.35,57.64,59.31,1009400,59.08
2010-06-07,58.34,59.22,57.81,57.90,564000,57.67
2010-06-04,59.79,60.36,58.11,58.23,583000,58.00
2010-06-03,61.15,61.69,60.22,60.88,587600,60.64
2010-06-02,58.93,61.41,58.93,61.41,691500,61.17
2010-06-01,60.15,60.51,58.67,58.69,612700,58.46
2010-05-28,61.19,61.31,60.32,60.55,655400,60.31
2010-05-27,60.40,61.49,59.80,61.49,615400,61.25
2010-05-26,59.54,60.57,58.88,59.07,778800,58.84
2010-05-25,57.00,58.91,56.69,58.88,958100,58.65
2010-05-24,59.21,59.50,58.25,58.30,1015900,58.07
2010-05-21,58.17,59.72,57.08,59.62,1300800,59.39
2010-05-20,58.79,60.15,58.45,58.88,1468800,58.65
2010-05-19,60.74,60.88,59.60,60.73,908700,60.49
2010-05-18,63.26,64.17,61.00,61.10,1176800,60.86
2010-05-17,62.40,63.29,61.77,62.88,1784900,62.63
2010-05-14,64.19,64.37,61.92,62.35,1542700,62.11
2010-05-13,65.04,65.60,64.34,64.54,426600,64.29
2010-05-12,64.29,65.23,64.06,65.14,759500,64.88
2010-05-11,63.76,64.81,63.76,64.07,736400,63.82
