Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,54.28,54.47,53.84,54.39,1182400,54.39
2010-11-04,53.98,54.37,53.80,54.37,975600,54.37
2010-11-03,53.95,54.17,52.80,53.19,916000,53.19
2010-11-02,53.74,54.31,53.43,53.93,987400,53.93
2010-11-01,54.36,54.48,53.37,53.86,988500,53.86
2010-10-29,54.21,54.49,54.00,54.05,898100,54.05
2010-10-28,55.13,56.98,54.17,54.46,2132000,54.46
2010-10-27,54.70,55.20,54.40,54.53,1435000,54.53
2010-10-26,55.64,55.83,55.08,55.20,1144200,55.20
2010-10-25,56.53,56.99,55.94,55.99,648100,55.99
2010-10-22,56.16,56.71,55.50,56.05,918900,56.05
2010-10-21,56.00,56.80,55.64,56.08,1073300,56.08
2010-10-20,55.38,56.50,55.28,55.80,1165800,55.80
2010-10-19,55.40,56.17,54.91,55.17,915400,55.17
2010-10-18,56.15,56.52,55.79,56.03,832800,56.03
2010-10-15,56.89,56.90,55.69,56.13,1248600,56.13
2010-10-14,56.33,56.97,55.87,56.24,1502400,56.24
2010-10-13,56.25,56.71,55.76,55.91,2054100,55.91
2010-10-12,55.33,57.35,55.16,57.05,2521200,57.05
2010-10-11,55.28,55.53,54.85,55.50,2289800,55.50
2010-10-08,53.23,59.40,53.22,55.85,11261900,55.85
2010-10-07,50.10,52.05,49.45,52.00,2510800,52.00
2010-10-06,50.88,50.98,50.00,50.13,1140900,50.13
2010-10-05,49.98,51.04,49.83,50.97,2101800,50.97
2010-10-04,49.51,49.95,49.02,49.60,1330800,49.60
2010-10-01,49.66,49.80,49.06,49.58,947400,49.58
2010-09-30,49.37,49.92,48.86,49.23,941500,49.23
2010-09-29,49.45,49.45,48.62,49.13,908600,49.13
2010-09-28,49.41,49.91,48.56,49.78,901300,49.78
2010-09-27,49.95,49.95,48.94,49.35,1237400,49.35
2010-09-24,49.44,50.39,49.43,50.39,724000,50.39
2010-09-23,49.10,49.37,48.67,48.81,989700,48.81
2010-09-22,49.66,49.85,48.81,49.43,979100,49.43
2010-09-21,49.95,50.04,49.57,49.67,1143600,49.67
2010-09-20,49.32,50.00,49.14,49.95,1592500,49.95
2010-09-17,49.17,49.68,49.04,49.24,905300,49.24
2010-09-16,48.71,49.12,48.52,49.00,649200,49.00
2010-09-15,48.61,49.18,48.15,49.01,941500,49.01
2010-09-14,48.49,49.06,48.29,48.71,459500,48.71
2010-09-13,48.49,48.81,48.18,48.66,726600,48.66
2010-09-10,48.05,48.12,47.69,47.94,1299900,47.94
2010-09-09,48.19,48.33,47.72,47.89,1535400,47.89
2010-09-08,47.07,47.61,47.02,47.55,1327300,47.55
2010-09-07,47.67,47.67,46.58,47.07,3028200,47.07
2010-09-03,47.57,47.96,47.25,47.95,900600,47.95
2010-09-02,46.44,47.13,46.44,47.12,1730400,47.12
2010-09-01,45.44,46.46,45.27,46.45,1176100,46.45
2010-08-31,44.10,45.12,43.94,44.79,1411700,44.79
2010-08-30,44.59,45.11,44.33,44.51,1111000,44.51
2010-08-27,43.88,44.78,43.20,44.72,1722900,44.72
