Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,77.31,78.19,76.35,78.06,1031000,78.06
2010-11-04,75.80,77.44,75.80,77.41,1202100,77.41
2010-11-03,74.03,74.73,72.82,74.73,1121000,74.73
2010-11-02,73.40,73.81,72.39,73.76,978500,73.76
2010-11-01,73.16,73.65,71.63,72.30,801000,72.30
2010-10-29,70.18,73.22,70.06,72.10,1766500,72.10
2010-10-28,70.00,71.66,69.00,70.34,2827300,70.34
2010-10-27,73.10,73.78,71.69,73.27,1428400,73.27
2010-10-26,71.82,73.51,71.55,72.17,893700,72.17
2010-10-25,73.07,74.39,72.02,72.21,1290400,72.21
2010-10-22,72.57,73.74,72.00,72.30,924200,72.30
2010-10-21,71.82,72.82,71.58,72.17,1317600,72.17
2010-10-20,70.69,71.98,70.40,71.53,687000,71.53
2010-10-19,70.50,71.36,69.49,70.34,1111700,70.34
2010-10-18,72.76,72.82,71.60,71.95,693400,71.95
2010-10-15,73.23,73.23,71.13,72.90,768700,72.90
2010-10-14,72.86,73.20,71.08,72.04,1179700,72.04
2010-10-13,72.19,73.16,71.79,72.84,1129600,72.84
2010-10-12,70.83,72.04,69.62,71.76,876100,71.76
2010-10-11,70.90,71.50,70.16,71.19,800400,71.19
2010-10-08,68.89,71.06,68.47,70.82,1649200,70.82
2010-10-07,70.07,70.08,68.02,68.54,889900,68.54
2010-10-06,69.76,70.92,69.45,69.70,1514300,69.70
2010-10-05,68.58,69.99,68.25,69.69,847000,69.69
2010-10-04,69.20,69.58,67.20,67.51,1168000,67.51
2010-10-01,69.06,69.77,68.25,69.40,1124900,69.40
2010-09-30,70.16,71.32,67.60,68.29,2106900,68.29
2010-09-29,66.77,69.35,66.63,68.96,1164600,68.96
2010-09-28,66.63,67.91,65.98,66.99,1286300,66.99
2010-09-27,67.22,67.83,66.39,66.50,908600,66.50
2010-09-24,66.22,68.23,66.03,67.55,1382000,67.55
2010-09-23,64.91,66.21,64.54,65.06,1189000,65.06
2010-09-22,66.24,66.83,65.10,65.43,1799400,65.43
2010-09-21,67.71,68.12,66.01,66.13,1754100,66.13
2010-09-20,65.57,67.77,64.80,67.59,1337900,67.59
2010-09-17,65.74,65.92,64.24,65.17,1359700,65.17
2010-09-16,65.66,66.34,65.15,65.67,749000,65.67
2010-09-15,65.76,66.47,64.75,66.43,1172800,66.43
2010-09-14,67.26,67.48,65.70,66.32,844600,66.32
2010-09-13,66.71,67.59,65.91,67.36,917200,67.36
2010-09-10,65.48,66.34,65.30,65.89,736500,65.89
2010-09-09,66.21,66.29,64.79,65.04,798100,65.04
2010-09-08,65.66,66.57,64.76,65.10,1392500,65.10
2010-09-07,65.76,66.28,64.97,65.22,1189500,65.22
2010-09-03,66.61,67.78,65.94,66.58,1062600,66.58
2010-09-02,65.04,66.00,64.49,65.91,1253700,65.91
2010-09-01,63.12,65.08,63.01,64.79,1359500,64.79
2010-08-31,61.55,62.31,61.08,61.85,1042700,61.85
2010-08-30,63.76,63.85,62.09,62.13,1098900,62.13
2010-08-27,62.87,64.65,61.57,63.94,1102100,63.94
2010-08-26,62.37,63.36,61.31,61.77,626500,61.77
2010-08-25,61.48,61.92,60.41,61.79,1108900,61.79
2010-08-24,61.04,62.59,60.50,62.00,1797300,62.00
2010-08-23,61.90,62.64,61.59,61.97,864200,61.97
2010-08-20,61.62,62.35,60.94,61.63,927000,61.63
2010-08-19,63.34,64.00,61.81,62.29,908700,62.29
2010-08-18,64.79,64.79,63.59,63.73,868600,63.73
2010-08-17,63.86,65.45,63.15,65.06,1389200,65.06
2010-08-16,61.60,62.93,61.42,62.82,1076500,62.82
2010-08-13,61.00,62.06,60.62,61.97,1203900,61.97
2010-08-12,60.45,61.90,60.43,61.08,728200,61.08
2010-08-11,61.94,62.24,60.49,61.48,1252100,61.48
2010-08-10,63.59,63.99,62.67,63.49,997400,63.49
2010-08-09,64.55,65.05,63.81,64.97,906300,64.97
2010-08-06,63.96,64.38,62.63,63.91,1162600,63.91
2010-08-05,63.92,65.28,63.92,64.77,762100,64.77
2010-08-04,64.50,65.86,64.34,65.30,1460100,65.30
2010-08-03,64.29,64.63,63.15,64.43,1094100,64.43
2010-08-02,64.77,65.17,63.80,64.68,1224700,64.68
2010-07-30,61.74,63.47,61.50,63.28,1465700,63.28
2010-07-29,61.83,63.20,60.95,63.12,2259500,63.12
2010-07-28,60.07,61.39,59.85,61.22,1668000,61.22
2010-07-27,61.85,62.09,59.30,59.98,2338300,59.98
2010-07-26,60.57,62.99,60.48,61.82,2793500,61.82
2010-07-23,62.06,63.86,61.25,63.74,1335800,63.74
2010-07-22,61.41,62.91,61.34,62.47,1275600,62.47
