Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.79,47.88,47.25,47.43,270300,47.43
2010-11-04,47.43,47.86,47.36,47.76,435100,47.76
2010-11-03,47.96,47.96,46.42,46.93,565800,46.93
2010-11-02,47.54,48.43,47.21,47.90,520300,47.90
2010-11-01,47.91,48.09,46.86,47.21,320500,47.21
2010-10-29,47.61,47.85,47.38,47.63,229800,47.63
2010-10-28,47.61,47.86,47.39,47.64,314200,47.64
2010-10-27,47.10,47.35,46.62,47.30,410100,47.30
2010-10-26,47.56,47.56,47.17,47.31,366200,47.31
2010-10-25,48.14,48.27,47.64,47.72,240700,47.72
2010-10-22,47.73,47.92,47.47,47.75,397400,47.75
2010-10-21,48.25,48.45,47.35,47.73,236300,47.73
2010-10-20,47.76,48.26,47.76,48.00,414500,48.00
2010-10-19,47.71,48.30,46.99,47.59,500700,47.59
2010-10-18,48.40,48.47,47.95,48.20,265700,48.20
2010-10-15,48.35,48.47,47.85,48.12,416500,48.12
2010-10-14,48.13,48.25,47.69,47.92,289500,47.92
2010-10-13,47.84,48.22,47.40,48.10,362500,48.10
2010-10-12,47.82,47.88,47.39,47.52,374600,47.52
2010-10-11,47.90,48.18,47.74,47.89,182900,47.89
2010-10-08,47.61,47.92,47.27,47.79,293000,47.79
2010-10-07,47.70,47.93,47.41,47.63,341300,47.63
2010-10-06,47.45,47.81,47.35,47.45,692300,47.45
2010-10-05,46.95,47.60,46.77,47.52,551100,47.52
2010-10-04,46.38,46.74,46.18,46.54,623600,46.54
2010-10-01,46.23,46.58,46.00,46.41,403600,46.41
2010-09-30,45.85,46.27,45.48,45.82,606700,45.82
2010-09-29,45.26,45.67,45.13,45.62,445700,45.62
2010-09-28,45.28,45.62,44.43,45.38,590800,45.38
2010-09-27,45.29,45.65,45.11,45.52,284800,45.06
2010-09-24,44.41,45.32,44.41,45.30,269100,44.84
2010-09-23,44.56,44.95,44.15,44.20,929200,43.75
2010-09-22,45.04,45.48,44.65,44.78,1285600,44.32
2010-09-21,45.26,45.67,44.99,45.15,997600,44.69
2010-09-20,44.41,45.28,44.12,45.25,362400,44.79
2010-09-17,44.42,44.60,43.87,44.20,383700,43.75
2010-09-16,44.58,44.58,43.84,44.18,355200,43.73
2010-09-15,44.71,44.85,44.18,44.63,277300,44.17
2010-09-14,44.84,45.04,44.55,44.85,237200,44.39
2010-09-13,44.78,45.06,44.58,44.86,357600,44.40
2010-09-10,44.54,44.74,44.32,44.37,327300,43.92
2010-09-09,44.34,44.65,44.27,44.53,380800,44.08
2010-09-08,44.02,44.05,43.78,43.96,475800,43.51
2010-09-07,44.10,44.27,43.85,43.94,269100,43.49
2010-09-03,44.07,44.38,43.88,44.34,432200,43.89
2010-09-02,43.69,43.77,43.26,43.57,321900,43.12
2010-09-01,42.88,43.72,42.73,43.68,367900,43.23
