Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,69.10,69.97,68.90,69.66,1778300,69.66
2010-11-04,68.81,69.30,68.25,69.17,2283900,69.17
2010-11-03,68.21,68.77,67.27,67.95,2405600,67.95
2010-11-02,68.54,69.10,67.98,67.99,2069700,67.99
2010-11-01,68.33,68.85,67.31,67.86,1852400,67.86
2010-10-29,67.39,68.13,67.29,68.12,3459400,68.12
2010-10-28,66.32,67.88,66.02,67.78,5072000,67.78
2010-10-27,64.24,65.53,63.48,65.42,3872300,65.42
2010-10-26,63.83,64.43,63.43,64.09,2025500,64.09
2010-10-25,65.11,65.13,63.99,64.06,1762900,64.06
2010-10-22,64.54,64.73,64.04,64.50,1218900,64.50
2010-10-21,64.17,65.16,64.17,64.55,1741500,64.55
2010-10-20,63.26,64.35,63.23,63.83,1795000,63.83
2010-10-19,63.45,63.67,62.17,62.96,2166700,62.96
2010-10-18,63.94,64.48,63.55,64.37,1271700,64.37
2010-10-15,63.50,64.05,62.90,63.93,2961800,63.93
2010-10-14,64.12,64.20,62.92,63.17,1760200,63.17
2010-10-13,63.58,64.52,63.58,64.06,1554200,64.06
2010-10-12,62.97,63.57,62.13,63.37,1415800,63.37
2010-10-11,63.48,63.53,62.99,63.13,790100,63.13
2010-10-08,63.14,63.65,62.69,63.37,1454000,63.37
2010-10-07,63.81,64.03,62.80,63.13,1519500,63.13
2010-10-06,63.14,63.77,63.02,63.64,2134800,63.64
2010-10-05,62.39,63.48,61.89,63.41,2735600,62.99
2010-10-04,62.42,62.73,61.51,61.75,1935500,61.34
2010-10-01,63.33,63.43,62.38,62.46,1756900,62.05
2010-09-30,63.49,64.60,62.62,62.81,2454000,62.39
2010-09-29,62.97,63.19,62.35,63.06,2165700,62.64
2010-09-28,63.25,63.35,62.23,63.27,2395700,62.85
2010-09-27,63.83,63.96,63.02,63.13,1288500,62.71
2010-09-24,62.55,63.75,62.55,63.68,1270400,63.26
2010-09-23,62.34,62.85,61.86,61.98,1484800,61.57
2010-09-22,63.63,63.92,62.58,62.87,1642900,62.45
2010-09-21,63.61,64.21,63.25,63.61,1347600,63.19
2010-09-20,63.11,63.73,62.35,63.63,1824500,63.21
2010-09-17,61.52,62.81,61.44,62.69,3122300,62.27
2010-09-16,61.17,61.37,60.87,61.31,1887000,60.90
2010-09-15,61.02,61.30,60.53,61.27,2314000,60.86
2010-09-14,61.94,62.07,61.15,61.46,2156100,61.05
2010-09-13,61.76,62.88,61.76,62.18,2813200,61.77
2010-09-10,60.11,61.25,59.85,61.13,2462300,60.73
2010-09-09,60.00,60.42,59.26,59.82,1839700,59.42
2010-09-08,58.80,59.85,58.59,59.49,2807400,59.10
2010-09-07,59.24,59.30,57.72,58.49,2226000,58.10
2010-09-03,59.54,59.99,59.25,59.72,1639300,59.32
2010-09-02,58.14,58.96,57.81,58.95,2034900,58.56
2010-09-01,56.70,58.00,56.23,57.78,1940100,57.40
2010-08-31,56.26,56.43,55.68,55.87,2418800,55.50
2010-08-30,57.13,57.53,56.52,56.57,2045800,56.20
2010-08-27,56.59,57.41,55.46,57.37,2812500,56.99
2010-08-26,57.15,57.72,56.65,56.83,2066100,56.45
2010-08-25,57.51,57.71,56.27,56.99,4329000,56.61
2010-08-24,58.45,58.79,57.62,57.87,2138400,57.49
2010-08-23,60.14,60.36,59.24,59.33,1987600,58.94
2010-08-20,60.17,60.51,59.71,60.23,2368000,59.83
2010-08-19,62.31,62.35,60.39,60.62,2418900,60.22
2010-08-18,62.55,62.67,62.00,62.49,1825200,62.08
2010-08-17,61.10,62.79,61.03,62.34,2721300,61.93
2010-08-16,60.27,60.70,59.75,60.42,1551100,60.02
2010-08-13,60.52,61.16,60.40,60.67,1895100,60.27
2010-08-12,60.28,61.02,60.21,60.72,2083400,60.32
2010-08-11,63.17,63.18,61.02,61.32,2317600,60.91
2010-08-10,63.63,64.44,63.09,64.09,2083600,63.67
2010-08-09,64.05,64.40,63.87,64.32,1192700,63.89
2010-08-06,63.28,64.02,62.97,63.78,2403300,63.36
2010-08-05,63.07,63.79,62.89,63.77,1617000,63.35
2010-08-04,62.93,63.46,62.72,63.34,1584500,62.92
2010-08-03,62.61,63.20,62.44,62.67,1561400,62.25
2010-08-02,62.06,63.15,61.74,62.91,2149800,62.49
2010-07-30,60.99,61.52,60.58,61.25,2805900,60.84
2010-07-29,62.30,62.69,61.03,61.73,1852100,61.32
2010-07-28,61.52,62.57,61.22,61.80,2405600,61.39
2010-07-27,62.57,62.74,61.70,61.77,1821900,61.36
2010-07-26,61.31,63.08,61.29,62.49,1486700,62.08
2010-07-23,60.98,61.87,60.48,61.29,2056600,60.88
2010-07-22,59.90,61.40,59.90,61.03,1922800,60.63
2010-07-21,59.53,60.44,59.00,59.28,2485900,58.89
2010-07-20,57.91,59.22,56.93,59.21,3230100,58.82
2010-07-19,58.84,59.04,58.20,58.60,2013400,58.21
2010-07-16,60.97,61.29,58.75,58.90,2316800,58.51
2010-07-15,61.60,61.83,60.45,61.47,2131100,61.06
2010-07-14,60.26,61.61,60.16,61.61,2813900,61.20
2010-07-13,60.42,60.83,60.07,60.56,1946100,60.16
2010-07-12,60.34,60.43,59.52,59.87,1869200,59.47
2010-07-09,60.78,60.86,60.00,60.84,1299300,60.44
2010-07-08,60.58,61.08,60.31,60.97,1790500,60.57
2010-07-07,58.87,60.27,58.58,60.22,3237600,59.82
2010-07-06,59.08,59.71,58.12,58.64,2539700,58.25
2010-07-02,58.79,59.25,58.30,58.70,2281100,58.31
2010-07-01,58.61,58.84,57.68,58.50,2983600,58.11
2010-06-30,58.92,59.69,58.47,58.56,3261300,58.17
2010-06-29,61.33,61.57,59.20,59.43,4487800,58.62
2010-06-28,63.42,63.42,62.16,62.26,2861600,61.41
2010-06-25,63.35,63.68,62.31,63.22,3015700,62.36
2010-06-24,64.67,65.10,63.14,63.25,2864700,62.39
2010-06-23,65.55,65.63,64.01,64.89,2771700,64.00
2010-06-22,67.11,67.35,65.31,65.45,1825900,64.56
2010-06-21,67.98,68.08,66.45,66.78,2187700,65.87
2010-06-18,66.42,67.09,66.42,66.90,3334200,65.99
2010-06-17,66.22,66.55,65.44,66.31,1770700,65.41
2010-06-16,66.10,66.61,65.87,66.29,1551800,65.39
2010-06-15,64.89,66.67,64.65,66.62,1950900,65.71
2010-06-14,65.13,65.41,64.15,64.31,1728900,63.43
2010-06-11,63.41,64.70,62.95,64.58,1782400,63.70
2010-06-10,63.30,64.24,63.24,64.07,2472800,63.20
2010-06-09,62.79,63.84,62.33,62.55,1994100,61.70
2010-06-08,62.10,62.93,61.79,62.65,4364500,61.80
2010-06-07,65.32,65.32,61.97,62.08,5017400,61.23
2010-06-04,67.06,67.06,64.95,65.18,2969000,64.29
2010-06-03,68.20,69.10,67.65,68.07,2219600,67.14
2010-06-02,67.17,67.99,65.95,67.92,2028700,66.99
2010-06-01,67.00,68.42,66.73,66.74,1745100,65.83
2010-05-28,68.49,68.69,67.52,67.90,1991500,66.97
2010-05-27,67.20,68.48,67.17,68.48,1560900,67.55
2010-05-26,66.52,67.45,66.18,66.38,2165000,65.47
2010-05-25,64.06,66.16,64.00,66.04,2136200,65.14
2010-05-24,67.28,67.28,65.88,65.96,2056800,65.06
2010-05-21,65.39,67.68,64.90,67.45,2487200,66.53
2010-05-20,68.22,68.26,66.30,66.30,2909700,65.40
2010-05-19,70.14,70.35,68.55,69.68,1979100,68.73
2010-05-18,71.81,72.34,70.44,70.55,1556400,69.59
2010-05-17,72.04,72.32,70.34,71.77,1646100,70.79
2010-05-14,72.30,72.67,70.90,71.71,1824000,70.73
2010-05-13,74.03,74.39,72.88,72.96,1319900,71.96
2010-05-12,72.97,74.47,72.78,74.09,1418700,73.08
2010-05-11,72.68,73.54,72.13,72.65,2276600,71.66
2010-05-10,73.00,74.25,71.43,73.11,3488500,72.11
2010-05-07,72.10,72.10,69.46,70.50,4081500,69.54
2010-05-06,74.52,75.23,64.58,72.06,3256400,71.08
2010-05-05,74.65,75.61,74.32,74.96,1602700,73.94
2010-05-04,76.81,76.81,74.72,75.28,1830300,74.25
2010-05-03,76.83,77.58,76.36,77.55,1365300,76.49
2010-04-30,78.12,78.33,76.33,76.36,1563400,75.32
2010-04-29,77.55,78.10,76.58,77.96,1523000,76.90
2010-04-28,76.72,77.35,75.95,76.98,2124400,75.93
2010-04-27,78.50,78.70,76.52,76.56,2750300,75.52
2010-04-26,78.38,79.00,78.26,78.67,1629600,77.60
2010-04-23,78.28,78.64,77.57,78.60,1803500,77.53
2010-04-22,77.56,78.30,76.60,78.21,2048200,77.14
2010-04-21,77.02,78.24,76.75,78.05,2041300,76.99
2010-04-20,76.34,77.06,76.19,76.94,1704700,75.89
2010-04-19,75.94,76.32,75.61,76.14,1927400,75.10
2010-04-16,76.22,76.95,75.53,76.04,2426200,75.00
2010-04-15,76.43,77.06,76.19,76.46,2439500,75.42
2010-04-14,76.87,76.97,76.30,76.71,2395100,75.66
2010-04-13,77.35,77.35,76.07,76.85,1858000,75.80
2010-04-12,77.54,78.18,77.14,77.30,1061600,76.25
2010-04-09,77.08,77.58,76.68,77.54,1094000,76.48
2010-04-08,76.20,77.13,75.94,76.81,1221600,75.76
2010-04-07,76.97,77.19,76.32,76.47,1958100,75.43
2010-04-06,77.70,77.97,76.74,77.41,3102500,75.94
2010-04-05,78.47,78.96,77.74,78.23,1299200,76.74
2010-04-01,77.53,78.33,77.37,77.91,1285500,76.43
2010-03-31,77.34,77.79,76.98,77.20,2131100,75.73
2010-03-30,78.48,78.48,77.07,77.49,2199000,76.02
2010-03-29,77.35,78.62,77.17,78.48,3168600,76.99
2010-03-26,76.50,77.05,76.15,76.92,1644700,75.46
2010-03-25,76.34,76.96,75.73,76.22,2168100,74.77
2010-03-24,76.74,76.76,75.60,75.74,1476100,74.30
2010-03-23,75.88,76.96,75.79,76.94,1818800,75.48
2010-03-22,75.23,75.82,74.59,75.66,1340200,74.22
2010-03-19,75.69,76.24,75.24,75.49,2438000,74.06
2010-03-18,74.86,75.50,74.79,75.24,2430200,73.81
2010-03-17,73.91,75.00,73.59,74.98,2250100,73.56
2010-03-16,73.67,73.98,73.26,73.71,1380500,72.31
2010-03-15,73.72,73.74,72.96,73.66,1620400,72.26
2010-03-12,74.15,74.15,73.01,73.76,1587400,72.36
2010-03-11,73.50,74.22,72.75,74.15,2017000,72.74
2010-03-10,73.47,74.31,73.38,73.94,1903600,72.54
2010-03-09,73.38,74.09,72.65,73.68,1363000,72.28
2010-03-08,73.40,73.92,73.10,73.65,1766500,72.25
2010-03-05,72.88,73.78,72.53,73.73,2350000,72.33
2010-03-04,71.95,73.04,71.09,72.94,3061300,71.55
2010-03-03,74.25,74.33,72.65,72.83,3344600,71.45
2010-03-02,74.65,74.65,73.41,73.98,2203000,72.57
2010-03-01,72.54,74.13,72.54,73.91,2384900,72.51
2010-02-26,72.39,72.74,71.59,72.55,1504200,71.17
2010-02-25,72.10,72.24,70.81,72.20,1651400,70.83
2010-02-24,71.83,72.74,71.71,72.60,1220500,71.22
2010-02-23,72.28,72.88,71.53,71.81,1747700,70.45
2010-02-22,72.62,72.97,71.74,72.57,1753900,71.19
2010-02-19,71.64,73.10,71.43,72.61,2474900,71.23
2010-02-18,69.86,71.99,69.59,71.78,2692800,70.42
2010-02-17,69.76,70.10,69.10,70.10,2284400,68.77
2010-02-16,68.37,69.85,68.13,69.85,2745100,68.52
2010-02-12,67.33,68.28,66.38,67.95,2433400,66.66
2010-02-11,67.46,67.85,66.55,67.80,2978000,66.51
2010-02-10,68.05,68.34,67.42,67.64,2704100,66.36
2010-02-09,66.95,68.56,66.55,68.04,2008500,66.75
2010-02-08,66.72,67.53,65.91,66.35,2017100,65.09
2010-02-05,68.07,68.38,65.30,66.66,4387600,65.39
2010-02-04,69.64,69.98,68.06,68.16,2995400,66.87
2010-02-03,69.82,70.39,69.51,70.12,1902400,68.79
2010-02-02,69.43,70.21,68.66,70.03,3599700,68.70
2010-02-01,67.22,69.58,66.79,69.43,3613300,68.11
2010-01-29,67.41,67.73,66.72,66.85,2268400,65.58
2010-01-28,67.61,68.25,67.04,67.60,1839000,66.32
2010-01-27,68.75,68.75,65.92,67.23,3839500,65.95
2010-01-26,67.57,69.40,67.43,68.72,2618400,67.41
2010-01-25,68.68,69.04,67.85,67.86,1781100,66.57
2010-01-22,68.10,68.77,66.94,67.02,1868300,65.75
2010-01-21,69.27,69.72,67.73,68.14,1984500,66.85
2010-01-20,70.12,70.29,68.35,69.36,2193500,68.04
2010-01-19,70.49,70.83,70.02,70.69,1498700,69.35
2010-01-15,71.08,71.08,69.85,70.61,1829400,69.27
2010-01-14,70.87,71.24,70.31,71.10,2332600,69.75
2010-01-13,70.17,71.49,69.96,71.07,1797800,69.72
2010-01-12,70.27,70.65,69.85,70.30,1677200,68.59
2010-01-11,69.83,70.75,69.66,70.73,1508400,69.01
2010-01-08,69.43,69.70,68.91,69.44,1582000,67.75
2010-01-07,69.09,69.50,68.73,69.44,1262300,67.75
2010-01-06,69.03,69.36,68.75,69.24,1149700,67.56
2010-01-05,69.29,69.78,68.81,69.30,1535400,67.62
2010-01-04,68.51,69.19,68.17,69.19,1198500,67.51
2009-12-31,68.89,68.97,68.10,68.17,1215100,66.51
2009-12-30,68.53,68.93,68.31,68.70,827100,67.03
2009-12-29,68.88,69.11,68.52,68.55,919200,66.88
2009-12-28,68.51,68.94,68.27,68.57,715700,66.90
2009-12-24,68.15,68.47,68.03,68.34,446900,66.68
2009-12-23,68.40,68.65,67.76,68.20,1143500,66.54
2009-12-22,68.59,68.95,68.03,68.20,1328800,66.54
2009-12-21,68.51,69.07,68.39,68.59,1106800,66.92
2009-12-18,68.78,68.93,67.75,68.24,2328100,66.58
2009-12-17,69.05,69.32,68.40,68.51,1242100,66.85
2009-12-16,69.82,70.04,68.85,69.45,2095100,67.76
2009-12-15,70.40,70.58,69.48,69.67,2158600,67.98
2009-12-14,69.32,70.84,69.21,70.66,2569600,68.94
2009-12-11,68.05,69.17,68.01,69.01,1508400,67.33
2009-12-10,68.02,68.68,67.86,68.01,1070500,66.36
2009-12-09,67.96,67.96,66.94,67.90,1860300,66.25
2009-12-08,67.61,68.15,66.83,67.82,1959400,66.17
2009-12-07,67.55,68.21,67.49,67.88,1107600,66.23
2009-12-04,67.16,68.43,66.76,67.54,1717500,65.90
2009-12-03,67.36,67.73,66.68,66.78,1399700,65.16
