Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,16.52,16.86,16.51,16.73,69781300,16.73
2010-11-04,16.20,16.59,16.18,16.51,87201200,16.51
2010-11-03,15.96,16.10,15.88,16.06,65685700,16.06
2010-11-02,16.00,16.07,15.88,15.94,50517000,15.94
2010-11-01,16.09,16.18,15.88,15.95,52820000,15.95
2010-10-29,16.07,16.13,15.98,16.02,38136000,16.02
2010-10-28,16.22,16.30,16.03,16.08,44237900,16.08
2010-10-27,16.06,16.14,15.99,16.11,50580200,16.11
2010-10-26,16.06,16.32,16.03,16.16,49343200,16.16
2010-10-25,16.26,16.32,16.06,16.06,53586900,16.06
2010-10-22,16.11,16.20,16.01,16.06,31318800,16.06
2010-10-21,16.09,16.37,16.02,16.10,59414700,16.10
2010-10-20,16.19,16.20,15.88,16.05,69654600,16.05
2010-10-19,16.10,16.26,15.98,16.07,74162600,16.07
2010-10-18,16.31,16.34,16.10,16.25,67489100,16.25
2010-10-15,16.78,16.79,16.15,16.30,205160900,16.30
2010-10-14,17.39,17.39,16.97,17.16,57886000,17.16
2010-10-13,17.30,17.49,17.18,17.28,60806900,17.28
2010-10-12,16.97,17.30,16.94,17.19,64773500,17.19
2010-10-11,17.24,17.26,16.92,16.96,52275300,16.96
2010-10-08,17.13,17.29,17.03,17.12,51548400,17.12
2010-10-07,17.00,17.12,16.85,17.05,58598400,17.05
2010-10-06,16.49,17.00,16.46,16.90,74000100,16.90
2010-10-05,16.25,16.58,16.19,16.51,62611900,16.51
2010-10-04,16.31,16.37,16.00,16.10,45834600,16.10
2010-10-01,16.40,16.53,16.26,16.36,48433400,16.36
2010-09-30,16.46,16.69,16.15,16.25,59002500,16.25
2010-09-29,16.34,16.46,16.24,16.36,44123900,16.36
2010-09-28,16.43,16.52,16.14,16.44,53876900,16.44
2010-09-27,16.65,16.65,16.40,16.43,40568000,16.43
2010-09-24,16.33,16.66,16.30,16.66,85029900,16.66
2010-09-23,16.27,16.39,16.05,16.14,53179800,16.14
2010-09-22,16.51,16.67,16.40,16.50,47439900,16.50
2010-09-21,16.52,16.70,16.42,16.52,54155500,16.52
2010-09-20,16.27,16.60,16.23,16.55,46091300,16.55
2010-09-17,16.31,16.42,16.08,16.29,72500600,16.29
2010-09-16,16.18,16.31,16.11,16.23,47072000,16.23
2010-09-15,16.07,16.47,15.97,16.34,68556000,16.22
2010-09-14,16.18,16.28,16.11,16.16,48159600,16.04
2010-09-13,16.19,16.31,16.05,16.25,56310500,16.13
2010-09-10,15.96,16.08,15.81,15.98,46637800,15.86
2010-09-09,15.91,16.00,15.82,15.91,60506200,15.79
2010-09-08,15.39,15.79,15.32,15.70,75069900,15.58
2010-09-07,15.28,15.50,15.21,15.44,55365800,15.33
2010-09-03,15.39,15.56,15.20,15.39,64341100,15.28
2010-09-02,15.10,15.20,14.94,15.15,54433600,15.04
2010-09-01,14.73,15.10,14.60,15.01,78042700,14.90
2010-08-31,14.36,14.58,14.31,14.48,59224700,14.37
2010-08-30,14.67,14.72,14.51,14.52,36583300,14.41
2010-08-27,14.61,14.76,14.37,14.71,46473000,14.60
2010-08-26,14.66,14.81,14.44,14.50,58285300,14.39
2010-08-25,14.46,14.68,14.25,14.57,76783100,14.46
2010-08-24,14.74,14.75,14.41,14.57,89666100,14.46
2010-08-23,15.22,15.27,14.85,14.89,55581000,14.78
2010-08-20,15.18,15.18,14.89,15.03,65402900,14.92
2010-08-19,15.56,15.64,15.05,15.25,82336800,15.14
2010-08-18,15.58,15.74,15.51,15.70,42302800,15.58
2010-08-17,15.66,15.74,15.50,15.58,60908200,15.47
2010-08-16,15.29,15.49,15.15,15.46,56429600,15.35
2010-08-13,15.34,15.52,15.34,15.38,41650800,15.27
2010-08-12,15.42,15.68,15.34,15.50,58243300,15.39
2010-08-11,15.98,16.03,15.54,15.70,77164000,15.58
2010-08-10,16.19,16.34,15.96,16.25,53236400,16.13
2010-08-09,16.42,16.46,16.30,16.38,39918800,16.26
2010-08-06,16.32,16.45,16.09,16.45,58954200,16.33
2010-08-05,16.35,16.54,16.27,16.52,46596900,16.40
2010-08-04,16.41,16.51,16.37,16.48,46124000,16.36
2010-08-03,16.39,16.52,16.36,16.40,55092900,16.28
2010-08-02,16.32,16.47,16.31,16.41,67412000,16.29
2010-07-30,15.92,16.24,15.91,16.12,60130400,16.00
2010-07-29,16.15,16.24,15.94,16.15,69783700,16.03
2010-07-28,16.10,16.18,15.95,16.05,52479100,15.93
2010-07-27,16.30,16.57,16.10,16.18,69942100,16.06
2010-07-26,15.91,16.16,15.70,16.14,80950300,16.02
2010-07-23,15.21,15.85,15.03,15.71,112735300,15.59
2010-07-22,15.08,15.29,14.97,15.21,64300700,15.10
2010-07-21,15.11,15.20,14.64,14.84,65021900,14.73
2010-07-20,14.36,15.01,14.36,14.94,67279400,14.83
2010-07-19,14.64,14.74,14.47,14.62,49073000,14.51
2010-07-16,15.00,15.06,14.50,14.55,125415000,14.44
2010-07-15,15.16,15.28,14.88,15.25,79329000,15.14
2010-07-14,15.26,15.30,15.06,15.20,45725200,15.09
2010-07-13,15.22,15.35,15.16,15.21,57860800,15.10
2010-07-12,14.90,14.99,14.78,14.93,38390800,14.82
2010-07-09,14.95,14.99,14.75,14.95,46094200,14.84
2010-07-08,14.87,15.17,14.57,14.83,88427100,14.72
2010-07-07,13.99,14.66,13.96,14.62,91711400,14.51
2010-07-06,14.11,14.31,13.81,13.97,77154700,13.87
2010-07-02,14.16,14.26,13.75,13.88,78544600,13.78
2010-07-01,14.33,14.43,13.87,14.12,107077700,14.02
2010-06-30,14.47,14.69,14.35,14.42,81568200,14.31
2010-06-29,14.75,14.79,14.27,14.48,114904900,14.37
2010-06-28,14.96,15.21,14.91,15.00,60445900,14.89
2010-06-25,15.12,15.15,14.82,14.91,134229600,14.80
2010-06-24,15.38,15.45,15.00,15.08,96299000,14.97
2010-06-23,15.76,15.89,15.37,15.39,97574100,15.28
2010-06-22,16.09,16.17,15.77,15.79,64982700,15.67
2010-06-21,16.21,16.45,16.03,16.10,71221500,15.98
2010-06-18,16.00,16.05,15.86,15.95,59328800,15.83
2010-06-17,15.87,15.93,15.65,15.91,57041100,15.79
2010-06-16,15.71,16.09,15.62,15.85,86647800,15.63
2010-06-15,15.52,15.85,15.36,15.79,79088400,15.58
2010-06-14,15.77,15.88,15.35,15.39,75734400,15.18
2010-06-11,15.53,15.61,15.37,15.56,70851700,15.35
2010-06-10,15.59,15.87,15.52,15.68,78615900,15.47
2010-06-09,15.58,15.70,15.22,15.32,66853600,15.11
2010-06-08,15.46,15.55,15.05,15.48,89376600,15.27
2010-06-07,15.73,15.75,15.37,15.41,73216100,15.20
2010-06-04,16.08,16.08,15.56,15.71,114420100,15.50
2010-06-03,16.41,16.48,16.23,16.45,51837000,16.23
2010-06-02,16.16,16.39,15.95,16.35,62848900,16.13
2010-06-01,16.24,16.51,15.93,15.98,73128000,15.76
2010-05-28,16.66,16.69,16.16,16.35,70383300,16.13
2010-05-27,16.42,16.68,16.14,16.66,70118300,16.43
2010-05-26,16.35,16.49,15.97,16.01,83279500,15.79
2010-05-25,15.50,15.97,15.25,15.95,122232900,15.73
2010-05-24,16.32,16.39,15.97,16.01,74129700,15.79
2010-05-21,15.70,16.43,15.65,16.42,146375300,16.20
2010-05-20,16.81,16.83,16.25,16.26,154436300,16.04
2010-05-19,17.07,17.38,16.75,17.26,134943000,17.03
2010-05-18,17.72,17.87,17.05,17.23,79492500,17.00
2010-05-17,17.61,17.72,17.09,17.56,78754500,17.32
2010-05-14,17.97,18.04,17.41,17.64,83715700,17.40
2010-05-13,18.41,18.43,17.96,18.05,64312600,17.80
2010-05-12,18.09,18.50,18.07,18.44,67907500,18.19
2010-05-11,17.85,18.34,17.82,18.00,83503800,17.76
2010-05-10,18.04,18.37,17.88,18.04,138171300,17.79
2010-05-07,17.51,17.69,16.52,16.88,165465900,16.65
2010-05-06,18.00,18.15,15.15,17.31,182122800,17.07
2010-05-05,18.22,18.49,17.93,18.10,106999600,17.85
2010-05-04,19.06,19.07,18.35,18.58,94123700,18.33
2010-05-03,18.97,19.34,18.96,19.26,60157700,19.00
2010-04-30,19.46,19.70,18.79,18.86,112133100,18.60
2010-04-29,19.04,19.49,19.03,19.49,70066400,19.22
2010-04-28,18.67,19.09,18.65,18.95,85006400,18.69
2010-04-27,19.24,19.49,18.59,18.70,109629100,18.45
2010-04-26,19.19,19.37,19.10,19.30,65712900,19.04
2010-04-23,18.86,19.10,18.80,19.07,57777500,18.81
2010-04-22,18.91,19.01,18.61,18.95,73044600,18.69
2010-04-21,19.10,19.18,18.89,19.03,58407000,18.77
2010-04-20,19.04,19.20,18.98,19.00,57666500,18.74
2010-04-19,18.64,18.97,18.64,18.94,78156200,18.68
2010-04-16,19.44,19.45,18.65,18.97,172374900,18.71
2010-04-15,19.45,19.69,19.37,19.50,103121900,19.23
2010-04-14,19.21,19.40,19.01,19.35,81959000,19.09
2010-04-13,18.75,19.13,18.72,18.95,92585100,18.69
2010-04-12,18.56,18.98,18.54,18.71,71700500,18.46
2010-04-09,18.59,18.67,18.40,18.52,54612700,18.27
2010-04-08,18.39,18.65,18.25,18.56,60592900,18.31
2010-04-07,18.57,18.75,18.39,18.50,60464200,18.25
2010-04-06,18.45,18.65,18.41,18.60,54106500,18.35
2010-04-05,18.42,18.65,18.33,18.53,55879400,18.28
2010-04-01,18.27,18.40,18.18,18.33,45478000,18.08
2010-03-31,18.21,18.36,18.13,18.20,59216500,17.95
2010-03-30,18.47,18.48,18.25,18.30,53168700,18.05
2010-03-29,18.52,18.56,18.25,18.40,83916800,18.15
2010-03-26,18.32,18.63,18.18,18.34,84380500,18.09
2010-03-25,18.71,18.76,18.26,18.30,97668400,18.05
