Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,36.48,36.59,36.16,36.53,4083600,36.53
2010-11-04,36.91,37.00,36.33,36.48,6529300,36.48
2010-11-03,36.90,36.97,36.52,36.73,4394900,36.73
2010-11-02,37.35,37.44,36.77,36.90,5109800,36.90
2010-11-01,37.70,37.70,36.89,37.14,4653400,37.14
2010-10-29,37.41,37.63,37.39,37.56,2486200,37.56
2010-10-28,37.30,37.53,37.07,37.44,2675000,37.44
2010-10-27,37.24,37.26,36.84,37.17,2689500,37.17
2010-10-26,37.60,37.60,37.17,37.39,2440000,37.39
2010-10-25,37.37,37.70,37.31,37.50,3593800,37.50
2010-10-22,37.13,37.39,37.12,37.30,2395800,37.30
2010-10-21,36.95,37.51,36.95,37.12,4049800,37.12
2010-10-20,37.17,37.49,37.13,37.17,2819300,37.17
2010-10-19,37.19,37.36,36.90,37.11,3839400,37.11
2010-10-18,37.27,37.44,37.07,37.41,3254600,37.41
2010-10-15,37.39,37.44,37.10,37.28,3471600,37.28
2010-10-14,37.38,37.54,37.03,37.25,3886400,37.25
2010-10-13,37.00,37.52,37.00,37.48,5716400,37.48
2010-10-12,36.60,36.95,36.48,36.86,4171700,36.86
2010-10-11,37.08,37.18,36.45,36.58,4853600,36.58
2010-10-08,37.26,37.26,36.64,36.98,5020200,36.98
2010-10-07,37.40,37.43,37.06,37.18,3073300,37.18
2010-10-06,36.99,37.30,36.86,37.30,4750400,37.30
2010-10-05,37.28,37.40,37.12,37.22,3540700,36.94
2010-10-04,36.82,37.17,36.73,36.99,3180500,36.71
2010-10-01,36.86,36.96,36.52,36.95,3588700,36.67
2010-09-30,37.01,37.21,36.28,36.54,5427200,36.27
2010-09-29,36.92,37.00,36.59,36.87,3037400,36.59
2010-09-28,36.81,36.97,36.31,36.96,4006600,36.68
2010-09-27,37.04,37.23,36.58,36.74,6488700,36.46
2010-09-24,36.50,37.36,36.50,37.24,7420600,36.96
2010-09-23,36.46,37.43,36.10,36.14,3776200,35.87
2010-09-22,36.27,37.14,35.97,36.63,8749100,36.35
2010-09-21,36.01,36.12,35.52,35.67,9911700,35.40
2010-09-20,36.33,36.50,36.10,36.17,7427600,35.90
2010-09-17,36.89,36.89,36.16,36.17,8469000,35.90
2010-09-16,36.68,36.78,36.51,36.74,3656700,36.46
2010-09-15,36.51,36.75,36.32,36.62,3073900,36.34
2010-09-14,36.66,36.66,36.31,36.47,3787500,36.20
2010-09-13,37.30,37.30,36.31,36.64,4004200,36.36
2010-09-10,36.34,37.20,36.34,37.19,4712100,36.91
2010-09-09,36.53,36.74,36.39,36.65,3244600,36.37
2010-09-08,36.04,36.47,36.04,36.34,3557900,36.07
2010-09-07,35.99,36.17,35.84,35.95,2767400,35.68
2010-09-03,36.33,36.33,35.82,36.06,4759100,35.79
2010-09-02,36.12,36.31,36.00,36.17,3402700,35.90
2010-09-01,36.41,36.49,35.99,36.06,4776300,35.79
2010-08-31,35.61,36.20,35.54,36.16,4945700,35.89
2010-08-30,35.89,36.20,35.66,35.66,4006100,35.39
2010-08-27,35.33,36.02,35.31,36.00,4907800,35.73
2010-08-26,35.25,35.41,34.94,35.21,5533500,34.95
2010-08-25,35.30,35.58,35.19,35.25,4144000,34.98
2010-08-24,35.20,35.70,35.16,35.51,6017400,35.24
2010-08-23,35.17,35.62,35.03,35.41,6044200,35.14
2010-08-20,34.87,35.20,34.87,35.14,3750200,34.88
2010-08-19,35.14,35.29,34.91,35.13,4158400,34.87
2010-08-18,35.44,35.54,35.14,35.41,4537800,35.14
2010-08-17,35.28,35.54,34.94,35.38,4722500,35.11
2010-08-16,34.77,35.16,34.50,35.15,6016300,34.89
2010-08-13,34.40,35.17,34.24,34.86,7105000,34.60
2010-08-12,33.61,34.44,33.51,34.43,9114400,34.17
2010-08-11,33.72,33.98,33.48,33.81,5340100,33.56
2010-08-10,33.42,34.15,33.42,33.98,5018600,33.72
2010-08-09,33.62,33.87,33.52,33.70,4530800,33.45
2010-08-06,33.73,33.73,33.11,33.57,7683000,33.32
2010-08-05,34.52,34.52,33.53,33.85,10074500,33.60
2010-08-04,34.00,34.70,34.00,34.62,3836500,34.36
2010-08-03,34.42,34.42,33.97,33.98,4589000,33.72
2010-08-02,35.03,35.03,34.31,34.35,6599000,34.09
2010-07-30,33.97,34.48,33.84,34.20,8450500,33.94
2010-07-29,35.03,35.11,34.13,34.13,10673500,33.87
2010-07-28,35.91,35.91,35.38,35.44,3635700,35.17
2010-07-27,35.50,36.00,35.30,35.89,5043800,35.62
2010-07-26,35.40,35.69,35.36,35.44,4392200,35.17
2010-07-23,35.42,35.58,35.22,35.52,4666500,35.25
2010-07-22,35.24,35.48,35.09,35.36,5973900,35.09
2010-07-21,35.56,35.56,34.94,35.03,4740800,34.77
2010-07-20,35.10,35.42,35.00,35.36,5681300,35.09
2010-07-19,35.70,35.70,35.26,35.39,4158800,35.12
2010-07-16,35.92,36.08,35.43,35.54,6165200,35.27
2010-07-15,36.18,36.31,35.86,36.07,5567600,35.80
2010-07-14,36.34,36.41,36.02,36.25,3449800,35.98
2010-07-13,36.38,36.61,36.27,36.38,4089100,36.11
2010-07-12,36.02,36.27,35.80,36.22,5784500,35.95
2010-07-09,36.64,36.72,36.15,36.15,6047700,35.88
