Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,18.95,18.99,18.68,18.88,8025900,18.88
2010-11-04,18.81,19.00,18.70,18.92,21768700,18.92
2010-11-03,18.29,18.65,18.05,18.59,13254600,18.59
2010-11-02,18.53,18.60,18.10,18.33,11593300,18.33
2010-11-01,18.61,18.75,18.35,18.50,16108500,18.50
2010-10-29,18.46,18.67,18.27,18.28,14470400,18.28
2010-10-28,18.61,18.75,18.30,18.49,10551600,18.49
2010-10-27,18.31,18.58,18.19,18.43,8313400,18.43
2010-10-26,18.57,18.57,18.26,18.46,9415600,18.46
2010-10-25,18.74,18.93,18.62,18.71,6603000,18.71
2010-10-22,18.59,18.66,18.46,18.60,5598300,18.60
2010-10-21,18.66,18.71,18.25,18.53,8094200,18.53
2010-10-20,18.32,18.70,18.26,18.54,8709800,18.54
2010-10-19,18.54,18.58,18.09,18.29,11591900,18.29
2010-10-18,18.74,18.87,18.57,18.86,9059600,18.86
2010-10-15,18.54,18.83,18.49,18.78,10799800,18.78
2010-10-14,18.62,18.75,18.27,18.39,8395400,18.39
2010-10-13,18.56,18.96,18.55,18.70,10231200,18.70
2010-10-12,18.29,18.55,18.16,18.45,7434500,18.45
2010-10-11,18.51,18.53,18.25,18.31,7321500,18.31
2010-10-08,18.21,18.43,18.14,18.37,8877500,18.37
2010-10-07,18.41,18.41,17.83,18.22,13926500,18.22
2010-10-06,18.45,18.67,18.07,18.36,11331100,18.36
2010-10-05,18.17,18.58,18.11,18.51,11331900,18.51
2010-10-04,18.19,18.30,17.73,17.92,9899600,17.92
2010-10-01,18.37,18.50,18.03,18.23,9321500,18.23
2010-09-30,18.53,18.65,18.10,18.28,11319000,18.28
2010-09-29,18.33,18.77,18.27,18.38,17195400,18.38
2010-09-28,17.78,18.31,17.66,18.27,16885400,18.27
2010-09-27,17.74,17.96,17.57,17.76,9519000,17.76
2010-09-24,17.70,17.83,17.61,17.75,10402100,17.75
2010-09-23,17.01,17.83,16.95,17.40,16671400,17.40
2010-09-22,17.28,17.40,17.04,17.16,18360800,17.16
2010-09-21,17.72,17.98,17.48,17.61,18771400,17.61
2010-09-20,17.03,17.65,17.01,17.61,12619300,17.61
2010-09-17,17.19,17.27,16.90,17.00,13189300,17.00
2010-09-16,17.07,17.22,16.89,17.03,10672400,17.03
2010-09-15,17.52,17.61,16.95,17.14,20088100,17.14
2010-09-14,17.03,17.89,17.03,17.61,31968500,17.61
2010-09-13,16.22,16.82,16.20,16.81,22516200,16.81
2010-09-10,16.39,16.42,15.95,16.08,13598000,16.08
2010-09-09,16.94,16.99,16.30,16.30,14784100,16.30
2010-09-08,16.87,16.90,16.64,16.70,9165300,16.70
2010-09-07,16.73,16.93,16.71,16.85,12982900,16.85
2010-09-03,16.73,16.85,16.47,16.81,13228700,16.81
2010-09-02,16.26,16.65,16.22,16.45,12309600,16.45
2010-09-01,16.03,16.49,15.86,16.32,13973000,16.32
2010-08-31,15.91,16.05,15.59,15.68,12464800,15.68
2010-08-30,15.99,16.24,15.94,15.95,13717400,15.95
2010-08-27,15.91,16.05,15.45,15.98,14666300,15.98
2010-08-26,16.27,16.36,15.66,15.81,18503900,15.81
2010-08-25,15.87,16.30,15.64,16.18,23432100,16.13
2010-08-24,15.76,15.91,15.47,15.72,16621600,15.67
2010-08-23,16.23,16.26,15.90,15.94,15478800,15.89
2010-08-20,15.79,16.11,15.60,16.10,20447000,16.05
2010-08-19,16.64,16.64,15.99,16.03,25358500,15.98
2010-08-18,16.60,16.92,16.60,16.72,18089700,16.67
