Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.61,48.33,47.61,48.24,683300,48.24
2010-11-04,48.16,48.52,46.74,47.60,1803200,47.60
2010-11-03,47.73,47.96,47.19,47.63,816400,47.63
2010-11-02,47.81,48.16,47.68,47.79,925900,47.79
2010-11-01,48.15,48.39,47.21,47.44,741000,47.44
2010-10-29,47.64,48.14,47.40,47.86,1021500,47.86
2010-10-28,47.46,47.67,47.33,47.60,831900,47.60
2010-10-27,47.26,47.26,46.71,47.20,529600,47.20
2010-10-26,47.55,47.82,47.31,47.46,608200,47.46
2010-10-25,47.87,48.07,47.53,47.67,972400,47.67
2010-10-22,47.58,47.82,47.23,47.49,585000,47.49
2010-10-21,47.85,48.08,47.09,47.58,743200,47.58
2010-10-20,47.29,47.86,47.13,47.62,962000,47.62
2010-10-19,47.19,47.86,46.94,47.24,1263700,47.24
2010-10-18,48.00,48.21,47.08,47.96,1466900,47.96
2010-10-15,46.36,48.43,46.35,47.70,4579900,47.70
2010-10-14,45.62,45.79,45.24,45.54,926500,45.54
2010-10-13,45.52,45.91,45.24,45.69,1282800,45.69
2010-10-12,44.98,45.34,44.55,45.23,1063700,45.23
2010-10-11,45.09,45.34,44.90,45.06,901400,45.06
2010-10-08,44.81,45.10,44.60,45.02,610200,45.02
2010-10-07,44.80,44.96,44.46,44.68,555200,44.68
2010-10-06,44.68,44.85,44.51,44.72,804400,44.72
2010-10-05,44.72,44.86,44.46,44.68,1311500,44.68
2010-10-04,44.53,44.70,44.13,44.43,742800,44.43
2010-10-01,44.93,44.93,44.25,44.55,693500,44.55
2010-09-30,44.98,45.32,44.38,44.59,856100,44.59
2010-09-29,44.98,45.08,44.35,44.92,736600,44.92
2010-09-28,44.71,45.26,44.16,45.21,575900,45.21
2010-09-27,44.98,44.98,44.52,44.61,511800,44.61
2010-09-24,44.40,44.94,44.27,44.88,477900,44.88
2010-09-23,43.99,44.41,43.81,43.93,485600,43.93
2010-09-22,44.47,44.85,44.11,44.19,505600,44.19
2010-09-21,44.42,44.57,44.05,44.37,700300,44.37
2010-09-20,43.70,44.36,43.58,44.30,511300,44.30
2010-09-17,44.03,44.03,43.34,43.48,952500,43.48
2010-09-16,43.34,43.65,43.01,43.31,633700,43.31
2010-09-15,43.02,43.57,42.93,43.50,648600,43.50
2010-09-14,43.51,43.59,43.10,43.18,986400,43.18
2010-09-13,43.03,43.50,42.88,43.44,789600,43.44
2010-09-10,42.72,42.80,42.52,42.66,554100,42.66
2010-09-09,42.73,42.80,42.27,42.62,1016500,42.62
2010-09-08,42.63,42.63,41.98,42.24,1311400,42.24
2010-09-07,43.67,43.70,42.58,42.73,1135400,42.32
2010-09-03,44.25,44.55,43.55,43.94,925800,43.52
2010-09-02,43.19,43.91,43.19,43.74,581600,43.32
2010-09-01,42.48,43.35,42.35,43.29,1039200,42.87
2010-08-31,42.13,42.41,41.83,41.93,1302100,41.53
2010-08-30,42.86,42.95,42.20,42.22,505000,41.81
2010-08-27,42.64,43.02,42.08,42.93,732500,42.52
2010-08-26,42.83,43.09,42.28,42.40,862100,41.99
2010-08-25,42.43,42.83,41.89,42.71,2184600,42.30
2010-08-24,42.35,42.86,41.93,42.58,1279500,42.17
2010-08-23,42.14,43.35,42.03,42.71,1035400,42.30
2010-08-20,42.50,43.07,42.50,42.96,962200,42.55
2010-08-19,43.40,43.62,42.53,42.87,694600,42.46
2010-08-18,42.95,43.92,42.75,43.62,786100,43.20
2010-08-17,42.45,43.35,42.25,43.07,907100,42.66
2010-08-16,41.76,42.28,41.60,42.21,642300,41.80
2010-08-13,42.03,42.30,41.67,42.01,952900,41.61
2010-08-12,42.18,42.90,42.08,42.57,1187700,42.16
2010-08-11,43.41,43.41,42.59,42.94,1235900,42.53
2010-08-10,44.06,44.13,43.55,43.96,747300,43.54
2010-08-09,44.26,44.52,44.20,44.48,752600,44.05
2010-08-06,43.78,44.05,43.25,43.96,751800,43.54
2010-08-05,43.78,44.12,43.55,44.12,802800,43.70
2010-08-04,43.76,44.19,43.71,44.04,1069600,43.62
2010-08-03,43.55,43.94,43.24,43.81,1037400,43.39
2010-08-02,43.32,43.96,43.10,43.76,829500,43.34
2010-07-30,42.23,42.99,42.08,42.83,809400,42.42
2010-07-29,43.29,43.75,42.35,42.69,1049400,42.28
2010-07-28,43.08,43.38,42.86,42.95,814600,42.54
2010-07-27,43.71,43.98,43.03,43.09,876000,42.68
2010-07-26,43.20,43.83,43.08,43.59,1170900,43.17
2010-07-23,42.55,43.17,42.25,43.10,1331800,42.69
2010-07-22,42.77,43.51,42.42,42.65,1739100,42.24
2010-07-21,43.52,43.55,42.26,42.47,1197500,42.06
2010-07-20,42.11,43.28,42.11,43.28,885300,42.86
2010-07-19,43.30,43.66,42.46,42.76,1473600,42.35
