Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,20.48,20.87,20.47,20.81,8882400,20.81
2010-11-04,20.81,21.00,20.26,20.43,17248400,20.43
2010-11-03,19.31,19.38,18.89,19.26,9732600,19.26
2010-11-02,19.23,19.42,19.07,19.27,6866400,19.27
2010-11-01,19.11,19.22,18.90,19.13,10209000,19.13
2010-10-29,19.16,19.30,18.91,19.01,7738200,19.01
2010-10-28,19.35,19.48,18.93,19.15,8245300,19.15
2010-10-27,19.58,19.58,19.03,19.34,7926900,19.34
2010-10-26,19.30,19.75,19.18,19.68,8134800,19.68
2010-10-25,19.28,19.55,19.25,19.36,5813400,19.36
2010-10-22,19.04,19.22,18.85,19.15,5053000,19.15
2010-10-21,19.41,19.52,18.99,19.05,9544300,19.05
2010-10-20,19.58,19.80,19.25,19.32,10075300,19.32
2010-10-19,19.55,19.87,19.40,19.55,9418800,19.55
2010-10-18,19.74,20.09,19.72,19.81,14548000,19.81
2010-10-15,19.17,19.77,19.05,19.52,17532100,19.52
2010-10-14,19.08,19.32,18.89,19.06,15425700,19.06
2010-10-13,18.77,19.20,18.77,18.99,13392900,18.99
2010-10-12,18.23,18.81,18.12,18.71,11640000,18.71
2010-10-11,18.36,18.61,18.24,18.27,7806000,18.27
2010-10-08,18.08,18.53,17.69,18.21,13122000,18.21
2010-10-07,18.36,18.63,18.07,18.12,14794200,18.02
2010-10-06,18.61,18.73,18.50,18.67,6845500,18.57
2010-10-05,18.49,18.82,18.41,18.68,9098100,18.58
2010-10-04,18.41,18.62,18.26,18.40,7212300,18.30
2010-10-01,18.64,18.82,18.38,18.51,6759700,18.41
2010-09-30,18.89,19.02,18.50,18.64,8053700,18.54
2010-09-29,18.86,18.90,18.62,18.77,7376700,18.67
2010-09-28,18.67,18.94,18.39,18.91,7046200,18.81
2010-09-27,18.79,18.86,18.55,18.61,5323300,18.51
2010-09-24,18.71,18.94,18.57,18.83,9754800,18.73
2010-09-23,18.52,18.72,18.33,18.51,5420400,18.41
2010-09-22,18.73,18.81,18.42,18.63,7610800,18.53
2010-09-21,19.18,19.18,18.68,18.79,8509100,18.69
2010-09-20,19.17,19.21,18.80,19.16,8820800,19.05
2010-09-17,18.66,18.99,18.47,18.91,14313700,18.81
2010-09-16,18.52,18.58,18.18,18.58,6838900,18.48
2010-09-15,18.34,18.66,18.23,18.60,11742200,18.50
2010-09-14,17.86,18.61,17.82,18.50,14173100,18.40
2010-09-13,17.54,17.85,17.53,17.81,8398700,17.71
2010-09-10,17.38,17.51,17.30,17.37,4871900,17.27
2010-09-09,17.57,17.66,17.24,17.34,5291700,17.24
2010-09-08,17.22,17.37,17.14,17.24,5802200,17.14
2010-09-07,17.71,17.71,17.16,17.23,4553800,17.13
2010-09-03,17.41,17.83,17.41,17.65,8137200,17.55
2010-09-02,17.37,17.77,17.28,17.43,11462500,17.33
2010-09-01,17.02,17.51,17.02,17.21,11421700,17.12
2010-08-31,17.03,17.41,16.81,16.89,16007300,16.80
2010-08-30,16.98,17.11,16.86,16.90,9758500,16.81
2010-08-27,16.99,17.05,16.62,17.03,10875000,16.94
2010-08-26,16.98,17.09,16.78,16.91,11264900,16.82
2010-08-25,16.72,17.08,16.66,16.96,12622400,16.87
2010-08-24,16.93,17.02,16.65,16.86,13777900,16.77
2010-08-23,17.35,17.51,17.11,17.14,6087700,17.05
2010-08-20,18.02,18.20,17.03,17.32,13788400,17.22
2010-08-19,17.94,18.20,17.59,17.71,11138600,17.61
2010-08-18,17.64,18.10,17.59,17.98,7503100,17.88
2010-08-17,17.81,17.94,17.64,17.64,5625400,17.54
2010-08-16,17.56,17.93,17.46,17.63,4575800,17.53
2010-08-13,17.92,18.03,17.64,17.67,5583400,17.57
2010-08-12,17.53,18.02,17.38,17.95,8342500,17.85
2010-08-11,17.81,18.07,17.67,17.87,11372400,17.77
2010-08-10,18.44,18.58,18.13,18.25,7019800,18.15
2010-08-09,18.43,18.65,18.39,18.56,5626300,18.46
2010-08-06,18.25,18.30,17.99,18.28,8319700,18.18
2010-08-05,18.40,18.66,18.03,18.46,12308600,18.36
2010-08-04,17.77,18.31,17.77,18.13,11529200,18.03
2010-08-03,18.37,18.40,17.62,17.69,10479100,17.59
2010-08-02,18.49,18.50,18.17,18.45,8357900,18.35
2010-07-30,17.79,18.17,17.45,18.11,9712300,18.01
2010-07-29,18.09,18.27,17.75,18.01,11127300,17.91
2010-07-28,18.28,18.45,17.95,17.95,9811700,17.85
2010-07-27,19.18,19.22,18.26,18.29,9366200,18.19
2010-07-26,18.38,19.04,18.32,19.04,9980300,18.93
2010-07-23,18.29,18.45,18.06,18.41,9571000,18.31
2010-07-22,18.31,18.50,18.16,18.33,12138500,18.23
2010-07-21,18.57,18.65,18.01,18.11,9093600,18.01
2010-07-20,18.12,18.56,18.03,18.48,9549300,18.38
2010-07-19,18.12,18.46,18.08,18.29,6440600,18.19
2010-07-16,18.65,18.71,18.06,18.13,10489400,18.03
2010-07-15,18.64,18.84,18.38,18.79,10008900,18.69
2010-07-14,18.80,18.84,18.52,18.62,11400500,18.52
2010-07-13,18.97,19.01,18.62,18.89,11354900,18.79
2010-07-12,18.44,19.01,18.44,18.81,11795200,18.71
2010-07-09,18.26,18.70,18.20,18.53,12068700,18.43
2010-07-08,19.17,19.26,17.77,18.22,31430400,18.12
2010-07-07,19.39,19.84,19.02,19.72,14979100,19.61
2010-07-06,19.76,20.04,19.10,19.37,12515600,19.26
2010-07-02,19.89,19.97,19.45,19.48,8745400,19.37
2010-07-01,19.41,19.98,19.27,19.90,11368000,19.69
2010-06-30,19.48,19.98,19.41,19.46,12260100,19.26
2010-06-29,19.96,19.96,19.40,19.55,12574000,19.34
2010-06-28,20.12,20.55,20.08,20.17,7439900,19.96
2010-06-25,20.15,20.45,19.94,20.20,9077800,19.99
2010-06-24,20.36,20.37,19.89,20.10,10535500,19.89
2010-06-23,20.25,20.61,20.07,20.47,8533900,20.25
2010-06-22,20.97,21.31,20.37,20.44,7397900,20.23
2010-06-21,21.47,21.65,20.83,20.94,6333700,20.72
2010-06-18,21.29,21.60,21.24,21.24,9608400,21.02
2010-06-17,21.70,21.81,21.06,21.22,8664100,21.00
2010-06-16,21.93,22.08,21.57,21.67,7255300,21.44
2010-06-15,22.12,22.25,21.83,22.18,6686300,21.95
2010-06-14,22.19,22.24,21.96,22.03,7711900,21.80
2010-06-11,21.66,22.16,21.65,21.99,10661500,21.76
2010-06-10,21.48,22.08,21.48,22.06,10554400,21.83
2010-06-09,21.13,21.75,21.05,21.20,13927400,20.98
2010-06-08,20.67,21.16,20.52,21.13,13494900,20.91
2010-06-07,20.96,21.37,20.72,20.72,12708800,20.50
2010-06-04,21.28,21.55,20.77,20.96,15350300,20.74
2010-06-03,22.07,22.36,21.53,21.80,10812600,21.57
2010-06-02,21.38,21.95,21.38,21.93,9554700,21.70
2010-06-01,21.60,22.03,21.38,21.39,8274100,21.17
2010-05-28,21.95,22.01,21.60,21.80,7894000,21.57
2010-05-27,21.55,22.00,21.36,21.99,9854100,21.76
2010-05-26,21.99,22.16,21.16,21.22,18758900,21.00
2010-05-25,20.94,21.98,20.94,21.93,11079400,21.70
2010-05-24,22.09,22.15,21.63,21.67,8169700,21.44
2010-05-21,21.15,22.48,20.99,22.15,16225900,21.92
2010-05-20,21.70,22.30,21.57,21.74,10301700,21.51
2010-05-19,22.47,22.83,22.04,22.34,8319100,22.11
2010-05-18,23.26,23.46,22.45,22.58,8640600,22.34
2010-05-17,23.04,23.35,22.52,23.22,6700400,22.98
2010-05-14,23.01,23.25,22.72,22.96,6624500,22.72
2010-05-13,24.05,24.06,23.05,23.11,7116600,22.87
2010-05-12,23.84,24.19,23.61,24.17,6849800,23.92
2010-05-11,23.39,24.14,23.24,23.83,6722900,23.58
2010-05-10,23.39,23.86,23.20,23.75,8708000,23.50
2010-05-07,22.87,23.50,21.83,22.27,20289100,22.04
2010-05-06,23.89,24.00,21.67,22.91,20075600,22.67
2010-05-05,24.53,25.15,24.29,24.68,14043700,24.42
2010-05-04,25.47,25.70,24.69,24.71,12620500,24.45
2010-05-03,24.86,26.04,24.73,25.70,8730500,25.43
2010-04-30,25.57,25.75,24.65,24.73,9891200,24.47
2010-04-29,25.34,25.83,25.26,25.63,5768600,25.36
2010-04-28,25.15,25.69,25.05,25.21,7899900,24.94
2010-04-27,26.17,26.17,25.14,25.14,9781200,24.88
2010-04-26,26.17,26.34,26.00,26.21,5762800,25.93
2010-04-23,26.14,26.29,25.82,26.06,4819500,25.79
2010-04-22,25.49,26.18,25.28,26.07,8675300,25.80
2010-04-21,24.97,25.72,24.97,25.62,6584400,25.35
2010-04-20,25.21,25.44,24.99,25.02,4960300,24.76
2010-04-19,24.78,25.13,24.59,25.04,6484400,24.78
2010-04-16,25.25,25.31,24.82,25.00,6072100,24.74
2010-04-15,25.25,25.40,25.09,25.34,4974300,25.07
2010-04-14,25.03,25.24,24.82,25.24,6963000,24.97
2010-04-13,24.92,25.27,24.88,25.02,6894500,24.76
2010-04-12,25.06,25.19,24.82,24.93,8657600,24.67
2010-04-09,24.62,24.86,24.50,24.85,6917900,24.59
2010-04-08,25.00,25.02,24.33,24.59,16715300,24.33
2010-04-07,23.73,23.96,23.62,23.86,7836600,23.61
2010-04-06,23.76,23.85,23.46,23.84,6092500,23.59
2010-04-05,23.62,23.79,23.41,23.78,4540500,23.53
2010-04-01,23.33,23.66,23.30,23.63,6055300,23.28
2010-03-31,23.15,23.29,23.05,23.11,6889700,22.77
2010-03-30,23.28,23.49,23.16,23.25,5657900,22.91
2010-03-29,23.43,23.58,23.04,23.23,4371800,22.89
2010-03-26,23.43,23.55,23.17,23.42,6185600,23.08
2010-03-25,23.15,23.63,23.07,23.40,5340600,23.06
2010-03-24,23.08,23.21,22.95,23.06,5751000,22.72
2010-03-23,23.36,23.45,23.12,23.21,8374000,22.87
2010-03-22,23.04,23.51,22.98,23.40,4420200,23.06
2010-03-19,23.35,23.42,23.07,23.22,7238000,22.88
2010-03-18,23.03,23.34,22.95,23.31,5961000,22.97
2010-03-17,23.21,23.26,23.03,23.15,6918000,22.81
2010-03-16,23.04,23.30,23.01,23.30,7209600,22.96
2010-03-15,22.44,23.07,22.44,23.07,6822100,22.73
2010-03-12,22.75,22.87,22.67,22.80,5175100,22.46
2010-03-11,22.19,22.71,22.09,22.68,9095600,22.35
2010-03-10,22.33,22.39,22.12,22.37,7308300,22.04
2010-03-09,22.14,22.32,22.09,22.24,6730800,21.91
2010-03-08,22.16,22.38,22.07,22.33,4148900,22.00
