Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,86.12,86.50,85.69,86.36,918700,86.36
2010-11-04,84.32,86.15,84.22,86.09,1706000,86.09
2010-11-03,83.42,83.99,82.19,83.16,723900,83.16
2010-11-02,82.96,83.78,82.86,83.46,1092900,83.46
2010-11-01,82.38,82.95,81.54,82.17,886800,82.17
2010-10-29,82.13,82.98,81.59,82.07,1453000,82.07
2010-10-28,81.43,82.37,81.14,82.08,1208700,82.08
2010-10-27,80.54,81.05,79.66,80.92,727300,80.92
2010-10-26,80.69,81.90,80.26,81.20,888500,81.20
2010-10-25,80.81,81.40,80.47,81.13,1277000,81.13
2010-10-22,80.18,80.77,79.76,80.49,1048900,80.49
2010-10-21,76.88,82.18,76.00,79.34,3194100,79.34
2010-10-20,76.51,78.18,76.35,77.87,1069000,77.87
2010-10-19,76.49,76.68,75.53,76.01,1403500,76.01
2010-10-18,76.95,77.68,76.56,77.39,569300,77.39
2010-10-15,78.25,78.38,76.44,76.98,554200,76.98
2010-10-14,76.94,77.83,76.47,77.52,866000,77.52
2010-10-13,76.93,78.25,76.46,77.69,1323700,77.69
2010-10-12,75.69,76.71,74.36,76.42,1107300,76.42
2010-10-11,76.30,76.57,75.73,75.98,1497400,75.98
2010-10-08,76.54,76.65,75.42,76.41,740100,76.41
2010-10-07,76.15,76.55,75.95,76.45,1286600,76.45
2010-10-06,75.21,76.22,74.97,76.19,1282600,76.19
2010-10-05,73.99,75.50,73.63,75.28,1063700,75.28
2010-10-04,73.77,74.78,72.93,73.11,873400,73.11
2010-10-01,74.45,74.78,73.75,74.21,987100,74.21
2010-09-30,75.00,75.77,73.64,73.73,1287200,73.73
2010-09-29,73.54,74.94,73.46,74.58,1729900,74.58
2010-09-28,72.29,74.06,71.45,73.95,1752100,73.95
2010-09-27,71.18,72.84,71.18,72.24,1352700,72.24
2010-09-24,71.37,72.65,71.18,72.59,753400,72.59
2010-09-23,71.37,71.77,70.39,70.51,797600,70.51
2010-09-22,72.97,73.37,71.72,71.90,653700,71.90
2010-09-21,73.40,73.76,72.81,73.00,757800,73.00
2010-09-20,72.19,73.54,71.72,73.42,557000,73.42
2010-09-17,70.96,72.50,70.86,71.97,1098300,71.97
2010-09-16,70.60,70.80,69.53,70.43,936200,70.43
2010-09-15,70.68,71.16,70.33,70.71,1129300,70.71
2010-09-14,71.34,71.51,70.73,71.17,852200,71.17
2010-09-13,72.13,72.35,71.27,71.35,985000,71.35
2010-09-10,70.50,71.42,69.88,71.37,1143900,71.37
2010-09-09,72.92,72.97,69.30,70.06,1712700,70.06
2010-09-08,71.56,72.64,71.56,71.84,836000,71.84
2010-09-07,70.83,72.03,70.36,71.25,1052100,71.25
2010-09-03,73.11,73.47,72.33,73.00,993600,73.00
2010-09-02,71.39,72.41,71.39,72.11,1243300,72.11
2010-09-01,69.77,71.62,69.77,71.55,1226100,71.55
2010-08-31,69.15,69.47,68.18,68.48,1533700,68.48
2010-08-30,70.00,70.48,68.72,69.21,689000,69.21
2010-08-27,70.31,70.80,69.34,70.69,1062900,70.42
2010-08-26,68.94,70.42,68.94,69.70,1604600,69.43
2010-08-25,68.72,69.05,67.71,68.60,1423300,68.34
2010-08-24,69.67,69.98,68.63,69.30,785700,69.04
2010-08-23,72.63,72.63,70.61,70.63,1000700,70.36
2010-08-20,71.88,72.36,71.30,72.25,752100,71.97
2010-08-19,73.62,73.68,72.05,72.42,893300,72.14
2010-08-18,73.46,74.17,72.78,74.00,837100,73.72
2010-08-17,72.00,74.56,72.00,73.47,1983600,73.19
2010-08-16,71.53,71.91,70.88,71.43,1047600,71.16
2010-08-13,70.81,72.25,70.78,71.82,1063300,71.55
2010-08-12,70.48,71.35,70.17,71.20,1001300,70.93
2010-08-11,73.32,73.68,70.78,71.43,1510400,71.16
2010-08-10,74.38,74.86,73.68,74.59,1391700,74.31
2010-08-09,75.19,75.51,74.82,75.10,1037900,74.81
2010-08-06,74.38,75.09,73.85,75.00,623900,74.71
2010-08-05,74.07,75.62,73.99,75.32,887200,75.03
2010-08-04,74.99,75.77,74.83,75.29,1346000,75.00
2010-08-03,73.80,75.26,73.57,74.80,1536600,74.51
2010-08-02,73.84,74.02,71.98,73.79,1750100,73.51
2010-07-30,72.49,73.58,71.95,72.87,1532200,72.59
2010-07-29,71.80,73.92,71.30,72.95,2158900,72.67
2010-07-28,71.92,72.38,71.44,72.06,1710600,71.78
2010-07-27,73.10,73.38,71.57,72.19,1157900,71.91
2010-07-26,71.15,72.93,70.67,72.65,1171500,72.37
2010-07-23,69.50,71.25,69.35,70.92,1447700,70.65
2010-07-22,67.89,70.12,67.84,69.77,1165700,69.50
2010-07-21,67.70,68.35,66.49,67.04,1479100,66.78
2010-07-20,65.81,67.04,64.74,66.96,1224600,66.70
2010-07-19,67.25,67.37,65.91,66.65,1115400,66.40
2010-07-16,68.89,68.89,66.59,66.70,1345600,66.45
2010-07-15,69.32,69.67,68.03,69.50,1171600,69.23
2010-07-14,69.04,69.63,68.36,69.22,997700,68.96
2010-07-13,68.12,69.71,67.58,69.40,1272300,69.13
2010-07-12,68.65,68.75,66.83,67.23,1131300,66.97
2010-07-09,69.13,69.16,68.31,69.02,596500,68.76
2010-07-08,68.26,69.13,68.01,69.10,862700,68.84
2010-07-07,65.20,67.89,64.99,67.80,1600800,67.54
2010-07-06,66.09,66.11,64.44,65.21,1539900,64.96
2010-07-02,65.74,66.09,64.74,65.36,916100,65.11
2010-07-01,66.35,66.36,64.54,65.73,1263400,65.48
2010-06-30,66.84,67.90,66.12,66.25,1909700,66.00
2010-06-29,67.95,68.16,66.70,67.09,2206500,66.83
2010-06-28,68.99,69.83,68.30,69.23,1145900,68.97
2010-06-25,68.68,68.95,67.45,68.53,2339500,68.27
2010-06-24,69.91,70.23,68.31,68.46,938100,68.20
2010-06-23,70.19,70.85,68.67,70.13,1328400,69.86
2010-06-22,71.30,72.00,70.07,70.21,1286300,69.94
2010-06-21,71.92,72.54,70.61,71.15,944500,70.88
2010-06-18,70.80,71.32,70.53,71.17,735000,70.90
2010-06-17,70.72,70.76,69.53,70.60,760100,70.33
2010-06-16,70.37,71.17,70.06,70.73,840400,70.46
2010-06-15,69.25,70.84,69.12,70.81,1210700,70.54
2010-06-14,68.52,70.05,68.02,68.63,1828700,68.37
2010-06-11,65.78,67.76,65.60,67.65,1059500,67.39
2010-06-10,65.49,66.91,64.68,66.73,1499300,66.48
2010-06-09,64.89,66.53,64.38,64.66,1458300,64.41
2010-06-08,64.03,64.98,63.17,64.49,2158900,64.24
2010-06-07,66.72,66.72,63.62,63.80,2581100,63.56
2010-06-04,68.02,68.63,66.39,66.72,1331600,66.47
2010-06-03,68.83,70.04,68.83,69.78,1156900,69.51
2010-06-02,67.82,69.05,67.27,68.97,1008300,68.71
2010-06-01,67.14,68.95,66.87,67.37,2656100,67.11
2010-05-28,70.68,70.90,68.82,69.40,967600,69.13
2010-05-27,69.24,70.54,68.56,70.50,1556000,70.23
2010-05-26,69.16,70.04,67.92,68.09,1255500,67.56
2010-05-25,68.25,68.42,67.17,68.36,1999500,67.83
2010-05-24,69.89,70.79,69.23,69.31,1224900,68.77
2010-05-21,65.67,70.65,65.67,70.24,1995200,69.69
2010-05-20,70.85,70.85,67.45,68.35,3056600,67.82
2010-05-19,72.95,73.46,70.56,72.34,1947500,71.78
2010-05-18,73.89,75.96,72.95,73.43,1793300,72.86
2010-05-17,74.51,74.74,72.92,74.22,1335900,73.64
2010-05-14,75.70,76.09,73.42,74.25,1548200,73.67
2010-05-13,76.50,77.89,76.06,76.40,1869400,75.81
2010-05-12,74.83,76.65,74.80,76.54,1141000,75.95
2010-05-11,73.35,75.25,73.08,74.22,981300,73.64
2010-05-10,74.00,74.71,72.91,74.20,1600300,73.62
2010-05-07,70.98,72.14,68.79,70.39,2033500,69.84
