Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,126.34,128.27,125.96,128.19,410700,128.19
2010-11-04,125.74,126.42,124.88,126.34,479900,126.34
2010-11-03,125.27,125.37,123.14,124.62,527400,124.08
2010-11-02,125.45,126.19,124.84,125.19,321800,124.65
2010-11-01,124.45,125.41,123.72,124.37,526700,123.83
2010-10-29,121.13,124.13,120.95,124.03,936000,123.49
2010-10-28,122.20,122.62,120.57,121.10,416500,120.58
2010-10-27,121.13,121.61,120.10,121.42,469000,120.89
2010-10-26,121.92,123.03,121.11,121.76,549800,121.23
2010-10-25,123.54,124.45,122.31,122.72,519600,122.19
2010-10-22,123.87,123.87,122.48,122.61,436300,122.08
2010-10-21,123.01,124.37,122.82,123.82,779300,123.28
2010-10-20,121.16,123.11,121.10,122.74,625400,122.21
2010-10-19,121.12,122.08,119.60,121.16,907400,120.63
2010-10-18,121.93,122.18,120.93,122.18,718100,121.65
2010-10-15,122.72,123.10,120.36,121.32,738500,120.79
2010-10-14,122.77,123.89,119.80,121.64,1564400,121.11
2010-10-13,124.36,126.05,124.16,125.31,694500,124.77
2010-10-12,122.86,124.27,121.23,123.70,722400,123.16
2010-10-11,122.96,123.82,122.58,123.14,313700,122.61
2010-10-08,121.76,123.57,121.63,123.00,456600,122.47
2010-10-07,122.75,123.00,120.91,121.99,380600,121.46
2010-10-06,121.22,123.06,121.22,122.62,478100,122.09
2010-10-05,119.48,122.06,118.70,121.69,514600,121.16
2010-10-04,119.07,119.87,117.25,118.25,397200,117.74
2010-10-01,120.00,120.00,118.79,119.13,425200,118.61
2010-09-30,120.52,121.84,118.11,119.11,485000,118.59
2010-09-29,119.84,120.54,119.20,119.56,390000,119.04
2010-09-28,119.63,120.85,117.99,120.62,340100,120.10
2010-09-27,120.46,120.73,119.24,119.35,360000,118.83
2010-09-24,119.30,121.38,119.22,120.74,407600,120.22
2010-09-23,117.28,119.41,116.93,117.74,431000,117.23
2010-09-22,119.29,120.48,118.08,118.45,789000,117.94
2010-09-21,120.75,121.11,119.46,119.74,651900,119.22
2010-09-20,119.23,121.16,118.10,121.01,740200,120.49
2010-09-17,117.21,119.48,116.55,118.74,1018100,118.23
2010-09-16,116.86,117.91,116.26,116.75,685600,116.24
2010-09-15,115.96,118.50,115.96,118.18,885100,117.67
2010-09-14,114.86,116.85,114.59,116.36,866100,115.86
2010-09-13,115.51,116.80,113.27,116.56,1236400,116.05
2010-09-10,113.08,114.82,112.77,114.73,595100,114.23
2010-09-09,112.00,113.29,111.29,113.05,683400,112.56
2010-09-08,110.55,111.13,110.50,110.73,415700,110.25
2010-09-07,110.61,111.31,110.20,110.36,395700,109.88
2010-09-03,111.81,112.00,110.57,111.43,459800,110.95
2010-09-02,109.23,111.04,108.85,110.84,583500,110.36
2010-09-01,107.32,109.66,107.27,109.59,527300,109.12
2010-08-31,105.71,106.87,105.09,105.79,665700,105.33
2010-08-30,107.25,108.03,106.28,106.30,398600,105.84
2010-08-27,106.37,107.92,104.88,107.72,460200,107.25
2010-08-26,106.51,107.43,105.54,105.79,730800,105.33
2010-08-25,105.85,106.51,104.48,105.86,885200,105.40
2010-08-24,107.54,107.86,106.13,106.35,895500,105.89
2010-08-23,108.50,109.63,108.10,108.88,1069000,108.41
2010-08-20,107.19,108.05,106.59,107.68,564300,107.21
2010-08-19,110.75,111.06,107.65,108.11,657400,107.64
2010-08-18,111.12,111.83,110.38,111.18,428700,110.70
2010-08-17,110.28,112.00,110.21,111.24,520200,110.76
2010-08-16,109.04,109.83,108.23,109.22,366400,108.75
2010-08-13,110.42,110.54,109.44,109.66,624000,109.18
2010-08-12,108.45,111.00,108.45,110.74,794800,110.26
2010-08-11,111.53,111.88,108.86,109.85,1245900,109.37
2010-08-10,113.67,113.94,112.40,113.38,999800,112.89
2010-08-09,114.44,115.00,113.36,115.00,554900,114.50
2010-08-06,112.90,114.48,112.59,114.03,998500,113.54
2010-08-05,114.38,114.69,113.60,114.09,744300,113.60
