Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,32.79,32.99,31.46,31.92,24818100,31.92
2010-11-04,32.36,33.06,32.05,32.85,21572800,32.85
2010-11-03,31.66,31.74,30.95,31.69,26682300,31.69
2010-11-02,31.73,31.99,30.68,31.40,24430200,31.40
2010-11-01,32.12,32.56,31.11,31.42,25108700,31.42
2010-10-29,30.20,31.98,29.99,31.86,45763300,31.86
2010-10-28,34.73,34.76,28.86,31.68,97829600,31.68
2010-10-27,34.38,34.49,33.76,34.42,11006300,34.42
2010-10-26,34.12,35.22,33.97,34.79,11866700,34.79
2010-10-25,34.56,35.06,34.22,34.28,12901500,34.28
2010-10-22,34.12,35.00,34.12,34.18,13728000,34.18
2010-10-21,34.03,34.48,33.51,33.72,14683100,33.72
2010-10-20,33.17,34.06,33.06,33.79,15312400,33.79
2010-10-19,33.62,33.64,32.72,33.18,19299700,33.18
2010-10-18,33.75,34.48,33.44,34.09,31260600,34.09
2010-10-15,35.30,35.89,34.81,35.82,15549400,35.82
2010-10-14,35.46,35.70,34.68,35.08,13987700,35.08
2010-10-13,35.26,35.85,35.11,35.63,11620700,35.63
2010-10-12,34.49,35.11,33.93,34.84,10916300,34.84
2010-10-11,34.75,35.14,34.40,34.56,8686400,34.56
2010-10-08,33.76,34.99,33.76,34.73,11116600,34.73
2010-10-07,34.22,34.25,33.27,33.62,8793900,33.62
2010-10-06,34.07,34.35,33.71,33.97,10183200,33.97
2010-10-05,33.42,34.24,33.34,34.06,9105600,34.06
2010-10-04,33.28,33.54,32.61,33.03,10071700,33.03
2010-10-01,33.48,33.63,33.04,33.33,10300000,33.33
2010-09-30,33.65,33.84,32.58,33.07,11331400,33.07
2010-09-29,32.63,33.57,32.55,33.40,13886300,33.40
2010-09-28,32.75,32.90,31.98,32.77,9415200,32.77
2010-09-27,32.80,33.00,32.38,32.41,8939400,32.41
2010-09-24,32.07,32.92,32.04,32.73,13999900,32.73
2010-09-23,31.13,32.15,31.00,31.80,12644200,31.80
2010-09-22,31.76,32.40,31.33,31.52,9095300,31.52
2010-09-21,31.87,32.13,31.34,31.83,13721100,31.83
2010-09-20,31.14,31.92,30.55,31.80,10839400,31.80
2010-09-17,31.17,31.25,30.46,30.96,13531400,30.96
2010-09-16,31.13,31.55,30.76,31.00,10444200,31.00
2010-09-15,31.01,31.27,30.68,31.21,9419300,31.21
2010-09-14,31.48,31.81,31.03,31.38,8971700,31.38
2010-09-13,31.18,31.73,31.09,31.61,9664500,31.61
2010-09-10,30.45,31.13,30.36,30.88,11992200,30.88
2010-09-09,30.62,30.98,30.15,30.22,10175900,30.22
2010-09-08,29.67,30.35,29.33,30.21,8561800,30.21
2010-09-07,30.11,30.28,29.52,29.84,8084400,29.84
2010-09-03,30.15,30.72,30.12,30.43,7392200,30.43
2010-09-02,29.83,30.21,29.62,30.13,7916600,30.13
2010-09-01,28.91,29.97,28.69,29.73,11980700,29.73
2010-08-31,28.34,28.71,27.84,28.21,10480700,28.21
2010-08-30,29.08,29.12,28.48,28.49,7586500,28.49
2010-08-27,28.37,29.34,27.70,29.25,12104200,29.16
2010-08-26,28.15,28.66,27.97,28.12,10549900,28.03
2010-08-25,27.82,28.12,27.50,27.99,9993500,27.90
2010-08-24,27.86,29.14,27.63,28.07,18253100,27.98
2010-08-23,27.50,28.50,27.36,28.14,10421100,28.05
2010-08-20,28.25,28.34,27.36,27.82,12172200,27.73
2010-08-19,28.61,28.70,28.15,28.56,10680100,28.47
2010-08-18,28.59,28.98,28.14,28.79,7576400,28.70
2010-08-17,28.16,29.09,27.97,28.70,10240700,28.61
2010-08-16,27.92,28.24,27.64,27.81,11555200,27.72
2010-08-13,28.52,28.81,27.98,28.10,11380500,28.01
2010-08-12,28.13,28.76,28.00,28.43,10845200,28.34
2010-08-11,29.67,29.70,28.25,28.78,15167600,28.69
2010-08-10,30.25,30.34,29.70,30.12,12892100,30.03
2010-08-09,31.04,31.20,30.41,30.70,8376200,30.61
2010-08-06,30.82,31.15,30.19,30.92,10732100,30.82
2010-08-05,30.93,31.35,30.61,31.25,8397800,31.15
2010-08-04,31.12,31.55,30.61,31.06,11873500,30.96
2010-08-03,30.44,31.40,30.32,31.20,14626300,31.10
2010-08-02,30.59,31.00,30.44,30.73,13065800,30.64
2010-07-30,29.09,29.99,29.00,29.88,13335900,29.79
2010-07-29,30.18,30.54,29.61,30.11,12334400,30.02
2010-07-28,29.89,30.45,29.71,29.98,11070800,29.89
2010-07-27,30.95,31.07,30.00,30.45,12830800,30.36
2010-07-26,30.60,30.86,30.23,30.86,8502500,30.77
2010-07-23,30.12,30.61,29.52,30.59,12328400,30.50
2010-07-22,30.30,30.71,30.16,30.30,15876000,30.21
2010-07-21,30.30,30.65,29.56,29.88,15547700,29.79
2010-07-20,28.96,30.58,28.96,30.27,24945600,30.18
2010-07-19,28.79,29.43,28.28,29.17,39191500,29.08
2010-07-16,27.97,28.04,27.50,27.51,20644800,27.43
2010-07-15,28.13,28.32,27.31,28.10,17612700,28.01
2010-07-14,27.90,28.49,27.52,28.17,11178800,28.08
2010-07-13,28.56,28.63,27.73,28.13,16398600,28.04
2010-07-12,28.48,28.89,27.75,28.17,16809100,28.08
2010-07-09,28.56,28.75,28.01,28.64,14491800,28.55
2010-07-08,28.15,28.84,27.75,28.71,21062600,28.62
2010-07-07,26.80,28.06,26.64,27.99,24892100,27.90
2010-07-06,26.47,26.93,26.00,26.46,20082000,26.38
2010-07-02,25.23,26.05,25.03,25.74,22293400,25.66
2010-07-01,25.18,25.24,24.27,24.98,27466700,24.90
2010-06-30,24.51,25.62,24.43,24.55,21876000,24.47
2010-06-29,25.39,25.49,24.26,24.48,25848100,24.40
2010-06-28,26.94,26.97,25.93,25.99,12987600,25.91
2010-06-25,25.30,26.34,25.27,26.34,28687600,26.26
2010-06-24,25.60,25.80,25.06,25.21,12047300,25.13
2010-06-23,26.05,26.12,25.48,25.78,14073000,25.70
2010-06-22,26.99,27.30,25.87,25.99,18620300,25.91
2010-06-21,27.54,27.74,26.77,27.05,18403500,26.97
2010-06-18,26.44,27.00,26.03,26.98,14032300,26.90
2010-06-17,26.45,26.64,26.00,26.39,12975400,26.31
2010-06-16,25.41,26.79,25.40,26.25,28251500,26.17
2010-06-15,24.35,25.55,24.33,25.46,16263200,25.38
2010-06-14,24.93,24.93,23.94,24.02,14358400,23.95
2010-06-11,24.05,24.76,23.80,24.39,14346500,24.31
2010-06-10,23.22,24.30,23.12,24.22,23553000,24.15
2010-06-09,23.17,24.22,22.27,22.56,30861700,22.49
2010-06-08,22.91,23.24,22.25,23.02,26666200,22.95
2010-06-07,23.18,23.80,22.66,22.80,21102900,22.73
2010-06-04,23.64,23.99,22.89,23.11,27956900,23.04
2010-06-03,24.14,24.14,22.90,23.63,31618000,23.56
2010-06-02,21.98,23.84,21.78,23.68,59768500,23.61
2010-06-01,23.30,23.56,21.10,21.15,72573900,21.08
2010-05-28,26.87,27.03,24.66,24.83,37082200,24.75
2010-05-27,27.10,27.25,26.24,26.99,28424600,26.91
