Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,39.86,40.25,39.41,39.88,694200,39.88
2010-11-04,37.92,39.88,37.88,39.81,1008800,39.81
2010-11-03,37.59,37.62,36.70,37.30,1686600,37.30
2010-11-02,36.66,39.37,36.50,37.58,3478900,37.58
2010-11-01,33.86,34.34,33.40,33.48,697800,33.48
2010-10-29,33.60,33.95,33.40,33.55,518800,33.55
2010-10-28,34.26,34.55,33.52,33.60,710800,33.60
2010-10-27,34.47,34.60,33.72,33.97,956300,33.97
2010-10-26,35.00,35.48,34.71,34.80,718000,34.80
2010-10-25,34.62,35.66,34.59,35.19,679700,35.19
2010-10-22,34.55,34.61,33.63,34.33,1791300,34.33
2010-10-21,35.55,36.13,34.27,34.48,1177800,34.48
2010-10-20,35.19,35.95,34.81,35.40,875500,35.40
2010-10-19,35.51,36.59,34.96,35.13,744200,35.13
2010-10-18,36.07,36.40,35.81,36.07,424100,36.07
2010-10-15,35.85,36.25,35.26,36.12,781900,36.12
2010-10-14,35.39,35.54,35.04,35.43,769100,35.43
2010-10-13,35.19,35.75,34.83,35.42,755400,35.42
2010-10-12,34.52,35.02,34.20,34.84,477600,34.84
2010-10-11,34.67,35.09,34.46,34.61,467700,34.61
2010-10-08,33.53,34.94,33.53,34.57,766800,34.57
2010-10-07,33.71,33.91,33.01,33.43,573600,33.43
2010-10-06,34.18,34.23,33.30,33.44,545700,33.44
2010-10-05,33.66,34.40,33.31,34.24,634100,34.24
2010-10-04,32.91,33.23,32.54,33.18,578800,33.18
2010-10-01,33.41,34.10,32.95,33.12,458300,33.12
2010-09-30,33.53,34.29,33.22,33.41,818800,33.41
2010-09-29,33.36,33.56,32.93,33.35,337100,33.35
2010-09-28,33.15,33.69,32.48,33.59,460300,33.59
2010-09-27,33.66,33.75,33.08,33.17,370100,33.17
2010-09-24,33.95,34.17,33.45,33.68,821000,33.68
2010-09-23,32.56,33.79,32.30,33.42,617000,33.42
2010-09-22,33.46,33.80,32.81,32.89,346000,32.89
2010-09-21,34.22,34.22,33.15,33.43,455900,33.43
2010-09-20,33.07,34.27,33.04,34.19,635000,34.19
2010-09-17,32.63,33.00,32.57,32.92,501800,32.92
2010-09-16,32.86,32.87,32.32,32.44,621400,32.44
2010-09-15,32.43,33.30,32.32,32.97,804800,32.97
2010-09-14,32.89,33.00,32.31,32.48,583300,32.48
2010-09-13,32.47,33.12,32.43,32.99,537800,32.99
2010-09-10,32.03,32.28,31.73,32.02,717800,32.02
2010-09-09,33.88,34.28,31.58,32.03,1330500,32.03
2010-09-08,33.04,34.02,32.70,33.30,1320500,33.30
2010-09-07,34.81,34.81,33.51,33.63,822400,33.63
2010-09-03,34.69,35.62,34.48,35.10,589900,35.10
2010-09-02,32.73,34.17,32.73,34.06,696900,34.06
2010-09-01,31.76,32.85,31.76,32.80,823000,32.80
2010-08-31,31.19,31.87,30.90,31.17,878300,31.17
2010-08-30,32.11,32.71,31.48,31.48,629400,31.48
2010-08-27,31.83,32.37,31.10,32.20,754400,32.20
2010-08-26,32.06,32.86,31.28,31.38,1205100,31.38
2010-08-25,30.07,31.98,30.01,31.85,1175100,31.85
2010-08-24,30.09,30.63,29.11,30.18,982300,30.18
2010-08-23,30.81,31.34,30.54,30.57,521800,30.57
2010-08-20,30.18,30.74,30.14,30.71,787600,30.71
2010-08-19,30.27,30.85,30.10,30.50,1062400,30.50
2010-08-18,30.10,30.91,30.09,30.45,831600,30.45
2010-08-17,30.47,31.05,30.28,30.39,1056100,30.39
2010-08-16,29.57,30.16,29.29,30.08,1119800,30.08
2010-08-13,29.63,30.20,29.31,29.61,1256400,29.61
2010-08-12,28.45,29.96,28.11,29.82,1771000,29.82
2010-08-11,29.55,29.93,28.83,29.14,1610800,29.14
2010-08-10,29.90,30.46,29.63,30.17,1827200,30.17
2010-08-09,30.21,30.50,29.57,30.08,2857300,30.08
2010-08-06,31.17,32.50,28.90,29.88,5344100,29.88
2010-08-05,32.48,34.30,32.22,33.80,1766900,33.80
2010-08-04,32.03,32.71,31.84,32.65,1435300,32.65
2010-08-03,31.13,32.31,31.13,31.87,1007700,31.87
2010-08-02,30.88,32.32,30.70,32.18,1348800,32.18
2010-07-30,29.91,30.62,29.57,30.41,611800,30.41
2010-07-29,30.67,31.15,29.87,30.45,914800,30.45
2010-07-28,31.34,31.39,30.27,30.48,765100,30.48
2010-07-27,32.16,32.18,31.10,31.52,1001700,31.52
2010-07-26,31.50,31.97,30.79,31.81,986300,31.81
2010-07-23,31.16,31.96,30.87,31.34,1030100,31.34
2010-07-22,30.25,31.57,30.25,31.26,1526400,31.26
2010-07-21,30.00,30.81,29.63,29.75,805400,29.75
2010-07-20,28.96,29.94,28.86,29.83,977100,29.83
2010-07-19,29.30,29.79,28.70,29.60,721900,29.60
2010-07-16,30.99,30.99,29.02,29.12,1131000,29.12
2010-07-15,31.44,31.55,30.41,31.17,635000,31.17
2010-07-14,31.68,31.88,31.05,31.44,528600,31.44
2010-07-13,31.67,32.16,31.36,31.87,738400,31.87
2010-07-12,31.95,32.37,30.98,31.35,638300,31.35
2010-07-09,31.61,32.21,31.37,32.12,865100,32.12
2010-07-08,31.51,31.87,31.12,31.70,488300,31.70
2010-07-07,29.41,31.32,29.40,31.29,932400,31.29
2010-07-06,30.43,30.96,29.21,29.45,452300,29.45
2010-07-02,30.18,30.42,29.28,29.95,630700,29.95
2010-07-01,29.84,30.41,28.90,30.10,563600,30.10
2010-06-30,30.07,31.01,29.70,29.89,1115600,29.89
2010-06-29,31.22,31.49,30.09,30.35,838000,30.35
2010-06-28,33.14,33.32,31.95,32.07,1336200,32.07
2010-06-25,33.19,33.22,31.73,32.98,1529100,32.98
2010-06-24,33.83,34.23,33.00,33.08,1097200,33.08
2010-06-23,33.80,34.81,32.98,34.12,1018000,34.12
2010-06-22,35.10,35.50,33.71,33.78,892100,33.78
2010-06-21,34.50,35.96,34.49,35.01,1722900,35.01
2010-06-18,34.18,34.20,33.12,34.20,976600,34.20
