Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,47.34,47.40,46.84,47.26,876800,47.26
2010-11-04,47.56,47.56,46.80,47.27,1272500,47.27
2010-11-03,47.41,47.51,46.82,47.15,996800,47.15
2010-11-02,46.98,47.40,46.72,47.32,1354700,47.32
2010-11-01,46.47,46.79,46.25,46.65,976900,46.65
2010-10-29,45.77,46.31,45.48,46.25,1193600,46.25
2010-10-28,45.96,46.04,45.30,45.76,826000,45.76
2010-10-27,45.62,46.21,45.26,45.92,956000,45.67
2010-10-26,45.82,46.18,45.55,45.92,1193600,45.67
2010-10-25,46.12,46.75,45.82,45.96,931200,45.71
2010-10-22,45.76,46.03,45.70,46.00,847100,45.75
2010-10-21,46.42,46.42,45.52,45.68,1637000,45.43
2010-10-20,46.31,46.60,45.87,46.25,1197200,46.00
2010-10-19,46.31,46.60,45.52,46.21,1870100,45.96
2010-10-18,48.00,48.78,46.70,46.81,3575200,46.56
2010-10-15,45.30,45.72,44.45,45.08,2651600,44.83
2010-10-14,46.22,46.37,45.69,45.97,985900,45.72
2010-10-13,45.98,46.57,45.89,46.12,989600,45.87
2010-10-12,45.86,45.86,45.20,45.76,781100,45.51
2010-10-11,45.73,46.03,45.61,45.91,876900,45.66
2010-10-08,45.58,45.76,45.09,45.64,965000,45.39
2010-10-07,46.01,46.15,45.07,45.39,773500,45.14
2010-10-06,45.75,46.04,45.52,45.80,1060800,45.55
2010-10-05,45.08,45.92,44.84,45.79,1175200,45.54
2010-10-04,44.70,45.37,44.25,44.55,783800,44.31
2010-10-01,45.12,45.18,44.24,44.61,793300,44.37
2010-09-30,45.26,45.85,44.33,44.51,1463400,44.27
2010-09-29,45.01,45.11,44.35,45.04,954300,44.79
2010-09-28,45.03,45.37,44.25,45.21,733400,44.96
2010-09-27,44.40,45.23,44.22,45.03,1171700,44.78
2010-09-24,44.23,44.63,44.20,44.38,966800,44.14
2010-09-23,43.50,44.24,43.22,43.72,1130400,43.48
2010-09-22,44.87,45.15,43.68,43.76,1424800,43.52
2010-09-21,45.53,45.53,44.86,45.00,1063600,44.76
2010-09-20,44.71,45.55,44.65,45.38,1366600,45.13
2010-09-17,44.51,45.13,44.50,44.70,2133700,44.46
2010-09-16,44.30,44.48,43.90,44.43,949000,44.19
2010-09-15,43.73,44.50,43.52,44.36,935300,44.12
2010-09-14,44.07,44.17,43.75,43.90,650000,43.66
2010-09-13,43.70,44.28,43.60,44.09,1070700,43.85
2010-09-10,43.15,43.38,42.96,43.34,1271100,43.10
2010-09-09,43.52,43.65,43.03,43.05,1428300,42.82
2010-09-08,43.27,43.98,42.94,43.03,1643000,42.80
2010-09-07,43.01,44.09,43.01,43.23,1700000,42.99
2010-09-03,43.51,43.70,42.91,43.49,1146000,43.25
2010-09-02,41.69,43.04,41.69,43.02,2156000,42.79
2010-09-01,40.67,41.80,40.64,41.67,1525100,41.44
2010-08-31,39.92,40.69,39.57,40.36,1857700,40.14
2010-08-30,40.90,41.14,40.11,40.15,818700,39.93
2010-08-27,40.55,41.06,40.02,40.94,2983900,40.72
2010-08-26,41.13,41.28,40.37,40.39,1378000,40.17
2010-08-25,40.92,41.12,40.14,41.02,2209600,40.80
2010-08-24,41.87,41.87,41.08,41.20,1708200,40.98
2010-08-23,42.67,42.95,42.19,42.19,1164000,41.96
2010-08-20,42.60,42.82,41.93,42.47,1232500,42.24
2010-08-19,43.85,43.89,42.53,43.01,1018400,42.78
2010-08-18,44.04,44.59,43.71,43.99,1181600,43.75
2010-08-17,43.15,44.17,42.97,43.87,1844300,43.63
2010-08-16,42.40,42.86,42.18,42.79,814100,42.56
2010-08-13,42.44,42.95,42.30,42.78,1579800,42.55
2010-08-12,42.01,42.66,41.79,42.48,1373300,42.25
2010-08-11,43.13,43.13,42.40,42.52,1046700,42.29
2010-08-10,43.32,43.86,42.95,43.73,1673500,43.49
2010-08-09,43.56,44.11,43.55,43.71,1305600,43.47
2010-08-06,43.00,43.32,42.42,43.32,1585000,43.08
2010-08-05,43.44,43.58,43.23,43.52,1162400,43.28
2010-08-04,42.51,43.62,42.35,43.56,1054800,43.32
2010-08-03,43.15,43.22,42.34,42.43,1246300,42.20
2010-08-02,42.80,43.21,42.69,43.09,1638100,42.86
2010-07-30,41.42,42.47,41.42,42.15,2410400,41.92
2010-07-29,41.55,42.37,41.02,41.83,1597400,41.60
2010-07-28,42.01,42.39,41.27,41.53,1201500,41.06
2010-07-27,42.46,42.55,41.88,42.09,1252200,41.61
2010-07-26,41.11,42.56,40.80,42.50,2437800,42.01
2010-07-23,40.11,41.03,40.10,40.95,1305900,40.48
2010-07-22,39.73,40.65,39.73,40.10,1528000,39.64
2010-07-21,41.00,41.10,39.26,39.34,4370800,38.89
2010-07-20,39.08,41.01,38.93,40.79,3367000,40.32
2010-07-19,37.94,40.00,37.65,39.35,4868500,38.90
2010-07-16,40.69,40.91,39.28,39.50,3541700,39.05
2010-07-15,41.50,41.79,40.70,41.09,2897400,40.62
2010-07-14,42.19,42.19,41.39,41.49,2799900,41.02
2010-07-13,42.18,42.47,41.81,42.17,1484300,41.69
2010-07-12,41.58,42.20,41.50,41.77,1248900,41.29
2010-07-09,41.23,41.66,40.91,41.59,1215300,41.11
2010-07-08,41.30,41.52,40.67,41.04,1461600,40.57
2010-07-07,40.01,41.11,39.92,41.05,1996600,40.58
2010-07-06,40.71,41.16,39.72,40.08,2522700,39.62
2010-07-02,41.06,41.06,40.19,40.45,2389600,39.99
2010-07-01,41.25,41.71,40.57,40.85,3674700,40.38
2010-06-30,41.90,42.39,41.04,41.10,2359900,40.63
2010-06-29,42.32,42.72,41.73,42.04,2376100,41.56
2010-06-28,43.06,43.51,42.56,42.96,1292300,42.47
2010-06-25,42.81,43.22,41.79,43.00,4663600,42.51
2010-06-24,42.18,43.71,41.55,42.86,9033900,42.37
2010-06-23,41.29,41.49,40.62,41.12,2588000,40.65
2010-06-22,42.36,42.67,41.17,41.27,2657100,40.80
2010-06-21,43.28,43.38,42.00,42.21,2400600,41.73
2010-06-18,43.01,43.39,42.74,42.88,1978500,42.39
2010-06-17,42.97,43.10,42.54,42.87,2129800,42.38
2010-06-16,41.61,43.03,41.41,42.68,2502600,42.19
2010-06-15,41.00,41.86,41.00,41.85,1445300,41.37
2010-06-14,40.75,41.21,40.48,40.51,1727100,40.05
2010-06-11,40.27,40.54,39.55,40.39,2386800,39.93
2010-06-10,39.00,40.63,39.00,40.57,3236100,40.11
2010-06-09,38.30,39.31,38.17,38.44,1673900,38.00
2010-06-08,38.41,38.72,37.39,38.11,3411800,37.67
2010-06-07,39.27,39.48,38.33,38.42,1787700,37.98
2010-06-04,38.85,39.85,38.60,39.14,2712300,38.69
2010-06-03,40.55,40.82,39.55,39.76,2379700,39.31
2010-06-02,39.57,40.30,39.23,40.30,1697000,39.84
2010-06-01,39.73,40.39,39.33,39.36,1453100,38.91
2010-05-28,40.67,40.84,39.92,40.15,1903600,39.69
2010-05-27,40.39,40.59,40.07,40.57,2480500,40.11
2010-05-26,39.48,40.18,39.31,39.55,3924300,39.10
2010-05-25,38.49,38.94,36.50,38.94,3281700,38.49
2010-05-24,39.51,39.93,39.27,39.31,2505900,38.86
2010-05-21,39.09,40.20,38.75,39.53,5254900,39.08
2010-05-20,40.11,40.64,39.50,39.77,3560900,39.32
2010-05-19,41.48,41.98,40.67,41.08,2265300,40.61
2010-05-18,41.60,42.59,41.11,41.62,3804400,41.14
2010-05-17,40.28,41.65,40.10,41.52,2811100,41.05
2010-05-14,40.25,40.59,39.60,40.28,2128700,39.82
2010-05-13,41.81,42.20,40.75,40.85,2130500,40.38
2010-05-12,41.55,42.49,41.48,42.40,2864800,41.92
2010-05-11,40.50,42.19,40.35,41.28,3953000,40.81
2010-05-10,40.39,40.90,39.90,40.80,2804000,40.33
2010-05-07,39.01,39.60,38.31,38.97,4268600,38.52
2010-05-06,39.34,39.90,36.00,39.29,4113400,38.84
2010-05-05,38.55,39.81,38.44,39.50,2650900,39.05
2010-05-04,40.18,40.35,38.78,38.94,3052800,38.49
2010-05-03,38.47,40.30,38.46,40.12,1996800,39.66
2010-04-30,39.32,39.58,38.32,38.36,2156400,37.92
2010-04-29,39.06,39.40,38.67,39.32,1570000,38.87
2010-04-28,39.46,39.76,38.75,39.03,1896400,38.34
2010-04-27,40.19,40.58,39.31,39.44,1984000,38.74
2010-04-26,40.69,41.00,40.39,40.41,1531000,39.69
2010-04-23,40.47,40.73,40.10,40.53,1378400,39.81
2010-04-22,39.88,40.46,39.67,40.41,1113600,39.69
2010-04-21,40.64,40.73,39.81,40.13,2152500,39.42
2010-04-20,41.21,41.50,40.73,40.95,1939400,40.22
2010-04-19,40.37,41.00,39.92,40.91,4461900,40.18
2010-04-16,40.40,40.53,39.78,39.85,2632300,39.14
2010-04-15,39.56,40.25,39.39,40.14,1301500,39.43
2010-04-14,39.33,39.58,39.22,39.52,1190700,38.82
2010-04-13,39.24,39.43,39.07,39.31,965800,38.61
2010-04-12,39.07,39.24,38.82,39.10,1007400,38.41
2010-04-09,38.80,39.00,38.44,38.93,1323800,38.24
2010-04-08,38.32,38.75,38.00,38.67,870100,37.98
2010-04-07,38.83,39.00,38.13,38.40,1089900,37.72
2010-04-06,39.19,39.19,38.49,38.93,1557500,38.24
2010-04-05,38.29,39.21,38.29,39.13,1282300,38.43
2010-04-01,38.55,38.78,38.12,38.36,1591400,37.68
2010-03-31,39.05,39.07,38.25,38.28,1372400,37.60
2010-03-30,39.23,39.59,39.03,39.05,1140700,38.36
2010-03-29,38.56,39.23,38.56,39.22,2225300,38.52
2010-03-26,38.14,38.68,38.11,38.41,1676400,37.73
2010-03-25,38.18,38.57,38.07,38.10,1809500,37.42
2010-03-24,38.15,38.29,37.79,38.06,1344500,37.38
2010-03-23,38.39,38.50,37.90,38.23,1177600,37.55
2010-03-22,38.01,38.30,37.80,38.25,1408500,37.57
2010-03-19,38.24,38.34,37.85,37.89,1435700,37.22
2010-03-18,38.21,38.34,37.92,38.10,1110700,37.42
2010-03-17,37.98,38.24,37.77,38.14,1404400,37.46
2010-03-16,37.68,38.13,37.64,37.85,1767000,37.18
2010-03-15,37.61,37.91,37.39,37.63,1839200,36.96
2010-03-12,38.82,38.82,37.75,38.20,942300,37.52
2010-03-11,37.90,38.15,37.65,38.09,897900,37.41
2010-03-10,37.67,38.01,37.43,38.01,1623000,37.33
2010-03-09,37.40,37.93,37.40,37.68,1147600,37.01
2010-03-08,37.47,37.73,37.29,37.50,1398500,36.83
2010-03-05,36.94,37.52,36.61,37.47,1363900,36.80
2010-03-04,36.31,36.73,36.31,36.73,1514500,36.08
2010-03-03,36.59,36.67,36.30,36.33,1665100,35.68
2010-03-02,36.16,36.68,36.05,36.61,2394400,35.96
2010-03-01,35.80,36.19,35.50,36.06,1668600,35.42
2010-02-26,35.53,35.99,35.41,35.78,1570700,35.14
2010-02-25,35.20,35.74,34.65,35.69,2058100,35.06
2010-02-24,35.48,35.54,35.11,35.48,1461100,34.85
2010-02-23,35.50,35.54,35.05,35.28,1283800,34.65
2010-02-22,35.91,35.92,35.42,35.52,1627800,34.89
2010-02-19,35.62,35.99,35.37,35.80,1565200,35.16
2010-02-18,35.33,35.82,35.18,35.76,1821500,35.12
2010-02-17,35.14,35.51,35.02,35.43,1485800,34.80
2010-02-16,35.84,35.98,34.76,35.03,3858100,34.41
2010-02-12,35.92,36.00,35.47,35.55,4321800,34.92
2010-02-11,35.33,36.19,35.06,36.14,2432600,35.50
2010-02-10,35.04,35.61,34.89,35.30,3308300,34.67
2010-02-09,34.76,35.28,34.47,35.06,4256100,34.44
2010-02-08,33.65,35.19,33.53,34.71,11443600,34.09
2010-02-05,31.20,31.35,30.20,30.80,2782800,30.25
2010-02-04,31.84,32.03,31.22,31.26,2043400,30.70
2010-02-03,31.85,32.23,31.69,32.07,1631600,31.50
2010-02-02,31.27,32.01,31.07,31.96,2635000,31.39
2010-02-01,30.72,31.38,30.55,31.19,2397600,30.64
2010-01-29,31.62,31.62,30.53,30.55,2446200,30.01
2010-01-28,31.56,31.73,31.22,31.54,971500,30.78
2010-01-27,31.21,31.53,31.01,31.49,1042300,30.73
2010-01-26,31.30,31.59,31.25,31.28,1045500,30.53
2010-01-25,31.45,31.62,31.21,31.42,1101000,30.67
2010-01-22,32.00,32.27,31.23,31.29,1615100,30.54
2010-01-21,32.15,32.54,32.00,32.10,2252400,31.33
2010-01-20,32.08,32.31,31.80,32.26,1499100,31.49
2010-01-19,32.18,32.43,31.98,32.33,998500,31.55
2010-01-15,31.99,32.24,31.70,32.16,2017200,31.39
2010-01-14,31.61,32.07,31.51,32.02,1269000,31.25
2010-01-13,31.22,31.76,31.20,31.69,1277300,30.93
