Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,5.80,6.10,5.76,5.94,19343100,5.94
2010-11-04,5.69,5.92,5.65,5.87,21434900,5.87
2010-11-03,5.56,5.64,5.53,5.64,9912200,5.64
2010-11-02,5.62,5.64,5.51,5.56,15683600,5.56
2010-11-01,5.66,5.68,5.50,5.60,15263200,5.60
2010-10-29,5.64,5.68,5.60,5.66,8625400,5.66
2010-10-28,5.74,5.74,5.62,5.66,8836900,5.66
2010-10-27,5.57,5.71,5.57,5.70,10879200,5.70
2010-10-26,5.61,5.65,5.53,5.62,14718200,5.62
2010-10-25,5.75,5.76,5.64,5.65,14655200,5.65
2010-10-22,5.66,5.76,5.65,5.69,14831900,5.69
2010-10-21,5.80,5.88,5.62,5.62,37865000,5.62
2010-10-20,5.70,5.71,5.43,5.60,27209900,5.60
2010-10-19,5.68,5.86,5.63,5.73,16961000,5.73
2010-10-18,5.67,5.77,5.61,5.74,8987200,5.74
2010-10-15,5.79,5.79,5.54,5.69,21973400,5.69
2010-10-14,5.83,5.84,5.65,5.73,20604100,5.73
2010-10-13,6.00,6.05,5.88,5.88,14289900,5.88
2010-10-12,5.78,5.96,5.75,5.94,8221500,5.94
2010-10-11,5.86,5.90,5.79,5.82,8717300,5.82
2010-10-08,5.90,5.94,5.80,5.86,7599700,5.86
2010-10-07,5.95,5.96,5.82,5.90,10269600,5.90
2010-10-06,5.97,6.03,5.87,5.89,12453300,5.89
2010-10-05,5.75,5.98,5.74,5.94,20134400,5.94
2010-10-04,5.70,5.82,5.69,5.70,11350400,5.70
2010-10-01,5.73,5.81,5.66,5.71,11581400,5.71
2010-09-30,5.67,5.82,5.65,5.69,9614600,5.69
2010-09-29,5.69,5.74,5.62,5.64,10832200,5.64
2010-09-28,5.76,5.79,5.59,5.72,15220400,5.72
2010-09-27,5.89,5.89,5.71,5.74,9814700,5.74
2010-09-24,5.75,5.85,5.73,5.84,11225500,5.84
2010-09-23,5.70,5.86,5.61,5.63,13092400,5.63
2010-09-22,5.90,5.95,5.75,5.78,12855800,5.78
2010-09-21,6.01,6.06,5.89,5.92,15099800,5.92
2010-09-20,5.85,6.05,5.82,6.00,20366400,6.00
2010-09-17,5.97,5.98,5.80,5.80,12751500,5.80
2010-09-16,6.02,6.09,5.79,5.89,34740400,5.89
2010-09-15,5.98,6.13,5.94,6.07,13766300,6.07
2010-09-14,6.06,6.15,5.97,6.07,13017800,6.06
2010-09-13,6.06,6.13,6.00,6.08,16229100,6.07
2010-09-10,5.86,5.98,5.83,5.85,11190500,5.84
2010-09-09,5.87,5.98,5.77,5.86,18302400,5.85
2010-09-08,5.65,5.84,5.60,5.77,20518400,5.76
2010-09-07,5.63,5.65,5.46,5.48,10282200,5.47
2010-09-03,5.83,5.84,5.61,5.72,10087400,5.71
2010-09-02,5.50,5.68,5.45,5.68,12620000,5.67
2010-09-01,5.43,5.52,5.36,5.47,13098100,5.46
2010-08-31,5.21,5.40,5.21,5.30,11586800,5.29
2010-08-30,5.41,5.42,5.21,5.24,10033700,5.23
2010-08-27,5.24,5.46,5.21,5.44,13479100,5.43
2010-08-26,5.24,5.34,5.18,5.18,10933000,5.17
2010-08-25,5.11,5.20,5.04,5.19,14750400,5.18
2010-08-24,5.18,5.27,5.14,5.20,16991700,5.19
2010-08-23,5.43,5.47,5.31,5.37,16993900,5.36
2010-08-20,5.38,5.44,5.27,5.39,11129700,5.38
2010-08-19,5.48,5.56,5.36,5.39,13762500,5.38
2010-08-18,5.53,5.61,5.43,5.50,12591300,5.49
2010-08-17,5.64,5.67,5.50,5.51,11775800,5.50
2010-08-16,5.63,5.69,5.50,5.55,12644700,5.54
2010-08-13,5.65,5.74,5.62,5.66,9625600,5.65
2010-08-12,5.69,5.74,5.62,5.65,14959100,5.64
2010-08-11,5.98,6.05,5.74,5.74,20166500,5.73
2010-08-10,6.24,6.29,6.08,6.12,16218400,6.11
2010-08-09,6.27,6.35,6.18,6.33,13908500,6.32
2010-08-06,6.20,6.27,6.10,6.25,10801100,6.24
2010-08-05,6.20,6.29,6.16,6.28,8914700,6.27
2010-08-04,6.33,6.38,6.23,6.28,8707300,6.27
2010-08-03,6.30,6.40,6.26,6.28,11340300,6.27
2010-08-02,6.18,6.34,6.15,6.29,21543700,6.28
2010-07-30,5.95,6.14,5.91,6.06,12296200,6.05
2010-07-29,6.22,6.30,6.04,6.06,14894700,6.05
2010-07-28,6.31,6.36,6.12,6.19,11909500,6.18
2010-07-27,6.32,6.45,6.15,6.36,21655900,6.35
2010-07-26,6.05,6.35,5.98,6.31,17988500,6.30
2010-07-23,5.84,6.06,5.75,6.06,21301000,6.05
2010-07-22,5.90,5.97,5.79,5.85,20907600,5.84
2010-07-21,5.92,6.05,5.65,5.67,23191900,5.66
