Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,51.20,51.20,49.98,50.28,1628300,50.28
2010-11-04,50.60,51.09,49.81,51.04,1907600,51.04
2010-11-03,51.22,51.44,50.32,50.38,1624800,49.69
2010-11-02,51.97,52.06,51.17,51.24,1154000,50.54
2010-11-01,51.26,51.76,51.10,51.71,1038000,51.00
2010-10-29,50.90,51.31,50.80,51.10,1107800,50.40
2010-10-28,50.98,51.10,50.33,50.85,843100,50.15
2010-10-27,50.93,51.20,50.51,50.78,1317100,50.08
2010-10-26,51.00,51.17,50.64,51.17,1149300,50.47
2010-10-25,51.24,51.35,50.88,51.22,990500,50.52
2010-10-22,51.07,51.14,50.51,50.90,824300,50.20
2010-10-21,51.03,51.25,50.53,50.88,863000,50.18
2010-10-20,50.17,51.37,50.17,50.80,1551500,50.10
2010-10-19,49.90,50.63,49.60,50.11,1579700,49.42
2010-10-18,49.50,50.27,49.49,50.27,1067200,49.58
2010-10-15,49.86,49.86,49.32,49.46,905300,48.78
2010-10-14,49.34,49.70,49.19,49.46,840400,48.78
2010-10-13,49.30,49.71,49.10,49.33,1159100,48.65
2010-10-12,48.82,49.17,48.48,49.12,1369400,48.45
2010-10-11,48.71,49.30,48.71,48.84,1088400,48.17
2010-10-08,48.93,48.94,48.56,48.71,913100,48.04
2010-10-07,48.84,48.98,48.64,48.84,1280400,48.17
2010-10-06,48.67,48.71,48.40,48.71,1040800,48.04
2010-10-05,47.96,48.82,47.70,48.77,1636800,48.10
2010-10-04,47.36,47.77,47.21,47.74,1320100,47.09
2010-10-01,47.60,47.72,46.74,47.38,1155300,46.73
2010-09-30,47.29,47.58,46.84,47.34,1866100,46.69
2010-09-29,47.21,47.31,46.75,46.99,955100,46.35
2010-09-28,46.94,47.38,46.26,47.31,1859000,46.66
2010-09-27,47.49,47.49,46.69,46.85,942800,46.21
2010-09-24,46.72,47.39,46.45,47.37,1299200,46.72
2010-09-23,46.68,46.82,46.26,46.32,1380800,45.69
2010-09-22,46.82,47.22,46.81,46.95,1597600,46.31
2010-09-21,46.87,47.45,46.75,47.00,8441400,46.36
2010-09-20,47.95,48.54,47.80,48.43,1425600,47.77
2010-09-17,47.74,47.93,47.42,47.91,1210100,47.25
2010-09-16,47.55,47.71,47.37,47.65,618600,47.00
2010-09-15,47.26,47.87,46.89,47.75,792800,47.10
2010-09-14,47.16,47.68,46.97,47.44,922900,46.79
2010-09-13,47.29,47.38,46.77,47.35,856300,46.70
2010-09-10,46.64,46.81,46.37,46.70,867900,46.06
2010-09-09,47.74,47.81,46.49,46.62,818000,45.98
2010-09-08,47.15,47.44,46.99,47.18,765300,46.53
2010-09-07,47.51,47.65,47.09,47.11,1115600,46.46
2010-09-03,47.64,47.98,47.31,47.75,1588300,47.10
2010-09-02,46.90,47.33,46.60,47.31,1534700,46.66
2010-09-01,46.33,46.88,45.92,46.83,2080600,46.19
2010-08-31,45.48,46.02,45.25,45.93,1694300,45.30
2010-08-30,45.69,45.94,45.43,45.44,1034500,44.82
2010-08-27,45.16,45.72,44.50,45.69,1312600,45.06
2010-08-26,45.38,45.53,44.86,44.87,1442100,44.26
2010-08-25,44.66,45.41,44.43,45.23,1214300,44.61
2010-08-24,44.30,45.16,44.20,44.82,1385200,44.21
2010-08-23,45.20,45.25,44.65,44.67,966600,44.06
2010-08-20,44.65,45.14,44.60,45.08,1024700,44.46
2010-08-19,45.16,45.28,44.64,44.86,2009200,44.25
2010-08-18,45.42,45.57,45.11,45.35,1175500,44.73
2010-08-17,44.86,45.50,44.63,45.39,1420900,44.77
2010-08-16,44.57,44.94,44.24,44.49,1068700,43.88
2010-08-13,44.65,45.12,44.63,44.72,1247300,44.11
2010-08-12,44.09,45.13,44.09,44.66,1581100,44.05
2010-08-11,45.10,45.15,44.48,44.71,1573600,44.10
2010-08-10,45.14,46.06,45.14,45.58,1330300,44.96
