Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,36.31,36.70,36.06,36.39,2689300,36.39
2010-11-04,36.12,36.34,35.66,36.30,3634000,36.30
2010-11-03,36.01,36.13,35.25,36.00,12543600,35.53
2010-11-02,36.62,36.72,36.10,36.70,1845400,36.23
2010-11-01,36.26,36.59,36.02,36.33,1905300,35.86
2010-10-29,35.82,36.18,35.81,36.01,1446300,35.54
2010-10-28,36.21,36.50,35.63,35.95,2381200,35.49
2010-10-27,36.64,36.94,35.90,36.07,3380000,35.60
2010-10-26,36.81,37.11,36.68,36.89,2639000,36.41
2010-10-25,36.72,37.17,36.54,37.10,4719300,36.62
2010-10-22,37.38,37.38,36.29,36.37,6121100,35.90
2010-10-21,37.45,37.58,36.95,37.18,4262400,36.70
2010-10-20,36.79,37.65,36.72,37.26,2739900,36.78
2010-10-19,36.30,36.97,36.21,36.66,2633200,36.19
2010-10-18,36.29,36.84,36.16,36.84,2481400,36.36
2010-10-15,36.55,36.58,36.08,36.29,2449000,35.82
2010-10-14,36.66,36.72,36.21,36.34,2719900,35.87
2010-10-13,36.56,37.10,36.40,36.72,1934600,36.25
2010-10-12,36.00,36.43,35.88,36.35,2899300,35.88
2010-10-11,36.29,36.51,36.06,36.13,2205900,35.66
2010-10-08,36.40,36.47,36.15,36.30,2455900,35.83
2010-10-07,36.56,36.66,36.22,36.30,1544800,35.83
2010-10-06,36.22,36.46,36.01,36.43,2752000,35.96
2010-10-05,36.09,36.47,35.77,36.23,6246800,35.76
2010-10-04,35.73,35.88,35.52,35.75,4286400,35.29
2010-10-01,36.31,36.34,35.33,35.85,2717300,35.39
2010-09-30,36.17,36.52,35.70,35.98,2271800,35.52
2010-09-29,36.08,36.14,35.70,35.94,1996300,35.48
2010-09-28,36.12,36.28,35.55,36.22,2142400,35.75
2010-09-27,36.67,36.74,36.06,36.13,1905100,35.66
2010-09-24,36.01,36.81,35.86,36.66,2651400,36.19
2010-09-23,36.17,36.47,35.48,35.52,3031800,35.06
2010-09-22,36.80,36.98,36.23,36.47,2571100,36.00
2010-09-21,37.83,38.01,36.70,36.84,3211100,36.36
2010-09-20,37.24,38.05,37.11,37.97,2528400,37.48
