Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,49.63,49.65,49.22,49.25,2877500,49.25
2010-11-04,49.85,50.24,49.42,49.73,2276600,49.73
2010-11-03,49.40,49.53,49.06,49.49,1617200,49.49
2010-11-02,49.48,49.58,49.18,49.43,1904700,49.43
2010-11-01,49.25,49.49,48.83,49.12,1789100,49.12
2010-10-29,49.20,49.58,49.11,49.11,1959700,49.11
2010-10-28,49.10,49.49,49.03,49.38,2203800,49.38
2010-10-27,48.88,49.01,48.41,48.90,1957100,48.90
2010-10-26,49.44,49.57,48.97,49.11,2217300,49.11
2010-10-25,49.62,49.95,49.62,49.72,1537700,49.72
2010-10-22,49.56,49.67,49.38,49.55,1000400,49.55
2010-10-21,49.23,49.80,49.16,49.40,1536400,49.40
2010-10-20,48.75,49.41,48.71,49.25,1417100,49.25
2010-10-19,48.87,48.94,48.41,48.59,2058400,48.59
2010-10-18,49.16,49.31,49.01,49.30,1388400,49.30
2010-10-15,49.27,49.43,48.88,49.09,1965100,49.09
2010-10-14,49.22,49.22,48.78,49.09,2439100,49.09
2010-10-13,48.29,49.10,48.24,49.09,3096500,49.09
2010-10-12,47.93,48.25,47.75,48.20,1502700,48.20
2010-10-11,47.90,48.10,47.64,47.99,1806700,47.99
2010-10-08,48.02,48.02,47.65,47.77,1705400,47.77
2010-10-07,48.20,48.25,47.73,47.91,1473700,47.91
2010-10-06,47.56,48.17,47.56,48.17,2221700,48.17
2010-10-05,47.65,47.84,47.47,47.76,2072200,47.76
2010-10-04,47.51,47.69,47.24,47.36,1580500,47.36
2010-10-01,47.57,47.64,47.19,47.51,1546400,47.51
2010-09-30,47.88,48.19,47.12,47.37,2518600,47.37
2010-09-29,47.70,47.97,47.60,47.83,1588900,47.83
2010-09-28,48.20,48.20,47.40,47.94,1687500,47.94
2010-09-27,47.66,48.13,47.53,48.00,2414800,48.00
2010-09-24,47.40,47.78,47.31,47.78,1853700,47.78
2010-09-23,47.36,47.40,46.98,47.02,1733800,47.02
2010-09-22,47.35,47.81,47.35,47.49,2261700,47.49
2010-09-21,47.87,47.90,47.05,47.33,3162700,47.33
2010-09-20,47.74,48.05,47.65,48.01,2151300,48.01
2010-09-17,47.65,48.20,47.54,47.94,3575500,47.49
2010-09-16,47.30,47.50,47.12,47.50,1776700,47.05
2010-09-15,46.72,47.43,46.69,47.32,1999900,46.88
2010-09-14,46.77,46.90,46.59,46.73,2002300,46.29
2010-09-13,47.24,47.24,46.50,46.76,2324600,46.32
2010-09-10,46.81,46.99,46.72,46.90,2348000,46.46
2010-09-09,46.64,46.99,46.38,46.90,2193200,46.46
2010-09-08,46.47,46.58,46.32,46.42,1624600,45.98
2010-09-07,46.39,46.54,46.12,46.37,1854100,45.93
2010-09-03,46.89,46.89,46.10,46.42,2761000,45.98
2010-09-02,46.21,46.71,46.05,46.70,2289000,46.26
2010-09-01,46.67,46.79,45.52,46.27,5493300,45.84
2010-08-31,46.04,46.64,45.99,46.24,4315100,45.81
2010-08-30,46.79,46.94,46.09,46.09,3442100,45.66
2010-08-27,46.45,46.89,46.03,46.85,2134600,46.41
2010-08-26,46.61,46.62,46.10,46.20,1812100,45.77
2010-08-25,46.19,46.56,45.92,46.39,2533400,45.95
2010-08-24,46.26,46.73,46.19,46.38,2382200,45.94
2010-08-23,47.23,47.26,46.87,46.88,2030800,46.44
