Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,33.52,33.74,33.24,33.63,1754000,33.63
2010-11-04,32.39,33.51,32.27,33.40,2813500,33.40
2010-11-03,31.57,31.99,31.29,31.91,2531600,31.91
2010-11-02,31.05,31.60,30.74,31.40,1751500,31.40
2010-11-01,30.92,31.18,30.31,30.61,1646200,30.61
2010-10-29,30.41,30.84,30.32,30.66,2092200,30.66
2010-10-28,31.11,31.19,30.28,30.42,2420900,30.42
2010-10-27,31.07,31.39,30.74,30.94,3099700,30.94
2010-10-26,31.18,31.77,31.01,31.47,1285900,31.47
2010-10-25,31.63,31.91,31.31,31.47,1763300,31.47
2010-10-22,31.43,31.63,31.01,31.32,1573400,31.32
2010-10-21,31.14,31.89,31.10,31.34,3482300,31.34
2010-10-20,30.57,31.06,29.96,30.95,3246300,30.95
2010-10-19,31.66,31.72,29.86,30.30,6315600,30.30
2010-10-18,32.44,32.63,32.16,32.49,3330100,32.49
2010-10-15,32.35,32.65,31.68,32.30,2340500,32.30
2010-10-14,32.32,32.50,31.83,31.98,2204500,31.98
2010-10-13,31.90,32.67,31.75,32.35,3419000,32.35
2010-10-12,31.44,31.93,30.82,31.75,2544400,31.75
2010-10-11,31.73,31.88,31.31,31.62,1581400,31.62
2010-10-08,31.02,31.84,30.97,31.69,2005200,31.69
2010-10-07,31.17,31.18,30.63,31.11,2101600,31.11
2010-10-06,31.35,31.68,30.51,30.99,5262700,30.99
2010-10-05,30.00,32.22,29.94,32.09,7372800,32.09
2010-10-04,28.50,29.49,28.38,29.42,3902200,29.42
2010-10-01,28.71,28.98,28.27,28.57,1598000,28.57
2010-09-30,28.58,29.24,28.14,28.44,1803900,28.44
2010-09-29,28.30,28.56,28.12,28.34,1409700,28.34
2010-09-28,28.20,28.70,27.79,28.63,1410100,28.53
2010-09-27,28.52,28.68,28.05,28.22,1203500,28.12
2010-09-24,27.83,28.54,27.78,28.50,1395500,28.40
2010-09-23,27.41,27.88,27.05,27.32,1366800,27.22
2010-09-22,28.16,28.43,27.55,27.73,1796200,27.63
2010-09-21,28.48,28.66,27.99,28.35,1966300,28.25
2010-09-20,28.29,28.76,28.08,28.50,2319800,28.40
2010-09-17,28.63,28.72,28.04,28.28,2337700,28.18
2010-09-16,28.64,28.70,28.06,28.43,2897000,28.33
