Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,49.00,49.34,48.75,49.28,7749200,49.28
2010-11-04,47.97,49.02,47.85,49.01,8076900,49.01
2010-11-03,47.39,47.60,46.74,47.44,3254400,47.44
2010-11-02,47.07,47.40,46.93,47.24,2913300,47.24
2010-11-01,46.93,47.37,46.56,46.80,4397200,46.80
2010-10-29,46.88,47.21,46.61,47.11,3097000,47.11
2010-10-28,47.47,47.78,46.63,47.10,3259400,47.10
2010-10-27,46.64,47.15,46.26,47.09,4053500,47.09
2010-10-26,47.42,47.46,46.89,47.28,3981700,47.28
2010-10-25,47.75,48.28,47.44,47.53,4924300,47.53
2010-10-22,46.64,47.35,45.35,47.26,7119400,47.26
2010-10-21,46.71,47.26,46.38,46.67,5952700,46.67
2010-10-20,46.34,47.29,46.26,46.41,9258200,46.41
2010-10-19,46.30,46.83,45.72,46.16,7425000,46.16
2010-10-18,46.51,47.02,46.30,47.00,4363400,47.00
2010-10-15,46.56,46.70,45.93,46.49,4764900,46.49
2010-10-14,46.38,46.40,45.73,46.17,3984200,46.17
2010-10-13,45.87,46.68,45.72,46.41,4761000,46.41
2010-10-12,45.40,45.67,44.75,45.55,3597100,45.55
2010-10-11,45.67,45.85,45.41,45.61,3167100,45.61
2010-10-08,45.57,45.89,45.17,45.75,3593900,45.75
2010-10-07,45.86,45.86,45.06,45.48,4303000,45.48
2010-10-06,45.01,45.85,45.00,45.72,5560600,45.72
2010-10-05,44.05,45.23,43.99,45.01,6413500,45.01
2010-10-04,44.15,44.54,43.41,43.61,4014500,43.61
2010-10-01,44.22,44.71,44.02,44.15,4857200,44.15
2010-09-30,44.35,44.89,43.70,43.94,5434600,43.94
2010-09-29,43.90,44.29,43.74,44.04,4126300,44.04
2010-09-28,43.95,44.32,43.20,44.19,4590200,44.19
2010-09-27,44.51,44.51,43.70,43.84,4060400,43.84
2010-09-24,43.70,44.49,43.70,44.46,4054000,44.46
2010-09-23,43.58,43.96,43.09,43.23,4950000,43.23
2010-09-22,44.13,44.32,43.38,43.68,4414000,43.68
2010-09-21,44.35,44.51,43.89,44.31,4875500,44.31
2010-09-20,44.04,44.41,43.68,44.31,4632800,44.31
2010-09-17,43.89,44.08,43.54,43.82,6187900,43.82
2010-09-16,43.34,43.86,43.31,43.73,4372200,43.73
2010-09-15,43.36,43.63,43.15,43.57,4917900,43.57
2010-09-14,43.28,43.79,43.05,43.54,4906700,43.54
2010-09-13,43.31,43.59,43.09,43.30,4206500,43.30
2010-09-10,42.16,42.89,41.93,42.81,4535700,42.81
2010-09-09,42.78,42.92,41.81,41.97,4079400,41.97
2010-09-08,41.90,42.52,41.90,42.19,3819600,42.19
2010-09-07,42.48,42.68,41.84,41.93,4598800,41.93
2010-09-03,42.36,43.25,42.36,42.82,5675300,42.82
2010-09-02,40.96,42.01,40.96,42.01,6618900,42.01
2010-09-01,39.59,41.11,39.45,40.88,6675700,40.88
2010-08-31,38.74,39.29,38.29,39.06,6732200,39.06
2010-08-30,39.42,39.75,38.83,38.86,2934500,38.86
2010-08-27,39.06,39.69,38.39,39.65,4132700,39.65
2010-08-26,39.20,39.36,38.57,38.70,4579100,38.70
2010-08-25,38.94,39.10,38.08,38.82,7663300,38.82
2010-08-24,39.69,39.71,38.72,39.34,6741800,39.34
2010-08-23,40.77,41.05,40.14,40.16,3154400,40.16
2010-08-20,40.36,40.75,40.05,40.64,4478700,40.64
2010-08-19,41.89,41.89,40.46,40.77,6059200,40.77
2010-08-18,42.27,42.39,41.73,42.16,4041700,42.16
2010-08-17,41.88,43.02,41.65,42.39,6045200,42.09
2010-08-16,41.03,41.37,40.51,41.18,2926400,40.89
2010-08-13,41.12,41.51,41.07,41.32,3236300,41.02
2010-08-12,41.15,41.53,41.06,41.29,3437400,40.99
2010-08-11,42.57,42.70,41.56,41.81,5493100,41.51
2010-08-10,43.54,43.69,42.97,43.42,3411100,43.11
2010-08-09,44.07,44.10,43.66,43.89,2105600,43.58
2010-08-06,43.50,44.05,43.05,43.77,3270000,43.46
2010-08-05,43.66,44.17,43.61,44.12,3169500,43.80
2010-08-04,43.37,44.16,43.25,43.98,4774600,43.67
2010-08-03,43.58,43.60,43.02,43.14,5047900,42.83
2010-08-02,43.66,43.92,43.33,43.73,4521300,43.42
2010-07-30,42.53,43.05,41.81,42.86,4437500,42.55
2010-07-29,43.45,43.62,42.24,42.72,7018800,42.41
2010-07-28,43.50,43.50,43.00,43.24,4137700,42.93
2010-07-27,44.24,44.30,43.36,43.43,6354900,43.12
2010-07-26,43.45,44.23,43.36,43.89,5450300,43.58
2010-07-23,43.32,43.87,42.50,43.50,8148700,43.19
2010-07-22,41.64,42.78,41.60,42.66,5808800,42.36
2010-07-21,41.46,41.93,40.86,41.13,4893300,40.84
2010-07-20,39.75,41.27,39.60,41.20,4393600,40.91
2010-07-19,40.43,40.55,40.03,40.35,3974900,40.06
2010-07-16,41.43,41.55,40.08,40.19,5516900,39.90
2010-07-15,41.75,42.06,40.72,41.79,5221700,41.49
2010-07-14,41.65,42.03,41.39,41.69,3525500,41.39
2010-07-13,41.42,42.10,41.31,41.85,4693700,41.55
2010-07-12,41.13,41.37,40.67,40.82,2972500,40.53
2010-07-09,40.84,41.35,40.60,41.27,4998400,40.98
2010-07-08,40.67,40.85,40.16,40.73,3940800,40.44
2010-07-07,38.74,40.19,38.71,40.19,5937800,39.90
2010-07-06,39.14,39.35,38.37,38.71,5493900,38.43
2010-07-02,38.59,39.03,38.18,38.53,5100900,38.25
2010-07-01,38.99,38.99,37.89,38.55,8037600,38.27
2010-06-30,38.59,39.91,38.54,39.03,8210400,38.75
2010-06-29,40.48,40.54,39.07,39.33,7576800,39.05
2010-06-28,41.82,41.87,41.11,41.20,3017900,40.91
2010-06-25,41.12,41.84,40.94,41.60,6270900,41.30
2010-06-24,41.61,41.78,40.90,41.00,5183200,40.71
2010-06-23,42.17,42.33,41.50,41.84,5034700,41.54
2010-06-22,43.11,43.28,42.12,42.20,4753800,41.90
2010-06-21,43.42,43.77,42.65,42.93,5312300,42.62
2010-06-18,42.77,42.96,42.50,42.92,8643900,42.61
2010-06-17,42.87,42.91,42.06,42.65,6514400,42.35
2010-06-16,42.58,43.00,42.51,42.75,5222400,42.44
2010-06-15,41.96,43.05,41.80,43.04,5398100,42.73
2010-06-14,41.35,42.19,41.35,41.53,6074000,41.23
2010-06-11,40.75,41.38,40.47,41.32,6640000,41.02
2010-06-10,40.79,41.47,40.63,41.26,7263800,40.97
2010-06-09,40.62,41.43,39.94,40.01,10294600,39.72
2010-06-08,39.97,40.50,39.31,40.43,8081400,40.14
2010-06-07,41.13,41.20,39.98,40.00,5268600,39.71
2010-06-04,42.05,42.40,40.88,41.07,5562300,40.78
2010-06-03,43.00,43.43,42.85,43.26,3465100,42.95
2010-06-02,42.21,42.96,41.95,42.93,5046300,42.62
2010-06-01,42.24,46.56,41.83,41.90,5104100,41.60
2010-05-28,43.36,43.53,42.41,42.77,4553500,42.46
2010-05-27,43.16,43.50,42.65,43.42,5764200,43.11
2010-05-26,42.15,42.99,41.94,42.11,8521000,41.81
2010-05-25,40.58,41.83,40.10,41.79,7730100,41.49
2010-05-24,42.15,42.67,41.74,41.84,6423000,41.54
2010-05-21,40.90,42.55,40.77,42.07,11108300,41.77
2010-05-20,42.48,42.89,41.50,41.79,9465700,41.49
2010-05-19,44.27,44.58,43.30,43.86,7494600,43.55
2010-05-18,45.50,46.10,44.53,44.72,7437000,44.40
2010-05-17,45.52,45.81,44.64,45.44,6854000,44.81
2010-05-14,45.79,45.90,44.73,45.48,8538500,44.85
2010-05-13,46.83,46.94,46.13,46.19,2818300,45.55
2010-05-12,46.17,47.00,46.06,46.87,4099300,46.22
2010-05-11,45.64,46.61,45.57,45.85,4553500,45.22
2010-05-10,45.69,46.41,45.35,46.07,6251300,45.44
2010-05-07,43.69,44.62,42.86,43.52,8669000,42.92
2010-05-06,45.50,46.22,39.98,44.30,9832100,43.69
2010-05-05,46.02,46.31,45.40,45.88,5806500,45.25
2010-05-04,47.86,47.96,46.48,46.86,7282500,46.21
2010-05-03,47.81,48.53,47.75,48.51,4067200,47.84
2010-04-30,48.48,48.63,47.47,47.47,5467900,46.82
2010-04-29,47.48,48.55,47.34,48.52,5709000,47.85
2010-04-28,47.26,47.38,46.51,47.05,4939800,46.40
2010-04-27,48.23,48.23,46.83,46.94,7076800,46.29
2010-04-26,47.82,48.43,47.78,48.27,5713300,47.61
2010-04-23,47.72,47.78,46.70,47.72,7684200,47.06
2010-04-22,46.32,47.46,45.87,47.44,7161500,46.79
2010-04-21,46.49,46.73,46.14,46.69,4515500,46.05
2010-04-20,46.06,46.43,45.72,46.38,4647300,45.74
2010-04-19,45.45,45.86,45.18,45.75,4870000,45.12
2010-04-16,46.44,46.51,45.32,45.82,7862200,45.19
2010-04-15,46.30,46.53,46.10,46.47,3341700,45.83
2010-04-14,45.80,46.37,45.77,46.33,4576400,45.69
2010-04-13,45.97,46.07,45.52,45.66,3729000,45.03
2010-04-12,45.86,46.17,45.79,45.99,3235700,45.36
2010-04-09,45.67,45.98,45.37,45.77,3769400,45.14
2010-04-08,45.21,45.61,45.01,45.49,4207300,44.86
2010-04-07,45.50,45.76,45.08,45.25,4993700,44.63
2010-04-06,45.45,45.75,45.35,45.46,3965400,44.83
2010-04-05,45.28,45.64,45.08,45.45,4204300,44.82
2010-04-01,45.51,45.85,44.72,45.03,6706200,44.41
2010-03-31,45.63,45.78,45.10,45.27,8919800,44.65
2010-03-30,45.01,45.28,44.55,44.95,4879700,44.33
2010-03-29,44.91,45.13,44.75,44.87,4319800,44.25
2010-03-26,44.43,44.99,44.35,44.60,4455600,43.99
2010-03-25,44.75,45.28,44.30,44.34,6025900,43.73
2010-03-24,44.23,45.05,44.05,44.48,7840800,43.87
2010-03-23,43.67,44.33,43.59,44.19,5539100,43.58
2010-03-22,43.54,43.99,43.41,43.56,4772500,42.96
2010-03-19,43.99,44.29,43.60,43.82,9692500,43.22
2010-03-18,42.92,43.53,42.79,43.43,4961900,42.83
2010-03-17,43.22,43.37,42.64,42.91,5121700,42.32
2010-03-16,43.14,43.18,42.65,43.03,6392900,42.44
2010-03-15,42.91,43.03,42.60,42.97,4904300,42.38
2010-03-12,42.80,43.13,42.46,42.93,5554600,42.34
2010-03-11,42.23,42.62,41.96,42.62,3528700,42.03
2010-03-10,42.17,42.50,42.10,42.34,4797300,41.76
2010-03-09,41.48,42.50,41.41,42.27,5541200,41.69
2010-03-08,41.90,41.99,41.45,41.49,3514800,40.92
2010-03-05,41.34,41.92,41.23,41.91,5500800,41.33
2010-03-04,40.97,41.22,40.75,41.18,3699300,40.61
2010-03-03,40.70,41.18,40.70,40.92,5546000,40.36
2010-03-02,40.71,40.99,40.53,40.68,4049400,40.12
2010-03-01,40.25,40.84,40.25,40.57,4546300,40.01
2010-02-26,40.18,40.43,39.91,40.16,4462200,39.61
2010-02-25,40.00,40.23,39.49,40.19,5644400,39.64
2010-02-24,40.11,40.85,40.05,40.58,4822700,40.02
2010-02-23,40.15,40.47,39.79,39.93,5202200,39.38
2010-02-22,40.42,40.50,40.00,40.15,4068500,39.60
2010-02-19,39.78,40.47,39.54,40.22,5813100,39.67
2010-02-18,39.07,39.95,38.98,39.85,5311500,39.30
2010-02-17,38.91,39.22,38.74,39.09,4718100,38.55
2010-02-16,38.13,38.97,38.08,38.92,5972000,38.09
2010-02-12,37.80,38.00,37.33,37.86,5702500,37.05
2010-02-11,37.61,38.35,37.29,38.23,4424400,37.41
2010-02-10,37.72,38.00,37.37,37.72,3998000,36.91
2010-02-09,37.37,38.24,37.25,37.82,6870900,37.01
2010-02-08,37.54,37.54,36.80,36.87,6238100,36.08
2010-02-05,37.73,37.91,36.68,37.47,8519700,36.67
2010-02-04,39.16,39.16,37.68,37.73,9669100,36.92
2010-02-03,39.36,39.54,38.93,39.21,4363000,38.37
2010-02-02,39.43,39.60,39.06,39.52,7046600,38.67
2010-02-01,38.92,39.42,38.86,39.37,5139600,38.53
2010-01-29,38.50,39.17,37.58,38.64,15224200,37.81
2010-01-28,40.53,40.59,39.26,39.82,5903600,38.97
2010-01-27,40.15,40.38,39.44,40.26,5900500,39.40
2010-01-26,40.05,40.46,39.71,39.97,2775700,39.11
2010-01-25,40.29,40.67,40.08,40.22,3079400,39.36
2010-01-22,40.57,41.08,39.85,39.88,6923700,39.02
2010-01-21,42.36,42.51,40.68,40.73,7419700,39.86
2010-01-20,42.57,42.67,41.90,42.36,4616900,41.45
2010-01-19,42.72,43.21,42.48,42.85,5220400,41.93
2010-01-15,42.54,42.81,42.21,42.63,5729300,41.72
2010-01-14,42.24,42.73,42.12,42.57,3430600,41.66
2010-01-13,42.16,42.50,41.84,42.32,4097900,41.41
2010-01-12,42.39,42.51,41.86,42.17,4509500,41.27
2010-01-11,42.31,43.13,42.30,42.65,5116400,41.74
2010-01-08,40.92,42.20,40.79,42.12,6824700,41.22
2010-01-07,40.44,41.36,40.08,41.21,9787800,40.33
2010-01-06,40.44,40.54,40.23,40.43,5919800,39.56
2010-01-05,40.16,40.46,40.09,40.43,6479200,39.56
2010-01-04,39.61,40.38,39.48,40.35,7389200,39.48
2009-12-31,39.71,39.90,39.15,39.20,2787300,38.36
2009-12-30,39.64,39.83,39.51,39.81,2449600,38.96
2009-12-29,39.88,40.03,39.81,39.88,2535300,39.02
2009-12-28,39.94,39.98,39.68,39.81,2251700,38.96
2009-12-24,40.04,40.04,39.81,39.88,947400,39.02
2009-12-23,39.86,39.98,39.39,39.93,3297300,39.07
2009-12-22,39.72,39.89,39.51,39.60,3933100,38.75
2009-12-21,39.47,39.86,39.35,39.57,4759900,38.72
2009-12-18,39.59,39.81,39.00,39.15,9973600,38.31
2009-12-17,39.84,40.17,39.52,39.54,7541800,38.69
2009-12-16,41.01,41.50,40.36,40.37,9270400,39.50
2009-12-15,40.88,41.38,40.50,41.25,6118700,40.37
2009-12-14,41.06,41.55,41.02,41.31,5292300,40.42
2009-12-11,40.59,41.06,40.51,40.87,4556300,39.99
2009-12-10,40.62,40.92,40.27,40.31,4565700,39.45
2009-12-09,40.34,40.52,39.85,40.26,5493800,39.40
2009-12-08,40.72,40.72,40.00,40.24,4303600,39.38
2009-12-07,40.22,40.96,40.16,40.81,6132400,39.93
2009-12-04,40.10,40.63,39.66,40.14,5767600,39.28
2009-12-03,39.80,40.10,39.54,39.60,5354900,38.75
2009-12-02,39.39,39.93,39.36,39.77,6422700,38.92
2009-12-01,38.75,39.51,38.75,39.37,4420300,38.53
2009-11-30,38.36,38.63,38.08,38.47,4249600,37.64
2009-11-27,38.15,38.86,37.78,38.48,2484300,37.65
2009-11-25,38.77,39.12,38.50,39.11,3074600,38.27
2009-11-24,38.71,38.84,38.16,38.77,3532900,37.94
2009-11-23,38.37,38.72,38.30,38.68,3989800,37.85
2009-11-20,38.01,38.34,37.72,38.04,5773400,37.22
2009-11-19,38.85,38.88,37.95,38.25,6719500,37.43
