Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,45.87,46.00,45.77,45.94,371200,45.94
2010-11-04,46.00,46.00,45.67,45.87,403700,45.87
2010-11-03,45.81,45.94,45.43,45.81,250600,45.81
2010-11-02,45.93,46.15,45.03,45.74,618600,45.74
2010-11-01,46.06,46.98,45.50,45.68,565300,45.68
2010-10-29,45.16,45.93,45.16,45.92,442300,45.92
2010-10-28,45.10,45.38,44.99,45.17,240300,45.17
2010-10-27,44.85,45.05,44.60,44.99,302800,44.99
2010-10-26,45.06,45.17,44.95,45.10,382800,45.10
2010-10-25,45.20,45.47,45.02,45.08,355200,45.08
2010-10-22,44.79,45.06,44.78,45.05,388900,45.05
2010-10-21,44.78,45.01,44.69,44.75,311000,44.75
2010-10-20,44.61,44.85,44.48,44.66,377000,44.66
2010-10-19,44.68,44.68,44.41,44.64,579500,44.43
2010-10-18,44.92,45.05,44.82,44.87,409900,44.66
2010-10-15,45.23,45.35,44.61,44.94,697800,44.73
2010-10-14,44.79,45.10,44.79,45.08,577300,44.87
2010-10-13,44.41,44.87,44.33,44.79,888400,44.58
2010-10-12,44.86,44.86,44.24,44.29,1631400,44.08
2010-10-11,45.18,45.24,44.75,44.87,461400,44.66
2010-10-08,45.28,45.62,45.13,45.32,1210200,45.11
2010-10-07,45.50,45.55,45.17,45.18,1106100,44.97
2010-10-06,45.28,45.47,45.16,45.46,397900,45.25
2010-10-05,44.79,45.46,44.70,45.26,561100,45.05
2010-10-04,44.62,44.76,44.32,44.61,446200,44.40
2010-10-01,44.66,44.85,44.25,44.66,347100,44.45
2010-09-30,44.63,44.91,44.16,44.60,549300,44.39
2010-09-29,44.44,44.63,44.26,44.44,455500,44.23
2010-09-28,44.71,44.76,44.12,44.74,529000,44.53
2010-09-27,44.74,44.84,44.44,44.60,332100,44.39
2010-09-24,44.54,45.00,44.46,44.83,348500,44.62
2010-09-23,44.32,44.54,44.09,44.35,345000,44.14
2010-09-22,44.40,44.75,44.40,44.45,466800,44.24
2010-09-21,44.39,44.57,44.05,44.50,745800,44.29
2010-09-20,44.18,44.45,44.16,44.39,392000,44.18
2010-09-17,44.44,44.62,43.99,44.16,536800,43.95
2010-09-16,44.54,44.69,44.17,44.28,460500,44.07
2010-09-15,44.31,44.56,44.05,44.54,573700,44.33
2010-09-14,44.39,44.65,44.26,44.53,515700,44.32
2010-09-13,44.80,44.80,44.35,44.44,291500,44.23
2010-09-10,44.22,44.55,44.09,44.55,332000,44.34
2010-09-09,44.39,44.39,43.98,44.14,302400,43.93
2010-09-08,44.04,44.16,43.86,44.06,344300,43.85
2010-09-07,44.04,44.41,43.82,43.82,420100,43.61
2010-09-03,44.08,44.33,43.83,44.33,379600,44.12
2010-09-02,43.71,43.99,43.41,43.99,501000,43.78
2010-09-01,43.38,43.77,43.36,43.60,653800,43.39
2010-08-31,42.70,43.19,42.55,43.15,890800,42.95
2010-08-30,43.15,43.22,42.70,42.70,437000,42.50
2010-08-27,43.22,43.33,42.83,43.12,525300,42.92
2010-08-26,42.79,43.27,42.79,43.05,590500,42.85
2010-08-25,43.12,43.17,42.53,42.79,892100,42.59
2010-08-24,43.50,43.60,43.18,43.36,931300,43.16
2010-08-23,43.75,43.91,43.67,43.70,642000,43.49
2010-08-20,43.81,44.00,43.28,43.48,752500,43.28
2010-08-19,43.61,43.67,43.06,43.37,710200,43.17
2010-08-18,43.48,43.79,43.30,43.61,616400,43.40
2010-08-17,43.24,43.72,43.00,43.44,644100,43.24
2010-08-16,42.78,42.94,42.51,42.93,794400,42.73
2010-08-13,42.54,43.19,42.54,42.90,480300,42.70
2010-08-12,42.21,42.74,42.21,42.69,561300,42.49
2010-08-11,43.00,43.15,42.43,42.76,572200,42.56
2010-08-10,43.07,43.96,42.96,43.58,539300,43.37
2010-08-09,42.94,43.27,42.77,43.18,330700,42.98
2010-08-06,42.83,43.09,42.62,42.86,504900,42.66
2010-08-05,43.14,43.14,42.66,42.99,326400,42.79
2010-08-04,43.09,43.32,43.03,43.27,602200,43.07
2010-08-03,43.02,43.22,42.93,43.05,305700,42.85
2010-08-02,43.19,43.42,43.04,43.22,438400,43.02
2010-07-30,42.38,43.04,42.28,42.92,523000,42.72
2010-07-29,43.27,43.36,42.55,42.72,402600,42.52
2010-07-28,43.91,43.91,43.12,43.18,476500,42.98
2010-07-27,44.26,44.26,43.83,43.89,688200,43.68
2010-07-26,42.64,43.99,42.64,43.95,1019900,43.74
2010-07-23,42.40,42.79,42.36,42.76,572400,42.56
2010-07-22,42.32,42.60,42.14,42.38,468300,42.18
2010-07-21,41.98,42.47,41.84,41.97,616200,41.77
2010-07-20,41.89,42.77,41.85,42.77,571200,42.36
2010-07-19,42.12,42.36,42.07,42.17,457400,41.77
2010-07-16,42.66,42.73,42.03,42.09,539700,41.69
2010-07-15,42.69,42.87,42.36,42.80,341500,42.39
2010-07-14,42.71,42.85,42.43,42.77,435900,42.36
2010-07-13,42.25,42.77,42.14,42.71,608000,42.30
2010-07-12,42.07,42.20,41.92,42.02,424900,41.62
2010-07-09,42.00,42.27,41.90,42.19,474200,41.79
2010-07-08,42.00,42.06,41.76,42.02,474700,41.62
2010-07-07,41.40,41.84,41.26,41.84,613500,41.44
2010-07-06,41.27,41.68,41.14,41.50,606100,41.10
2010-07-02,41.08,41.39,40.84,41.14,623700,40.75
2010-07-01,40.50,41.09,40.14,41.06,844200,40.67
2010-06-30,41.27,41.27,40.35,40.48,958300,40.09
2010-06-29,41.71,41.82,41.10,41.25,699700,40.85
2010-06-28,41.47,41.99,41.33,41.92,341600,41.52
2010-06-25,41.96,41.96,41.34,41.56,718200,41.16
2010-06-24,41.45,42.34,41.45,42.01,568900,41.61
2010-06-23,41.44,42.32,41.44,42.19,708900,41.79
2010-06-22,41.86,42.23,41.57,41.60,305600,41.20
2010-06-21,42.47,42.48,41.75,41.89,294900,41.49
2010-06-18,42.79,42.79,42.09,42.15,503600,41.75
2010-06-17,41.80,42.67,41.78,42.62,562200,42.21
2010-06-16,42.04,42.04,41.49,41.80,465900,41.40
2010-06-15,41.90,42.18,41.62,42.18,484800,41.78
2010-06-14,41.71,41.84,41.41,41.80,553400,41.40
2010-06-11,41.29,41.51,41.12,41.50,433800,41.10
2010-06-10,41.27,41.69,41.21,41.60,437100,41.20
2010-06-09,40.91,41.12,40.60,40.86,567300,40.47
2010-06-08,40.35,40.90,40.28,40.85,791000,40.46
2010-06-07,40.50,40.86,40.19,40.37,657200,39.98
2010-06-04,40.77,40.94,40.37,40.50,844900,40.11
2010-06-03,40.98,41.23,40.79,41.21,619100,40.81
2010-06-02,40.01,40.79,39.93,40.76,749000,40.37
2010-06-01,39.58,40.49,39.37,40.06,731500,39.68
2010-05-28,39.99,40.15,39.67,39.80,785700,39.42
2010-05-27,40.08,40.08,39.62,39.91,948100,39.53
2010-05-26,39.94,40.20,39.66,39.66,971600,39.28
2010-05-25,39.37,39.53,38.92,39.53,832100,39.15
2010-05-24,39.88,40.32,39.56,39.94,608900,39.56
2010-05-21,39.70,40.07,39.35,39.95,1082300,39.57
2010-05-20,40.36,40.71,39.86,40.21,1182600,39.82
2010-05-19,40.45,41.36,40.41,40.68,1535400,40.29
2010-05-18,41.66,42.18,41.66,41.78,833100,41.38
2010-05-17,40.98,41.55,40.98,41.51,621200,41.11
2010-05-14,41.19,41.28,40.75,40.98,472800,40.59
2010-05-13,41.27,41.55,41.17,41.23,479500,40.83
2010-05-12,41.05,41.30,40.89,41.27,636100,40.87
2010-05-11,41.04,41.47,40.81,41.04,571100,40.65
2010-05-10,41.06,41.43,40.82,41.20,641400,40.80
2010-05-07,40.30,40.71,40.07,40.22,981700,39.83
2010-05-06,40.80,40.99,39.56,40.23,1286800,39.84
2010-05-05,40.25,40.97,40.20,40.78,761000,40.39
2010-05-04,40.72,40.77,40.08,40.31,750000,39.92
2010-05-03,40.92,40.98,40.49,40.92,794300,40.53
2010-04-30,40.55,41.35,40.51,40.76,1048500,40.37
2010-04-29,39.75,40.67,39.75,40.61,1003100,40.22
2010-04-28,39.26,39.69,39.15,39.65,778800,39.27
2010-04-27,39.04,39.45,38.98,39.21,1019100,38.83
2010-04-26,39.98,40.01,38.76,39.05,1479300,38.68
2010-04-23,40.14,40.29,39.77,40.02,751200,39.64
2010-04-22,40.53,40.67,39.58,40.19,1254200,39.80
2010-04-21,41.74,41.86,41.38,41.54,891500,41.14
2010-04-20,41.77,42.05,41.68,41.74,764300,41.34
2010-04-19,41.78,41.88,41.61,41.82,533800,41.42
2010-04-16,42.04,42.19,41.74,41.83,833900,41.43
2010-04-15,41.98,42.17,41.70,42.06,330500,41.66
2010-04-14,41.78,41.98,41.54,41.96,356500,41.56
2010-04-13,41.73,41.95,41.46,41.94,398800,41.33
2010-04-12,41.84,41.87,41.72,41.78,451000,41.17
2010-04-09,41.52,41.76,41.45,41.76,293300,41.15
2010-04-08,41.75,41.75,41.45,41.56,377000,40.96
2010-04-07,41.80,41.97,41.57,41.76,374500,41.15
2010-04-06,41.85,41.88,41.66,41.79,438300,41.18
2010-04-05,42.30,42.37,41.73,41.93,378900,41.32
2010-04-01,42.09,42.39,41.95,42.17,262900,41.56
2010-03-31,42.17,42.40,41.93,42.01,344700,41.40
2010-03-30,42.52,42.52,41.98,42.20,496500,41.59
2010-03-29,42.00,42.50,41.95,42.44,528400,41.82
2010-03-26,41.81,41.96,41.68,41.95,641400,41.34
2010-03-25,41.99,41.99,41.43,41.66,516900,41.05
2010-03-24,41.82,41.92,41.68,41.86,427200,41.25
2010-03-23,41.81,41.83,41.37,41.83,342700,41.22
2010-03-22,41.06,41.62,41.06,41.61,374600,41.00
2010-03-19,41.61,41.75,41.11,41.40,597200,40.80
2010-03-18,41.55,41.79,41.45,41.56,445700,40.96
2010-03-17,41.44,41.57,41.19,41.57,429400,40.97
2010-03-16,41.46,41.46,41.23,41.39,341500,40.79
2010-03-15,41.26,41.51,41.17,41.32,396400,40.72
2010-03-12,41.56,41.60,41.07,41.27,616600,40.67
2010-03-11,41.57,41.57,41.10,41.56,374200,40.96
2010-03-10,41.82,41.82,41.38,41.63,507900,41.02
2010-03-09,41.70,41.82,41.52,41.68,606200,41.07
2010-03-08,41.71,41.94,41.51,41.68,582100,41.07
2010-03-05,42.00,42.01,41.69,41.84,621200,41.23
2010-03-04,41.52,41.86,41.45,41.80,483800,41.19
2010-03-03,41.18,41.74,40.77,41.39,633800,40.79
2010-03-02,41.56,41.92,41.33,41.83,724700,41.22
2010-03-01,41.30,41.58,41.16,41.33,399900,40.73
2010-02-26,41.33,41.44,40.95,41.11,531100,40.51
2010-02-25,41.04,41.29,40.85,41.18,688800,40.58
2010-02-24,41.20,41.62,41.18,41.43,687000,40.83
2010-02-23,41.60,41.83,41.14,41.19,764600,40.59
2010-02-22,41.76,41.88,41.39,41.61,677900,41.00
2010-02-19,41.66,41.98,40.83,41.54,1456600,40.94
2010-02-18,42.65,42.68,41.85,42.27,1883900,41.65
2010-02-17,40.25,40.73,40.25,40.59,733300,40.00
2010-02-16,39.77,40.30,39.59,40.26,707800,39.67
2010-02-12,39.49,39.74,39.29,39.66,530300,39.08
2010-02-11,39.51,39.80,39.09,39.80,319000,39.22
2010-02-10,39.44,39.71,39.11,39.62,479000,39.04
2010-02-09,39.02,39.46,38.88,39.24,353500,38.67
2010-02-08,39.10,39.15,38.84,38.86,432500,38.29
2010-02-05,38.90,39.06,38.60,39.00,524700,38.43
2010-02-04,39.24,39.36,38.78,38.82,463000,38.26
2010-02-03,39.45,39.60,39.25,39.44,379600,38.87
2010-02-02,39.07,39.66,39.06,39.64,504300,39.06
2010-02-01,38.86,39.18,38.63,39.12,624700,38.55
2010-01-29,38.83,38.98,38.54,38.70,499200,38.14
2010-01-28,38.82,38.88,38.40,38.67,446800,38.11
2010-01-27,38.79,38.99,38.59,38.92,395400,38.35
2010-01-26,38.60,38.75,38.25,38.65,291200,38.09
2010-01-25,38.76,38.99,38.42,38.60,471100,38.04
2010-01-22,38.58,38.93,38.50,38.62,485200,38.06
2010-01-21,38.61,38.99,38.25,38.57,656400,38.01
2010-01-20,38.38,38.51,38.07,38.50,292300,37.94
2010-01-19,38.62,38.96,38.46,38.87,436300,38.10
2010-01-15,38.75,38.79,38.40,38.56,313200,37.79
2010-01-14,38.67,38.78,38.35,38.76,357500,37.99
2010-01-13,38.66,38.99,38.58,38.75,321400,37.98
2010-01-12,38.13,38.63,38.00,38.54,315700,37.77
2010-01-11,38.06,38.31,38.00,38.16,326200,37.40
2010-01-08,37.90,38.22,37.79,38.09,324700,37.33
2010-01-07,38.35,38.35,37.77,38.06,556800,37.30
2010-01-06,38.60,38.77,38.15,38.27,645800,37.51
2010-01-05,38.31,38.49,38.02,38.48,463600,37.72
2010-01-04,38.52,38.57,38.10,38.28,676300,37.52
2009-12-31,38.71,38.90,38.45,38.45,231500,37.69
2009-12-30,38.74,38.93,38.61,38.74,257000,37.97
2009-12-29,38.85,38.94,38.73,38.83,330500,38.06
2009-12-28,38.90,38.90,38.72,38.85,330700,38.08
2009-12-24,38.16,38.91,38.10,38.77,272800,38.00
2009-12-23,38.03,38.28,38.00,38.05,490900,37.29
2009-12-22,37.75,38.11,37.75,38.06,525900,37.30
2009-12-21,37.63,38.14,37.63,37.78,357600,37.03
2009-12-18,37.77,37.77,37.40,37.72,610800,36.97
2009-12-17,37.97,37.97,37.51,37.58,405200,36.83
2009-12-16,38.12,38.37,37.85,37.90,454100,37.15
2009-12-15,38.19,38.21,37.87,37.98,580900,37.23
2009-12-14,38.47,38.77,38.16,38.31,521000,37.55
2009-12-11,38.52,38.96,38.46,38.59,392800,37.82
2009-12-10,38.59,38.86,38.45,38.51,431600,37.74
2009-12-09,38.59,38.59,38.10,38.39,593100,37.63
2009-12-08,38.98,39.11,38.36,38.52,940500,37.75
2009-12-07,38.43,39.18,38.35,38.98,1292600,38.21
2009-12-04,38.18,38.46,37.95,38.41,543500,37.65
2009-12-03,38.22,38.42,38.04,38.09,517700,37.33
2009-12-02,38.18,38.47,38.06,38.23,752600,37.47
2009-12-01,37.57,38.40,37.46,38.25,1072400,37.49
2009-11-30,37.50,37.71,37.30,37.52,761400,36.77
2009-11-27,37.62,37.90,37.08,37.56,566600,36.81
2009-11-25,38.28,38.44,37.99,38.09,833200,37.33
2009-11-24,39.79,40.46,38.02,38.25,1184000,37.49
2009-11-23,38.56,38.95,38.52,38.89,594300,38.12
2009-11-20,38.27,38.72,38.26,38.29,805500,37.53
2009-11-19,38.49,38.49,37.83,38.37,323100,37.61
2009-11-18,38.65,38.65,38.25,38.51,281400,37.74
2009-11-17,38.43,38.66,38.31,38.60,222600,37.83
2009-11-16,38.43,38.62,38.31,38.56,336300,37.79
2009-11-13,38.22,38.40,38.04,38.36,340100,37.60
2009-11-12,38.10,38.47,38.04,38.16,357700,37.40
2009-11-11,38.43,38.43,38.03,38.09,440300,37.33
2009-11-10,37.93,38.40,37.93,38.37,476000,37.61
2009-11-09,37.69,38.05,37.63,38.03,315400,37.27
2009-11-06,37.38,37.59,37.26,37.55,516300,36.80
2009-11-05,37.10,37.59,37.04,37.34,492800,36.60
2009-11-04,37.19,37.37,36.86,37.05,456000,36.31
2009-11-03,36.90,37.28,36.76,37.16,539700,36.42
2009-11-02,36.57,36.92,36.33,36.86,619200,36.13
2009-10-30,36.91,37.51,36.43,36.46,870300,35.74
2009-10-29,36.54,37.09,36.02,37.06,520800,36.32
2009-10-28,36.70,36.95,36.32,36.33,670100,35.61
2009-10-27,36.41,36.92,36.38,36.71,481100,35.98
2009-10-26,36.37,36.74,36.17,36.29,491000,35.57
2009-10-23,36.39,36.55,36.25,36.31,506500,35.59
2009-10-22,36.17,36.41,35.89,36.31,387100,35.59
2009-10-21,36.56,37.28,36.19,36.23,415100,35.51
2009-10-20,36.56,36.68,36.35,36.61,648000,35.70
2009-10-19,36.15,36.79,36.13,36.52,846900,35.61
2009-10-16,35.48,36.31,35.48,36.06,618900,35.16
2009-10-15,35.01,35.77,35.01,35.75,598500,34.86
