Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,46.84,47.42,46.43,47.33,789800,47.33
2010-11-04,46.58,47.12,46.34,46.88,722000,46.88
2010-11-03,46.13,46.16,45.46,46.09,627200,46.09
2010-11-02,45.83,46.00,45.52,45.97,743300,45.97
2010-11-01,45.24,45.84,45.09,45.37,752200,45.37
2010-10-29,45.40,45.50,45.04,45.19,921900,45.19
2010-10-28,45.23,45.66,45.05,45.53,1185700,45.53
2010-10-27,45.61,45.61,44.74,44.88,1118800,44.88
2010-10-26,45.49,46.30,45.49,45.83,1880700,45.83
2010-10-25,44.22,45.04,43.92,44.83,955300,44.83
2010-10-22,43.85,43.95,43.40,43.80,709800,43.80
2010-10-21,43.83,44.26,43.51,43.76,763700,43.76
2010-10-20,43.44,43.96,43.44,43.51,1012200,43.51
2010-10-19,43.45,43.88,43.02,43.33,1178500,43.33
2010-10-18,44.57,44.58,44.03,44.11,825500,44.11
2010-10-15,44.23,44.55,43.96,44.47,999900,44.47
2010-10-14,44.31,44.31,43.69,43.97,696300,43.97
2010-10-13,44.08,44.47,43.89,44.26,773200,44.26
2010-10-12,43.45,43.92,43.21,43.77,573200,43.77
2010-10-11,43.72,43.80,43.32,43.52,897000,43.52
2010-10-08,44.03,44.14,43.45,43.73,1012000,43.73
2010-10-07,44.55,44.73,43.74,43.94,942600,43.94
2010-10-06,44.59,45.04,43.89,44.18,1317700,44.18
2010-10-05,44.36,44.92,43.92,44.81,1066800,44.81
2010-10-04,44.53,44.53,43.43,43.81,973800,43.81
2010-10-01,44.78,44.87,44.19,44.70,1182000,44.70
2010-09-30,45.18,45.50,44.05,44.29,1235300,44.29
2010-09-29,45.00,45.23,44.55,44.78,1026900,44.78
2010-09-28,44.83,45.27,44.20,45.13,1699600,45.13
2010-09-27,45.43,45.43,44.51,44.53,827100,44.53
2010-09-24,45.13,45.44,45.03,45.37,738200,45.37
2010-09-23,44.49,44.95,44.20,44.59,649200,44.59
2010-09-22,45.08,45.73,44.73,44.73,949200,44.73
2010-09-21,45.62,45.67,44.95,45.24,657500,45.24
2010-09-20,44.92,45.69,44.72,45.62,554200,45.62
2010-09-17,44.97,45.08,44.46,44.74,880800,44.74
2010-09-16,44.39,44.81,44.02,44.75,712900,44.75
2010-09-15,43.77,44.61,43.62,44.57,935900,44.57
2010-09-14,43.57,44.22,43.21,44.00,693000,44.00
2010-09-13,43.25,43.80,43.25,43.61,526900,43.61
2010-09-10,42.95,43.00,42.38,42.92,677500,42.92
2010-09-09,43.49,43.49,42.67,42.92,643000,42.92
2010-09-08,43.11,43.33,42.87,43.00,785500,43.00
2010-09-07,43.56,43.65,42.90,42.96,693700,42.96
2010-09-03,43.84,43.95,43.23,43.83,674700,43.83
2010-09-02,43.19,43.60,43.11,43.45,776500,43.20
2010-09-01,42.92,43.68,42.68,43.17,826000,42.92
2010-08-31,42.48,42.71,41.88,42.07,1355900,41.83
2010-08-30,42.64,43.29,42.60,42.61,920400,42.36
2010-08-27,42.44,43.02,41.75,42.87,986800,42.62
2010-08-26,42.49,43.15,42.05,42.13,1250300,41.89
2010-08-25,41.69,42.62,41.13,42.35,1221500,42.11
2010-08-24,42.36,42.64,41.69,42.10,919900,41.86
2010-08-23,42.95,43.52,42.95,42.96,1167400,42.71
2010-08-20,42.42,43.04,42.00,42.76,1430500,42.51
2010-08-19,43.51,43.73,42.67,42.77,1393700,42.52
2010-08-18,44.23,44.32,43.65,43.80,1344000,43.55
2010-08-17,44.27,44.84,44.13,44.31,1235300,44.06
2010-08-16,43.61,44.17,43.25,43.93,1115500,43.68
2010-08-13,43.58,44.22,43.51,43.82,836900,43.57
2010-08-12,44.05,44.24,43.61,43.83,998900,43.58
2010-08-11,45.31,45.31,44.39,44.60,1103900,44.34
2010-08-10,46.13,46.59,45.50,46.29,1396300,46.02
2010-08-09,47.09,47.09,46.28,46.54,1040600,46.27
2010-08-06,45.36,48.95,45.16,46.88,2467600,46.61
2010-08-05,45.17,45.30,44.77,45.17,761500,44.91
2010-08-04,45.81,45.82,44.68,45.46,1480400,45.20
2010-08-03,45.11,46.01,44.74,45.82,1280300,45.56
2010-08-02,45.39,45.75,45.11,45.60,769600,45.34
2010-07-30,44.37,45.01,44.23,44.53,1366300,44.27
2010-07-29,45.93,46.11,44.76,45.21,775200,44.95
2010-07-28,45.71,46.04,45.53,45.68,657700,45.42
2010-07-27,46.57,46.59,45.62,45.89,651800,45.63
2010-07-26,45.81,46.25,45.55,46.25,595900,45.98
2010-07-23,45.76,46.07,45.09,45.80,1047400,45.54
2010-07-22,44.87,46.09,44.87,45.92,1321900,45.66
2010-07-21,44.64,44.89,43.97,44.11,1669100,43.86
2010-07-20,43.03,44.37,42.76,44.37,1137600,44.11
2010-07-19,44.11,44.11,43.18,43.60,890900,43.35
2010-07-16,44.43,44.43,43.14,43.34,1015200,43.09
2010-07-15,44.70,44.83,43.97,44.74,1090300,44.48
2010-07-14,44.13,44.84,43.78,44.73,1350100,44.47
2010-07-13,43.59,44.23,43.31,44.04,1165800,43.79
2010-07-12,42.67,43.10,42.57,42.92,523000,42.67
2010-07-09,42.84,43.14,42.51,42.90,562400,42.65
2010-07-08,42.86,43.09,42.41,43.06,821500,42.81
2010-07-07,41.67,42.60,41.48,42.56,1304900,42.32
2010-07-06,41.75,42.61,41.15,41.55,1333700,41.31
2010-07-02,41.25,41.55,40.83,41.18,1253500,40.94
2010-07-01,41.55,41.69,40.24,41.09,1455300,40.85
2010-06-30,42.89,43.00,41.46,41.65,2199700,41.41
2010-06-29,44.21,44.21,42.73,42.90,2363000,42.65
2010-06-28,44.97,45.32,44.28,45.02,1576100,44.76
2010-06-25,46.00,46.00,44.66,44.78,2355600,44.52
2010-06-24,46.83,46.97,45.69,45.79,1422300,45.53
2010-06-23,47.22,47.77,46.65,47.14,1088200,46.87
2010-06-22,48.05,48.56,47.05,47.13,912400,46.86
2010-06-21,49.04,49.21,47.50,47.85,769300,47.57
2010-06-18,48.35,48.71,48.22,48.49,920100,48.21
2010-06-17,48.15,48.37,47.69,48.29,1049400,48.01
2010-06-16,48.03,48.33,47.62,48.14,895100,47.86
2010-06-15,46.95,48.26,46.81,48.19,1235800,47.91
2010-06-14,47.13,47.42,46.33,46.40,760100,46.13
2010-06-11,45.64,46.63,45.60,46.56,827800,46.29
2010-06-10,45.63,46.42,45.33,46.33,975600,46.06
2010-06-09,45.35,46.16,44.49,44.70,1282000,44.44
2010-06-08,44.72,45.08,43.96,44.89,1254900,44.63
2010-06-07,45.82,46.18,44.60,44.66,1311400,44.40
2010-06-04,46.75,47.27,45.38,45.58,1187900,45.32
2010-06-03,47.39,47.95,47.10,47.75,1197100,47.48
2010-06-02,45.69,47.79,45.69,47.78,1474300,47.51
2010-06-01,46.55,47.05,45.25,45.34,1481500,45.08
2010-05-28,47.77,47.80,46.57,46.91,1071000,46.64
2010-05-27,45.90,47.66,45.90,47.66,1828600,47.39
2010-05-26,46.45,48.01,45.67,45.84,2504500,45.36
2010-05-25,44.39,46.34,44.34,46.07,2630700,45.59
2010-05-24,46.65,46.66,45.38,45.45,1758100,44.97
2010-05-21,44.69,47.65,44.52,46.18,4181900,45.69
2010-05-20,46.87,47.07,45.64,45.78,1446600,45.30
2010-05-19,48.44,48.68,47.18,47.87,1181800,47.37
2010-05-18,49.60,49.79,48.39,48.52,1135300,48.01
2010-05-17,48.19,49.21,47.71,49.10,1187500,48.58
2010-05-14,48.86,49.21,47.60,48.12,1263500,47.61
2010-05-13,49.98,50.49,49.11,49.19,1219900,48.67
2010-05-12,49.71,50.50,49.71,50.24,822100,49.71
2010-05-11,49.16,50.44,48.86,49.63,783500,49.11
2010-05-10,48.48,49.88,48.48,49.72,1206600,49.20
2010-05-07,47.90,48.50,46.47,46.80,1471900,46.31
2010-05-06,49.73,50.20,45.90,48.18,1950400,47.67
2010-05-05,49.10,50.17,49.10,49.89,1272700,49.36
2010-05-04,51.22,51.22,49.49,49.97,1364300,49.44
2010-05-03,51.50,52.10,51.33,52.03,1168300,51.48
2010-04-30,54.21,54.21,51.42,51.48,1485300,50.94
2010-04-29,50.42,54.50,50.29,54.41,3331500,53.84
2010-04-28,49.18,50.02,48.83,49.79,1119000,49.27
2010-04-27,50.00,50.37,48.67,48.85,1362400,48.34
2010-04-26,50.31,50.72,49.91,50.42,889000,49.89
2010-04-23,50.45,50.46,49.71,50.30,609900,49.77
2010-04-22,50.16,50.61,49.58,50.53,721900,50.00
2010-04-21,49.96,50.71,49.62,50.66,1110300,50.13
2010-04-20,50.06,50.06,49.25,49.68,736100,49.16
2010-04-19,49.25,49.76,48.94,49.55,800200,49.03
2010-04-16,49.78,50.19,49.03,49.26,737200,48.74
2010-04-15,49.91,50.11,49.50,49.84,756900,49.32
2010-04-14,49.34,49.87,49.24,49.87,573300,49.35
2010-04-13,49.16,49.51,48.94,49.15,727900,48.63
2010-04-12,48.94,49.80,48.68,49.43,782400,48.91
2010-04-09,48.44,48.88,48.25,48.88,343200,48.37
2010-04-08,48.13,48.47,47.71,48.43,494300,47.92
2010-04-07,48.49,48.90,48.04,48.45,731700,47.94
2010-04-06,48.21,48.70,47.56,48.70,884600,48.19
2010-04-05,47.84,48.64,47.68,48.59,697200,48.08
2010-04-01,47.67,48.00,47.51,47.84,677800,47.34
2010-03-31,47.34,47.65,46.93,47.49,828900,46.99
2010-03-30,47.04,47.47,46.74,47.42,717800,46.92
2010-03-29,46.46,46.86,46.25,46.85,779600,46.36
2010-03-26,46.21,46.60,46.05,46.20,522700,45.71
2010-03-25,46.92,47.15,46.12,46.13,693900,45.64
2010-03-24,47.40,47.40,46.31,46.59,722900,46.10
2010-03-23,47.09,47.69,46.97,47.53,838200,47.03
2010-03-22,45.77,47.21,45.74,46.98,690300,46.49
2010-03-19,47.28,47.43,45.75,46.05,1150100,45.57
2010-03-18,46.69,47.36,46.69,47.26,828700,46.76
2010-03-17,46.17,46.80,45.92,46.55,744300,46.06
2010-03-16,45.63,46.00,45.28,45.94,706000,45.46
2010-03-15,45.10,45.48,44.93,45.42,874400,44.94
2010-03-12,46.76,46.77,45.04,45.12,1182100,44.65
2010-03-11,46.42,46.81,46.05,46.75,573300,46.26
2010-03-10,46.22,46.49,45.91,46.39,677600,45.90
2010-03-09,46.15,46.47,45.88,46.10,949700,45.61
2010-03-08,46.60,46.74,46.10,46.24,716100,45.75
2010-03-05,46.43,46.62,46.20,46.35,724200,45.86
2010-03-04,46.92,46.92,45.91,46.27,810800,45.78
2010-03-03,45.43,47.18,45.20,46.82,1293200,46.11
2010-03-02,45.20,45.50,45.02,45.43,1762200,44.74
2010-03-01,45.49,45.53,44.60,45.08,1335700,44.40
2010-02-26,45.56,45.61,44.88,45.22,764100,44.53
2010-02-25,45.58,46.46,44.47,45.32,1371200,44.63
2010-02-24,46.78,46.94,45.62,46.09,1137400,45.39
2010-02-23,47.01,47.32,46.41,46.54,464800,45.83
2010-02-22,47.34,47.39,46.78,47.05,536400,46.34
2010-02-19,46.81,47.39,46.29,47.23,661900,46.51
2010-02-18,46.03,46.97,45.87,46.88,543800,46.17
2010-02-17,45.64,46.15,45.53,46.02,510100,45.32
2010-02-16,45.19,45.64,45.09,45.59,382600,44.90
2010-02-12,44.33,45.20,43.84,44.98,945200,44.30
2010-02-11,44.36,45.14,43.90,45.03,596200,44.35
2010-02-10,44.76,44.76,43.93,44.41,581200,43.74
2010-02-09,44.58,45.12,44.04,44.75,600800,44.07
2010-02-08,44.82,44.92,44.18,44.25,848700,43.58
2010-02-05,44.08,44.87,43.79,44.73,1017000,44.05
2010-02-04,44.46,44.80,44.23,44.35,1166200,43.68
2010-02-03,45.06,45.52,44.51,44.78,965700,44.10
2010-02-02,44.71,45.45,44.39,45.30,1164400,44.61
2010-02-01,43.00,45.12,42.84,44.74,1358800,44.06
2010-01-29,44.54,44.72,42.67,42.92,1674200,42.27
2010-01-28,48.09,48.09,43.04,44.34,3535900,43.67
2010-01-27,45.50,46.82,44.75,46.80,1408700,46.09
2010-01-26,46.06,46.07,44.96,45.64,654900,44.95
2010-01-25,45.97,46.47,45.81,46.19,685400,45.49
2010-01-22,47.03,47.17,45.71,45.78,789800,45.09
2010-01-21,48.36,48.79,47.19,47.24,559000,46.52
2010-01-20,48.47,48.83,47.73,48.43,655400,47.70
2010-01-19,48.00,49.67,48.00,48.76,1297300,48.02
2010-01-15,48.93,48.97,47.66,48.00,660900,47.27
2010-01-14,48.99,49.05,48.32,48.95,479000,48.21
2010-01-13,47.67,49.11,47.54,49.02,900900,48.28
2010-01-12,48.92,49.01,47.28,47.39,963900,46.67
2010-01-11,48.70,49.31,48.57,49.26,587400,48.51
2010-01-08,48.78,48.80,48.25,48.69,529700,47.95
2010-01-07,48.30,48.77,47.93,48.63,814200,47.89
2010-01-06,47.82,48.74,47.80,48.49,776300,47.75
2010-01-05,48.35,48.50,47.44,48.00,892100,47.27
2010-01-04,47.70,48.74,47.70,48.33,654600,47.60
2009-12-31,48.04,48.25,47.55,47.55,628300,46.83
2009-12-30,47.40,47.89,47.35,47.87,464900,47.14
2009-12-29,47.64,47.94,47.35,47.69,474500,46.97
2009-12-28,47.56,47.56,47.17,47.48,415800,46.76
2009-12-24,47.11,47.50,47.11,47.30,167300,46.58
2009-12-23,46.52,47.56,46.52,47.11,898700,46.40
2009-12-22,45.56,46.60,45.56,46.47,446300,45.76
2009-12-21,45.04,45.96,45.00,45.71,491500,45.02
2009-12-18,45.07,45.54,44.49,45.06,905200,44.38
2009-12-17,45.41,45.41,44.67,44.97,569900,44.29
2009-12-16,44.70,45.82,44.01,45.57,643200,44.88
2009-12-15,45.41,45.41,44.86,44.93,601800,44.25
2009-12-14,45.61,45.83,45.38,45.40,657500,44.71
2009-12-11,45.87,46.03,45.27,45.44,565500,44.75
2009-12-10,45.35,46.07,45.26,45.89,562500,45.19
2009-12-09,45.53,45.59,44.54,45.07,790300,44.39
2009-12-08,45.83,45.95,45.21,45.42,682800,44.73
2009-12-07,45.83,46.20,45.66,45.87,485200,45.17
2009-12-04,45.50,46.06,44.85,45.75,747100,45.06
2009-12-03,45.27,45.57,44.86,44.96,766100,44.28
2009-12-02,45.41,45.77,45.04,45.09,974800,44.41
2009-12-01,44.12,45.27,43.78,45.20,1321600,44.51
2009-11-30,43.89,44.03,43.23,43.90,1055500,43.23
2009-11-27,43.63,44.30,43.48,43.84,367200,43.17
2009-11-25,44.38,44.84,43.81,44.75,649200,44.07
2009-11-24,43.49,44.33,43.19,44.25,723800,43.58
2009-11-23,43.53,44.27,43.25,43.59,530200,42.93
2009-11-20,43.05,43.26,42.72,43.07,772000,42.42
2009-11-19,44.21,44.21,43.12,43.35,1182600,42.69
2009-11-18,44.84,44.96,44.20,44.55,589600,43.87
2009-11-17,44.82,45.15,44.57,45.12,629200,44.22
2009-11-16,44.57,45.10,44.57,44.98,820300,44.08
2009-11-13,44.54,44.78,44.15,44.43,763600,43.54
2009-11-12,44.82,45.19,44.37,44.39,799000,43.50
2009-11-11,44.79,45.16,44.35,44.80,888000,43.91
2009-11-10,45.19,45.23,44.06,44.35,1649300,43.46
2009-11-09,44.66,45.41,44.49,45.37,1141700,44.46
2009-11-06,44.29,44.83,43.87,44.40,1105900,43.51
2009-11-05,43.98,44.63,43.59,44.23,1533900,43.35
2009-11-04,43.34,43.83,43.10,43.26,1249100,42.40
2009-11-03,42.67,43.23,42.08,43.10,1432500,42.24
2009-11-02,41.86,43.08,41.59,42.59,1646500,41.74
2009-10-30,42.07,42.55,40.97,41.72,2167500,40.89
2009-10-29,41.81,42.41,41.60,42.24,1581500,41.40
2009-10-28,41.49,43.00,40.40,41.66,5763900,40.83
