Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,16.87,17.21,16.64,17.12,9677800,17.12
2010-11-04,16.29,16.89,16.10,16.87,10573500,16.87
2010-11-03,16.01,16.11,15.72,15.99,6462200,15.99
2010-11-02,16.09,16.10,15.86,16.02,6142600,16.02
2010-11-01,16.01,16.18,15.80,15.91,4633100,15.91
2010-10-29,15.86,15.99,15.80,15.89,5401700,15.89
2010-10-28,16.05,16.17,15.73,15.91,4929400,15.91
2010-10-27,15.88,16.05,15.73,15.90,6586400,15.90
2010-10-26,16.04,16.23,15.97,16.10,7524100,16.10
2010-10-25,16.39,16.39,16.10,16.14,5562000,16.14
2010-10-22,16.14,16.38,16.07,16.21,8094700,16.21
2010-10-21,16.45,16.50,15.96,16.05,9006700,16.05
2010-10-20,16.08,16.56,15.99,16.36,8598200,16.36
2010-10-19,16.01,16.39,15.92,16.00,7076900,16.00
2010-10-18,16.18,16.33,16.06,16.31,8383000,16.31
2010-10-15,16.17,16.21,15.97,16.11,10157700,16.11
2010-10-14,15.88,16.00,15.70,15.99,8187600,15.99
2010-10-13,15.93,16.26,15.70,15.95,12810600,15.95
2010-10-12,15.50,15.89,15.40,15.81,9244600,15.81
2010-10-11,15.65,15.76,15.49,15.52,7392800,15.52
2010-10-08,15.25,15.64,15.19,15.60,8573500,15.60
2010-10-07,15.42,15.61,15.10,15.27,11064000,15.27
2010-10-06,15.25,15.46,15.13,15.45,8666800,15.45
2010-10-05,14.98,15.41,14.82,15.31,11904000,15.31
2010-10-04,14.53,14.75,14.42,14.75,8218400,14.75
2010-10-01,14.66,14.71,14.24,14.65,9109000,14.65
2010-09-30,14.59,14.85,14.32,14.48,9838400,14.48
2010-09-29,14.50,14.62,14.31,14.45,5387100,14.45
2010-09-28,14.30,14.66,13.95,14.64,10041200,14.64
2010-09-27,14.54,14.60,14.23,14.28,5510300,14.27
2010-09-24,14.27,14.56,14.20,14.56,8876300,14.55
2010-09-23,14.17,14.32,13.98,14.01,7951200,14.00
2010-09-22,14.82,15.25,14.33,14.34,7243400,14.33
2010-09-21,15.11,15.20,14.58,14.61,7419800,14.60
2010-09-20,14.58,15.13,14.48,15.06,6424800,15.05
2010-09-17,14.61,14.66,14.45,14.46,7422300,14.45
2010-09-16,14.55,14.65,14.30,14.53,3983500,14.52
2010-09-15,14.41,14.74,14.35,14.69,3846700,14.68
2010-09-14,14.48,14.68,14.36,14.54,4712600,14.53
2010-09-13,14.40,14.61,14.35,14.58,5539900,14.57
2010-09-10,14.11,14.29,14.05,14.21,4480100,14.20
