Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,48.59,48.84,48.00,48.49,1327300,48.49
2010-11-04,49.35,49.42,48.77,48.86,1311400,48.86
2010-11-03,49.06,49.32,48.72,49.19,932500,49.19
2010-11-02,49.49,49.64,48.82,48.92,869800,48.92
2010-11-01,49.67,49.70,48.93,49.13,685200,49.13
2010-10-29,49.25,49.65,49.23,49.49,744000,49.49
2010-10-28,48.92,49.66,48.91,49.36,1210000,49.36
2010-10-27,49.12,49.12,48.48,48.91,1116400,48.91
2010-10-26,49.43,49.76,49.12,49.41,1010300,49.41
2010-10-25,49.88,50.33,49.55,49.60,1234200,49.60
2010-10-22,49.39,49.98,49.27,49.91,970600,49.91
2010-10-21,49.52,50.22,48.74,49.32,2846000,49.32
2010-10-20,50.93,51.74,50.93,51.10,1255300,51.10
2010-10-19,50.94,51.27,50.77,50.98,1494300,50.98
2010-10-18,51.28,51.44,51.12,51.33,1121500,51.33
2010-10-15,51.01,51.75,50.93,51.62,2153100,51.62
2010-10-14,50.62,51.00,50.48,50.86,1614800,50.86
2010-10-13,50.00,50.82,49.87,50.76,1974200,50.76
2010-10-12,48.92,49.97,48.92,49.91,1754700,49.91
2010-10-11,48.61,49.30,48.45,49.26,1599100,49.26
2010-10-08,48.00,48.82,47.94,48.75,1625300,48.75
2010-10-07,48.44,48.47,47.77,47.88,1001000,47.88
2010-10-06,48.20,48.46,48.03,48.17,1302400,48.17
2010-10-05,47.95,48.25,47.71,48.10,1204900,48.10
2010-10-04,47.53,47.79,47.35,47.63,911500,47.63
2010-10-01,47.86,47.98,47.39,47.79,835400,47.79
2010-09-30,47.79,48.22,47.55,47.59,1180300,47.59
2010-09-29,47.72,48.04,47.41,47.79,815100,47.79
2010-09-28,47.38,47.71,47.05,47.64,975900,47.64
2010-09-27,48.02,48.02,47.39,47.41,1014300,47.41
2010-09-24,47.93,48.21,47.79,48.12,1506600,48.12
2010-09-23,47.74,47.78,47.38,47.56,1127600,47.56
2010-09-22,47.88,48.25,47.56,47.81,1544100,47.81
2010-09-21,48.07,48.22,47.61,47.96,1645000,47.96
2010-09-20,47.22,48.19,46.94,48.13,1465600,48.13
2010-09-17,47.24,47.55,46.93,47.37,3118500,47.37
