Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,59.51,60.06,59.33,59.56,1476300,59.56
2010-11-04,60.33,60.35,58.85,59.26,2418300,59.26
2010-11-03,60.83,61.25,58.97,59.57,2543900,59.57
2010-11-02,59.25,61.33,59.21,60.64,3083000,60.64
2010-11-01,59.25,59.80,57.81,58.68,2936800,58.68
2010-10-29,57.81,58.40,57.56,58.29,2439300,58.29
2010-10-28,57.61,58.04,57.10,57.84,1751800,57.84
2010-10-27,56.66,57.47,56.02,57.37,1780200,57.37
2010-10-26,57.13,57.53,56.84,57.21,1432800,57.21
2010-10-25,57.21,58.09,57.15,57.46,1336500,57.46
2010-10-22,56.28,57.14,55.90,56.97,1561300,56.97
2010-10-21,56.10,56.33,55.51,56.27,2060300,56.27
2010-10-20,54.29,56.43,54.29,55.98,2118500,55.98
2010-10-19,54.57,54.98,53.77,54.12,2546000,54.12
2010-10-18,54.96,55.53,54.55,55.43,1834600,55.43
2010-10-15,54.77,55.18,53.80,54.84,3078700,54.84
2010-10-14,53.63,55.31,53.48,54.31,3328800,54.31
2010-10-13,52.60,54.27,52.26,53.80,3487800,53.80
2010-10-12,51.29,52.30,50.90,52.20,1975000,52.20
2010-10-11,51.12,51.74,50.85,51.29,1197500,51.29
2010-10-08,50.23,51.01,50.17,50.85,1820500,50.85
2010-10-07,49.71,50.41,49.00,49.89,1681300,49.89
2010-10-06,50.36,50.65,49.26,49.59,1616700,49.59
2010-10-05,49.79,50.54,49.75,50.50,1823500,50.50
2010-10-04,50.07,50.49,49.06,49.29,1979200,49.29
2010-10-01,50.59,50.75,49.79,50.13,1918800,50.13
2010-09-30,50.42,50.57,49.89,50.24,1674600,50.24
2010-09-29,50.38,50.55,49.87,50.14,2070900,50.14
2010-09-28,50.24,50.75,49.75,50.59,2672000,50.59
2010-09-27,50.15,50.45,49.85,50.03,1985600,50.03
2010-09-24,50.40,50.58,49.90,50.25,1514600,50.25
2010-09-23,49.96,50.55,49.65,49.98,2209600,49.98
2010-09-22,50.63,50.69,49.48,50.24,3280400,50.24
2010-09-21,51.00,51.47,50.77,51.00,2554700,51.00
2010-09-20,50.77,51.29,50.76,50.98,2161300,50.98
2010-09-17,51.49,51.81,50.29,50.37,2517300,50.37
2010-09-16,51.63,51.71,51.14,51.44,1901000,51.44
2010-09-15,52.00,52.17,51.48,51.79,2288000,51.79
2010-09-14,52.31,52.98,52.03,52.06,1879300,52.06
2010-09-13,52.94,53.55,52.43,52.60,1582300,52.60
2010-09-10,51.98,52.93,51.84,52.78,1287400,52.78
2010-09-09,51.29,51.96,51.22,51.84,964000,51.84
2010-09-08,50.92,51.11,50.46,50.85,1237900,50.85
2010-09-07,50.76,51.07,50.32,50.88,1292200,50.88
2010-09-03,50.23,51.08,50.04,51.08,1327200,51.08
2010-09-02,49.69,49.81,49.01,49.81,1079000,49.81
2010-09-01,48.34,49.62,48.13,49.55,1891800,49.55
2010-08-31,47.71,48.30,47.21,47.79,1607100,47.79
2010-08-30,48.94,48.98,47.98,47.98,918300,47.98
2010-08-27,48.60,49.01,47.62,48.94,1215000,48.94
2010-08-26,48.91,49.34,48.18,48.32,1255100,48.32
2010-08-25,47.53,48.79,47.43,48.67,1966400,48.67
2010-08-24,48.01,48.19,47.21,47.69,1452600,47.69
2010-08-23,48.65,48.91,48.32,48.50,1332100,48.50
2010-08-20,48.42,48.73,47.92,48.51,1908300,48.51
2010-08-19,50.13,50.13,48.74,48.81,1432700,48.81
2010-08-18,49.59,50.33,49.25,50.12,1635700,50.12
2010-08-17,49.46,50.07,49.12,49.67,1693900,49.67
2010-08-16,49.04,49.14,48.52,49.00,1015400,49.00
2010-08-13,49.12,49.53,48.57,49.33,1160100,49.33
2010-08-12,48.08,49.52,48.00,49.31,2339300,49.31
2010-08-11,49.96,49.96,48.21,48.93,2789100,48.93
2010-08-10,50.18,50.95,49.77,50.68,1680100,50.68
2010-08-09,50.94,51.24,50.53,50.71,1257800,50.71
2010-08-06,49.61,50.78,49.53,50.61,1661000,50.61
2010-08-05,49.56,50.38,49.35,49.97,2394600,49.97
2010-08-04,48.98,49.76,48.91,49.72,1510000,49.72
2010-08-03,48.60,49.49,48.27,48.89,1779300,48.89
2010-08-02,48.41,48.83,47.31,48.73,3083800,48.73
2010-07-30,45.87,47.87,45.66,47.02,3353100,47.02
2010-07-29,46.08,46.61,45.36,46.17,1962400,46.17
2010-07-28,46.50,46.69,45.56,45.74,1570000,45.74
2010-07-27,47.19,47.29,46.57,46.63,985000,46.63
2010-07-26,46.05,46.92,46.05,46.91,884500,46.91
2010-07-23,46.23,46.49,45.48,46.02,1460900,46.02
2010-07-22,46.30,47.07,46.04,46.33,1283600,46.33
2010-07-21,46.51,46.71,45.42,45.71,1330100,45.71
2010-07-20,46.47,46.94,45.56,46.50,1928400,46.50
2010-07-19,45.86,46.87,45.76,46.52,1527100,46.52
2010-07-16,46.50,47.09,45.55,45.66,1689900,45.66
2010-07-15,46.81,47.47,46.52,46.85,2093900,46.85
2010-07-14,46.14,46.93,45.81,46.88,1239600,46.88
2010-07-13,46.27,46.61,45.86,46.36,1460300,46.36
2010-07-12,46.05,46.14,45.57,45.92,1707400,45.92
2010-07-09,46.22,46.28,45.65,46.20,1266600,46.20
2010-07-08,45.79,46.35,45.59,45.94,1398100,45.94
2010-07-07,44.62,45.50,44.38,45.39,1927100,45.39
2010-07-06,44.86,45.24,43.97,44.46,1516700,44.46
2010-07-02,44.56,44.81,44.01,44.34,1283700,44.34
2010-07-01,45.51,45.54,43.59,44.59,2317900,44.59
2010-06-30,45.86,46.34,45.54,45.67,1829000,45.67
2010-06-29,47.12,47.49,45.73,45.97,1897300,45.97
2010-06-28,48.15,48.39,47.62,48.06,1182400,48.06
