Date,Open,High,Low,Close,Volume,Adj Close
2010-11-05,53.50,53.65,52.93,53.23,698200,53.23
2010-11-04,51.53,53.37,51.53,53.34,1006400,53.34
2010-11-03,50.69,50.77,49.78,50.72,789700,50.72
2010-11-02,50.94,51.06,50.42,50.66,535400,50.66
2010-11-01,50.37,50.85,50.04,50.30,311700,50.30
2010-10-29,49.80,50.30,49.62,50.16,296600,50.16
2010-10-28,50.05,50.36,49.64,49.95,370400,49.95
2010-10-27,49.84,49.94,49.01,49.84,408100,49.84
2010-10-26,49.63,50.47,49.47,50.26,408500,50.26
2010-10-25,50.19,50.59,49.90,50.04,464200,50.04
2010-10-22,49.91,49.92,49.42,49.80,201000,49.80
2010-10-21,50.24,50.32,49.31,49.86,435300,49.86
2010-10-20,49.03,50.21,48.85,49.94,390900,49.94
2010-10-19,49.17,49.58,48.70,48.95,386500,48.95
2010-10-18,49.75,50.00,49.47,49.84,256500,49.84
2010-10-15,50.10,50.18,49.24,49.80,508600,49.80
2010-10-14,50.10,50.13,49.45,49.70,240100,49.70
2010-10-13,50.17,50.19,49.66,50.07,303100,50.07
2010-10-12,49.36,49.69,48.86,49.62,339300,49.62
2010-10-11,49.82,49.85,49.38,49.56,363500,49.56
2010-10-08,49.64,49.91,49.33,49.70,443900,49.70
2010-10-07,49.87,49.87,49.21,49.49,412000,49.49
2010-10-06,49.44,49.87,48.70,49.60,633700,49.60
2010-10-05,48.99,49.80,48.99,49.55,584800,49.55
2010-10-04,48.73,49.14,48.31,48.50,649500,48.50
2010-10-01,49.26,49.26,48.58,48.79,487000,48.79
2010-09-30,49.05,49.50,48.15,48.52,501400,48.52
2010-09-29,49.21,49.40,48.68,48.71,729500,48.71
2010-09-28,48.86,49.51,47.97,49.46,488000,49.46
2010-09-27,49.00,49.20,48.74,48.82,397000,48.82
2010-09-24,48.47,49.01,48.33,49.01,306000,49.01
2010-09-23,48.23,48.49,47.79,47.92,234200,47.92
2010-09-22,48.69,49.00,48.33,48.57,296800,48.57
2010-09-21,48.91,48.92,48.33,48.63,396200,48.63
2010-09-20,48.36,48.93,48.06,48.92,389500,48.92
2010-09-17,47.96,48.64,47.77,48.39,608000,48.12
2010-09-16,47.75,47.99,47.60,47.85,352800,47.58
2010-09-15,47.22,47.91,46.98,47.85,470400,47.58
2010-09-14,46.73,47.68,46.61,47.48,562900,47.22
2010-09-13,47.10,47.39,46.76,46.81,451900,46.55
2010-09-10,47.06,47.06,46.54,46.66,633100,46.40
2010-09-09,47.54,47.54,46.54,46.90,585900,46.64
2010-09-08,46.89,47.27,46.89,47.06,1018500,46.80
2010-09-07,47.67,47.72,46.73,46.93,900300,46.67
2010-09-03,48.21,48.27,47.64,47.72,664500,47.45
2010-09-02,47.33,47.74,47.22,47.67,422300,47.40
2010-09-01,46.28,47.45,46.11,47.39,680300,47.13
2010-08-31,45.65,46.02,45.32,45.69,568500,45.44
2010-08-30,46.17,46.38,45.63,45.63,484100,45.38
2010-08-27,45.41,46.17,44.72,46.15,474100,45.89
2010-08-26,45.25,45.73,44.95,45.15,488400,44.90
2010-08-25,44.40,45.11,43.78,44.92,677800,44.67
2010-08-24,44.91,45.09,44.58,44.67,405700,44.42
2010-08-23,45.95,46.20,45.44,45.47,366100,45.22
2010-08-20,45.30,45.85,45.30,45.83,395700,45.57
2010-08-19,46.64,46.64,45.46,45.66,561600,45.41
2010-08-18,46.97,47.13,46.40,46.90,396500,46.64
2010-08-17,46.39,47.27,46.37,47.03,532500,46.77
2010-08-16,45.88,46.21,45.68,45.89,487800,45.63
2010-08-13,45.67,46.44,45.65,46.35,729000,46.09
2010-08-12,45.31,45.99,45.31,45.82,674000,45.56
2010-08-11,46.51,46.61,45.80,46.00,539000,45.74
2010-08-10,47.09,47.67,46.69,47.34,645500,47.08
2010-08-09,47.23,47.73,46.93,47.62,700300,47.35
2010-08-06,46.34,46.91,45.55,46.87,1015100,46.61
2010-08-05,43.50,47.18,43.50,46.84,1272600,46.58
2010-08-04,45.66,46.13,45.43,45.89,826600,45.63
2010-08-03,45.67,46.00,45.35,45.66,1270200,45.41
2010-08-02,46.04,46.14,45.69,45.92,865100,45.66
2010-07-30,44.90,45.57,44.90,45.38,629500,45.13
2010-07-29,46.45,46.68,45.47,45.55,734800,45.30
2010-07-28,45.67,46.35,45.65,46.03,781000,45.77
2010-07-27,47.00,47.22,45.61,45.78,1058200,45.52
2010-07-26,46.50,46.82,46.37,46.82,510600,46.56
2010-07-23,46.16,46.73,46.16,46.46,1004300,46.20
2010-07-22,45.56,46.53,45.40,46.22,451100,45.96
2010-07-21,45.17,45.80,44.78,45.07,720600,44.82
2010-07-20,43.46,45.01,43.41,45.00,406700,44.75
2010-07-19,44.10,44.10,43.50,44.05,312100,43.80
2010-07-16,44.93,44.93,43.65,43.77,375400,43.53
2010-07-15,44.93,45.09,44.23,45.00,382400,44.75
2010-07-14,45.00,45.01,44.49,45.01,566600,44.76
